county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Mills,1,Registered Voters,,,,,,,893
Mills,1,Ballots Cast,,,,16,227,143,386
Mills,1,President,,Zoltan G. Istvan,REP,,,,1
Mills,1,President,,Joe Walsh,REP,,,,3
Mills,1,President,,Bill Weld,REP,,,,2
Mills,1,President,,Bob Ely,REP,,,,0
Mills,1,President,,Donald J. Trump,REP,,,,364
Mills,1,President,,Matthew John Matern,REP,,,,1
Mills,1,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,,,,2
Mills,1,President,,Uncommitted,REP,,,,10
Mills,1,U S Senate,,Mark Yancey,REP,,,,30
Mills,1,U S Senate,,John Anthony Castro,REP,,,,13
Mills,1,U S Senate,,John Cornyn,REP,,,,258
Mills,1,U S Senate,,Dwayne Stovall,REP,,,,57
Mills,1,U S Senate,,Virgil Bierschwale,REP,,,,5
Mills,1,U S House,11,Ned Luscombe,REP,,,,18
Mills,1,U S House,11,Jamie Berryhill,REP,,,,24
Mills,1,U S House,11,Robert Tucker,REP,,,,12
Mills,1,U S House,11,Casey Gray,REP,,,,14
Mills,1,U S House,11,Gene Barber,REP,,,,9
Mills,1,U S House,11,Brandon Batch,REP,,,,55
Mills,1,U S House,11,Wesley W. Virdell,REP,,,,18
Mills,1,U S House,11,August Pfluger,REP,,,,171
Mills,1,U S House,11,J. D. Faircloth,REP,,,,19
Mills,1,U S House,11,J. Ross Lacy,REP,,,,5
Mills,1,Railroad Commissioner,,"James ""Jim"" Wright",REP,,,,204
Mills,1,Railroad Commissioner,,Ryan Sitton,REP,,,,124
Mills,1,State Senate,24,Dawn Buckingham,REP,,,,308
Mills,1,State House,59,Cody Johnson,REP,,,,104
Mills,1,State House,59,J. D. Shefffield,REP,,,,114
Mills,1,State House,59,Shelby Slawson,REP,,,,160
Mills,2,Registered Voters,,,,,,,482
Mills,2,Ballots Cast,,,,12,125,67,204
Mills,2,President,,Zoltan G. Istvan,REP,,,,0
Mills,2,President,,Joe Walsh,REP,,,,1
Mills,2,President,,Bill Weld,REP,,,,0
Mills,2,President,,Bob Ely,REP,,,,0
Mills,2,President,,Donald J. Trump,REP,,,,192
Mills,2,President,,Matthew John Matern,REP,,,,0
Mills,2,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,,,,0
Mills,2,President,,Uncommitted,REP,,,,4
Mills,2,U S Senate,,Mark Yancey,REP,,,,9
Mills,2,U S Senate,,John Anthony Castro,REP,,,,2
Mills,2,U S Senate,,John Cornyn,REP,,,,151
Mills,2,U S Senate,,Dwayne Stovall,REP,,,,21
Mills,2,U S Senate,,Virgil Bierschwale,REP,,,,4
Mills,2,U S House,11,Ned Luscombe,REP,,,,3
Mills,2,U S House,11,Jamie Berryhill,REP,,,,9
Mills,2,U S House,11,Robert Tucker,REP,,,,6
Mills,2,U S House,11,Casey Gray,REP,,,,6
Mills,2,U S House,11,Gene Barber,REP,,,,7
Mills,2,U S House,11,Brandon Batch,REP,,,,16
Mills,2,U S House,11,Wesley W. Virdell,REP,,,,6
Mills,2,U S House,11,August Pfluger,REP,,,,107
Mills,2,U S House,11,J. D. Faircloth,REP,,,,15
Mills,2,U S House,11,J. Ross Lacy,REP,,,,3
Mills,2,Railroad Commissioner,,"James ""Jim"" Wright",REP,,,,103
Mills,2,Railroad Commissioner,,Ryan Sitton,REP,,,,58
Mills,2,State Senate,24,Dawn Buckingham,REP,,,,158
Mills,2,State House,59,Cody Johnson,REP,,,,44
Mills,2,State House,59,J. D. Shefffield,REP,,,,66
Mills,2,State House,59,Shelby Slawson,REP,,,,83
Mills,4,Registered Voters,,,,,,,359
Mills,4,Ballots Cast,,,,13,71,62,146
Mills,4,President,,Zoltan G. Istvan,REP,,,,0
Mills,4,President,,Joe Walsh,REP,,,,1
Mills,4,President,,Bill Weld,REP,,,,0
Mills,4,President,,Bob Ely,REP,,,,0
Mills,4,President,,Donald J. Trump,REP,,,,136
Mills,4,President,,Matthew John Matern,REP,,,,1
Mills,4,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,,,,0
Mills,4,President,,Uncommitted,REP,,,,3
Mills,4,U S Senate,,Mark Yancey,REP,,,,3
Mills,4,U S Senate,,John Anthony Castro,REP,,,,5
Mills,4,U S Senate,,John Cornyn,REP,,,,111
Mills,4,U S Senate,,Dwayne Stovall,REP,,,,19
Mills,4,U S Senate,,Virgil Bierschwale,REP,,,,1
Mills,4,U S House,11,Ned Luscombe,REP,,,,2
Mills,4,U S House,11,Jamie Berryhill,REP,,,,11
Mills,4,U S House,11,Robert Tucker,REP,,,,4
Mills,4,U S House,11,Casey Gray,REP,,,,5
Mills,4,U S House,11,Gene Barber,REP,,,,2
Mills,4,U S House,11,Brandon Batch,REP,,,,11
Mills,4,U S House,11,Wesley W. Virdell,REP,,,,8
Mills,4,U S House,11,August Pfluger,REP,,,,76
Mills,4,U S House,11,J. D. Faircloth,REP,,,,9
Mills,4,U S House,11,J. Ross Lacy,REP,,,,3
Mills,4,Railroad Commissioner,,"James ""Jim"" Wright",REP,,,,68
Mills,4,Railroad Commissioner,,Ryan Sitton,REP,,,,52
Mills,4,State Senate,24,Dawn Buckingham,REP,,,,112
Mills,4,State House,59,Cody Johnson,REP,,,,54
Mills,4,State House,59,J. D. Shefffield,REP,,,,41
Mills,4,State House,59,Shelby Slawson,REP,,,,47
Mills,6,Registered Voters,,,,,,,256
Mills,6,Ballots Cast,,,,1,35,92,128
Mills,6,President,,Zoltan G. Istvan,REP,,,,1
Mills,6,President,,Joe Walsh,REP,,,,1
Mills,6,President,,Bill Weld,REP,,,,0
Mills,6,President,,Bob Ely,REP,,,,0
Mills,6,President,,Donald J. Trump,REP,,,,116
Mills,6,President,,Matthew John Matern,REP,,,,0
Mills,6,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,,,,0
Mills,6,President,,Uncommitted,REP,,,,6
Mills,6,U S Senate,,Mark Yancey,REP,,,,10
Mills,6,U S Senate,,John Anthony Castro,REP,,,,4
Mills,6,U S Senate,,John Cornyn,REP,,,,83
Mills,6,U S Senate,,Dwayne Stovall,REP,,,,12
Mills,6,U S Senate,,Virgil Bierschwale,REP,,,,1
Mills,6,U S House,11,Ned Luscombe,REP,,,,3
Mills,6,U S House,11,Jamie Berryhill,REP,,,,9
Mills,6,U S House,11,Robert Tucker,REP,,,,5
Mills,6,U S House,11,Casey Gray,REP,,,,10
Mills,6,U S House,11,Gene Barber,REP,,,,2
Mills,6,U S House,11,Brandon Batch,REP,,,,11
Mills,6,U S House,11,Wesley W. Virdell,REP,,,,7
Mills,6,U S House,11,August Pfluger,REP,,,,55
Mills,6,U S House,11,J. D. Faircloth,REP,,,,6
Mills,6,U S House,11,J. Ross Lacy,REP,,,,1
Mills,6,Railroad Commissioner,,"James ""Jim"" Wright",REP,,,,70
Mills,6,Railroad Commissioner,,Ryan Sitton,REP,,,,25
Mills,6,State Senate,24,Dawn Buckingham,REP,,,,94
Mills,6,State House,59,Cody Johnson,REP,,,,38
Mills,6,State House,59,J. D. Shefffield,REP,,,,43
Mills,6,State House,59,Shelby Slawson,REP,,,,38
Mills,8,Registered Voters,,,,,,,561
Mills,8,Ballots Cast,,,,16,108,117,241
Mills,8,President,,Zoltan G. Istvan,REP,,,,0
Mills,8,President,,Joe Walsh,REP,,,,1
Mills,8,President,,Bill Weld,REP,,,,0
Mills,8,President,,Bob Ely,REP,,,,0
Mills,8,President,,Donald J. Trump,REP,,,,222
Mills,8,President,,Matthew John Matern,REP,,,,1
Mills,8,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,,,,1
Mills,8,President,,Uncommitted,REP,,,,8
Mills,8,U S Senate,,Mark Yancey,REP,,,,25
Mills,8,U S Senate,,John Anthony Castro,REP,,,,5
Mills,8,U S Senate,,John Cornyn,REP,,,,156
Mills,8,U S Senate,,Dwayne Stovall,REP,,,,38
Mills,8,U S Senate,,Virgil Bierschwale,REP,,,,3
Mills,8,U S House,11,Ned Luscombe,REP,,,,8
Mills,8,U S House,11,Jamie Berryhill,REP,,,,18
Mills,8,U S House,11,Robert Tucker,REP,,,,7
Mills,8,U S House,11,Casey Gray,REP,,,,5
Mills,8,U S House,11,Gene Barber,REP,,,,4
Mills,8,U S House,11,Brandon Batch,REP,,,,32
Mills,8,U S House,11,Wesley W. Virdell,REP,,,,9
Mills,8,U S House,11,August Pfluger,REP,,,,105
Mills,8,U S House,11,J. D. Faircloth,REP,,,,17
Mills,8,U S House,11,J. Ross Lacy,REP,,,,5
Mills,8,Railroad Commissioner,,"James ""Jim"" Wright",REP,,,,125
Mills,8,Railroad Commissioner,,Ryan Sitton,REP,,,,76
Mills,8,State Senate,24,Dawn Buckingham,REP,,,,186
Mills,8,State House,59,Cody Johnson,REP,,,,71
Mills,8,State House,59,J. D. Shefffield,REP,,,,75
