county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Washington,Precinct 101,REGISTERED VOTERS,,,REGISTERED VOTERS,1228,0,0,0,0
Washington,Precinct 104,REGISTERED VOTERS,,,REGISTERED VOTERS,1858,0,0,0,0
Washington,Precinct 109,REGISTERED VOTERS,,,REGISTERED VOTERS,1051,0,0,0,0
Washington,Precinct 115,REGISTERED VOTERS,,,REGISTERED VOTERS,954,0,0,0,0
Washington,Precinct 117,REGISTERED VOTERS,,,REGISTERED VOTERS,84,0,0,0,0
Washington,Precinct 121,REGISTERED VOTERS,,,REGISTERED VOTERS,96,0,0,0,0
Washington,Precinct 202,REGISTERED VOTERS,,,REGISTERED VOTERS,305,0,0,0,0
Washington,Precinct 203,REGISTERED VOTERS,,,REGISTERED VOTERS,1839,0,0,0,0
Washington,Precinct 205,REGISTERED VOTERS,,,REGISTERED VOTERS,2475,0,0,0,0
Washington,Precinct 208,REGISTERED VOTERS,,,REGISTERED VOTERS,1436,0,0,0,0
Washington,Precinct 307,REGISTERED VOTERS,,,REGISTERED VOTERS,1607,0,0,0,0
Washington,Precinct 311,REGISTERED VOTERS,,,REGISTERED VOTERS,1220,0,0,0,0
Washington,Precinct 312,REGISTERED VOTERS,,,REGISTERED VOTERS,1183,0,0,0,0
Washington,Precinct 316,REGISTERED VOTERS,,,REGISTERED VOTERS,258,0,0,0,0
Washington,Precinct 320,REGISTERED VOTERS,,,REGISTERED VOTERS,1880,0,0,0,0
Washington,Precinct 406,REGISTERED VOTERS,,,REGISTERED VOTERS,1724,0,0,0,0
Washington,Precinct 410,REGISTERED VOTERS,,,REGISTERED VOTERS,1193,0,0,0,0
Washington,Precinct 413,REGISTERED VOTERS,,,REGISTERED VOTERS,853,0,0,0,0
Washington,Precinct 414,REGISTERED VOTERS,,,REGISTERED VOTERS,826,0,0,0,0
Washington,Precinct 418,REGISTERED VOTERS,,,REGISTERED VOTERS,667,0,0,0,0
Washington,Precinct 419,REGISTERED VOTERS,,,REGISTERED VOTERS,555,0,0,0,0
Washington,Precinct 101,BALLOTS CAST,,,BALLOTS CAST,354,206,106,42,0
Washington,Precinct 104,BALLOTS CAST,,,BALLOTS CAST,380,158,183,39,0
Washington,Precinct 109,BALLOTS CAST,,,BALLOTS CAST,362,194,152,16,0
Washington,Precinct 115,BALLOTS CAST,,,BALLOTS CAST,291,106,174,11,0
Washington,Precinct 117,BALLOTS CAST,,,BALLOTS CAST,7,4,3,0,0
Washington,Precinct 121,BALLOTS CAST,,,BALLOTS CAST,29,6,19,4,0
Washington,Precinct 202,BALLOTS CAST,,,BALLOTS CAST,40,19,15,6,0
Washington,Precinct 203,BALLOTS CAST,,,BALLOTS CAST,594,311,248,35,0
Washington,Precinct 205,BALLOTS CAST,,,BALLOTS CAST,772,274,449,49,0
Washington,Precinct 208,BALLOTS CAST,,,BALLOTS CAST,463,198,250,15,0
Washington,Precinct 307,BALLOTS CAST,,,BALLOTS CAST,385,132,235,18,0
Washington,Precinct 311,BALLOTS CAST,,,BALLOTS CAST,353,155,175,23,0
Washington,Precinct 312,BALLOTS CAST,,,BALLOTS CAST,350,154,182,14,0
Washington,Precinct 316,BALLOTS CAST,,,BALLOTS CAST,55,18,33,4,0
Washington,Precinct 320,BALLOTS CAST,,,BALLOTS CAST,650,252,374,24,0
Washington,Precinct 406,BALLOTS CAST,,,BALLOTS CAST,451,160,256,35,0
Washington,Precinct 410,BALLOTS CAST,,,BALLOTS CAST,343,181,144,18,0
Washington,Precinct 413,BALLOTS CAST,,,BALLOTS CAST,287,133,140,14,0
Washington,Precinct 414,BALLOTS CAST,,,BALLOTS CAST,259,80,160,19,0
Washington,Precinct 418,BALLOTS CAST,,,BALLOTS CAST,163,63,96,4,0
Washington,Precinct 419,BALLOTS CAST,,,BALLOTS CAST,146,52,86,8,0
Washington,Precinct 101,BALLOTS CAST,,REP,BALLOTS CAST,245,150,80,15,0
Washington,Precinct 104,BALLOTS CAST,,REP,BALLOTS CAST,96,41,50,5,0
Washington,Precinct 109,BALLOTS CAST,,REP,BALLOTS CAST,311,169,132,10,0
Washington,Precinct 115,BALLOTS CAST,,REP,BALLOTS CAST,240,83,151,6,0
Washington,Precinct 117,BALLOTS CAST,,REP,BALLOTS CAST,0,0,0,0,0
Washington,Precinct 121,BALLOTS CAST,,REP,BALLOTS CAST,15,4,11,0,0
Washington,Precinct 202,BALLOTS CAST,,REP,BALLOTS CAST,30,15,11,4,0
Washington,Precinct 203,BALLOTS CAST,,REP,BALLOTS CAST,457,239,200,18,0
Washington,Precinct 205,BALLOTS CAST,,REP,BALLOTS CAST,582,197,355,30,0
Washington,Precinct 208,BALLOTS CAST,,REP,BALLOTS CAST,402,174,221,7,0
Washington,Precinct 307,BALLOTS CAST,,REP,BALLOTS CAST,285,86,190,9,0
Washington,Precinct 311,BALLOTS CAST,,REP,BALLOTS CAST,289,120,155,14,0
Washington,Precinct 312,BALLOTS CAST,,REP,BALLOTS CAST,303,129,165,9,0
Washington,Precinct 316,BALLOTS CAST,,REP,BALLOTS CAST,39,12,25,2,0
Washington,Precinct 320,BALLOTS CAST,,REP,BALLOTS CAST,560,208,333,19,0
Washington,Precinct 406,BALLOTS CAST,,REP,BALLOTS CAST,313,105,196,12,0
Washington,Precinct 410,BALLOTS CAST,,REP,BALLOTS CAST,275,151,112,12,0
Washington,Precinct 413,BALLOTS CAST,,REP,BALLOTS CAST,232,107,113,12,0
Washington,Precinct 414,BALLOTS CAST,,REP,BALLOTS CAST,224,68,140,16,0
Washington,Precinct 418,BALLOTS CAST,,REP,BALLOTS CAST,102,31,69,2,0
Washington,Precinct 419,BALLOTS CAST,,REP,BALLOTS CAST,93,30,60,3,0
Washington,Precinct 101,BALLOTS CAST,,DEM,BALLOTS CAST,109,56,26,27,0
Washington,Precinct 104,BALLOTS CAST,,DEM,BALLOTS CAST,284,117,133,34,0
Washington,Precinct 109,BALLOTS CAST,,DEM,BALLOTS CAST,51,25,20,6,0
Washington,Precinct 115,BALLOTS CAST,,DEM,BALLOTS CAST,51,23,23,5,0
Washington,Precinct 117,BALLOTS CAST,,DEM,BALLOTS CAST,7,4,3,0,0
Washington,Precinct 121,BALLOTS CAST,,DEM,BALLOTS CAST,14,2,8,4,0
Washington,Precinct 202,BALLOTS CAST,,DEM,BALLOTS CAST,10,4,4,2,0
Washington,Precinct 203,BALLOTS CAST,,DEM,BALLOTS CAST,137,72,48,17,0
Washington,Precinct 205,BALLOTS CAST,,DEM,BALLOTS CAST,190,77,94,19,0
Washington,Precinct 208,BALLOTS CAST,,DEM,BALLOTS CAST,61,24,29,8,0
Washington,Precinct 307,BALLOTS CAST,,DEM,BALLOTS CAST,100,46,45,9,0
Washington,Precinct 311,BALLOTS CAST,,DEM,BALLOTS CAST,64,35,20,9,0
Washington,Precinct 312,BALLOTS CAST,,DEM,BALLOTS CAST,47,25,17,5,0
Washington,Precinct 316,BALLOTS CAST,,DEM,BALLOTS CAST,16,6,8,2,0
Washington,Precinct 320,BALLOTS CAST,,DEM,BALLOTS CAST,90,44,41,5,0
Washington,Precinct 406,BALLOTS CAST,,DEM,BALLOTS CAST,138,55,60,23,0
Washington,Precinct 410,BALLOTS CAST,,DEM,BALLOTS CAST,68,30,32,6,0
