county,precinct,office,district,candidate,party,election_day,early_voting,mail,votes
Johnson,Pct 1,President,,Donald J. Trump,REP,61,729,14,804
Johnson,Pct 2,President,,Donald J. Trump,REP,514,2316,149,2979
Johnson,Pct 3,President,,Donald J. Trump,REP,427,1892,142,2461
Johnson,Pct 4,President,,Donald J. Trump,REP,580,2453,160,3193
Johnson,Pct 5,President,,Donald J. Trump,REP,362,1882,121,2365
Johnson,Pct 6,President,,Donald J. Trump,REP,39,273,26,338
Johnson,Pct 7,President,,Donald J. Trump,REP,597,2881,216,3694
Johnson,Pct 8,President,,Donald J. Trump,REP,376,2819,110,3305
Johnson,Pct 9,President,,Donald J. Trump,REP,80,587,23,690
Johnson,Pct 10,President,,Donald J. Trump,REP,267,1610,50,1927
Johnson,Pct 11,President,,Donald J. Trump,REP,423,1668,132,2223
Johnson,Pct 12,President,,Donald J. Trump,REP,294,1343,100,1737
Johnson,Pct 13,President,,Donald J. Trump,REP,212,866,64,1142
Johnson,Pct 14,President,,Donald J. Trump,REP,25,273,11,309
Johnson,Pct 15,President,,Donald J. Trump,REP,183,693,61,937
Johnson,Pct 16,President,,Donald J. Trump,REP,23,292,12,327
Johnson,Pct 17,President,,Donald J. Trump,REP,280,1162,111,1553
Johnson,Pct 18,President,,Donald J. Trump,REP,209,1556,146,1911
Johnson,Pct 19,President,,Donald J. Trump,REP,353,2840,173,3366
Johnson,Pct 20,President,,Donald J. Trump,REP,96,339,14,449
Johnson,Pct 21,President,,Donald J. Trump,REP,124,824,46,994
Johnson,Pct 22,President,,Donald J. Trump,REP,350,1389,111,1850
Johnson,Pct 23,President,,Donald J. Trump,REP,389,1077,54,1520
Johnson,Pct 24,President,,Donald J. Trump,REP,97,726,27,850
Johnson,Pct 25,President,,Donald J. Trump,REP,98,613,13,724
Johnson,Pct 26,President,,Donald J. Trump,REP,188,796,30,1014
Johnson,Pct 27,President,,Donald J. Trump,REP,180,1316,55,1551
Johnson,Pct 28,President,,Donald J. Trump,REP,159,963,44,1166
Johnson,Pct 29,President,,Donald J. Trump,REP,138,554,28,720
Johnson,Pct 30,President,,Donald J. Trump,REP,153,857,18,1028
Johnson,Pct 31,President,,Donald J. Trump,REP,143,671,59,873
Johnson,Pct 32,President,,Donald J. Trump,REP,342,1430,90,1862
Johnson,Pct 33,President,,Donald J. Trump,REP,103,637,22,762
Johnson,Pct 34,President,,Donald J. Trump,REP,245,836,69,1150
Johnson,Pct 35,President,,Donald J. Trump,REP,280,2042,94,2416
Johnson,Pct 36,President,,Donald J. Trump,REP,108,314,16,438
Johnson,Pct 1,President,,Joseph R. Biden,DEM,6,122,10,138
Johnson,Pct 2,President,,Joseph R. Biden,DEM,110,560,111,781
Johnson,Pct 3,President,,Joseph R. Biden,DEM,105,604,104,813
Johnson,Pct 4,President,,Joseph R. Biden,DEM,171,878,133,1182
Johnson,Pct 5,President,,Joseph R. Biden,DEM,89,506,117,712
Johnson,Pct 6,President,,Joseph R. Biden,DEM,2,52,16,70
Johnson,Pct 7,President,,Joseph R. Biden,DEM,107,840,169,1116
Johnson,Pct 8,President,,Joseph R. Biden,DEM,207,1893,130,2230
Johnson,Pct 9,President,,Joseph R. Biden,DEM,16,78,12,106
Johnson,Pct 10,President,,Joseph R. Biden,DEM,90,470,40,600
Johnson,Pct 11,President,,Joseph R. Biden,DEM,86,393,76,555
Johnson,Pct 12,President,,Joseph R. Biden,DEM,69,278,73,420
Johnson,Pct 13,President,,Joseph R. Biden,DEM,42,181,43,266
Johnson,Pct 14,President,,Joseph R. Biden,DEM,5,25,12,42
Johnson,Pct 15,President,,Joseph R. Biden,DEM,20,137,38,195
Johnson,Pct 16,President,,Joseph R. Biden,DEM,12,57,10,79
Johnson,Pct 17,President,,Joseph R. Biden,DEM,87,402,67,556
Johnson,Pct 18,President,,Joseph R. Biden,DEM,87,444,120,651
Johnson,Pct 19,President,,Joseph R. Biden,DEM,80,755,154,989
Johnson,Pct 20,President,,Joseph R. Biden,DEM,65,202,26,293
Johnson,Pct 21,President,,Joseph R. Biden,DEM,23,138,28,189
Johnson,Pct 22,President,,Joseph R. Biden,DEM,141,517,104,762
Johnson,Pct 23,President,,Joseph R. Biden,DEM,41,167,43,251
Johnson,Pct 24,President,,Joseph R. Biden,DEM,10,153,17,180
Johnson,Pct 25,President,,Joseph R. Biden,DEM,26,191,12,229
Johnson,Pct 26,President,,Joseph R. Biden,DEM,28,113,18,159
Johnson,Pct 27,President,,Joseph R. Biden,DEM,23,187,20,230
Johnson,Pct 28,President,,Joseph R. Biden,DEM,39,209,24,272
Johnson,Pct 29,President,,Joseph R. Biden,DEM,21,117,20,158
Johnson,Pct 30,President,,Joseph R. Biden,DEM,13,118,12,143
Johnson,Pct 31,President,,Joseph R. Biden,DEM,43,121,25,189
Johnson,Pct 32,President,,Joseph R. Biden,DEM,91,362,64,517
Johnson,Pct 33,President,,Joseph R. Biden,DEM,13,118,23,154
Johnson,Pct 34,President,,Joseph R. Biden,DEM,50,255,106,411
Johnson,Pct 35,President,,Joseph R. Biden,DEM,60,487,84,631
Johnson,Pct 36,President,,Joseph R. Biden,DEM,41,131,23,195
Johnson,Pct 1,President,,Jo Jorgensen,LBT,0,6,0,6
Johnson,Pct 2,President,,Jo Jorgensen,LBT,18,31,2,51
Johnson,Pct 3,President,,Jo Jorgensen,LBT,7,25,0,32
Johnson,Pct 4,President,,Jo Jorgensen,LBT,22,42,3,67
Johnson,Pct 5,President,,Jo Jorgensen,LBT,5,25,3,33
Johnson,Pct 6,President,,Jo Jorgensen,LBT,2,2,0,4
Johnson,Pct 7,President,,Jo Jorgensen,LBT,6,34,2,42
Johnson,Pct 8,President,,Jo Jorgensen,LBT,12,51,1,64
Johnson,Pct 9,President,,Jo Jorgensen,LBT,0,1,1,2
Johnson,Pct 10,President,,Jo Jorgensen,LBT,5,37,2,44
Johnson,Pct 11,President,,Jo Jorgensen,LBT,10,14,1,25
Johnson,Pct 12,President,,Jo Jorgensen,LBT,3,19,1,23
Johnson,Pct 13,President,,Jo Jorgensen,LBT,3,9,1,13
Johnson,Pct 14,President,,Jo Jorgensen,LBT,0,1,0,1
Johnson,Pct 15,President,,Jo Jorgensen,LBT,4,13,2,19
Johnson,Pct 16,President,,Jo Jorgensen,LBT,0,4,0,4
Johnson,Pct 17,President,,Jo Jorgensen,LBT,7,20,0,27
Johnson,Pct 18,President,,Jo Jorgensen,LBT,7,21,0,28
Johnson,Pct 19,President,,Jo Jorgensen,LBT,14,28,2,44
Johnson,Pct 20,President,,Jo Jorgensen,LBT,5,8,0,13
Johnson,Pct 21,President,,Jo Jorgensen,LBT,1,2,1,4
Johnson,Pct 22,President,,Jo Jorgensen,LBT,10,26,0,36
Johnson,Pct 23,President,,Jo Jorgensen,LBT,4,10,0,14
Johnson,Pct 24,President,,Jo Jorgensen,LBT,1,10,0,11
Johnson,Pct 25,President,,Jo Jorgensen,LBT,2,11,0,13
Johnson,Pct 26,President,,Jo Jorgensen,LBT,0,5,3,8
Johnson,Pct 27,President,,Jo Jorgensen,LBT,4,10,3,17
Johnson,Pct 28,President,,Jo Jorgensen,LBT,3,10,1,14
Johnson,Pct 29,President,,Jo Jorgensen,LBT,4,5,1,10
Johnson,Pct 30,President,,Jo Jorgensen,LBT,4,7,0,11
Johnson,Pct 31,President,,Jo Jorgensen,LBT,3,4,0,7
Johnson,Pct 32,President,,Jo Jorgensen,LBT,1,16,1,18
Johnson,Pct 33,President,,Jo Jorgensen,LBT,2,11,1,14
Johnson,Pct 34,President,,Jo Jorgensen,LBT,8,12,0,20
Johnson,Pct 35,President,,Jo Jorgensen,LBT,4,17,3,24
Johnson,Pct 36,President,,Jo Jorgensen,LBT,2,6,0,8
Johnson,Pct 1,President,,Howie Hawkins,GRE,0,4,1,5
Johnson,Pct 2,President,,Howie Hawkins,GRE,4,3,0,7
Johnson,Pct 3,President,,Howie Hawkins,GRE,2,4,0,6
Johnson,Pct 4,President,,Howie Hawkins,GRE,4,3,0,7
Johnson,Pct 5,President,,Howie Hawkins,GRE,2,2,0,4
Johnson,Pct 6,President,,Howie Hawkins,GRE,1,0,0,1
Johnson,Pct 7,President,,Howie Hawkins,GRE,1,5,1,7
Johnson,Pct 8,President,,Howie Hawkins,GRE,4,12,0,16
Johnson,Pct 9,President,,Howie Hawkins,GRE,0,0,0,0
Johnson,Pct 10,President,,Howie Hawkins,GRE,2,2,0,4
Johnson,Pct 11,President,,Howie Hawkins,GRE,0,3,0,3
Johnson,Pct 12,President,,Howie Hawkins,GRE,2,3,0,5
Johnson,Pct 13,President,,Howie Hawkins,GRE,4,1,0,5
Johnson,Pct 14,President,,Howie Hawkins,GRE,1,1,0,2
