county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Pecos,Precinct #1,,,,Registered Voters,2062,,,
Pecos,Precinct #1,,,,Ballots Cast,1266,112,965,189
Pecos,Precinct #1,,,,Ballots Cast Blank,0,0,0,0
Pecos,Precinct #1,President,,REP,Donald J Trump,848,52,669,127
Pecos,Precinct #1,President,,DEM,Joseph R Biden,380,57,270,53
Pecos,Precinct #1,President,,LIB,Jo Jorgensen,14,0,10,4
Pecos,Precinct #1,President,,GRN,Howie Hawkins,5,1,2,2
Pecos,Precinct #1,President,,,Write-In,3,0,2,1
Pecos,Precinct #1,President,,,Overvotes,0,0,0,0
Pecos,Precinct #1,President,,,Undervotes,16,2,12,2
Pecos,Precinct #1,U.S. Senate,,REP,John Cornyn,821,51,651,119
Pecos,Precinct #1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",382,55,274,53
Pecos,Precinct #1,U.S. Senate,,LIB,Kerry Douglas McKennon,23,1,13,9
Pecos,Precinct #1,U.S. Senate,,GRN,David B. Collins,9,2,5,2
Pecos,Precinct #1,U.S. Senate,,,Write-In,0,0,0,0
Pecos,Precinct #1,U.S. Senate,,,Overvotes,0,0,0,0
Pecos,Precinct #1,U.S. Senate,,,Undervotes,31,3,22,6
Pecos,Precinct #1,U.S. House,23,REP,Tony Gonzales,787,47,626,114
Pecos,Precinct #1,U.S. House,23,DEM,Gina Ortiz Jones,419,62,294,63
Pecos,Precinct #1,U.S. House,23,LIB,Beto Villela,41,3,28,10
Pecos,Precinct #1,U.S. House,23,,Overvotes,0,0,0,0
Pecos,Precinct #1,U.S. House,23,,Undervotes,19,0,17,2
Pecos,Precinct #1,Railroad Commissioner,,REP,"James ""Jim""Wright",788,54,612,122
Pecos,Precinct #1,Railroad Commissioner,,DEM,Chrysta Castaneda,398,55,286,57
Pecos,Precinct #1,Railroad Commissioner,,LIB,Matt Sterett,22,0,18,4
Pecos,Precinct #1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",12,0,11,1
Pecos,Precinct #1,Railroad Commissioner,,,Overvotes,1,1,0,0
Pecos,Precinct #1,Railroad Commissioner,,,Undervotes,45,2,38,5
Pecos,Precinct #1,State Senate,19,REP,"Peter P. ""Pete""Flores",793,53,624,116
Pecos,Precinct #1,State Senate,19,DEM,Roland Gutierrez,406,58,284,64
Pecos,Precinct #1,State Senate,19,LIB,Jo-Anne Valdivia,31,0,25,6
Pecos,Precinct #1,State Senate,19,,Overvotes,0,0,0,0
Pecos,Precinct #1,State Senate,19,,Undervotes,36,1,32,3
Pecos,Precinct #1,State Representative,74,REP,Ruben Falcon,845,61,661,123
Pecos,Precinct #1,State Representative,74,DEM,Eddie Morales,379,49,269,61
Pecos,Precinct #1,State Representative,74,,Overvotes,0,0,0,0
Pecos,Precinct #1,State Representative,74,,Undervotes,42,2,35,5
Pecos,Precinct #2,,,,Registered Voters,2100,,,
Pecos,Precinct #2,,,,Ballots Cast,1131,112,843,176
Pecos,Precinct #2,,,,Ballots Cast Blank,0,0,0,0
Pecos,Precinct #2,President,,REP,Donald J Trump,694,37,529,128
Pecos,Precinct #2,President,,DEM,Joseph R Biden,407,70,295,42
Pecos,Precinct #2,President,,LIB,Jo Jorgensen,14,2,7,5
Pecos,Precinct #2,President,,GRN,Howie Hawkins,6,1,5,0
Pecos,Precinct #2,President,,,Write-In,2,0,2,0
Pecos,Precinct #2,President,,,Overvotes,1,1,0,0
Pecos,Precinct #2,President,,,Undervotes,7,1,5,1
Pecos,Precinct #2,U.S. Senate,,REP,John Cornyn,673,41,517,115
Pecos,Precinct #2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",400,68,281,51
Pecos,Precinct #2,U.S. Senate,,LIB,Kerry Douglas McKennon,13,0,10,3
Pecos,Precinct #2,U.S. Senate,,GRN,David B. Collins,8,0,7,1
Pecos,Precinct #2,U.S. Senate,,,Write-In,0,0,0,0
Pecos,Precinct #2,U.S. Senate,,,Overvotes,0,0,0,0
Pecos,Precinct #2,U.S. Senate,,,Undervotes,37,3,28,6
Pecos,Precinct #2,U.S. House,23,REP,Tony Gonzales,631,35,492,104
Pecos,Precinct #2,U.S. House,23,DEM,Gina Ortiz Jones,453,71,320,62
Pecos,Precinct #2,U.S. House,23,LIB,Beto Villela,27,2,18,7
Pecos,Precinct #2,U.S. House,23,,Overvotes,0,0,0,0
Pecos,Precinct #2,U.S. House,23,,Undervotes,20,4,13,3
Pecos,Precinct #2,Railroad Commissioner,,REP,"James ""Jim""Wright",627,30,486,111
Pecos,Precinct #2,Railroad Commissioner,,DEM,Chrysta Castaneda,425,72,303,50
Pecos,Precinct #2,Railroad Commissioner,,LIB,Matt Sterett,18,0,13,5
Pecos,Precinct #2,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",9,1,7,1
Pecos,Precinct #2,Railroad Commissioner,,,Overvotes,0,0,0,0
Pecos,Precinct #2,Railroad Commissioner,,,Undervotes,52,9,34,9
Pecos,Precinct #2,State Senate,19,REP,"Peter P. ""Pete""Flores",667,37,516,114
Pecos,Precinct #2,State Senate,19,DEM,Roland Gutierrez,410,68,292,50
