county,precinct,office,district,party,candidate,votes,early_voting,mail,election_day
Shelby,1N,Registered Voters,,,,1389,,,
Shelby,1S,Registered Voters,,,,1817,,,
Shelby,1SE,Registered Voters,,,,1702,,,
Shelby,1SW,Registered Voters,,,,1326,,,
Shelby,1W,Registered Voters,,,,450,,,
Shelby,2,Registered Voters,,,,825,,,
Shelby,3,Registered Voters,,,,289,,,
Shelby,4,Registered Voters,,,,804,,,
Shelby,5,Registered Voters,,,,2194,,,
Shelby,6,Registered Voters,,,,557,,,
Shelby,7,Registered Voters,,,,817,,,
Shelby,8,Registered Voters,,,,1202,,,
Shelby,9N,Registered Voters,,,,1195,,,
Shelby,9S,Registered Voters,,,,1018,,,
Shelby,1N,Ballots Cast,,,,927,706,57,164
Shelby,1S,Ballots Cast,,,,1183,893,92,198
Shelby,1SE,Ballots Cast,,,,867,643,85,139
Shelby,1SW,Ballots Cast,,,,926,716,63,147
Shelby,1W,Ballots Cast,,,,299,221,12,66
Shelby,2,Ballots Cast,,,,560,298,29,233
Shelby,3,Ballots Cast,,,,232,124,12,96
Shelby,4,Ballots Cast,,,,556,255,45,256
Shelby,5,Ballots Cast,,,,1432,799,102,531
Shelby,6,Ballots Cast,,,,418,237,41,140
Shelby,7,Ballots Cast,,,,592,360,42,190
Shelby,8,Ballots Cast,,,,727,379,49,299
Shelby,9N,Ballots Cast,,,,755,327,46,382
Shelby,9S,Ballots Cast,,,,654,338,38,278
Shelby,1N,President,,REP,Donald J. Trump,762,591,38,133
Shelby,1S,President,,REP,Donald J. Trump,929,712,61,156
Shelby,1SE,President,,REP,Donald J. Trump,352,280,27,45
Shelby,1SW,President,,REP,Donald J. Trump,797,627,45,125
Shelby,1W,President,,REP,Donald J. Trump,247,177,11,59
Shelby,2,President,,REP,Donald J. Trump,501,257,22,222
Shelby,3,President,,REP,Donald J. Trump,216,117,8,91
Shelby,4,President,,REP,Donald J. Trump,454,206,29,219
Shelby,5,President,,REP,Donald J. Trump,1304,742,72,490
Shelby,6,President,,REP,Donald J. Trump,353,198,23,132
Shelby,7,President,,REP,Donald J. Trump,428,252,24,152
Shelby,8,President,,REP,Donald J. Trump,490,271,25,194
Shelby,9N,President,,REP,Donald J. Trump,598,256,24,318
Shelby,9S,President,,REP,Donald J. Trump,544,284,22,238
Shelby,1N,President,,DEM,Joseph R. Biden,155,111,18,26
Shelby,1S,President,,DEM,Joseph R. Biden,241,172,28,41
Shelby,1SE,President,,DEM,Joseph R. Biden,510,360,57,93
Shelby,1SW,President,,DEM,Joseph R. Biden,121,86,17,18
Shelby,1W,President,,DEM,Joseph R. Biden,51,44,1,6
Shelby,2,President,,DEM,Joseph R. Biden,54,38,7,9
Shelby,3,President,,DEM,Joseph R. Biden,12,5,3,4
Shelby,4,President,,DEM,Joseph R. Biden,101,48,16,37
Shelby,5,President,,DEM,Joseph R. Biden,118,54,27,37
Shelby,6,President,,DEM,Joseph R. Biden,62,38,17,7
Shelby,7,President,,DEM,Joseph R. Biden,157,107,18,32
Shelby,8,President,,DEM,Joseph R. Biden,233,106,24,103
Shelby,9N,President,,DEM,Joseph R. Biden,150,67,22,61
Shelby,9S,President,,DEM,Joseph R. Biden,103,51,15,37
Shelby,1N,President,,LBT,Jo Jorgensen,6,3,0,3
Shelby,1S,President,,LBT,Jo Jorgensen,6,5,1,0
Shelby,1SE,President,,LBT,Jo Jorgensen,3,2,0,1
Shelby,1SW,President,,LBT,Jo Jorgensen,3,2,0,1
Shelby,1W,President,,LBT,Jo Jorgensen,0,0,0,0
Shelby,2,President,,LBT,Jo Jorgensen,3,2,0,1
Shelby,3,President,,LBT,Jo Jorgensen,1,0,0,1
Shelby,4,President,,LBT,Jo Jorgensen,0,0,0,0
Shelby,5,President,,LBT,Jo Jorgensen,2,0,0,2
Shelby,6,President,,LBT,Jo Jorgensen,3,1,1,1
Shelby,7,President,,LBT,Jo Jorgensen,1,0,0,1
Shelby,8,President,,LBT,Jo Jorgensen,2,1,0,1
Shelby,9N,President,,LBT,Jo Jorgensen,3,3,0,0
Shelby,9S,President,,LBT,Jo Jorgensen,4,2,0,2
Shelby,1N,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,1S,President,,GRE,Howie Hawkins,2,0,1,1
Shelby,1SE,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,1SW,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,1W,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,2,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,3,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,4,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,5,President,,GRE,Howie Hawkins,1,1,0,0
Shelby,6,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,7,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,8,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,9N,President,,GRE,Howie Hawkins,0,0,0,0
Shelby,9S,President,,GRE,Howie Hawkins,1,0,0,1
Shelby,1N,U.S. Senate,,REP,John Cornyn,756,591,37,128
Shelby,1S,U.S. Senate,,REP,John Cornyn,922,708,60,154
Shelby,1SE,U.S. Senate,,REP,John Cornyn,361,283,30,48
Shelby,1SW,U.S. Senate,,REP,John Cornyn,793,626,46,121
Shelby,1W,U.S. Senate,,REP,John Cornyn,243,177,11,55
Shelby,2,U.S. Senate,,REP,John Cornyn,496,257,21,218
Shelby,3,U.S. Senate,,REP,John Cornyn,214,120,8,86
Shelby,4,U.S. Senate,,REP,John Cornyn,442,201,29,212
Shelby,5,U.S. Senate,,REP,John Cornyn,1277,731,73,473
Shelby,6,U.S. Senate,,REP,John Cornyn,346,195,22,129
Shelby,7,U.S. Senate,,REP,John Cornyn,423,252,23,148
Shelby,8,U.S. Senate,,REP,John Cornyn,480,265,28,187
Shelby,9N,U.S. Senate,,REP,John Cornyn,587,249,25,313
Shelby,9S,U.S. Senate,,REP,John Cornyn,528,270,22,236
Shelby,1N,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",151,104,18,29
Shelby,1S,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",229,165,27,37
Shelby,1SE,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",484,342,54,88
Shelby,1SW,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",120,81,15,24
Shelby,1W,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",46,38,1,7
Shelby,2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",59,39,6,14
Shelby,3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",12,4,3,5
Shelby,4,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",104,49,16,39
Shelby,5,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",130,57,27,46
Shelby,6,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",63,36,17,10
Shelby,7,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",151,100,18,33
Shelby,8,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",226,105,20,101
Shelby,9N,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",145,67,20,58
Shelby,9S,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",102,53,15,34
Shelby,1N,U.S. Senate,,LBT,Kerry Douglas McKennon,5,2,0,3
Shelby,1S,U.S. Senate,,LBT,Kerry Douglas McKennon,9,4,2,3
Shelby,1SE,U.S. Senate,,LBT,Kerry Douglas McKennon,6,6,0,0
Shelby,1SW,U.S. Senate,,LBT,Kerry Douglas McKennon,4,2,1,1
Shelby,1W,U.S. Senate,,LBT,Kerry Douglas McKennon,5,2,0,3
Shelby,2,U.S. Senate,,LBT,Kerry Douglas McKennon,5,2,2,1
Shelby,3,U.S. Senate,,LBT,Kerry Douglas McKennon,1,0,0,1
Shelby,4,U.S. Senate,,LBT,Kerry Douglas McKennon,3,1,0,2
Shelby,5,U.S. Senate,,LBT,Kerry Douglas McKennon,6,2,0,4
Shelby,6,U.S. Senate,,LBT,Kerry Douglas McKennon,5,4,1,0
Shelby,7,U.S. Senate,,LBT,Kerry Douglas McKennon,2,1,0,1
Shelby,8,U.S. Senate,,LBT,Kerry Douglas McKennon,8,4,0,4
Shelby,9N,U.S. Senate,,LBT,Kerry Douglas McKennon,3,2,0,1
Shelby,9S,U.S. Senate,,LBT,Kerry Douglas McKennon,13,9,1,3
Shelby,1N,U.S. Senate,,GRE,David B. Collins,2,2,0,0
Shelby,1S,U.S. Senate,,GRE,David B. Collins,4,2,1,1
Shelby,1SE,U.S. Senate,,GRE,David B. Collins,2,1,0,1
Shelby,1SW,U.S. Senate,,GRE,David B. Collins,0,0,0,0
Shelby,1W,U.S. Senate,,GRE,David B. Collins,2,1,0,1
Shelby,2,U.S. Senate,,GRE,David B. Collins,0,0,0,0
Shelby,3,U.S. Senate,,GRE,David B. Collins,0,0,0,0
Shelby,4,U.S. Senate,,GRE,David B. Collins,1,1,0,0
Shelby,5,U.S. Senate,,GRE,David B. Collins,4,1,0,3
Shelby,6,U.S. Senate,,GRE,David B. Collins,0,0,0,0
Shelby,7,U.S. Senate,,GRE,David B. Collins,0,0,0,0
Shelby,8,U.S. Senate,,GRE,David B. Collins,5,1,1,3
Shelby,9N,U.S. Senate,,GRE,David B. Collins,6,3,0,3
Shelby,9S,U.S. Senate,,GRE,David B. Collins,1,1,0,0
Shelby,1N,U.S. House,1,REP,Louie Gohmert,767,595,38,134
Shelby,1S,U.S. House,1,REP,Louie Gohmert,938,716,64,158
Shelby,1SE,U.S. House,1,REP,Louie Gohmert,323,248,29,46
Shelby,1SW,U.S. House,1,REP,Louie Gohmert,788,622,44,122
Shelby,1W,U.S. House,1,REP,Louie Gohmert,248,179,11,58
Shelby,2,U.S. House,1,REP,Louie Gohmert,501,258,22,221
Shelby,3,U.S. House,1,REP,Louie Gohmert,215,119,8,88
Shelby,4,U.S. House,1,REP,Louie Gohmert,447,202,29,216
Shelby,5,U.S. House,1,REP,Louie Gohmert,1296,736,73,487
Shelby,6,U.S. House,1,REP,Louie Gohmert,350,195,24,131
Shelby,7,U.S. House,1,REP,Louie Gohmert,430,255,22,153
Shelby,8,U.S. House,1,REP,Louie Gohmert,503,273,29,201
Shelby,9N,U.S. House,1,REP,Louie Gohmert,598,258,24,316
Shelby,9S,U.S. House,1,REP,Louie Gohmert,538,277,25,236
Shelby,1N,U.S. House,1,DEM,Hank Gilbert,142,101,18,23
Shelby,1S,U.S. House,1,DEM,Hank Gilbert,225,162,26,37
Shelby,1SE,U.S. House,1,DEM,Hank Gilbert,490,345,55,90
Shelby,1SW,U.S. House,1,DEM,Hank Gilbert,128,86,18,24
Shelby,1W,U.S. House,1,DEM,Hank Gilbert,48,39,1,8
Shelby,2,U.S. House,1,DEM,Hank Gilbert,59,40,7,12
Shelby,3,U.S. House,1,DEM,Hank Gilbert,12,5,3,4
Shelby,4,U.S. House,1,DEM,Hank Gilbert,103,50,16,37
Shelby,5,U.S. House,1,DEM,Hank Gilbert,119,52,27,40
Shelby,6,U.S. House,1,DEM,Hank Gilbert,62,39,15,8
Shelby,7,U.S. House,1,DEM,Hank Gilbert,146,98,19,29
Shelby,8,U.S. House,1,DEM,Hank Gilbert,217,103,19,95
Shelby,9N,U.S. House,1,DEM,Hank Gilbert,141,62,21,58
Shelby,9S,U.S. House,1,DEM,Hank Gilbert,99,53,13,33
Shelby,1N,Railroad Commissioner,,REP,"James ""Jim"" Wright",754,584,38,132
Shelby,1S,Railroad Commissioner,,REP,"James ""Jim"" Wright",930,715,58,157
Shelby,1SE,Railroad Commissioner,,REP,"James ""Jim"" Wright",362,283,28,51
Shelby,1SW,Railroad Commissioner,,REP,"James ""Jim"" Wright",796,626,46,124
Shelby,1W,Railroad Commissioner,,REP,"James ""Jim"" Wright",246,178,11,57
Shelby,2,Railroad Commissioner,,REP,"James ""Jim"" Wright",506,263,23,220
Shelby,3,Railroad Commissioner,,REP,"James ""Jim"" Wright",216,120,8,88
Shelby,4,Railroad Commissioner,,REP,"James ""Jim"" Wright",445,203,29,213
Shelby,5,Railroad Commissioner,,REP,"James ""Jim"" Wright",1290,737,71,482
Shelby,6,Railroad Commissioner,,REP,"James ""Jim"" Wright",345,197,22,126
Shelby,7,Railroad Commissioner,,REP,"James ""Jim"" Wright",425,250,23,152
Shelby,8,Railroad Commissioner,,REP,"James ""Jim"" Wright",494,266,26,202
Shelby,9N,Railroad Commissioner,,REP,"James ""Jim"" Wright",591,255,24,312
Shelby,9S,Railroad Commissioner,,REP,"James ""Jim"" Wright",521,271,17,233
Shelby,1N,Railroad Commissioner,,DEM,Chrysta Castaneda,142,103,18,21
Shelby,1S,Railroad Commissioner,,DEM,Chrysta Castaneda,208,152,22,34
Shelby,1SE,Railroad Commissioner,,DEM,Chrysta Castaneda,476,338,55,83
Shelby,1SW,Railroad Commissioner,,DEM,Chrysta Castaneda,110,75,14,21
Shelby,1W,Railroad Commissioner,,DEM,Chrysta Castaneda,43,37,1,5
Shelby,2,Railroad Commissioner,,DEM,Chrysta Castaneda,46,31,6,9
Shelby,3,Railroad Commissioner,,DEM,Chrysta Castaneda,10,3,3,4
Shelby,4,Railroad Commissioner,,DEM,Chrysta Castaneda,100,49,16,35
Shelby,5,Railroad Commissioner,,DEM,Chrysta Castaneda,107,50,26,31
Shelby,6,Railroad Commissioner,,DEM,Chrysta Castaneda,61,37,17,7
Shelby,7,Railroad Commissioner,,DEM,Chrysta Castaneda,144,97,16,31
Shelby,8,Railroad Commissioner,,DEM,Chrysta Castaneda,218,107,21,90
Shelby,9N,Railroad Commissioner,,DEM,Chrysta Castaneda,133,59,21,53
Shelby,9S,Railroad Commissioner,,DEM,Chrysta Castaneda,91,45,16,30
Shelby,1N,Railroad Commissioner,,LBT,Matt Sterett,7,4,0,3
Shelby,1S,Railroad Commissioner,,LBT,Matt Sterett,9,6,3,0
Shelby,1SE,Railroad Commissioner,,LBT,Matt Sterett,9,7,0,2
Shelby,1SW,Railroad Commissioner,,LBT,Matt Sterett,5,3,1,1
Shelby,1W,Railroad Commissioner,,LBT,Matt Sterett,4,2,0,2
Shelby,2,Railroad Commissioner,,LBT,Matt Sterett,3,2,0,1
Shelby,3,Railroad Commissioner,,LBT,Matt Sterett,2,1,0,1
Shelby,4,Railroad Commissioner,,LBT,Matt Sterett,3,1,0,2
Shelby,5,Railroad Commissioner,,LBT,Matt Sterett,14,3,3,8
Shelby,6,Railroad Commissioner,,LBT,Matt Sterett,5,2,0,3
Shelby,7,Railroad Commissioner,,LBT,Matt Sterett,2,1,1,0
Shelby,8,Railroad Commissioner,,LBT,Matt Sterett,5,3,0,2
