county,precinct,office,district,candidate,party,votes,election_day,early_voting,absentee
Andrews,Precinct 1,Registered Voters,,,,0,,,
Andrews,Precinct 1,Ballots Cast,,,,627,245,376,6
Andrews,Precinct 1,Ballots Cast,,,REP,572,213,355,4
Andrews,Precinct 1,Ballots Cast,,,DEM,55,32,21,2
Andrews,Precinct 1,Ballots Cast Blank,,,,3,0,3,0
Andrews,Precinct 1,President,,Joe Walsh,REP,5,1,4,0
Andrews,Precinct 1,President,,Bill Weld,REP,1,1,0,0
Andrews,Precinct 1,President,,Matthew John Matern,REP,2,1,1,0
Andrews,Precinct 1,President,,Donald J. Trump,REP,528,198,326,4
Andrews,Precinct 1,President,,Zoltan G. Istvan,REP,0,0,0,0
Andrews,Precinct 1,President,,Bob Ely,REP,0,0,0,0
Andrews,Precinct 1,President,,Roque Rocky De La Fuente Guerra,REP,7,4,3,0
Andrews,Precinct 1,President,,Uncommitted,REP,22,6,16,0
Andrews,Precinct 1,U.S. Senate,,John Anthony Castro,REP,68,33,35,0
Andrews,Precinct 1,U.S. Senate,,Dwayne Stovall,REP,89,37,50,2
Andrews,Precinct 1,U.S. Senate,,John Cornyn,REP,343,118,224,1
Andrews,Precinct 1,U.S. Senate,,Virgil Bierschwale,REP,10,6,4,0
Andrews,Precinct 1,U.S. Senate,,Mark Yancey,REP,40,14,25,1
Andrews,Precinct 1,U.S. House,11,J. D. Faircloth,REP,28,8,20,0
Andrews,Precinct 1,U.S. House,11,Jamie Berryhill,REP,58,20,38,0
Andrews,Precinct 1,U.S. House,11,August Pfluger,REP,227,88,136,3
Andrews,Precinct 1,U.S. House,11,Brandon Batch,REP,48,24,23,1
Andrews,Precinct 1,U.S. House,11,Gene Barber,REP,7,3,4,0
Andrews,Precinct 1,U.S. House,11,Robert Tucker,REP,31,12,19,0
Andrews,Precinct 1,U.S. House,11,J. Ross Lacy,REP,59,21,38,0
Andrews,Precinct 1,U.S. House,11,Casey Gray,REP,75,27,48,0
Andrews,Precinct 1,U.S. House,11,Wesley W. Virdell,REP,4,2,2,0
Andrews,Precinct 1,U.S. House,11,Ned Luscombe,REP,14,4,10,0
Andrews,Precinct 1,Railroad Commissioner,,"James ""Jim"" Wright",REP,436,175,258,3
Andrews,Precinct 1,Railroad Commissioner,,Ryan Sitton,REP,114,36,78,0
Andrews,Precinct 1,State Representative,81,Brooks Landgraf,REP,543,209,330,4
Andrews,Precinct 1,President,,John K. Delaney,DEM,0,0,0,0
Andrews,Precinct 1,President,,Amy Klobuchar,DEM,0,0,0,0
Andrews,Precinct 1,President,,Tom Steyer,DEM,0,0,0,0
Andrews,Precinct 1,President,,Bernie Sanders,DEM,19,8,11,0
Andrews,Precinct 1,President,,Deval Patrick,DEM,0,0,0,0
Andrews,Precinct 1,President,,Robby Wells,DEM,0,0,0,0
Andrews,Precinct 1,President,,Julian Castro,DEM,1,1,0,0
Andrews,Precinct 1,President,,Michael Bennet,DEM,0,0,0,0
Andrews,Precinct 1,President,,Cory Booker,DEM,0,0,0,0
Andrews,Precinct 1,President,,Joseph R. Biden,DEM,23,17,4,2
Andrews,Precinct 1,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Andrews,Precinct 1,President,,Michael R. Bloomberg,DEM,5,3,2,0
Andrews,Precinct 1,President,,Marianne Williamson,DEM,0,0,0,0
Andrews,Precinct 1,President,,Pete Buttigieg,DEM,1,0,1,0
Andrews,Precinct 1,President,,Andrew Yang,DEM,0,0,0,0
Andrews,Precinct 1,President,,Elizabeth Warren,DEM,6,3,3,0
Andrews,Precinct 1,President,,Tulsi Gabbard,DEM,0,0,0,0
Andrews,Precinct 1,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,18,9,9,0
Andrews,Precinct 1,U.S. Senate,,Amanda K. Edwards,DEM,4,2,2,0
Andrews,Precinct 1,U.S. Senate,,D. R. Hunter,DEM,2,1,1,0
Andrews,Precinct 1,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,5,3,0,2
Andrews,Precinct 1,U.S. Senate,,Sema Hernandez,DEM,8,6,2,0
Andrews,Precinct 1,U.S. Senate,,Michael Cooper,DEM,3,1,2,0
Andrews,Precinct 1,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,2,1,1,0
Andrews,Precinct 1,U.S. Senate,,Adrian Ocegueda,DEM,1,1,0,0
Andrews,Precinct 1,U.S. Senate,,Chris Bell,DEM,3,0,3,0
Andrews,Precinct 1,U.S. Senate,,Victor Hugo Harris,DEM,2,2,0,0
Andrews,Precinct 1,U.S. Senate,,Royce West,DEM,2,1,1,0
Andrews,Precinct 1,U.S. Senate,,Mary (MJ) Hegar,DEM,2,2,0,0
Andrews,Precinct 1,U.S. House,11,Jon Mark Hogg,DEM,45,23,20,2
Andrews,Precinct 1,Railroad Commissioner,,Chrysta Castaneda,DEM,19,12,7,0
Andrews,Precinct 1,Railroad Commissioner,,Mark Watson,DEM,8,5,3,0
Andrews,Precinct 1,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,21,12,7,2
Andrews,Precinct 1,Railroad Commissioner,,Kelly Stone,DEM,5,1,4,0
Andrews,Precinct 2,Registered Voters,,,,0,,,
Andrews,Precinct 2,Ballots Cast,,,,961,390,561,10
Andrews,Precinct 2,Ballots Cast,,,REP,900,354,537,9
Andrews,Precinct 2,Ballots Cast,,,DEM,61,36,24,1
Andrews,Precinct 2,Ballots Cast Blank,,,,1,0,1,0
Andrews,Precinct 2,President,,Joe Walsh,REP,5,4,1,0
Andrews,Precinct 2,President,,Bill Weld,REP,5,0,5,0
Andrews,Precinct 2,President,,Matthew John Matern,REP,2,2,0,0
Andrews,Precinct 2,President,,Donald J. Trump,REP,843,328,507,8
Andrews,Precinct 2,President,,Zoltan G. Istvan,REP,0,0,0,0
Andrews,Precinct 2,President,,Bob Ely,REP,2,1,1,0
Andrews,Precinct 2,President,,Roque Rocky De La Fuente Guerra,REP,5,4,1,0
Andrews,Precinct 2,President,,Uncommitted,REP,30,13,16,1
Andrews,Precinct 2,U.S. Senate,,John Anthony Castro,REP,80,45,35,0
Andrews,Precinct 2,U.S. Senate,,Dwayne Stovall,REP,95,48,47,0
Andrews,Precinct 2,U.S. Senate,,John Cornyn,REP,635,218,410,7
Andrews,Precinct 2,U.S. Senate,,Virgil Bierschwale,REP,8,3,5,0
Andrews,Precinct 2,U.S. Senate,,Mark Yancey,REP,53,26,26,1
Andrews,Precinct 2,U.S. House,11,J. D. Faircloth,REP,30,12,17,1
Andrews,Precinct 2,U.S. House,11,Jamie Berryhill,REP,116,47,69,0
Andrews,Precinct 2,U.S. House,11,August Pfluger,REP,371,147,221,3
Andrews,Precinct 2,U.S. House,11,Brandon Batch,REP,94,47,44,3
Andrews,Precinct 2,U.S. House,11,Gene Barber,REP,17,8,9,0
Andrews,Precinct 2,U.S. House,11,Robert Tucker,REP,23,8,15,0
Andrews,Precinct 2,U.S. House,11,J. Ross Lacy,REP,71,20,51,0
Andrews,Precinct 2,U.S. House,11,Casey Gray,REP,62,22,40,0
Andrews,Precinct 2,U.S. House,11,Wesley W. Virdell,REP,9,3,6,0
Andrews,Precinct 2,U.S. House,11,Ned Luscombe,REP,88,31,55,2
Andrews,Precinct 2,Railroad Commissioner,,"James ""Jim"" Wright",REP,643,259,377,7
Andrews,Precinct 2,Railroad Commissioner,,Ryan Sitton,REP,207,71,134,2
Andrews,Precinct 2,State Representative,81,Brooks Landgraf,REP,873,346,518,9
Andrews,Precinct 2,President,,John K. Delaney,DEM,0,0,0,0
Andrews,Precinct 2,President,,Amy Klobuchar,DEM,0,0,0,0
Andrews,Precinct 2,President,,Tom Steyer,DEM,0,0,0,0
Andrews,Precinct 2,President,,Bernie Sanders,DEM,21,13,7,1
Andrews,Precinct 2,President,,Deval Patrick,DEM,0,0,0,0
Andrews,Precinct 2,President,,Robby Wells,DEM,0,0,0,0
Andrews,Precinct 2,President,,Julian Castro,DEM,0,0,0,0
Andrews,Precinct 2,President,,Michael Bennet,DEM,0,0,0,0
Andrews,Precinct 2,President,,Cory Booker,DEM,0,0,0,0
Andrews,Precinct 2,President,,Joseph R. Biden,DEM,23,18,5,0
Andrews,Precinct 2,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Andrews,Precinct 2,President,,Michael R. Bloomberg,DEM,9,3,6,0
Andrews,Precinct 2,President,,Marianne Williamson,DEM,0,0,0,0
Andrews,Precinct 2,President,,Pete Buttigieg,DEM,2,0,2,0
Andrews,Precinct 2,President,,Andrew Yang,DEM,0,0,0,0
Andrews,Precinct 2,President,,Elizabeth Warren,DEM,6,2,4,0
Andrews,Precinct 2,President,,Tulsi Gabbard,DEM,0,0,0,0
Andrews,Precinct 2,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,15,8,6,1
Andrews,Precinct 2,U.S. Senate,,Amanda K. Edwards,DEM,5,3,2,0
Andrews,Precinct 2,U.S. Senate,,D. R. Hunter,DEM,3,0,3,0
Andrews,Precinct 2,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,7,5,2,0
Andrews,Precinct 2,U.S. Senate,,Sema Hernandez,DEM,9,7,2,0
Andrews,Precinct 2,U.S. Senate,,Michael Cooper,DEM,1,1,0,0
Andrews,Precinct 2,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,1,0,1,0
Andrews,Precinct 2,U.S. Senate,,Adrian Ocegueda,DEM,1,0,1,0
Andrews,Precinct 2,U.S. Senate,,Chris Bell,DEM,5,2,3,0
Andrews,Precinct 2,U.S. Senate,,Victor Hugo Harris,DEM,1,0,1,0
Andrews,Precinct 2,U.S. Senate,,Royce West,DEM,2,2,0,0
Andrews,Precinct 2,U.S. Senate,,Mary (MJ) Hegar,DEM,7,5,2,0
Andrews,Precinct 2,U.S. House,11,Jon Mark Hogg,DEM,54,32,21,1
Andrews,Precinct 2,Railroad Commissioner,,Chrysta Castaneda,DEM,20,15,5,0
Andrews,Precinct 2,Railroad Commissioner,,Mark Watson,DEM,16,7,9,0
Andrews,Precinct 2,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,11,9,2,0
Andrews,Precinct 2,Railroad Commissioner,,Kelly Stone,DEM,12,3,8,1
Andrews,Precinct 3,Registered Voters,,,,0,,,
Andrews,Precinct 3,Ballots Cast,,,,700,327,363,10
Andrews,Precinct 3,Ballots Cast,,,REP,634,283,345,6
Andrews,Precinct 3,Ballots Cast,,,DEM,66,44,18,4
Andrews,Precinct 3,Ballots Cast Blank,,,,2,2,0,0
Andrews,Precinct 3,President,,Joe Walsh,REP,7,4,3,0
Andrews,Precinct 3,President,,Bill Weld,REP,0,0,0,0
Andrews,Precinct 3,President,,Matthew John Matern,REP,1,1,0,0
Andrews,Precinct 3,President,,Donald J. Trump,REP,580,249,326,5
Andrews,Precinct 3,President,,Zoltan G. Istvan,REP,0,0,0,0
Andrews,Precinct 3,President,,Bob Ely,REP,0,0,0,0
Andrews,Precinct 3,President,,Roque Rocky De La Fuente Guerra,REP,12,10,2,0
Andrews,Precinct 3,President,,Uncommitted,REP,25,12,12,1
Andrews,Precinct 3,U.S. Senate,,John Anthony Castro,REP,59,38,21,0
Andrews,Precinct 3,U.S. Senate,,Dwayne Stovall,REP,74,45,29,0
Andrews,Precinct 3,U.S. Senate,,John Cornyn,REP,422,160,256,6
Andrews,Precinct 3,U.S. Senate,,Virgil Bierschwale,REP,11,5,6,0
Andrews,Precinct 3,U.S. Senate,,Mark Yancey,REP,47,21,26,0
Andrews,Precinct 3,U.S. House,11,J. D. Faircloth,REP,14,6,8,0
Andrews,Precinct 3,U.S. House,11,Jamie Berryhill,REP,77,36,41,0
Andrews,Precinct 3,U.S. House,11,August Pfluger,REP,294,124,166,4
Andrews,Precinct 3,U.S. House,11,Brandon Batch,REP,56,27,29,0
Andrews,Precinct 3,U.S. House,11,Gene Barber,REP,12,8,4,0
Andrews,Precinct 3,U.S. House,11,Robert Tucker,REP,22,11,11,0
Andrews,Precinct 3,U.S. House,11,J. Ross Lacy,REP,57,22,35,0
Andrews,Precinct 3,U.S. House,11,Casey Gray,REP,50,22,28,0
Andrews,Precinct 3,U.S. House,11,Wesley W. Virdell,REP,9,5,3,1
Andrews,Precinct 3,U.S. House,11,Ned Luscombe,REP,24,12,11,1
Andrews,Precinct 3,Railroad Commissioner,,"James ""Jim"" Wright",REP,445,199,243,3
Andrews,Precinct 3,Railroad Commissioner,,Ryan Sitton,REP,150,65,85,0
Andrews,Precinct 3,State Representative,81,Brooks Landgraf,REP,613,272,336,5
Andrews,Precinct 3,President,,John K. Delaney,DEM,0,0,0,0
Andrews,Precinct 3,President,,Amy Klobuchar,DEM,1,1,0,0
Andrews,Precinct 3,President,,Tom Steyer,DEM,2,0,2,0
Andrews,Precinct 3,President,,Bernie Sanders,DEM,23,17,6,0
Andrews,Precinct 3,President,,Deval Patrick,DEM,0,0,0,0
Andrews,Precinct 3,President,,Robby Wells,DEM,0,0,0,0
Andrews,Precinct 3,President,,Julian Castro,DEM,0,0,0,0
Andrews,Precinct 3,President,,Michael Bennet,DEM,0,0,0,0
Andrews,Precinct 3,President,,Cory Booker,DEM,1,0,0,1
Andrews,Precinct 3,President,,Joseph R. Biden,DEM,19,15,4,0
Andrews,Precinct 3,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Andrews,Precinct 3,President,,Michael R. Bloomberg,DEM,13,8,4,1
Andrews,Precinct 3,President,,Marianne Williamson,DEM,0,0,0,0
Andrews,Precinct 3,President,,Pete Buttigieg,DEM,0,0,0,0
Andrews,Precinct 3,President,,Andrew Yang,DEM,1,0,0,1
Andrews,Precinct 3,President,,Elizabeth Warren,DEM,4,3,1,0
Andrews,Precinct 3,President,,Tulsi Gabbard,DEM,0,0,0,0
Andrews,Precinct 3,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,9,8,1,0
Andrews,Precinct 3,U.S. Senate,,Amanda K. Edwards,DEM,10,7,2,1
Andrews,Precinct 3,U.S. Senate,,D. R. Hunter,DEM,4,1,3,0
Andrews,Precinct 3,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,9,7,2,0
Andrews,Precinct 3,U.S. Senate,,Sema Hernandez,DEM,8,6,2,0
Andrews,Precinct 3,U.S. Senate,,Michael Cooper,DEM,4,2,2,0
Andrews,Precinct 3,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,3,2,0,1
Andrews,Precinct 3,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0
Andrews,Precinct 3,U.S. Senate,,Chris Bell,DEM,5,1,3,1
Andrews,Precinct 3,U.S. Senate,,Victor Hugo Harris,DEM,1,1,0,0
Andrews,Precinct 3,U.S. Senate,,Royce West,DEM,3,2,1,0
Andrews,Precinct 3,U.S. Senate,,Mary (MJ) Hegar,DEM,7,5,1,1
Andrews,Precinct 3,U.S. House,11,Jon Mark Hogg,DEM,62,41,17,4
Andrews,Precinct 3,Railroad Commissioner,,Chrysta Castaneda,DEM,22,15,6,1
Andrews,Precinct 3,Railroad Commissioner,,Mark Watson,DEM,12,5,5,2
Andrews,Precinct 3,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,20,17,3,0
Andrews,Precinct 3,Railroad Commissioner,,Kelly Stone,DEM,10,5,4,1
Andrews,Precinct 4,Registered Voters,,,,0,,,
Andrews,Precinct 4,Ballots Cast,,,,418,203,207,8
Andrews,Precinct 4,Ballots Cast,,,REP,366,166,195,5
Andrews,Precinct 4,Ballots Cast,,,DEM,52,37,12,3
Andrews,Precinct 4,Ballots Cast Blank,,,,5,1,4,0
Andrews,Precinct 4,President,,Joe Walsh,REP,5,1,4,0
Andrews,Precinct 4,President,,Bill Weld,REP,3,1,2,0
Andrews,Precinct 4,President,,Matthew John Matern,REP,1,1,0,0
Andrews,Precinct 4,President,,Donald J. Trump,REP,330,152,173,5
Andrews,Precinct 4,President,,Zoltan G. Istvan,REP,0,0,0,0
Andrews,Precinct 4,President,,Bob Ely,REP,0,0,0,0
Andrews,Precinct 4,President,,Roque Rocky De La Fuente Guerra,REP,4,4,0,0
Andrews,Precinct 4,President,,Uncommitted,REP,17,6,11,0
Andrews,Precinct 4,U.S. Senate,,John Anthony Castro,REP,40,26,14,0
Andrews,Precinct 4,U.S. Senate,,Dwayne Stovall,REP,48,19,29,0
Andrews,Precinct 4,U.S. Senate,,John Cornyn,REP,236,99,134,3
Andrews,Precinct 4,U.S. Senate,,Virgil Bierschwale,REP,2,0,2,0
Andrews,Precinct 4,U.S. Senate,,Mark Yancey,REP,18,12,6,0
Andrews,Precinct 4,U.S. House,11,J. D. Faircloth,REP,14,7,7,0
Andrews,Precinct 4,U.S. House,11,Jamie Berryhill,REP,34,17,16,1
Andrews,Precinct 4,U.S. House,11,August Pfluger,REP,159,67,90,2
Andrews,Precinct 4,U.S. House,11,Brandon Batch,REP,30,16,14,0
Andrews,Precinct 4,U.S. House,11,Gene Barber,REP,6,3,3,0
Andrews,Precinct 4,U.S. House,11,Robert Tucker,REP,13,9,4,0
Andrews,Precinct 4,U.S. House,11,J. Ross Lacy,REP,41,13,28,0
Andrews,Precinct 4,U.S. House,11,Casey Gray,REP,23,16,7,0
Andrews,Precinct 4,U.S. House,11,Wesley W. Virdell,REP,6,3,3,0
Andrews,Precinct 4,U.S. House,11,Ned Luscombe,REP,17,7,10,0
Andrews,Precinct 4,Railroad Commissioner,,"James ""Jim"" Wright",REP,264,122,140,2
Andrews,Precinct 4,Railroad Commissioner,,Ryan Sitton,REP,68,32,35,1
Andrews,Precinct 4,State Representative,81,Brooks Landgraf,REP,351,162,186,3
Andrews,Precinct 4,President,,John K. Delaney,DEM,0,0,0,0
Andrews,Precinct 4,President,,Amy Klobuchar,DEM,1,0,0,1
Andrews,Precinct 4,President,,Tom Steyer,DEM,0,0,0,0
Andrews,Precinct 4,President,,Bernie Sanders,DEM,21,14,6,1
Andrews,Precinct 4,President,,Deval Patrick,DEM,0,0,0,0
Andrews,Precinct 4,President,,Robby Wells,DEM,0,0,0,0
Andrews,Precinct 4,President,,Julian Castro,DEM,1,1,0,0
Andrews,Precinct 4,President,,Michael Bennet,DEM,0,0,0,0
Andrews,Precinct 4,President,,Cory Booker,DEM,0,0,0,0
Andrews,Precinct 4,President,,Joseph R. Biden,DEM,16,13,2,1
Andrews,Precinct 4,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Andrews,Precinct 4,President,,Michael R. Bloomberg,DEM,6,5,1,0
Andrews,Precinct 4,President,,Marianne Williamson,DEM,0,0,0,0
Andrews,Precinct 4,President,,Pete Buttigieg,DEM,0,0,0,0
Andrews,Precinct 4,President,,Andrew Yang,DEM,0,0,0,0
Andrews,Precinct 4,President,,Elizabeth Warren,DEM,6,3,3,0
Andrews,Precinct 4,President,,Tulsi Gabbard,DEM,0,0,0,0
Andrews,Precinct 4,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,16,13,2,1
Andrews,Precinct 4,U.S. Senate,,Amanda K. Edwards,DEM,6,4,2,0
Andrews,Precinct 4,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Andrews,Precinct 4,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,6,6,0,0
Andrews,Precinct 4,U.S. Senate,,Sema Hernandez,DEM,6,4,2,0
Andrews,Precinct 4,U.S. Senate,,Michael Cooper,DEM,1,0,1,0
Andrews,Precinct 4,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,1,0,0,1
Andrews,Precinct 4,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0
Andrews,Precinct 4,U.S. Senate,,Chris Bell,DEM,0,0,0,0
Andrews,Precinct 4,U.S. Senate,,Victor Hugo Harris,DEM,2,2,0,0
Andrews,Precinct 4,U.S. Senate,,Royce West,DEM,1,0,1,0
Andrews,Precinct 4,U.S. Senate,,Mary (MJ) Hegar,DEM,9,5,3,1
Andrews,Precinct 4,U.S. House,11,Jon Mark Hogg,DEM,48,33,12,3
Andrews,Precinct 4,Railroad Commissioner,,Chrysta Castaneda,DEM,22,16,5,1
Andrews,Precinct 4,Railroad Commissioner,,Mark Watson,DEM,2,0,2,0
Andrews,Precinct 4,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,23,18,3,2
Andrews,Precinct 4,Railroad Commissioner,,Kelly Stone,DEM,2,1,1,0
