county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Houston,1,Ballots Cast,,,,,,,772
Houston,2,Ballots Cast,,,,,,,995
Houston,3,Ballots Cast,,,,,,,877
Houston,4,Ballots Cast,,,,,,,1273
Houston,5,Ballots Cast,,,,,,,964
Houston,6,Ballots Cast,,,,,,,798
Houston,7,Ballots Cast,,,,,,,654
Houston,8,Ballots Cast,,,,,,,292
Houston,9,Ballots Cast,,,,,,,369
Houston,10,Ballots Cast,,,,,,,221
Houston,11,Ballots Cast,,,,,,,109
Houston,12,Ballots Cast,,,,,,,109
Houston,14,Ballots Cast,,,,,,,193
Houston,15,Ballots Cast,,,,,,,201
Houston,16,Ballots Cast,,,,,,,228
Houston,17,Ballots Cast,,,,,,,231
Houston,18,Ballots Cast,,,,,,,134
Houston,19,Ballots Cast,,,,,,,491
Houston,20,Ballots Cast,,,,,,,169
Houston,21,Ballots Cast,,,,,,,273
Houston,22,Ballots Cast,,,,,,,205
Houston,1,President,,Donald Trump,REP,46,350,73,469
Houston,2,President,,Donald Trump,REP,49,571,85,705
Houston,3,President,,Donald Trump,REP,25,269,30,324
Houston,4,President,,Donald Trump,REP,80,677,131,888
Houston,5,President,,Donald Trump,REP,43,621,169,833
Houston,6,President,,Donald Trump,REP,35,412,141,588
Houston,7,President,,Donald Trump,REP,15,396,162,573
Houston,8,President,,Donald Trump,REP,21,136,88,245
Houston,9,President,,Donald Trump,REP,18,201,122,341
Houston,10,President,,Donald Trump,REP,14,79,84,177
Houston,11,President,,Donald Trump,REP,5,67,21,93
Houston,12,President,,Donald Trump,REP,5,73,13,91
Houston,14,President,,Donald Trump,REP,6,109,53,168
Houston,15,President,,Donald Trump,REP,10,111,34,155
Houston,16,President,,Donald Trump,REP,11,157,36,204
Houston,17,President,,Donald Trump,REP,5,89,126,220
Houston,18,President,,Donald Trump,REP,6,39,45,90
Houston,19,President,,Donald Trump,REP,20,173,181,374
Houston,20,President,,Donald Trump,REP,11,61,82,154
Houston,21,President,,Donald Trump,REP,11,100,98,209
Houston,22,President,,Donald Trump,REP,12,69,78,159
Houston,1,President,,Joseph R. Biden,DEM,49,188,53,290
Houston,2,President,,Joseph R. Biden,DEM,42,191,43,276
Houston,3,President,,Joseph R. Biden,DEM,94,321,113,528
Houston,4,President,,Joseph R. Biden,DEM,51,250,54,355
Houston,5,President,,Joseph R. Biden,DEM,26,73,26,125
Houston,6,President,,Joseph R. Biden,DEM,37,117,36,190
Houston,7,President,,Joseph R. Biden,DEM,12,42,13,67
Houston,8,President,,Joseph R. Biden,DEM,15,24,5,44
Houston,9,President,,Joseph R. Biden,DEM,5,12,5,22
Houston,10,President,,Joseph R. Biden,DEM,2,27,10,39
Houston,11,President,,Joseph R. Biden,DEM,2,3,7,12
Houston,12,President,,Joseph R. Biden,DEM,1,13,1,15
Houston,14,President,,Joseph R. Biden,DEM,0,17,3,20
Houston,15,President,,Joseph R. Biden,DEM,18,15,9,42
Houston,16,President,,Joseph R. Biden,DEM,2,10,5,17
Houston,17,President,,Joseph R. Biden,DEM,2,8,1,11
Houston,18,President,,Joseph R. Biden,DEM,8,26,7,41
Houston,19,President,,Joseph R. Biden,DEM,19,56,31,106
Houston,20,President,,Joseph R. Biden,DEM,2,3,8,13
Houston,21,President,,Joseph R. Biden,DEM,11,24,23,58
Houston,22,President,,Joseph R. Biden,DEM,10,20,13,43
Houston,1,President,,Jo Jorgensen,LBT,0,3,0,3
Houston,2,President,,Jo Jorgensen,LBT,0,3,1,4
Houston,3,President,,Jo Jorgensen,LBT,0,5,0,5
Houston,4,President,,Jo Jorgensen,LBT,0,6,5,11
Houston,5,President,,Jo Jorgensen,LBT,0,5,1,6
Houston,6,President,,Jo Jorgensen,LBT,0,6,3,9
Houston,7,President,,Jo Jorgensen,LBT,0,1,2,3
Houston,8,President,,Jo Jorgensen,LBT,0,1,1,2
Houston,9,President,,Jo Jorgensen,LBT,0,0,0,0
Houston,10,President,,Jo Jorgensen,LBT,0,0,0,0
Houston,11,President,,Jo Jorgensen,LBT,0,1,1,2
Houston,12,President,,Jo Jorgensen,LBT,0,0,0,0
Houston,14,President,,Jo Jorgensen,LBT,0,1,0,1
Houston,15,President,,Jo Jorgensen,LBT,0,1,1,2
Houston,16,President,,Jo Jorgensen,LBT,0,4,0,4
Houston,17,President,,Jo Jorgensen,LBT,0,0,1,1
Houston,18,President,,Jo Jorgensen,LBT,0,0,0,0
Houston,19,President,,Jo Jorgensen,LBT,0,0,1,1
Houston,20,President,,Jo Jorgensen,LBT,0,0,0,0
Houston,21,President,,Jo Jorgensen,LBT,0,1,0,1
Houston,22,President,,Jo Jorgensen,LBT,1,0,0,1
Houston,1,President,,Howie Hawkins,GRE,0,1,0,1
Houston,2,President,,Howie Hawkins,GRE,0,1,0,1
Houston,3,President,,Howie Hawkins,GRE,0,0,0,0
Houston,4,President,,Howie Hawkins,GRE,0,0,0,0
Houston,5,President,,Howie Hawkins,GRE,0,0,1,1
Houston,6,President,,Howie Hawkins,GRE,0,0,0,0
Houston,7,President,,Howie Hawkins,GRE,0,0,1,1
Houston,8,President,,Howie Hawkins,GRE,0,0,0,0
Houston,9,President,,Howie Hawkins,GRE,0,0,0,0
Houston,10,President,,Howie Hawkins,GRE,0,0,0,0
Houston,11,President,,Howie Hawkins,GRE,0,0,0,0
Houston,12,President,,Howie Hawkins,GRE,0,0,0,0
Houston,14,President,,Howie Hawkins,GRE,0,0,0,0
Houston,15,President,,Howie Hawkins,GRE,0,0,1,1
Houston,16,President,,Howie Hawkins,GRE,0,0,0,0
Houston,17,President,,Howie Hawkins,GRE,0,0,0,0
Houston,18,President,,Howie Hawkins,GRE,0,0,0,0
Houston,19,President,,Howie Hawkins,GRE,0,0,2,2
Houston,20,President,,Howie Hawkins,GRE,0,0,0,0
Houston,21,President,,Howie Hawkins,GRE,0,0,0,0
Houston,22,President,,Howie Hawkins,GRE,0,0,0,0
Houston,1,President,,Write-ins,,0,0,0,0
Houston,2,President,,Write-ins,,0,2,1,3
Houston,3,President,,Write-ins,,0,1,1,2
Houston,4,President,,Write-ins,,0,1,1,2
Houston,5,President,,Write-ins,,0,0,1,1
Houston,6,President,,Write-ins,,0,0,0,0
Houston,7,President,,Write-ins,,0,0,0,0
Houston,8,President,,Write-ins,,0,0,0,0
Houston,9,President,,Write-ins,,0,0,0,0
Houston,10,President,,Write-ins,,0,0,1,1
Houston,11,President,,Write-ins,,0,0,0,0
Houston,12,President,,Write-ins,,0,0,0,0
Houston,14,President,,Write-ins,,0,0,0,0
Houston,15,President,,Write-ins,,0,0,0,0
Houston,16,President,,Write-ins,,0,1,0,1
Houston,17,President,,Write-ins,,0,0,1,1
Houston,18,President,,Write-ins,,0,0,0,0
Houston,19,President,,Write-ins,,0,0,0,0
Houston,20,President,,Write-ins,,0,0,0,0
Houston,21,President,,Write-ins,,0,0,0,0
Houston,22,President,,Write-ins,,0,0,0,0
Houston,1,U.S. Senate,,John Cornyn,REP,46,353,73,472
Houston,2,U.S. Senate,,John Cornyn,REP,53,564,85,702
Houston,3,U.S. Senate,,John Cornyn,REP,25,265,33,323
Houston,4,U.S. Senate,,John Cornyn,REP,82,678,133,893
Houston,5,U.S. Senate,,John Cornyn,REP,44,609,159,812
Houston,6,U.S. Senate,,John Cornyn,REP,35,408,133,576
Houston,7,U.S. Senate,,John Cornyn,REP,18,390,157,565
Houston,8,U.S. Senate,,John Cornyn,REP,23,129,86,238
Houston,9,U.S. Senate,,John Cornyn,REP,19,196,119,334
Houston,10,U.S. Senate,,John Cornyn,REP,14,78,85,177
Houston,11,U.S. Senate,,John Cornyn,REP,5,67,21,93
Houston,12,U.S. Senate,,John Cornyn,REP,5,73,13,91
Houston,14,U.S. Senate,,John Cornyn,REP,6,105,51,162
Houston,15,U.S. Senate,,John Cornyn,REP,11,111,35,157
Houston,16,U.S. Senate,,John Cornyn,REP,9,158,35,202
Houston,17,U.S. Senate,,John Cornyn,REP,5,89,126,220
Houston,18,U.S. Senate,,John Cornyn,REP,6,39,42,87
Houston,19,U.S. Senate,,John Cornyn,REP,18,171,181,370
Houston,20,U.S. Senate,,John Cornyn,REP,11,56,83,150
Houston,21,U.S. Senate,,John Cornyn,REP,11,98,97,206
Houston,22,U.S. Senate,,John Cornyn,REP,12,70,72,154
Houston,1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,49,176,51,276
Houston,2,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,39,188,39,266
Houston,3,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,93,313,103,509
Houston,4,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,50,228,48,326
Houston,5,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,25,71,30,126
Houston,6,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,36,116,35,187
Houston,7,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,9,46,14,69
Houston,8,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,13,27,6,46
Houston,9,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,4,11,5,20
Houston,10,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,2,26,7,35
Houston,11,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,2,4,6,12
Houston,12,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,1,13,1,15
Houston,14,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,19,3,22
Houston,15,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,17,15,10,42
Houston,16,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,4,10,5,19
Houston,17,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,2,7,3,12
Houston,18,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,8,24,8,40
Houston,19,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,20,52,27,99
Houston,20,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,2,6,7,15
