county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail
Cottle,Precinct 101,Ballots Cast,,,,324,104,198,22
Cottle,Precinct 101,Ballots Cast Blank,,,,7,3,4,0
Cottle,Precinct 101,President,,Donald J. Trump,REP,185,57,112,16
Cottle,Precinct 101,President,,Joseph R. Biden,DEM,28,8,15,5
Cottle,Precinct 101,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,3,1,2,0
Cottle,Precinct 101,President,,Howie Hawkins / Angela Walker,GRN,1,1,0,0
Cottle,Precinct 101,President,,Write-In,,1,0,0,1
Cottle,Precinct 101,U.S. Senate,,John Cornyn,REP,183,56,110,17
Cottle,Precinct 101,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,27,7,16,4
Cottle,Precinct 101,U.S. Senate,,Kerry Douglas McKennon,LIB,4,1,2,1
Cottle,Precinct 101,U.S. Senate,,David B. Collins,GRN,1,1,0,0
Cottle,Precinct 101,U.S. Senate,,Write-In,,0,0,0,0
Cottle,Precinct 101,U.S. House,13,Ronny Jackson,REP,185,56,113,16
Cottle,Precinct 101,U.S. House,13,Gus Trujillo,DEM,29,9,15,5
Cottle,Precinct 101,U.S. House,13,Jack B. Westbrook,LIB,1,0,0,1
Cottle,Precinct 101,Railroad Commissioner,,"James ""Jim"" Wright",REP,183,58,109,16
Cottle,Precinct 101,Railroad Commissioner,,Chrysta Castaneda,DEM,27,6,17,4
Cottle,Precinct 101,Railroad Commissioner,,Matt Sterett,LIB,3,1,2,0
Cottle,Precinct 101,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,0,1
Cottle,Precinct 101,State Senate,28,Charles Perry,REP,201,63,121,17
Cottle,Precinct 101,State Representative,68,Drew Springer,REP,184,57,110,17
Cottle,Precinct 101,State Representative,68,Patsy Ledbetter,DEM,30,9,19,2
Cottle,Precinct 201,Ballots Cast,,,,182,40,120,22
Cottle,Precinct 201,Ballots Cast Blank,,,,0,0,0,0
Cottle,Precinct 201,President,,Donald J. Trump,REP,158,35,106,17
Cottle,Precinct 201,President,,Joseph R. Biden,DEM,19,2,13,4
Cottle,Precinct 201,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,2,1,1,0
Cottle,Precinct 201,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Cottle,Precinct 201,President,,Write-In,,1,1,0,0
Cottle,Precinct 201,U.S. Senate,,John Cornyn,REP,157,35,105,17
Cottle,Precinct 201,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,16,1,10,5
Cottle,Precinct 201,U.S. Senate,,Kerry Douglas McKennon,LIB,2,1,1,0
Cottle,Precinct 201,U.S. Senate,,David B. Collins,GRN,3,2,1,0
Cottle,Precinct 201,U.S. Senate,,Write-In,,0,0,0,0
Cottle,Precinct 201,U.S. House,13,Ronny Jackson,REP,161,36,108,17
Cottle,Precinct 201,U.S. House,13,Gus Trujillo,DEM,18,3,10,5
Cottle,Precinct 201,U.S. House,13,Jack B. Westbrook,LIB,2,1,1,0
Cottle,Precinct 201,Railroad Commissioner,,"James ""Jim"" Wright",REP,155,35,103,17
Cottle,Precinct 201,Railroad Commissioner,,Chrysta Castaneda,DEM,20,3,12,5
Cottle,Precinct 201,Railroad Commissioner,,Matt Sterett,LIB,1,0,1,0
Cottle,Precinct 201,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,1,0,0
Cottle,Precinct 201,State Senate,28,Charles Perry,REP,166,38,111,17
Cottle,Precinct 201,State Representative,68,Drew Springer,REP,161,37,107,17
Cottle,Precinct 201,State Representative,68,Patsy Ledbetter,DEM,17,1,11,5
Cottle,Precinct 301,Ballots Cast,,,,166,54,97,15
Cottle,Precinct 301,Ballots Cast Blank,,,,0,0,0,0
Cottle,Precinct 301,President,,Donald J. Trump,REP,87,19,60,8
Cottle,Precinct 301,President,,Joseph R. Biden,DEM,35,6,22,7
Cottle,Precinct 301,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Cottle,Precinct 301,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Cottle,Precinct 301,President,,Write-In,,0,0,0,0
Cottle,Precinct 301,U.S. Senate,,John Cornyn,REP,83,15,60,8
