county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day
Hemphill,101,Registered Voters,,,,493,,,
Hemphill,101,Ballots Cast,,,,349,33,229,87
Hemphill,101,Ballots Cast Blank,,,,0,0,0,0
Hemphill,101,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,290,25,199,66
Hemphill,101,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,49,7,25,17
Hemphill,101,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,6,0,4,2
Hemphill,101,President / Vice President,,Howie Hawkins / Angela Walker,GRN,1,0,0,1
Hemphill,101,President / Vice President,,Write-In Totals,,1,0,1,0
Hemphill,101,President / Vice President,,Overvotes,,0,0,0,0
Hemphill,101,President / Vice President,,Undervotes,,1,0,0,1
Hemphill,101,U.S. Senate,,John Cornyn,REP,282,24,191,67
Hemphill,101,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,49,8,24,17
Hemphill,101,U.S. Senate,,Kerry Douglas McKennon,LIB,6,0,5,1
Hemphill,101,U.S. Senate,,David B. Collins,GRN,2,0,1,1
Hemphill,101,U.S. Senate,,Write-In Totals,,0,0,0,0
Hemphill,101,U.S. Senate,,Overvotes,,0,0,0,0
Hemphill,101,U.S. Senate,,Undervotes,,9,0,8,1
Hemphill,101,U.S. House,13,Ronny Jackson,REP,287,26,193,68
Hemphill,101,U.S. House,13,Gus Trujillo,DEM,42,5,21,16
Hemphill,101,U.S. House,13,Jack B. Westbrook,LIB,10,0,9,1
Hemphill,101,U.S. House,13,Overvotes,,0,0,0,0
Hemphill,101,U.S. House,13,Undervotes,,9,1,6,2
Hemphill,101,Railroad Commissioner,,"James ""Jim"" Wright",REP,280,25,186,69
Hemphill,101,Railroad Commissioner,,Chrysta Castaneda,DEM,48,6,28,14
Hemphill,101,Railroad Commissioner,,Matt Sterett,LIB,5,0,4,1
Hemphill,101,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,1,0
Hemphill,101,Railroad Commissioner,,Overvotes,,0,0,0,0
Hemphill,101,Railroad Commissioner,,Undervotes,,14,1,10,3
Hemphill,101,State Representative,88,Ken King,REP,311,25,204,82
Hemphill,101,State Representative,88,Overvotes,,0,0,0,0
Hemphill,101,State Representative,88,Undervotes,,37,7,25,5
Hemphill,201,Registered Voters,,,,543,,,
Hemphill,201,Ballots Cast,,,,378,27,204,147
Hemphill,201,Ballots Cast Blank,,,,0,0,0,0
Hemphill,201,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,317,23,168,126
Hemphill,201,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,54,3,34,17
Hemphill,201,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,6,1,2,3
Hemphill,201,President / Vice President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Hemphill,201,President / Vice President,,Write-In Totals,,0,0,0,0
Hemphill,201,President / Vice President,,Overvotes,,0,0,0,0
Hemphill,201,President / Vice President,,Undervotes,,1,0,0,1
Hemphill,201,U.S. Senate,,John Cornyn,REP,310,23,168,119
Hemphill,201,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,52,3,32,17
Hemphill,201,U.S. Senate,,Kerry Douglas McKennon,LIB,5,1,1,3
Hemphill,201,U.S. Senate,,David B. Collins,GRN,2,0,1,1
Hemphill,201,U.S. Senate,,Write-In Totals,,0,0,0,0
Hemphill,201,U.S. Senate,,Overvotes,,0,0,0,0
Hemphill,201,U.S. Senate,,Undervotes,,9,0,2,7
Hemphill,201,U.S. House,13,Ronny Jackson,REP,308,23,162,123
Hemphill,201,U.S. House,13,Gus Trujillo,DEM,55,3,33,19
Hemphill,201,U.S. House,13,Jack B. Westbrook,LIB,6,1,4,1
Hemphill,201,U.S. House,13,Overvotes,,0,0,0,0
Hemphill,201,U.S. House,13,Undervotes,,9,0,5,4
Hemphill,201,Railroad Commissioner,,"James ""Jim"" Wright",REP,304,22,164,118
Hemphill,201,Railroad Commissioner,,Chrysta Castaneda,DEM,50,3,30,17
Hemphill,201,Railroad Commissioner,,Matt Sterett,LIB,3,1,1,1
Hemphill,201,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,6,0,4,2
Hemphill,201,Railroad Commissioner,,Overvotes,,0,0,0,0
Hemphill,201,Railroad Commissioner,,Undervotes,,15,1,5,9
Hemphill,201,State Representative,88,Ken King,REP,336,21,185,130
Hemphill,201,State Representative,88,Overvotes,,0,0,0,0
Hemphill,201,State Representative,88,Undervotes,,42,6,19,17
Hemphill,202,Registered Voters,,,,28,,,
Hemphill,202,Ballots Cast,,,,25,0,9,16
Hemphill,202,Ballots Cast Blank,,,,0,0,0,0
Hemphill,202,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,25,0,9,16
Hemphill,202,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,0,0,0,0
Hemphill,202,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Hemphill,202,President / Vice President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Hemphill,202,President / Vice President,,Write-In Totals,,0,0,0,0
Hemphill,202,President / Vice President,,Overvotes,,0,0,0,0
Hemphill,202,President / Vice President,,Undervotes,,0,0,0,0
Hemphill,202,U.S. Senate,,John Cornyn,REP,25,0,9,16
Hemphill,202,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Hemphill,202,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Hemphill,202,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Hemphill,202,U.S. Senate,,Write-In Totals,,0,0,0,0
Hemphill,202,U.S. Senate,,Overvotes,,0,0,0,0
Hemphill,202,U.S. Senate,,Undervotes,,0,0,0,0
Hemphill,202,U.S. House,13,Ronny Jackson,REP,25,0,9,16
Hemphill,202,U.S. House,13,Gus Trujillo,DEM,0,0,0,0
Hemphill,202,U.S. House,13,Jack B. Westbrook,LIB,0,0,0,0
Hemphill,202,U.S. House,13,Overvotes,,0,0,0,0
Hemphill,202,U.S. House,13,Undervotes,,0,0,0,0
Hemphill,202,Railroad Commissioner,,"James ""Jim"" Wright",REP,25,0,9,16
Hemphill,202,Railroad Commissioner,,Chrysta Castaneda,DEM,0,0,0,0
Hemphill,202,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Hemphill,202,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Hemphill,202,Railroad Commissioner,,Overvotes,,0,0,0,0
Hemphill,202,Railroad Commissioner,,Undervotes,,0,0,0,0
Hemphill,202,State Representative,88,Ken King,REP,25,0,9,16
Hemphill,202,State Representative,88,Overvotes,,0,0,0,0
Hemphill,202,State Representative,88,Undervotes,,0,0,0,0
Hemphill,301,Registered Voters,,,,612,,,
Hemphill,301,Ballots Cast,,,,480,47,321,112
Hemphill,301,Ballots Cast Blank,,,,0,0,0,0
Hemphill,301,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,416,31,286,99
Hemphill,301,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,55,15,30,10
Hemphill,301,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,6,1,3,2
Hemphill,301,President / Vice President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Hemphill,301,President / Vice President,,Write-In Totals,,1,0,1,0
Hemphill,301,President / Vice President,,Overvotes,,1,0,0,1
Hemphill,301,President / Vice President,,Undervotes,,1,0,1,0
Hemphill,301,U.S. Senate,,John Cornyn,REP,413,33,288,92
