county,precinct,office,district,candidate,party,votes,election_day,early_voting,absentee
Oldham,Precinct 101,Registered Voters,,,,261,,,
Oldham,Precinct 101,Ballots Cast Total,,,,156,112,38,6
Oldham,Precinct 101,Ballots Cast Blank,,,,0,0,0,0
Oldham,Precinct 101,President,,Donald J. Trump / Michael R. Pence,REP,132,89,38,5
Oldham,Precinct 101,President,,Joseph R. Biden / Kamala D. Harris,DEM,19,19,0,0
Oldham,Precinct 101,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,3,3,0,0
Oldham,Precinct 101,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Oldham,Precinct 101,President,,Write-In,,1,0,0,1
Oldham,Precinct 101,President,,Write-In: President R. Boddie / Eric C. Stoneham,,0,0,0,0
Oldham,Precinct 101,President,,Write-In: Brian Carroll / Amar Patel,,0,0,0,0
Oldham,Precinct 101,President,,Write-In: Todd Cella / Tim Cella,,0,0,0,0
Oldham,Precinct 101,President,,Write-In: Jesse Cuellar / Jimmy Monreal,,0,0,0,0
Oldham,Precinct 101,President,,Write-In: Tom Hoefling / Andy Prior,,0,0,0,0
Oldham,Precinct 101,President,,Write-In: Gloaria La Riva / Leonard Peltier,,0,0,0,0
Oldham,Precinct 101,President,,Write-In: Abram Loeb / Jennifer Jairala,,0,0,0,0
Oldham,Precinct 101,President,,Write-In: Robert Morrow / Anne Beckett,,0,0,0,0
Oldham,Precinct 101,President,,Write-In: Kasey Wells / Rachel Wells,,0,0,0,0
Oldham,Precinct 101,President,,Not Assigned,,1,0,0,1
Oldham,Precinct 101,President,,Overvotes,,0,0,0,0
Oldham,Precinct 101,President,,Undervotes,,1,1,0,0
Oldham,Precinct 101,U.S. Senate,,John Cornyn,REP,135,91,38,6
Oldham,Precinct 101,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,18,18,0,0
Oldham,Precinct 101,U.S. Senate,,Kerry Douglas McKennon,LIB,1,1,0,0
Oldham,Precinct 101,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Oldham,Precinct 101,U.S. Senate,,Write-In,,0,0,0,0
Oldham,Precinct 101,U.S. Senate,,Write-In: Ricardo Turullols-Bonilla,,0,0,0,0
Oldham,Precinct 101,U.S. Senate,,Not Assigned,,0,0,0,0
Oldham,Precinct 101,U.S. Senate,,Overvotes,,0,0,0,0
Oldham,Precinct 101,U.S. Senate,,Undervotes,,2,2,0,0
Oldham,Precinct 101,U.S. House,,Ronny Jackson,REP,132,89,38,5
Oldham,Precinct 101,U.S. House,,Gus Trujillo,DEM,17,17,0,0
Oldham,Precinct 101,U.S. House,,Jack B. Westbrook,LIB,2,2,0,0
Oldham,Precinct 101,U.S. House,,Overvotes,,0,0,0,0
