county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Smith,1,Ballots Cast,,,,741,20,656,65
Smith,1,President,,REP,Donald J. Trump / Michael R. Pence,421,12,386,23
Smith,1,President,,DEM,Joseph R. Biden / Kamala D. Harris,299,7,253,39
Smith,1,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,6,0,3,3
Smith,1,President,,GRE,Howie Hawkins / Angela Walker,1,0,1,0
Smith,1,President,,,Write-ins,0,0,0,0
Smith,1,U.S. Senate,,REP,John Cornyn,420,10,385,25
Smith,1,U.S. Senate,,DEM,Mary MJ Hegar,285,6,244,35
Smith,1,U.S. Senate,,LBT,Kerry Douglas McKennon,13,1,9,3
Smith,1,U.S. Senate,,GRE,David B. Collins,9,0,7,2
Smith,1,U.S. Senate,,,Write-ins,0,0,0,0
Smith,1,U.S. House,1,REP,Louie Gohmert,422,11,385,26
Smith,1,U.S. House,1,DEM,Hank Gilbert,305,7,259,39
Smith,1,Railroad Commissioner,,REP,James Jim Wright,415,7,382,26
Smith,1,Railroad Commissioner,,DEM,Chrysta Castaneda,274,7,232,35
Smith,1,Railroad Commissioner,,LBT,Matt Sterett,18,3,12,3
Smith,1,Railroad Commissioner,,GRE,Katija Kat Gruene,4,0,3,1
Smith,1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,405,9,372,24
Smith,1,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,294,6,255,33
Smith,1,"Chief Justice, Supreme Court",,LBT,Mark Ash,29,1,21,7
Smith,1,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,428,8,392,28
Smith,1,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,299,6,256,37
Smith,1,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,409,8,376,25
Smith,1,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,295,7,254,34
Smith,1,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,24,2,16,6
Smith,1,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,409,9,378,22
Smith,1,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,291,6,247,38
Smith,1,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,25,2,19,4
Smith,1,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,410,10,375,25
Smith,1,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,312,6,266,40
Smith,1,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,415,9,376,30
Smith,1,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,308,7,266,35
Smith,1,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,421,10,385,26
Smith,1,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,292,6,247,39
Smith,1,"Member, State BoE, Dist 9",,REP,Keven M. Ellis,205,11,166,28
Smith,1,"Member, State BoE, Dist 9",,DEM,Brenda Davis,210,6,167,37
Smith,1,State Senate,1,REP,Bryan Hughes,101,10,61,30
Smith,1,State Senate,1,DEM,Audrey Spanko,149,7,107,35
Smith,1,State Representative,6,REP,Matt Schaefer,91,11,50,30
Smith,1,State Representative,6,DEM,Julie Gobble,139,4,100,35
Smith,1,"Chief Justice, 12th Ct of App Dist",,REP,Jim Worthen,192,13,123,56
Smith,1,"Dist Judge, 7th Judicial Dist",,REP,Kerry L. Russell,184,13,114,57
Smith,1,"Dist Judge, 114th Judicial Dist",,REP,Austin Reeve Jackson,183,11,113,59
Smith,1,Sheriff,,REP,Larry R. Smith,180,12,112,56
Smith,1,County Tax Assessor-Collector,,REP,Gary B. Barber,186,14,118,54
Smith,1,Constable Pct 1,,DEM,Curtis Traylor,191,3,128,60
Smith,2,Ballots Cast,,,,414,63,274,77
Smith,2,President,,REP,Donald J. Trump / Michael R. Pence,103,15,59,29
Smith,2,President,,DEM,Joseph R. Biden / Kamala D. Harris,302,46,211,45
Smith,2,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,4,2,1,1
Smith,2,President,,GRE,Howie Hawkins / Angela Walker,3,0,1,2
Smith,2,President,,,Write-ins,1,0,1,0
Smith,2,U.S. Senate,,REP,John Cornyn,102,15,61,26
Smith,2,U.S. Senate,,DEM,Mary MJ Hegar,295,45,207,43
Smith,2,U.S. Senate,,LBT,Kerry Douglas McKennon,7,2,1,4
Smith,2,U.S. Senate,,GRE,David B. Collins,4,0,3,1
Smith,2,U.S. Senate,,,Write-ins,0,0,0,0
Smith,2,U.S. House,1,REP,Louie Gohmert,111,16,62,33
Smith,2,U.S. House,1,DEM,Hank Gilbert,298,46,210,42
Smith,2,Railroad Commissioner,,REP,James Jim Wright,100,14,58,28
Smith,2,Railroad Commissioner,,DEM,Chrysta Castaneda,293,41,212,40
Smith,2,Railroad Commissioner,,LBT,Matt Sterett,8,4,2,2
Smith,2,Railroad Commissioner,,GRE,Katija Kat Gruene,5,1,1,3
Smith,2,"Chief Justice, Supreme Court",,REP,Nathan Hecht,100,13,57,30
Smith,2,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,302,45,213,44
Smith,2,"Chief Justice, Supreme Court",,LBT,Mark Ash,4,2,1,1
Smith,2,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,109,17,63,29
Smith,2,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,300,44,211,45
Smith,2,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,98,13,56,29
Smith,2,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,302,46,215,41
Smith,2,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,7,2,2,3
Smith,2,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,97,14,56,27
Smith,2,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,297,43,212,42
Smith,2,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,9,3,2,4
Smith,2,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,103,14,58,31
Smith,2,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,301,46,212,43
Smith,2,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,102,14,60,28
Smith,2,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,301,44,211,46
Smith,2,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,107,13,61,33
Smith,2,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,297,46,210,41
Smith,2,"Member, State BoE, Dist 9",,REP,Keven M. Ellis,103,16,58,29
Smith,2,"Member, State BoE, Dist 9",,DEM,Brenda Davis,303,44,214,45
Smith,2,State Senate,1,REP,Bryan Hughes,110,18,59,33
Smith,2,State Senate,1,DEM,Audrey Spanko,296,43,211,42
Smith,2,State Representative,6,REP,Matt Schaefer,102,14,60,28
Smith,2,State Representative,6,DEM,Julie Gobble,300,42,212,46
Smith,2,"Chief Justice, 12th Ct of App Dist",,REP,Jim Worthen,275,30,189,56
Smith,2,"Dist Judge, 7th Judicial Dist",,REP,Kerry L. Russell,272,29,188,55
Smith,2,"Dist Judge, 114th Judicial Dist",,REP,Austin Reeve Jackson,273,31,187,55
Smith,2,Sheriff,,REP,Larry R. Smith,285,33,194,58
Smith,2,County Tax Assessor-Collector,,REP,Gary B. Barber,284,31,196,57
Smith,2,Constable Pct 1,,DEM,Curtis Traylor,363,42,249,72
Smith,2,Mayor Tyler,,,Joel Rando,140,10,97,33
Smith,2,Mayor Tyler,,,Don Warren,162,18,120,24
Smith,3,Ballots Cast,,,,1774,206,1391,177
Smith,3,President,,REP,Donald J. Trump / Michael R. Pence,1203,121,976,106
Smith,3,President,,DEM,Joseph R. Biden / Kamala D. Harris,521,81,387,53
Smith,3,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,35,2,22,11
Smith,3,President,,GRE,Howie Hawkins / Angela Walker,4,1,3,0
Smith,3,President,,,Write-ins,7,0,3,4
Smith,3,U.S. Senate,,REP,John Cornyn,1210,125,973,112
Smith,3,U.S. Senate,,DEM,Mary MJ Hegar,504,76,376,52
Smith,3,U.S. Senate,,LBT,Kerry Douglas McKennon,38,2,27,9
Smith,3,U.S. Senate,,GRE,David B. Collins,8,1,5,2
Smith,3,U.S. Senate,,,Write-ins,3,0,1,2
Smith,3,U.S. House,1,REP,Louie Gohmert,1187,124,954,109
Smith,3,U.S. House,1,DEM,Hank Gilbert,575,80,431,64
Smith,3,Railroad Commissioner,,REP,James Jim Wright,1203,127,970,106
Smith,3,Railroad Commissioner,,DEM,Chrysta Castaneda,470,69,346,55
Smith,3,Railroad Commissioner,,LBT,Matt Sterett,58,2,45,11
Smith,3,Railroad Commissioner,,GRE,Katija Kat Gruene,14,1,11,2
Smith,3,"Chief Justice, Supreme Court",,REP,Nathan Hecht,1199,121,973,105
Smith,3,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,500,74,368,58
Smith,3,"Chief Justice, Supreme Court",,LBT,Mark Ash,49,4,34,11
Smith,3,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,1233,123,996,114
Smith,3,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,503,70,373,60
Smith,3,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,1197,119,973,105
Smith,3,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,488,72,357,59
Smith,3,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,57,5,42,10
Smith,3,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,1198,119,972,107
Smith,3,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,486,72,357,57
Smith,3,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,57,5,42,10
Smith,3,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,1235,121,999,115
Smith,3,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,507,74,374,59
Smith,3,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,1239,121,1002,116
Smith,3,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,495,69,368,58
Smith,3,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,1240,123,1001,116
Smith,3,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,497,72,367,58
Smith,3,"Member, State BoE, Dist 9",,REP,Keven M. Ellis,1220,118,990,112
Smith,3,"Member, State BoE, Dist 9",,DEM,Brenda Davis,517,72,383,62
Smith,3,State Senate,1,REP,Bryan Hughes,1253,125,1007,121
Smith,3,State Senate,1,DEM,Audrey Spanko,493,70,370,53
Smith,3,State Representative,6,REP,Matt Schaefer,1225,129,979,117
Smith,3,State Representative,6,DEM,Julie Gobble,526,72,397,57
Smith,3,"Chief Justice, 12th Ct of App Dist",,REP,Jim Worthen,1534,152,1225,157
Smith,3,"Dist Judge, 7th Judicial Dist",,REP,Kerry L. Russell,1545,156,1236,153
Smith,3,"Dist Judge, 114th Judicial Dist",,REP,Austin Reeve Jackson,1536,155,1226,155
Smith,3,Sheriff,,REP,Larry R. Smith,1561,163,1242,156
Smith,3,County Tax Assessor-Collector,,REP,Gary B. Barber,1578,165,1257,156
Smith,3,Constable Pct 2,,REP,Josh Black,1542,152,1234,156
Smith,3,Mayor Tyler,,,Joel Rando,416,33,331,52
Smith,3,Mayor Tyler,,,Don Warren,1059,110,856,93
Smith,3,"Councilmember, District 6 Tyler",,,Brad Curtis,1401,126,1138,137
Smith,4,Ballots Cast,,,,1075,106,713,256
Smith,4,President,,REP,Donald J. Trump / Michael R. Pence,562,43,360,159
Smith,4,President,,DEM,Joseph R. Biden / Kamala D. Harris,492,53,344,95
Smith,4,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,5,0,5,0
Smith,4,President,,GRE,Howie Hawkins / Angela Walker,2,0,1,1
Smith,4,President,,,Write-ins,4,1,2,1
Smith,4,U.S. Senate,,REP,John Cornyn,554,44,359,151
Smith,4,U.S. Senate,,DEM,Mary MJ Hegar,480,51,338,91
