county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail
Colorado,101,Registered Voters,,,,2313,,,
Colorado,101,Ballots Cast,,,,853,312,487,54
Colorado,101,President,,DEM,Elizabeth Warren,9,4,4,1
Colorado,101,President,,DEM,Tom Steyer,1,0,1,0
Colorado,101,President,,DEM,Andrew Yang,0,0,0,0
Colorado,101,President,,DEM,Michael Bennet,1,0,1,0
Colorado,101,President,,DEM,Amy Klobuchar,2,0,0,2
Colorado,101,President,,DEM,Joseph R. Biden,72,47,16,9
Colorado,101,President,,DEM,Robby Wells,0,0,0,0
Colorado,101,President,,DEM,Cory Booker,1,1,0,0
Colorado,101,President,,DEM,Pete Buttigieg,6,0,5,1
Colorado,101,President,,DEM,Michael R. Bloomberg,20,4,10,6
Colorado,101,President,,DEM,Julian Castro,1,0,1,0
Colorado,101,President,,DEM,Bernie Sanders,25,10,11,4
Colorado,101,President,,DEM,Marianne Williamson,0,0,0,0
Colorado,101,President,,DEM,Deval Patrick,0,0,0,0
Colorado,101,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0
Colorado,101,President,,DEM,Tulsi Gabbard,0,0,0,0
Colorado,101,President,,DEM,John K. Delaney,3,0,3,0
Colorado,101,U.S. Senate,,DEM,Chris Bell,34,13,17,4
Colorado,101,U.S. Senate,,DEM,D. R. Hunter,3,0,3,0
Colorado,101,U.S. Senate,,DEM,Mary (MJ) Hegar,41,21,12,8
Colorado,101,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,6,5,1,0
Colorado,101,U.S. Senate,,DEM,Michael Cooper,8,4,3,1
Colorado,101,U.S. Senate,,DEM,Royce West,15,10,2,3
Colorado,101,U.S. Senate,,DEM,Adrian Ocegueda,2,1,0,1
Colorado,101,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",12,3,6,3
Colorado,101,U.S. Senate,,DEM,Sema Hernandez,7,4,1,2
Colorado,101,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",1,0,1,0
Colorado,101,U.S. Senate,,DEM,Amanda K. Edwards,4,1,2,1
Colorado,101,U.S. Senate,,DEM,Victor Hugo Harris,2,1,1,0
Colorado,101,U.S. House,10,DEM,Mike Siegel,73,30,28,15
Colorado,101,U.S. House,10,DEM,Shannon Hutcheson,31,12,13,6
Colorado,101,U.S. House,10,DEM,Pritesh Gandhi,33,22,9,2
Colorado,101,Railroad Commissioner,,DEM,Kelly Stone,44,17,20,7
Colorado,101,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",22,12,9,1
Colorado,101,Railroad Commissioner,,DEM,Chrysta Castaneda,37,18,10,9
Colorado,101,Railroad Commissioner,,DEM,Mark Watson,21,11,6,4
Colorado,101,State Senate,18,DEM,Michael Antalan,111,49,44,18
Colorado,102,Registered Voters,,,,324,,,
Colorado,102,Ballots Cast,,,,121,72,38,11
Colorado,102,President,,DEM,Elizabeth Warren,0,0,0,0
Colorado,102,President,,DEM,Tom Steyer,0,0,0,0
Colorado,102,President,,DEM,Andrew Yang,0,0,0,0
Colorado,102,President,,DEM,Michael Bennet,0,0,0,0
Colorado,102,President,,DEM,Amy Klobuchar,0,0,0,0
Colorado,102,President,,DEM,Joseph R. Biden,9,5,1,3
Colorado,102,President,,DEM,Robby Wells,1,1,0,0
Colorado,102,President,,DEM,Cory Booker,0,0,0,0
Colorado,102,President,,DEM,Pete Buttigieg,1,0,0,1
Colorado,102,President,,DEM,Michael R. Bloomberg,5,2,3,0
Colorado,102,President,,DEM,Julian Castro,0,0,0,0
Colorado,102,President,,DEM,Bernie Sanders,4,2,1,1
Colorado,102,President,,DEM,Marianne Williamson,0,0,0,0
Colorado,102,President,,DEM,Deval Patrick,0,0,0,0
Colorado,102,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Colorado,102,President,,DEM,Tulsi Gabbard,1,0,0,1
