county,precinct,office,district,candidate,party,early_voting,election_day,mail,provisional,votes
Wilson,Box 101,President,,Trump/Pence,REP,855,164,63,0,1082
Wilson,Box 101,President,,Biden/Harris,DEM,461,69,115,0,645
Wilson,Box 101,President,,Jorgensen/Cohen,LIB,6,0,1,0,7
Wilson,Box 101,President,,Hawkins/Walker,GRN,1,2,0,0,3
Wilson,Box 101,President,,Write-ins,,0,1,0,0,1
Wilson,Box 101,U.S. Senate,,John Cornyn,REP,848,163,67,0,1078
Wilson,Box 101,U.S. Senate,,"Mary \MJ\"" Hegar"" ",DEM,440,64,111,0,615
Wilson,Box 101,U.S. Senate,,Kerry McKennon,LIB,12,5,0,0,17
Wilson,Box 101,U.S. Senate,,David B. Collins,GRN,9,0,0,0,9
Wilson,Box 101,U.S. Senate,,Write-ins,,0,0,0,0,0
Wilson,Box 101,U.S. House,28,Sandra Whitten,REP,807,153,55,0,1015
Wilson,Box 101,U.S. House,28,Henry Cuellar,DEM,476,73,117,0,666
Wilson,Box 101,U.S. House,28,Bekah Congdon,LIB,25,4,3,0,32
Wilson,Box 101,Railroad Commissioner,,"James \Jim\"" Wright"" ",REP,813,155,59,0,1027
Wilson,Box 101,Railroad Commissioner,,Chrysta CastaÒeda,DEM,446,60,114,0,620
Wilson,Box 101,Railroad Commissioner,,Matt Sterett,LIB,22,5,1,0,28
Wilson,Box 101,Railroad Commissioner,,Katija Gruene,GRN,20,5,1,0,26
Wilson,Box 101,"Chief Justice, Supreme Court ",,Nathan Hecht,REP,840,152,60,0,1052
Wilson,Box 101,"Chief Justice, Supreme Court ",,Amy Clark Meachum,DEM,443,65,113,0,621
Wilson,Box 101,"Chief Justice, Supreme Court ",,Mark Ash,LIB,17,8,1,0,26
Wilson,Box 101,Justice Supreme Court P6 Unexp,,Jane Bland,REP,855,161,63,0,1079
Wilson,Box 101,Justice Supreme Court P6 Unexp,,Kathy Cheng,DEM,446,65,110,0,621
Wilson,Box 101,Justice Supreme Court P7,,Jeff Boyd,REP,839,156,60,0,1055
Wilson,Box 101,Justice Supreme Court P7,,Staci Williams,DEM,442,63,113,0,618
Wilson,Box 101,Justice Supreme Court P7,,William Strange III,LIB,17,7,1,0,25
Wilson,Box 101,Justice Supreme Court P8,,Brett Busby,REP,843,153,61,0,1057
Wilson,Box 101,Justice Supreme Court P8,,Gisela D. Triana,DEM,440,64,113,0,617
Wilson,Box 101,Justice Supreme Court P8,,Tom Oxford,LIB,16,7,0,0,23
Wilson,Box 101,Criminal Appeals Jdg P3,,Bert Richardson,REP,843,159,61,0,1063
Wilson,Box 101,Criminal Appeals Jdg P3,,E. Davis Frizell,DEM,441,68,112,0,621
Wilson,Box 101,Criminal Appeals Jdg P4,,Kevin Patrick Yeary,REP,855,163,62,0,1080
Wilson,Box 101,Criminal Appeals Jdg P4,,Tina Clinton,DEM,431,65,111,0,607
Wilson,Box 101,Criminal Appeals Jdg P9,,David Newell,REP,851,161,63,0,1075
Wilson,Box 101,Criminal Appeals Jdg P9,,Brandon Birmingham,DEM,424,67,110,0,601
Wilson,Box 101,State Senate,21,Frank Pomeroy,REP,814,153,53,0,1020
Wilson,Box 101,State Senate,21,Judith Zaffirini,DEM,486,74,124,0,684
Wilson,Box 101,State Representative,44,John Kuempel,REP,848,162,62,0,1072
Wilson,Box 101,State Representative,44,Robert Bohmfalk,DEM,409,57,110,0,576
Wilson,Box 101,State Representative,44,Julian Mardock,LIB,28,10,3,0,41
Wilson,Box 101,Chief Justice 4 Court Appeals,,Renee Yanta,REP,836,154,60,0,1050
Wilson,Box 101,Chief Justice 4 Court Appeals,,Rebeca Martinez,DEM,456,73,114,0,643
Wilson,Box 101,District Attorney D81,,Audrey Gossett Louis,REP,1051,204,100,0,1355
Wilson,Box 101,County Attorney,,Tom Caldwell,REP,1023,196,93,0,1312
Wilson,Box 101,Sheriff,,Jim Stewart,REP,847,166,68,0,1081
Wilson,Box 101,Sheriff,,"Emmanuel Fultz, Sr. ",DEM,438,62,107,0,607
Wilson,Box 101,Tax Assessor-Collector,,Dawn Polasek Barnett,REP,1051,205,99,0,1355
Wilson,Box 101,County Commissioner P1,,Gary Martin,REP,801,151,58,0,1010
Wilson,Box 101,County Commissioner P1,,"Albert Gamez, Jr. ",DEM,481,75,115,0,671
Wilson,Box 101,Constable P1,,Leonard Guzman,REP,817,150,65,0,1032
Wilson,Box 101,Constable P1,,"Thomas \Wedo\"" Silvas"" ",DEM,477,80,111,0,668
Wilson,Box 102,President,,Trump/Pence,REP,482,132,55,0,669
Wilson,Box 102,President,,Biden/Harris,DEM,461,80,169,0,710
Wilson,Box 102,President,,Jorgensen/Cohen,LIB,6,1,1,0,8
Wilson,Box 102,President,,Hawkins/Walker,GRN,0,0,0,0,0
Wilson,Box 102,President,,Write-ins,,2,2,0,0,4
Wilson,Box 102,U.S. Senate,,John Cornyn,REP,463,119,58,0,640
Wilson,Box 102,U.S. Senate,,"Mary \MJ\"" Hegar"" ",DEM,450,82,158,0,690
Wilson,Box 102,U.S. Senate,,Kerry McKennon,LIB,11,3,0,0,14
Wilson,Box 102,U.S. Senate,,David B. Collins,GRN,9,0,0,0,9
Wilson,Box 102,U.S. Senate,,Write-ins,,0,0,0,0,0
Wilson,Box 102,U.S. House,28,Sandra Whitten,REP,385,89,45,0,519
Wilson,Box 102,U.S. House,28,Henry Cuellar,DEM,533,110,169,0,812
Wilson,Box 102,U.S. House,28,Bekah Congdon,LIB,19,3,2,0,24
Wilson,Box 102,Railroad Commissioner,,"James \Jim\"" Wright"" ",REP,444,110,57,0,611
Wilson,Box 102,Railroad Commissioner,,Chrysta CastaÒeda,DEM,464,82,150,0,696
Wilson,Box 102,Railroad Commissioner,,Matt Sterett,LIB,10,5,0,0,15
Wilson,Box 102,Railroad Commissioner,,Katija Gruene,GRN,5,1,1,0,7
Wilson,Box 102,"Chief Justice, Supreme Court ",,Nathan Hecht,REP,426,104,53,0,583
Wilson,Box 102,"Chief Justice, Supreme Court ",,Amy Clark Meachum,DEM,477,85,157,0,719
Wilson,Box 102,"Chief Justice, Supreme Court ",,Mark Ash,LIB,23,11,1,0,35
Wilson,Box 102,Justice Supreme Court P6 Unexp,,Jane Bland,REP,446,109,50,0,605
Wilson,Box 102,Justice Supreme Court P6 Unexp,,Kathy Cheng,DEM,473,89,159,0,721
Wilson,Box 102,Justice Supreme Court P7,,Jeff Boyd,REP,435,110,47,0,592
Wilson,Box 102,Justice Supreme Court P7,,Staci Williams,DEM,465,80,157,0,702
Wilson,Box 102,Justice Supreme Court P7,,William Strange III,LIB,14,9,1,0,24
Wilson,Box 102,Justice Supreme Court P8,,Brett Busby,REP,427,103,48,0,578
Wilson,Box 102,Justice Supreme Court P8,,Gisela D. Triana,DEM,470,88,157,0,715
Wilson,Box 102,Justice Supreme Court P8,,Tom Oxford,LIB,20,7,4,0,31
Wilson,Box 102,Criminal Appeals Jdg P3,,Bert Richardson,REP,438,108,52,0,598
Wilson,Box 102,Criminal Appeals Jdg P3,,E. Davis Frizell,DEM,470,87,157,0,714
Wilson,Box 102,Criminal Appeals Jdg P4,,Kevin Patrick Yeary,REP,435,106,51,0,592
Wilson,Box 102,Criminal Appeals Jdg P4,,Tina Clinton,DEM,469,90,157,0,716
Wilson,Box 102,Criminal Appeals Jdg P9,,David Newell,REP,439,115,48,0,602
Wilson,Box 102,Criminal Appeals Jdg P9,,Brandon Birmingham,DEM,464,80,158,0,702
Wilson,Box 102,State Senate,21,Frank Pomeroy,REP,402,97,45,0,544
Wilson,Box 102,State Senate,21,Judith Zaffirini,DEM,527,103,170,0,800
Wilson,Box 102,State Representative,44,John Kuempel,REP,462,111,58,0,631
Wilson,Box 102,State Representative,44,Robert Bohmfalk,DEM,430,73,150,0,653
Wilson,Box 102,State Representative,44,Julian Mardock,LIB,18,13,2,0,33
Wilson,Box 102,Chief Justice 4 Court Appeals,,Renee Yanta,REP,412,102,44,0,558
Wilson,Box 102,Chief Justice 4 Court Appeals,,Rebeca Martinez,DEM,505,96,164,0,765
Wilson,Box 102,District Attorney D81,,Audrey Gossett Louis,REP,681,157,92,0,930
Wilson,Box 102,County Attorney,,Tom Caldwell,REP,680,153,86,0,919
Wilson,Box 102,Sheriff,,Jim Stewart,REP,470,123,68,0,661
Wilson,Box 102,Sheriff,,"Emmanuel Fultz, Sr. ",DEM,452,75,141,0,668
Wilson,Box 102,Tax Assessor-Collector,,Dawn Polasek Barnett,REP,683,150,100,0,933
Wilson,Box 102,County Commissioner P1,,Gary Martin,REP,389,83,48,0,520
Wilson,Box 102,County Commissioner P1,,"Albert Gamez, Jr. ",DEM,539,121,175,0,835
Wilson,Box 102,Constable P1,,Leonard Guzman,REP,349,75,46,0,470
Wilson,Box 102,Constable P1,,"Thomas \Wedo\"" Silvas"" ",DEM,583,130,173,0,886
Wilson,Box 103,President,,Trump/Pence,REP,595,211,56,0,862
Wilson,Box 103,President,,Biden/Harris,DEM,278,85,115,0,478
Wilson,Box 103,President,,Jorgensen/Cohen,LIB,5,4,1,0,10
Wilson,Box 103,President,,Hawkins/Walker,GRN,3,3,1,0,7
Wilson,Box 103,President,,Write-ins,,0,0,0,0,0
Wilson,Box 103,U.S. Senate,,John Cornyn,REP,583,204,66,0,853
Wilson,Box 103,U.S. Senate,,"Mary \MJ\"" Hegar"" ",DEM,264,81,101,0,446
Wilson,Box 103,U.S. Senate,,Kerry McKennon,LIB,14,6,0,0,20
Wilson,Box 103,U.S. Senate,,David B. Collins,GRN,8,4,2,0,14
Wilson,Box 103,U.S. Senate,,Write-ins,,0,0,0,0,0
Wilson,Box 103,U.S. House,28,Sandra Whitten,REP,549,178,49,0,776
Wilson,Box 103,U.S. House,28,Henry Cuellar,DEM,298,110,119,0,527
Wilson,Box 103,U.S. House,28,Bekah Congdon,LIB,13,5,2,0,20
Wilson,Box 103,Railroad Commissioner,,"James \Jim\"" Wright"" ",REP,565,192,56,0,813
Wilson,Box 103,Railroad Commissioner,,Chrysta CastaÒeda,DEM,273,83,105,0,461
Wilson,Box 103,Railroad Commissioner,,Matt Sterett,LIB,15,8,3,0,26
Wilson,Box 103,Railroad Commissioner,,Katija Gruene,GRN,9,5,3,0,17
Wilson,Box 103,"Chief Justice, Supreme Court ",,Nathan Hecht,REP,574,196,59,0,829
Wilson,Box 103,"Chief Justice, Supreme Court ",,Amy Clark Meachum,DEM,273,84,107,0,464
Wilson,Box 103,"Chief Justice, Supreme Court ",,Mark Ash,LIB,12,5,3,0,20
Wilson,Box 103,Justice Supreme Court P6 Unexp,,Jane Bland,REP,585,200,61,0,846
Wilson,Box 103,Justice Supreme Court P6 Unexp,,Kathy Cheng,DEM,269,85,103,0,457
Wilson,Box 103,Justice Supreme Court P7,,Jeff Boyd,REP,569,192,57,0,818
Wilson,Box 103,Justice Supreme Court P7,,Staci Williams,DEM,268,86,108,0,462
Wilson,Box 103,Justice Supreme Court P7,,William Strange III,LIB,11,7,1,0,19
Wilson,Box 103,Justice Supreme Court P8,,Brett Busby,REP,572,197,59,0,828
Wilson,Box 103,Justice Supreme Court P8,,Gisela D. Triana,DEM,269,79,102,0,450
Wilson,Box 103,Justice Supreme Court P8,,Tom Oxford,LIB,12,10,4,0,26
Wilson,Box 103,Criminal Appeals Jdg P3,,Bert Richardson,REP,565,200,56,0,821
