county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day
Sherman,Precinct 101,Registered Voters,,,,0,,,
Sherman,Precinct 101,Ballots Cast Total,,,,46,4,25,17
Sherman,Precinct 101,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 101,President,,Donald J. Trump / Michael R. Pence,REP,40,4,23,13
Sherman,Precinct 101,President,,Joseph R. Biden / Kamala D. Harris,DEM,3,0,1,2
Sherman,Precinct 101,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Sherman,Precinct 101,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Sherman,Precinct 101,President,,Write-In,,1,0,0,1
Sherman,Precinct 101,U.S. Senate,,John Cornyn,REP,40,4,23,13
Sherman,Precinct 101,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,4,0,1,3
Sherman,Precinct 101,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Sherman,Precinct 101,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 101,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 101,U.S. House,13,Ronny Jackson,REP,38,4,22,12
Sherman,Precinct 101,U.S. House,13,Gus Trujillo,DEM,4,0,2,2
Sherman,Precinct 101,U.S. House,13,Jack B. Westbrook,LIB,1,0,0,1
Sherman,Precinct 101,Railroad Commissioner,,"James ""Jim"" Wright",REP,41,4,24,13
Sherman,Precinct 101,Railroad Commissioner,,Chrysta Castaneda,DEM,4,0,1,3
Sherman,Precinct 101,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Sherman,Precinct 101,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Sherman,Precinct 101,State Representative,87,Four Price,REP,43,4,24,15
Sherman,Precinct 102 City and Stratford ISD,Registered Voters,,,,0,,,
Sherman,Precinct 102 City and Stratford ISD,Ballots Cast Total,,,,163,11,117,35
Sherman,Precinct 102 City and Stratford ISD,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 102 City and Stratford ISD,President,,Donald J. Trump / Michael R. Pence,REP,137,9,98,30
