county,precinct,office,district,candidate,party,votes,early_voting,election_day,absentee
Walker,101,President,,Joseph R. Biden,DEM,36,14,22,
Walker,101,President,,Michael R. Bloomberg,DEM,12,5,7,
Walker,101,President,,Pete Buttigieg,DEM,2,2,0,
Walker,101,President,,Rocque “Rocky” de la Fuente,DEM,0,0,0,
Walker,101,President,,Amy Klobuchar,DEM,0,0,0,
Walker,101,President,,Bernie Sanders,DEM,18,7,11,
Walker,101,President,,Andrew Yang,DEM,0,0,0,
Walker,101,President,,Michael Bennett,DEM,1,1,0,
Walker,101,President,,Cory Booker,DEM,0,0,0,
Walker,101,President,,Julian Castro,DEM,0,0,0,
Walker,101,President,,Tulsi Gabbard,DEM,0,0,0,
Walker,101,President,,Deval Patrick,DEM,0,0,0,
Walker,101,President,,John K. Delaney,DEM,0,0,0,
Walker,101,President,,Tom Steyer,DEM,1,0,1,
Walker,101,President,,Robby Wells,DEM,0,0,0,
Walker,101,President,,Elizabeth Warren,DEM,1,0,1,
Walker,101,President,,Marianne Williamson,DEM,0,0,0,
Walker,101,U.S. Senate,,Chris Bell,DEM,10,4,6,
Walker,101,U.S. Senate,,Jack Daniel Foster Jr.,DEM,2,1,1,
Walker,101,U.S. Senate,,Victor Hugo Harris,DEM,3,2,1,
Walker,101,U.S. Senate,,Sema Hernandez,DEM,7,0,7,
Walker,101,U.S. Senate,,Adrian Ocegueda,DEM,2,0,2,
Walker,101,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,7,2,5,
Walker,101,U.S. Senate,,Royce West,DEM,13,5,8,
Walker,101,U.S. Senate,,Michael Cooper,DEM,5,3,2,
Walker,101,U.S. Senate,,Amanda K. Edwards,DEM,5,3,2,
Walker,101,U.S. Senate,,Annie “Mama” Garcia,DEM,4,2,2,
Walker,101,U.S. Senate,,D.R. Hunter,DEM,1,0,1,
Walker,101,U.S. Senate,,Mary “MJ” Hegar,DEM,9,6,3,
Walker,101,U.S. House,8,Laura Jones,DEM,29,14,15,
Walker,101,U.S. House,8,Elizabeth Hernandez,DEM,36,11,25,
Walker,101,Railroad Commissioner,,Chrysta Castaneda,DEM,14,5,9,
Walker,101,Railroad Commissioner,,Roberto Alonzo,DEM,16,0,16,
Walker,101,Railroad Commissioner,,Mark Watson,DEM,12,7,5,
Walker,101,Railroad Commissioner,,Kelly Stone,DEM,24,13,11,
Walker,101,"Chief Justice, Supreme Court",,Gerald Zimmerer,DEM,19,7,12,
Walker,101,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,48,19,29,
Walker,101,"Justice, Supreme Court, Place 6",,Kathy Cheng,DEM,52,26,26,
Walker,101,"Justice, Supreme Court, Place 6",,Larry Praeger,DEM,17,2,15,
Walker,101,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,20,5,15,
Walker,101,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,47,21,26,
Walker,101,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,30,14,16,
Walker,101,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,36,11,25,
Walker,101,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,18,7,11,
Walker,101,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,8,3,5,
