county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day,provisional
Moore,Precinct 101,Registered Voters,,,Registered Voters,2578,0,0,0,0
Moore,Precinct 201,Registered Voters,,,Registered Voters,1731,0,0,0,0
Moore,Precinct 202,Registered Voters,,,Registered Voters,1664,0,0,0,0
Moore,Precinct 203,Registered Voters,,,Registered Voters,69,0,0,0,0
Moore,Precinct 301,Registered Voters,,,Registered Voters,1942,0,0,0,0
Moore,Precinct 401,Registered Voters,,,Registered Voters,1069,0,0,0,0
Moore,Precinct 402,Registered Voters,,,Registered Voters,741,0,0,0,0
Moore,Precinct 101,Ballots Cast,,,Ballots Cast,545,299,235,11,0
Moore,Precinct 201,Ballots Cast,,,Ballots Cast,572,316,249,7,0
Moore,Precinct 202,Ballots Cast,,,Ballots Cast,646,298,325,23,0
Moore,Precinct 203,Ballots Cast,,,Ballots Cast,25,25,0,0,0
Moore,Precinct 301,Ballots Cast,,,Ballots Cast,271,165,95,11,0
Moore,Precinct 401,Ballots Cast,,,Ballots Cast,306,246,57,3,0
Moore,Precinct 402,Ballots Cast,,REP,Ballots Cast,21,19,2,0,0
Moore,Precinct 101,President,,DEM,Cory Booker,0,0,0,0,0
Moore,Precinct 201,President,,DEM,Cory Booker,0,0,0,0,0
Moore,Precinct 202,President,,DEM,Cory Booker,0,0,0,0,0
Moore,Precinct 203,President,,DEM,Cory Booker,0,0,0,0,0
Moore,Precinct 301,President,,DEM,Cory Booker,0,0,0,0,0
Moore,Precinct 401,President,,DEM,Cory Booker,1,1,0,0,0
Moore,Precinct 402,President,,DEM,Cory Booker,1,1,0,0,0
Moore,Precinct 101,President,,DEM,Pete Buttigieg,4,1,1,2,0
Moore,Precinct 201,President,,DEM,Pete Buttigieg,2,0,2,0,0
Moore,Precinct 202,President,,DEM,Pete Buttigieg,3,0,3,0,0
Moore,Precinct 203,President,,DEM,Pete Buttigieg,0,0,0,0,0
Moore,Precinct 301,President,,DEM,Pete Buttigieg,2,1,0,1,0
Moore,Precinct 401,President,,DEM,Pete Buttigieg,0,0,0,0,0
Moore,Precinct 402,President,,DEM,Pete Buttigieg,0,0,0,0,0
Moore,Precinct 101,President,,DEM,Marianne Williamson,0,0,0,0,0
Moore,Precinct 201,President,,DEM,Marianne Williamson,1,1,0,0,0
Moore,Precinct 202,President,,DEM,Marianne Williamson,0,0,0,0,0
Moore,Precinct 203,President,,DEM,Marianne Williamson,0,0,0,0,0
Moore,Precinct 301,President,,DEM,Marianne Williamson,0,0,0,0,0
Moore,Precinct 401,President,,DEM,Marianne Williamson,0,0,0,0,0
Moore,Precinct 402,President,,DEM,Marianne Williamson,0,0,0,0,0
Moore,Precinct 101,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0
Moore,Precinct 201,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Moore,Precinct 202,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Moore,Precinct 203,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Moore,Precinct 301,President,,DEM,"Roque ""Rocky"" De La Fuente",1,1,0,0,0
Moore,Precinct 401,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Moore,Precinct 402,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Moore,Precinct 101,President,,DEM,Julian Castro,0,0,0,0,0
Moore,Precinct 201,President,,DEM,Julian Castro,0,0,0,0,0
Moore,Precinct 202,President,,DEM,Julian Castro,0,0,0,0,0
Moore,Precinct 203,President,,DEM,Julian Castro,0,0,0,0,0
Moore,Precinct 301,President,,DEM,Julian Castro,1,1,0,0,0
Moore,Precinct 401,President,,DEM,Julian Castro,0,0,0,0,0
Moore,Precinct 402,President,,DEM,Julian Castro,1,1,0,0,0
Moore,Precinct 101,President,,DEM,Tom Steyer,0,0,0,0,0
Moore,Precinct 201,President,,DEM,Tom Steyer,0,0,0,0,0
Moore,Precinct 202,President,,DEM,Tom Steyer,1,1,0,0,0
Moore,Precinct 203,President,,DEM,Tom Steyer,0,0,0,0,0
Moore,Precinct 301,President,,DEM,Tom Steyer,0,0,0,0,0
Moore,Precinct 401,President,,DEM,Tom Steyer,0,0,0,0,0
Moore,Precinct 402,President,,DEM,Tom Steyer,0,0,0,0,0
Moore,Precinct 101,President,,DEM,Deval Patrick,0,0,0,0,0
Moore,Precinct 201,President,,DEM,Deval Patrick,1,1,0,0,0
Moore,Precinct 202,President,,DEM,Deval Patrick,0,0,0,0,0
Moore,Precinct 203,President,,DEM,Deval Patrick,0,0,0,0,0
Moore,Precinct 301,President,,DEM,Deval Patrick,0,0,0,0,0
Moore,Precinct 401,President,,DEM,Deval Patrick,0,0,0,0,0
Moore,Precinct 402,President,,DEM,Deval Patrick,0,0,0,0,0
Moore,Precinct 101,President,,DEM,Joseph R. Biden,21,17,2,2,0
Moore,Precinct 201,President,,DEM,Joseph R. Biden,26,19,4,3,0
Moore,Precinct 202,President,,DEM,Joseph R. Biden,24,18,4,2,0
Moore,Precinct 203,President,,DEM,Joseph R. Biden,1,1,0,0,0
Moore,Precinct 301,President,,DEM,Joseph R. Biden,31,29,0,2,0
Moore,Precinct 401,President,,DEM,Joseph R. Biden,10,9,0,1,0
Moore,Precinct 402,President,,DEM,Joseph R. Biden,6,6,0,0,0
