county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Dawson,Precinct 1,Ballots Cast,,,,,,,639
Dawson,Precinct 1,President,,REP,Donald J Trump,18,288,103,409
Dawson,Precinct 1,President,,DEM,Joseph R Biden,45,124,50,219
Dawson,Precinct 1,President,,LIB,Jo Jorgensen,0,1,2,3
Dawson,Precinct 1,President,,GRN,Howie Hawkins,0,2,0,2
Dawson,Precinct 1,U.S. Senate,,REP,John Cornyn,20,258,83,361
Dawson,Precinct 1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",41,115,54,210
Dawson,Precinct 1,U.S. Senate,,LIB,Kerry Douglas McKennon,0,6,7,13
Dawson,Precinct 1,U.S. Senate,,GRN,David B. Collins,0,1,1,2
Dawson,Precinct 1,U.S. House,11,,August Pfluger,16,239,76,331
Dawson,Precinct 1,U.S. House,11,,Jon Mark Hogg,43,122,58,223
Dawson,Precinct 1,U.S. House,11,,Wacey Alpha Cody,0,6,5,11
Dawson,Precinct 1,Railroad Commissioner,,REP,"James ""Jim""Wright",17,234,81,332
Dawson,Precinct 1,Railroad Commissioner,,DEM,Chrysta Castaneda,42,115,51,208
Dawson,Precinct 1,Railroad Commissioner,,LIB,Matt Sterett,0,10,5,15
Dawson,Precinct 1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,4,1,5
Dawson,Precinct 1,State Senate,28,,Charles Perry,25,291,108,424
Dawson,Precinct 1,State Representative,82,,Tom Craddick,25,295,104,424
Dawson,Precinct 2,Ballots Cast,,,,,,,645
Dawson,Precinct 2,President,,REP,Donald J Trump,44,283,100,427
Dawson,Precinct 2,President,,DEM,Joseph R Biden,38,109,58,205
Dawson,Precinct 2,President,,LIB,Jo Jorgensen,0,6,1,7
Dawson,Precinct 2,President,,GRN,Howie Hawkins,0,1,1,2
Dawson,Precinct 2,U.S. Senate,,REP,John Cornyn,48,266,79,393
Dawson,Precinct 2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",34,98,55,187
Dawson,Precinct 2,U.S. Senate,,LIB,Kerry Douglas McKennon,0,8,5,13
Dawson,Precinct 2,U.S. Senate,,GRN,David B. Collins,0,2,0,2
Dawson,Precinct 2,U.S. House,11,,August Pfluger,42,246,80,368
Dawson,Precinct 2,U.S. House,11,,Jon Mark Hogg,38,106,57,204
Dawson,Precinct 2,U.S. House,11,,Wacey Alpha Cody,0,10,4,14
Dawson,Precinct 2,Railroad Commissioner,,REP,"James ""Jim""Wright",46,251,76,373
Dawson,Precinct 2,Railroad Commissioner,,DEM,Chrysta Castaneda,33,100,54,187
Dawson,Precinct 2,Railroad Commissioner,,LIB,Matt Sterett,0,8,7,15
Dawson,Precinct 2,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,6,0,6
Dawson,Precinct 2,State Senate,28,,Charles Perry,60,292,106,458
Dawson,Precinct 2,State Representative,82,,Tom Craddick,60,294,105,459
Dawson,Precinct 3,Ballots Cast,,,,,,,1112
Dawson,Precinct 3,President,,REP,Donald J Trump,79,679,144,902
Dawson,Precinct 3,President,,DEM,Joseph R Biden,23,125,52,200
Dawson,Precinct 3,President,,LIB,Jo Jorgensen,0,5,2,7
Dawson,Precinct 3,President,,GRN,Howie Hawkins,0,1,0,1
Dawson,Precinct 3,U.S. Senate,,REP,John Cornyn,79,676,133,888
Dawson,Precinct 3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",19,100,47,166
Dawson,Precinct 3,U.S. Senate,,LIB,Kerry Douglas McKennon,0,13,7,20
Dawson,Precinct 3,U.S. Senate,,GRN,David B. Collins,1,3,2,6
Dawson,Precinct 3,U.S. House,11,,August Pfluger,76,646,125,847
Dawson,Precinct 3,U.S. House,11,,Jon Mark Hogg,22,123,56,201
Dawson,Precinct 3,U.S. House,11,,Wacey Alpha Cody,0,9,3,12
Dawson,Precinct 3,Railroad Commissioner,,REP,"James ""Jim""Wright",72,647,136,855
Dawson,Precinct 3,Railroad Commissioner,,DEM,Chrysta Castaneda,19,111,46,176
Dawson,Precinct 3,Railroad Commissioner,,LIB,Matt Sterett,2,14,4,20
Dawson,Precinct 3,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,3,0,4
Dawson,Precinct 3,State Senate,28,,Charles Perry,83,701,160,944
