county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Grimes,1,Registered Voters,,,,,,,1942
Grimes,1,Ballots Cast,,,DEM,14,30,45,89
Grimes,1,President,,Joseph R. Biden,DEM,,,,37
Grimes,1,President,,Tom Steyer,DEM,,,,0
Grimes,1,President,,Bernie Sanders,DEM,,,,17
Grimes,1,President,,Cory Booker,DEM,,,,0
Grimes,1,President,,Deval Patrick,DEM,,,,0
Grimes,1,President,,Pete Buttigieg,DEM,,,,4
Grimes,1,President,,Andrew Yang,DEM,,,,0
Grimes,1,President,,Elizabeth Warren,DEM,,,,10
Grimes,1,President,,John K. Delaney,DEM,,,,0
Grimes,1,President,,Micchael Bennet,DEM,,,,0
Grimes,1,President,,Michael R. Bloomberg,DEM,,,,13
Grimes,1,President,,Tulsi Gabbard,DEM,,,,0
Grimes,1,President,,Julian Castro,DEM,,,,0
Grimes,1,President,,Marianne Williamson,DEM,,,,0
Grimes,1,President,,Amy Klobuchar,DEM,,,,3
Grimes,1,President,,Robby Wells,DEM,,,,0
Grimes,1,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,1
Grimes,1,U.S. Senate,,Royce West,DEM,,,,12
Grimes,1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,,,,25
Grimes,1,U.S. Senate,,Victor Hugo Harris,DEM,,,,5
Grimes,1,U.S. Senate,,Jack Daniel Foster Jr.,DEM,,,,1
Grimes,1,U.S. Senate,,D. R. Hunter,DEM,,,,0
Grimes,1,U.S. Senate,,Chris Bell,DEM,,,,13
Grimes,1,U.S. Senate,,Adrian Ocegueda,DEM,,,,0
Grimes,1,U.S. Senate,,Michael Cooper,DEM,,,,0
Grimes,1,U.S. Senate,,Amanda K. Edwards,DEM,,,,6
Grimes,1,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,,,,4
Grimes,1,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,,,,2
Grimes,1,U.S. Senate,,Sema Hernandez,DEM,,,,4
Grimes,1,U.S. House,8,Laura Jones,DEM,,,,37
Grimes,1,U.S. House,8,Elizabeth Hernandez,DEM,,,,34
Grimes,1,Railroad Commissioner,,Chrysta Castaneda,DEM,,,,18
Grimes,1,Railroad Commissioner,,Kelly Strone,DEM,,,,19
Grimes,1,Railroad Commissioner,,Mark Watson,DEM,,,,16
Grimes,1,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,,,,16
Grimes,2,Registered Voters,,,,,,,837
Grimes,2,Ballots Cast,,,DEM,8,2,32,42
Grimes,2,President,,Joseph R. Biden,DEM,,,,19
Grimes,2,President,,Tom Steyer,DEM,,,,0
Grimes,2,President,,Bernie Sanders,DEM,,,,14
Grimes,2,President,,Cory Booker,DEM,,,,0
Grimes,2,President,,Deval Patrick,DEM,,,,0
Grimes,2,President,,Pete Buttigieg,DEM,,,,0
Grimes,2,President,,Andrew Yang,DEM,,,,0
Grimes,2,President,,Elizabeth Warren,DEM,,,,0
Grimes,2,President,,John K. Delaney,DEM,,,,1
Grimes,2,President,,Micchael Bennet,DEM,,,,0
Grimes,2,President,,Michael R. Bloomberg,DEM,,,,6
Grimes,2,President,,Tulsi Gabbard,DEM,,,,0
Grimes,2,President,,Julian Castro,DEM,,,,1
Grimes,2,President,,Marianne Williamson,DEM,,,,0
Grimes,2,President,,Amy Klobuchar,DEM,,,,1
Grimes,2,President,,Robby Wells,DEM,,,,0
Grimes,2,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,0
Grimes,2,U.S. Senate,,Royce West,DEM,,,,5
Grimes,2,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,,,,14
Grimes,2,U.S. Senate,,Victor Hugo Harris,DEM,,,,0
Grimes,2,U.S. Senate,,Jack Daniel Foster Jr.,DEM,,,,4
Grimes,2,U.S. Senate,,D. R. Hunter,DEM,,,,1
Grimes,2,U.S. Senate,,Chris Bell,DEM,,,,7
Grimes,2,U.S. Senate,,Adrian Ocegueda,DEM,,,,0
Grimes,2,U.S. Senate,,Michael Cooper,DEM,,,,1
Grimes,2,U.S. Senate,,Amanda K. Edwards,DEM,,,,2
Grimes,2,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,,,,3
Grimes,2,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,,,,2
Grimes,2,U.S. Senate,,Sema Hernandez,DEM,,,,1
Grimes,2,U.S. House,8,Laura Jones,DEM,,,,18
Grimes,2,U.S. House,8,Elizabeth Hernandez,DEM,,,,19
Grimes,2,Railroad Commissioner,,Chrysta Castaneda,DEM,,,,16
Grimes,2,Railroad Commissioner,,Kelly Strone,DEM,,,,11
Grimes,2,Railroad Commissioner,,Mark Watson,DEM,,,,7
Grimes,2,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,,,,5
Grimes,3,Registered Voters,,,,,,,1692
Grimes,3,Ballots Cast,,,DEM,21,49,125,195
Grimes,3,President,,Joseph R. Biden,DEM,,,,85
Grimes,3,President,,Tom Steyer,DEM,,,,3
Grimes,3,President,,Bernie Sanders,DEM,,,,46
Grimes,3,President,,Cory Booker,DEM,,,,2
Grimes,3,President,,Deval Patrick,DEM,,,,1
Grimes,3,President,,Pete Buttigieg,DEM,,,,1
Grimes,3,President,,Andrew Yang,DEM,,,,0
Grimes,3,President,,Elizabeth Warren,DEM,,,,9
Grimes,3,President,,John K. Delaney,DEM,,,,0
Grimes,3,President,,Micchael Bennet,DEM,,,,0
Grimes,3,President,,Michael R. Bloomberg,DEM,,,,34
Grimes,3,President,,Tulsi Gabbard,DEM,,,,1
Grimes,3,President,,Julian Castro,DEM,,,,0
Grimes,3,President,,Marianne Williamson,DEM,,,,1
Grimes,3,President,,Amy Klobuchar,DEM,,,,0
Grimes,3,President,,Robby Wells,DEM,,,,2
Grimes,3,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,1
Grimes,3,U.S. Senate,,Royce West,DEM,,,,36
Grimes,3,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,,,,19
Grimes,3,U.S. Senate,,Victor Hugo Harris,DEM,,,,7
Grimes,3,U.S. Senate,,Jack Daniel Foster Jr.,DEM,,,,7
Grimes,3,U.S. Senate,,D. R. Hunter,DEM,,,,5
Grimes,3,U.S. Senate,,Chris Bell,DEM,,,,24
Grimes,3,U.S. Senate,,Adrian Ocegueda,DEM,,,,4
Grimes,3,U.S. Senate,,Michael Cooper,DEM,,,,8
Grimes,3,U.S. Senate,,Amanda K. Edwards,DEM,,,,15
Grimes,3,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,,,,10
Grimes,3,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,,,,20
Grimes,3,U.S. Senate,,Sema Hernandez,DEM,,,,8
Grimes,3,U.S. House,8,Laura Jones,DEM,,,,81
Grimes,3,U.S. House,8,Elizabeth Hernandez,DEM,,,,71
Grimes,3,Railroad Commissioner,,Chrysta Castaneda,DEM,,,,44
Grimes,3,Railroad Commissioner,,Kelly Strone,DEM,,,,39
Grimes,3,Railroad Commissioner,,Mark Watson,DEM,,,,32
Grimes,3,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,,,,38
Grimes,4,Registered Voters,,,,,,,1386
Grimes,4,Ballots Cast,,,DEM,9,16,46,71
Grimes,4,President,,Joseph R. Biden,DEM,,,,42
Grimes,4,President,,Tom Steyer,DEM,,,,0
Grimes,4,President,,Bernie Sanders,DEM,,,,13
Grimes,4,President,,Cory Booker,DEM,,,,0
Grimes,4,President,,Deval Patrick,DEM,,,,0
Grimes,4,President,,Pete Buttigieg,DEM,,,,2
Grimes,4,President,,Andrew Yang,DEM,,,,0
Grimes,4,President,,Elizabeth Warren,DEM,,,,6
Grimes,4,President,,John K. Delaney,DEM,,,,0
Grimes,4,President,,Micchael Bennet,DEM,,,,0
Grimes,4,President,,Michael R. Bloomberg,DEM,,,,4
Grimes,4,President,,Tulsi Gabbard,DEM,,,,0
Grimes,4,President,,Julian Castro,DEM,,,,0
Grimes,4,President,,Marianne Williamson,DEM,,,,1
Grimes,4,President,,Amy Klobuchar,DEM,,,,0
Grimes,4,President,,Robby Wells,DEM,,,,1
Grimes,4,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,0
Grimes,4,U.S. Senate,,Royce West,DEM,,,,8
Grimes,4,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,,,,11
Grimes,4,U.S. Senate,,Victor Hugo Harris,DEM,,,,1
Grimes,4,U.S. Senate,,Jack Daniel Foster Jr.,DEM,,,,4
Grimes,4,U.S. Senate,,D. R. Hunter,DEM,,,,2
Grimes,4,U.S. Senate,,Chris Bell,DEM,,,,19
Grimes,4,U.S. Senate,,Adrian Ocegueda,DEM,,,,0
Grimes,4,U.S. Senate,,Michael Cooper,DEM,,,,0
Grimes,4,U.S. Senate,,Amanda K. Edwards,DEM,,,,6
Grimes,4,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,,,,5
Grimes,4,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,,,,7
Grimes,4,U.S. Senate,,Sema Hernandez,DEM,,,,2
Grimes,4,U.S. House,8,Laura Jones,DEM,,,,34
Grimes,4,U.S. House,8,Elizabeth Hernandez,DEM,,,,29
Grimes,4,Railroad Commissioner,,Chrysta Castaneda,DEM,,,,21
Grimes,4,Railroad Commissioner,,Kelly Strone,DEM,,,,14
Grimes,4,Railroad Commissioner,,Mark Watson,DEM,,,,12
Grimes,4,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,,,,14
Grimes,5,Registered Voters,,,,,,,1521
Grimes,5,Ballots Cast,,,DEM,11,54,59,124
Grimes,5,President,,Joseph R. Biden,DEM,,,,44
Grimes,5,President,,Tom Steyer,DEM,,,,2
Grimes,5,President,,Bernie Sanders,DEM,,,,22
Grimes,5,President,,Cory Booker,DEM,,,,0
