county,precinct,office,district,party,candidate,early_voting,election_day,votes
Brewster,1,Registered Voters,,,,,,2077
Brewster,1,Ballots Cast,,,,1286,163,1449
Brewster,1,President,,REP,Donald J Trump,787,101,888
Brewster,1,President,,DEM,Joseph R Biden,461,54,515
Brewster,1,President,,LIB,Jo Jorgensen,20,6,26
Brewster,1,President,,GRN,Howie Hawkins,1,0,1
Brewster,1,President,,,President R. Boddie (W),0,0,0
Brewster,1,President,,,Brian Carroll (W),0,0,0
Brewster,1,President,,,Todd Cella (W),0,0,0
Brewster,1,President,,,Jesse Cuellar (W),0,0,0
Brewster,1,President,,,Tom Heofling (W),0,0,0
Brewster,1,President,,,Gloria La Rivera (W),0,0,0
Brewster,1,President,,,Abram Loeb (W),0,0,0
Brewster,1,President,,,Robert Marrow (W),0,0,0
Brewster,1,President,,,Kasey Wells (W),0,0,0
Brewster,1,U.S. Senate,,REP,John Cornyn,785,104,889
Brewster,1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",453,46,499
Brewster,1,U.S. Senate,,LIB,Kerry Douglas McKennon,22,7,29
Brewster,1,U.S. Senate,,GRN,David B. Collins,1,2,3
Brewster,1,U.S. Senate,,,Ricardo Turullols-Bonilla (W),0,0,0
Brewster,1,U.S. House,23,REP,Tony Gonzales,769,100,869
Brewster,1,U.S. House,23,DEM,Gina Ortiz Jones,473,48,521
Brewster,1,U.S. House,23,LIB,Beto Villela,27,5,32
Brewster,1,Railroad Commissioner,,REP,"James ""Jim""Wright",759,97,856
Brewster,1,Railroad Commissioner,,DEM,Chrysta Castaneda,433,48,481
Brewster,1,Railroad Commissioner,,LIB,Matt Sterett,34,8,42
Brewster,1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",17,1,18
Brewster,1,State Senate,19,REP,"Peter ""Pete""Flores",787,101,888
Brewster,1,State Senate,19,DEM,Roland Gutierrez,426,48,474
Brewster,1,State Senate,19,LIB,Jo-Anne Valdivia,42,4,46
Brewster,1,State Representative,74,REP,Ruben Falcon,768,94,862
Brewster,1,State Representative,74,DEM,Eddie Morales,478,53,531
Brewster,2,Registered Voters,,,,,,1231
Brewster,2,Ballots Cast,,,,709,100,809
Brewster,2,President,,REP,Donald J Trump,322,66,388
Brewster,2,President,,DEM,Joseph R Biden,358,31,389
Brewster,2,President,,LIB,Jo Jorgensen,17,3,20
Brewster,2,President,,GRN,Howie Hawkins,1,0,1
Brewster,2,President,,,President R. Boddie (W),0,0,0
Brewster,2,President,,,Brian Carroll (W),0,0,0
Brewster,2,President,,,Todd Cella (W),0,0,0
