county,precinct,office,district,candidate,party,votes,early_voting,election_day
Hopkins,1,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,0,1
Hopkins,1,President,,Zoltan G. Istvan,REP,0,0,0
Hopkins,1,President,,Bill Weld,REP,3,2,1
Hopkins,1,President,,Bob Ely,REP,0,0,0
Hopkins,1,President,,Matthew John Matern,REP,0,0,0
Hopkins,1,President,,Donald J. Trump,REP,440,206,234
Hopkins,1,President,,Joe Walsh,REP,3,3,0
Hopkins,1,President,,Uncommitted,REP,5,1,4
Hopkins,1,U.S. Senate,,Virgil Bierschwale,REP,3,1,2
Hopkins,1,U.S. Senate,,Mark Yancey,REP,24,13,11
Hopkins,1,U.S. Senate,,John Cornyn,REP,331,162,169
Hopkins,1,U.S. Senate,,Dwayne Stovall,REP,50,21,29
Hopkins,1,U.S. Senate,,John Anthony Castro,REP,8,4,4
Hopkins,1,U.S. House,No. 4,John Ratcliffe,REP,428,201,227
Hopkins,1,Railroad Commissioner,,"James ""Jim"" Wright",REP,246,112,134
Hopkins,1,Railroad Commissioner,,Ryan Sitton,REP,142,75,67
Hopkins,1,"Chief Justice, Supreme Court",,Nathan Hecht,REP,385,185,200
Hopkins,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jane Bland,REP,380,179,201
Hopkins,1,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,379,179,200
Hopkins,1,"Justice, Supreme Court, Place 8",,Brett Busby,REP,375,176,199
Hopkins,1,"Judge, Court of Criminal Appeals, Place 3",,Gina Parker,REP,179,78,101
Hopkins,1,"Judge, Court of Criminal Appeals, Place 3",,Bert Richardson,REP,184,97,87
Hopkins,1,"Judge, Court of Criminal Appeals, Place 4",,Kevin Patrick Yeary,REP,371,174,197
Hopkins,1,"Judge, Court of Criminal Appeals, Place 9",,David Newell,REP,369,173,196
Hopkins,1,"Member, State Board of Education",9,Keven M. Ellis,REP,373,176,197
Hopkins,1,State Representative,2,Dan Flynn,REP,179,72,107
Hopkins,1,State Representative,2,Bryan Slaton,REP,196,107,89
Hopkins,1,State Representative,2,"Dwayne ""Doc"" Collins",REP,62,32,30
Hopkins,1,"Justice, 6th Court of Appeals District, Place 3",,Ralph K. Burgess,REP,370,175,195
Hopkins,1,"District Judge, 8th Judicial District",,Eddie Northcutt,REP,427,200,227
Hopkins,1,"District Judge, 62nd Judicial District",,Will Biard,REP,388,186,202
Hopkins,1,"District Attorney, 8th Judicial District",,Will Ramsay,REP,420,202,218
Hopkins,1,County Attorney,,Dustanna Hyde Rabe,REP,405,189,216
Hopkins,1,Sheriff,,Lewis Tatum,REP,415,192,223
Hopkins,1,County Tax Assessor-Collector,,Debbie Pogue Mitchell,REP,416,199,217
Hopkins,1,"County Commissioner, Precinct 1",,Mickey Barker,REP,397,185,212
Hopkins,1,"Constable, Precinct No. 1",,Norman Colyer,REP,408,196,212
