county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day,provisional
Clay,Pct. 1,BALLOTS CAST TOTAL,,,,687,86,515,86,
Clay,Pct. 1,BALLOTS CAST BLANK,,,,0,0,0,0,
Clay,Pct. 1,President,,REP,Donald J. Trump / Michael R. Pence,588,55,451,82,
Clay,Pct. 1,President,,DEM,Joseph R. Biden / Kamala D. Harris,94,31,60,3,
Clay,Pct. 1,President,,LBT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1,0,1,0,
Clay,Pct. 1,President,,GRE,Howie Hawkins / Angela Walker,2,0,1,1,
Clay,Pct. 1,President,,,Write-in,1,0,1,0,
Clay,Pct. 1,U.S. Senate,,REP,John Cornyn,572,54,441,77,
Clay,Pct. 1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",94,28,61,5,
Clay,Pct. 1,U.S. Senate,,LBT,Kerry Douglas McKennon,4,0,3,1,
Clay,Pct. 1,U.S. Senate,,GRE,David B. Collins,5,0,4,1,
Clay,Pct. 1,U.S. Senate,,,Write-in,1,0,0,1,
Clay,Pct. 1,U.S. House,13,REP,Ronny Jackson,566,42,443,81,
Clay,Pct. 1,U.S. House,13,DEM,Gus Trujillo,85,20,62,3,
Clay,Pct. 1,U.S. House,13,LBT,Jack B. Westbrook,6,0,5,1,
Clay,Pct. 1,Railroad Commissioner,,REP,"James ""Jim"" Wright",563,41,442,80,
Clay,Pct. 1,Railroad Commissioner,,DEM,Chrysta Castaneda,84,21,59,4,
Clay,Pct. 1,Railroad Commissioner,,LBT,Matt Sterett,2,0,2,0,
Clay,Pct. 1,Railroad Commissioner,,GRE,Katija “Kat” Gruene,2,0,1,1,
Clay,Pct. 1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,549,35,436,78,
Clay,Pct. 1,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,96,24,67,5,
Clay,Pct. 1,"Chief Justice, Supreme Court",,LBT,Mark Ash,8,1,5,2,
Clay,Pct. 1,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,567,38,448,81,
Clay,Pct. 1,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,83,19,60,4,
Clay,Pct. 1,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,552,34,440,78,
Clay,Pct. 1,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,97,25,65,7,
Clay,Pct. 1,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,2,0,2,0,
Clay,Pct. 1,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,562,39,443,80,
Clay,Pct. 1,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,86,21,60,5,
Clay,Pct. 1,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,4,0,4,0,
Clay,Pct. 1,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,561,39,442,80,
Clay,Pct. 1,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,94,23,66,5,
Clay,Pct. 1,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,561,37,445,79,
Clay,Pct. 1,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,93,25,62,6,
Clay,Pct. 1,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,564,40,445,79,
Clay,Pct. 1,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,90,22,62,6,
Clay,Pct. 1,"Member, State BoE, Dist 15",,REP,Jay Johnson,561,39,441,81,
Clay,Pct. 1,"Member, State BoE, Dist 15",,DEM,John Betancourt,91,22,65,4,
Clay,Pct. 1,State Representative,69,REP,James B. Frank,618,45,489,84,
Clay,Pct. 1,"Justice, 2nd Ct of App Dist, Pl 2",,REP,Dana Womack,618,45,489,84,
Clay,Pct. 1,"Justice, 2nd Ct of App Dist, Pl 6",,REP,Mike Wallach,553,34,442,77,
Clay,Pct. 1,"Justice, 2nd Ct of App Dist, Pl 6",,DEM,Delonia A. Watson,96,26,63,7,
Clay,Pct. 1,"Justice, 2nd Ct of App Dist, Pl 7",,REP,Brian Walker,616,42,490,84,
Clay,Pct. 1,"Dist Judge, 97th Judicial Dist",,REP,Jack McGaughey,616,44,488,84,
Clay,Pct. 1,"Dist Attorney, 97th Judicial Dist",,REP,Casey Polhemus,601,43,475,83,
Clay,Pct. 6,BALLOTS CAST TOTAL,,,,307,29,141,137,
Clay,Pct. 6,BALLOTS CAST BLANK,,,,0,0,0,0,
Clay,Pct. 6,President,,REP,Donald J. Trump / Michael R. Pence,257,22,117,118,
Clay,Pct. 6,President,,DEM,Joseph R. Biden / Kamala D. Harris,44,6,23,15,
Clay,Pct. 6,President,,LBT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",3,0,0,3,
Clay,Pct. 6,President,,GRE,Howie Hawkins / Angela Walker,2,1,0,1,
Clay,Pct. 6,President,,,Write-in,0,0,0,0,
Clay,Pct. 6,U.S. Senate,,REP,John Cornyn,242,15,114,113,
Clay,Pct. 6,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",50,6,24,20,
Clay,Pct. 6,U.S. Senate,,LBT,Kerry Douglas McKennon,2,0,0,2,
Clay,Pct. 6,U.S. Senate,,GRE,David B. Collins,4,2,0,2,
Clay,Pct. 6,U.S. Senate,,,Write-in,1,1,0,0,
Clay,Pct. 6,U.S. House,13,REP,Ronny Jackson,251,16,118,117,
Clay,Pct. 6,U.S. House,13,DEM,Gus Trujillo,42,6,22,14,
Clay,Pct. 6,U.S. House,13,LBT,Jack B. Westbrook,7,2,1,4,
Clay,Pct. 6,Railroad Commissioner,,REP,"James ""Jim"" Wright",246,15,116,115,
Clay,Pct. 6,Railroad Commissioner,,DEM,Chrysta Castaneda,42,7,22,13,
Clay,Pct. 6,Railroad Commissioner,,LBT,Matt Sterett,6,0,0,6,
Clay,Pct. 6,Railroad Commissioner,,GRE,Katija “Kat” Gruene,5,1,2,2,
Clay,Pct. 6,"Chief Justice, Supreme Court",,REP,Nathan Hecht,244,15,117,112,
Clay,Pct. 6,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,46,7,23,16,
Clay,Pct. 6,"Chief Justice, Supreme Court",,LBT,Mark Ash,10,1,1,8,
Clay,Pct. 6,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,249,13,117,119,
Clay,Pct. 6,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,48,8,23,17,
Clay,Pct. 6,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,250,15,118,117,
Clay,Pct. 6,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,43,6,22,15,
Clay,Pct. 6,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,6,1,1,4,
Clay,Pct. 6,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,247,14,117,116,
Clay,Pct. 6,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,44,6,22,16,
Clay,Pct. 6,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,7,2,1,4,
Clay,Pct. 6,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,247,14,117,116,
Clay,Pct. 6,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,52,8,24,20,
Clay,Pct. 6,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,247,13,117,117,
Clay,Pct. 6,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,51,9,23,19,
Clay,Pct. 6,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,251,15,116,120,
Clay,Pct. 6,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,46,7,23,16,
Clay,Pct. 6,"Member, State BoE, Dist 15",,REP,Jay Johnson,244,15,117,112,
Clay,Pct. 6,"Member, State BoE, Dist 15",,DEM,John Betancourt,53,7,23,23,
Clay,Pct. 6,State Representative,69,REP,James B. Frank,279,15,132,132,
Clay,Pct. 6,"Justice, 2nd Ct of App Dist, Pl 2",,REP,Dana Womack,275,11,131,133,
Clay,Pct. 6,"Justice, 2nd Ct of App Dist, Pl 6",,REP,Mike Wallach,245,12,118,115,
Clay,Pct. 6,"Justice, 2nd Ct of App Dist, Pl 6",,DEM,Delonia A. Watson,48,6,22,20,
Clay,Pct. 6,"Justice, 2nd Ct of App Dist, Pl 7",,REP,Brian Walker,277,11,133,133,
Clay,Pct. 6,"Dist Judge, 97th Judicial Dist",,REP,Jack McGaughey,276,11,133,132,
Clay,Pct. 6,"Dist Attorney, 97th Judicial Dist",,REP,Casey Polhemus,278,11,133,134,
Clay,Pct. 8,BALLOTS CAST TOTAL,,,,605,33,479,93,
Clay,Pct. 8,BALLOTS CAST BLANK,,,,0,0,0,0,
Clay,Pct. 8,President,,REP,Donald J. Trump / Michael R. Pence,513,18,416,79,
Clay,Pct. 8,President,,DEM,Joseph R. Biden / Kamala D. Harris,74,14,52,8,
Clay,Pct. 8,President,,LBT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",12,0,7,5,
Clay,Pct. 8,President,,GRE,Howie Hawkins / Angela Walker,1,0,1,0,
Clay,Pct. 8,President,,,Write-in,3,1,1,1,
Clay,Pct. 8,U.S. Senate,,REP,John Cornyn,517,20,419,78,
Clay,Pct. 8,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",73,13,51,9,
Clay,Pct. 8,U.S. Senate,,LBT,Kerry Douglas McKennon,10,0,6,4,
Clay,Pct. 8,U.S. Senate,,GRE,David B. Collins,4,0,3,1,
Clay,Pct. 8,U.S. Senate,,,Write-in,0,0,0,0,
Clay,Pct. 8,U.S. House,13,REP,Ronny Jackson,513,17,418,78,
Clay,Pct. 8,U.S. House,13,DEM,Gus Trujillo,73,15,51,7,
Clay,Pct. 8,U.S. House,13,LBT,Jack B. Westbrook,16,0,9,7,
Clay,Pct. 8,Railroad Commissioner,,REP,"James ""Jim"" Wright",517,19,416,82,
Clay,Pct. 8,Railroad Commissioner,,DEM,Chrysta Castaneda,70,11,51,8,
