candidate,office,district,party,county,precinct,votes,election_day,early_voting,absentee
Ballots Cast,,,,Austin,Precinct 101,954,99,775,80
Donald J Trump,President,,REP,Austin,Precinct 101,751,84,611,56
Joseph R Biden,President,,DEM,Austin,Precinct 101,187,12,152,23
Jo Jorgensen,President,,LIB,Austin,Precinct 101,8,1,7,0
Howie Hawkins,President,,GRN,Austin,Precinct 101,1,0,1,0
Write-In Totals,President,,,Austin,Precinct 101,3,1,2,0
Tom Hoefling (W),President,,,Austin,Precinct 101,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 101,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 101,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 101,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 101,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 101,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 101,0,0,0,0
Brian Carroll (W),President,,,Austin,Precinct 101,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 101,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 101,0,0,0,0
Not Assigned,President,,,Austin,Precinct 101,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 101,759,83,618,58
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 101,175,12,143,20
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 101,10,2,8,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 101,2,0,2,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 101,1,1,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 101,1,1,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 101,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 101,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 101,770,83,625,62
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 101,160,13,134,13
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 101,13,3,10,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 101,752,84,612,56
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 101,167,14,138,15
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 101,16,1,14,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 101,5,0,5,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 101,786,86,635,65
Michael Antalan,State Senate,18,DEM,Austin,Precinct 101,155,12,131,12
Ben Leman,State Representative,13,REP,Austin,Precinct 101,879,96,719,64
Ballots Cast,,,,Austin,Precinct 102,1039,101,859,79
Donald J Trump,President,,REP,Austin,Precinct 102,808,77,683,48
Joseph R Biden,President,,DEM,Austin,Precinct 102,217,21,166,30
Jo Jorgensen,President,,LIB,Austin,Precinct 102,7,1,6,0
Howie Hawkins,President,,GRN,Austin,Precinct 102,4,2,2,0
Write-In Totals,President,,,Austin,Precinct 102,2,0,2,0
Tom Hoefling (W),President,,,Austin,Precinct 102,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 102,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 102,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 102,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 102,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 102,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 102,2,0,2,0
Brian Carroll (W),President,,,Austin,Precinct 102,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 102,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 102,0,0,0,0
Not Assigned,President,,,Austin,Precinct 102,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 102,800,73,681,46
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 102,215,22,163,30
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 102,16,4,12,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 102,1,1,0,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 102,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 102,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 102,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 102,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 102,811,76,686,49
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 102,204,19,156,29
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 102,17,4,13,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 102,800,75,678,47
