county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
San Jacinto,1 - CSCITY,President,,REP,Donald J Trump,24,236,22,282
San Jacinto,1 - CSCITY,President,,DEM,Joseph R Biden,14,85,15,114
San Jacinto,1 - CSCITY,President,,LIB,Jo Jorgensen,0,1,1,2
San Jacinto,1 - CSCITY,President,,GRN,Howie Hawkins,0,0,0,0
San Jacinto,1 - CSCITY,President,,,President R. Boddie (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Todd Cella (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Kasey Wells (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Abram Loeb (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Brian Carroll (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Jesse Cuellar (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Robert Morrow (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Gloria La Riva (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Tom Hoefling (W),0,0,0,0
San Jacinto,1 - CSCITY,President,,,Undervotes,0,0,0,0
San Jacinto,1 - CSCITY,President,,,Overvotes,0,0,0,0
San Jacinto,1 - CSCITY,U.S. Senate,,REP,John Cornyn,25,223,21,269
San Jacinto,1 - CSCITY,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",11,83,11,105
San Jacinto,1 - CSCITY,U.S. Senate,,LIB,Kerry Douglas McKennon,0,3,3,6
San Jacinto,1 - CSCITY,U.S. Senate,,GRN,David B. Collins,0,2,0,2
San Jacinto,1 - CSCITY,U.S. Senate,,,Ricardo Turullols-Bonilla (W),0,0,0,0
San Jacinto,1 - CSCITY,U.S. Senate,,,Undervotes,2,11,3,16
San Jacinto,1 - CSCITY,U.S. Senate,,,Overvotes,0,0,0,0
San Jacinto,1 - CSCITY,U.S. House,8,REP,Kevin Brady,26,231,23,280
San Jacinto,1 - CSCITY,U.S. House,8,DEM,Elizabeth Hernandez,12,74,12,98
San Jacinto,1 - CSCITY,U.S. House,8,LIB,Chris Duncan,0,4,0,4
San Jacinto,1 - CSCITY,U.S. House,8,,Undervotes,0,13,3,16
San Jacinto,1 - CSCITY,U.S. House,8,,Overvotes,0,0,0,0
San Jacinto,1 - CSCITY,Railroad Commissioner,,REP,"James ""Jim""Wright",25,224,22,271
San Jacinto,1 - CSCITY,Railroad Commissioner,,DEM,Chrysta Castaneda,12,81,12,105
