id,county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
1,Jim Hogg,Precinct 1,Ballots Cast,,,,,,,553
2,Jim Hogg,Precinct 1,President,,REP,Donald J Trump,26,97,96,219
3,Jim Hogg,Precinct 1,President,,DEM,Joseph R Biden,80,154,84,318
4,Jim Hogg,Precinct 1,President,,LIB,Jo Jorgensen,0,0,0,0
5,Jim Hogg,Precinct 1,President,,GRN,Howie Hawkins,0,0,0,0
6,Jim Hogg,Precinct 1,President,,,Over Votes,0,0,1,1
7,Jim Hogg,Precinct 1,President,,,Under Votes,5,6,4,15
8,Jim Hogg,Precinct 1,U.S. Senate,,REP,John Cornyn,18,63,75,156
9,Jim Hogg,Precinct 1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",75,149,82,306
10,Jim Hogg,Precinct 1,U.S. Senate,,LIB,Kerry Douglas McKennon,0,5,3,8
11,Jim Hogg,Precinct 1,U.S. Senate,,GRN,David B. Collins,1,5,2,8
12,Jim Hogg,Precinct 1,U.S. Senate,,,Over Votes,0,0,0,0
13,Jim Hogg,Precinct 1,U.S. Senate,,,Under Votes,17,35,23,75
14,Jim Hogg,Precinct 1,U.S. House,15,,Monica De La Cruz-Hernandez,5,51,61,117
15,Jim Hogg,Precinct 1,U.S. House,15,,Vicente Gonzalez,93,176,99,368
16,Jim Hogg,Precinct 1,U.S. House,15,,Ross Lynn Leone,0,2,0,2
17,Jim Hogg,Precinct 1,U.S. House,15,,Over Votes,1,0,0,1
18,Jim Hogg,Precinct 1,U.S. House,15,,Under Votes,12,28,25,65
19,Jim Hogg,Precinct 1,Railroad Commissioner,,REP,"James ""Jim"" Wright",10,55,64,129
20,Jim Hogg,Precinct 1,Railroad Commissioner,,DEM,Chrysta Castaneda,81,156,83,320
21,Jim Hogg,Precinct 1,Railroad Commissioner,,LIB,Matt Sterett,0,2,4,6
22,Jim Hogg,Precinct 1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,3,3,6
