county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Hays,110,President,,DEM,Joseph R. Biden,100,,,
Hays,111,President,,DEM,Joseph R. Biden,19,,,
Hays,112,President,,DEM,Joseph R. Biden,134,,,
Hays,113,President,,DEM,Joseph R. Biden,63,,,
Hays,114,President,,DEM,Joseph R. Biden,112,,,
Hays,115,President,,DEM,Joseph R. Biden,42,,,
Hays,120,President,,DEM,Joseph R. Biden,47,,,
Hays,121,President,,DEM,Joseph R. Biden,24,,,
Hays,122,President,,DEM,Joseph R. Biden,16,,,
Hays,123,President,,DEM,Joseph R. Biden,53,,,
Hays,125,President,,DEM,Joseph R. Biden,155,,,
Hays,126,President,,DEM,Joseph R. Biden,124,,,
Hays,127,President,,DEM,Joseph R. Biden,42,,,
Hays,128,President,,DEM,Joseph R. Biden,122,,,
Hays,129,President,,DEM,Joseph R. Biden,82,,,
Hays,130,President,,DEM,Joseph R. Biden,140,,,
Hays,220,President,,DEM,Joseph R. Biden,142,,,
Hays,221,President,,DEM,Joseph R. Biden,110,,,
Hays,222,President,,DEM,Joseph R. Biden,83,,,
Hays,223,President,,DEM,Joseph R. Biden,149,,,
Hays,224,President,,DEM,Joseph R. Biden,144,,,
Hays,225,President,,DEM,Joseph R. Biden,88,,,
Hays,226,President,,DEM,Joseph R. Biden,185,,,
Hays,227,President,,DEM,Joseph R. Biden,128,,,
Hays,228,President,,DEM,Joseph R. Biden,184,,,
Hays,229,President,,DEM,Joseph R. Biden,58,,,
Hays,230,President,,DEM,Joseph R. Biden,82,,,
Hays,231,President,,DEM,Joseph R. Biden,98,,,
Hays,232,President,,DEM,Joseph R. Biden,119,,,
Hays,233,President,,DEM,Joseph R. Biden,53,,,
Hays,234,President,,DEM,Joseph R. Biden,32,,,
Hays,235,President,,DEM,Joseph R. Biden,212,,,
Hays,236,President,,DEM,Joseph R. Biden,98,,,
Hays,238,President,,DEM,Joseph R. Biden,12,,,
Hays,301,President,,DEM,Joseph R. Biden,0,,,
Hays,315,President,,DEM,Joseph R. Biden,260,,,
Hays,316,President,,DEM,Joseph R. Biden,107,,,
Hays,317,President,,DEM,Joseph R. Biden,25,,,
Hays,318,President,,DEM,Joseph R. Biden,5,,,
Hays,330,President,,DEM,Joseph R. Biden,93,,,
Hays,332,President,,DEM,Joseph R. Biden,171,,,
Hays,333,President,,DEM,Joseph R. Biden,261,,,
Hays,334,President,,DEM,Joseph R. Biden,38,,,
Hays,335,President,,DEM,Joseph R. Biden,215,,,
Hays,336,President,,DEM,Joseph R. Biden,104,,,
Hays,337,President,,DEM,Joseph R. Biden,171,,,
Hays,338,President,,DEM,Joseph R. Biden,158,,,
Hays,339,President,,DEM,Joseph R. Biden,58,,,
Hays,340,President,,DEM,Joseph R. Biden,100,,,
Hays,413,President,,DEM,Joseph R. Biden,17,,,
