county,precinct,office,district,party,candidate,mail,early_voting,election_day,votes
Lubbock,1,Ballots Cast,,DEM,,,,,314
Lubbock,2,Ballots Cast,,DEM,,,,,213
Lubbock,3,Ballots Cast,,DEM,,,,,303
Lubbock,4,Ballots Cast,,DEM,,,,,117
Lubbock,5,Ballots Cast,,DEM,,,,,144
Lubbock,6,Ballots Cast,,DEM,,,,,183
Lubbock,7,Ballots Cast,,DEM,,,,,170
Lubbock,8,Ballots Cast,,DEM,,,,,289
Lubbock,9,Ballots Cast,,DEM,,,,,295
Lubbock,10,Ballots Cast,,DEM,,,,,139
Lubbock,12,Ballots Cast,,DEM,,,,,227
Lubbock,13,Ballots Cast,,DEM,,,,,204
Lubbock,14,Ballots Cast,,DEM,,,,,119
Lubbock,15,Ballots Cast,,DEM,,,,,387
Lubbock,16,Ballots Cast,,DEM,,,,,168
Lubbock,17,Ballots Cast,,DEM,,,,,111
Lubbock,18,Ballots Cast,,DEM,,,,,169
Lubbock,19,Ballots Cast,,DEM,,,,,171
Lubbock,20,Ballots Cast,,DEM,,,,,193
Lubbock,21,Ballots Cast,,DEM,,,,,145
Lubbock,22,Ballots Cast,,DEM,,,,,201
Lubbock,23,Ballots Cast,,DEM,,,,,180
Lubbock,24,Ballots Cast,,DEM,,,,,194
Lubbock,25,Ballots Cast,,DEM,,,,,165
Lubbock,26,Ballots Cast,,DEM,,,,,182
Lubbock,27,Ballots Cast,,DEM,,,,,265
Lubbock,28,Ballots Cast,,DEM,,,,,295
Lubbock,29,Ballots Cast,,DEM,,,,,146
Lubbock,30,Ballots Cast,,DEM,,,,,248
Lubbock,31,Ballots Cast,,DEM,,,,,77
Lubbock,33,Ballots Cast,,DEM,,,,,146
Lubbock,34,Ballots Cast,,DEM,,,,,18
Lubbock,35,Ballots Cast,,DEM,,,,,41
Lubbock,36,Ballots Cast,,DEM,,,,,131
Lubbock,38,Ballots Cast,,DEM,,,,,145
Lubbock,39,Ballots Cast,,DEM,,,,,109
Lubbock,40,Ballots Cast,,DEM,,,,,106
Lubbock,41,Ballots Cast,,DEM,,,,,113
Lubbock,43,Ballots Cast,,DEM,,,,,17
Lubbock,44,Ballots Cast,,DEM,,,,,74
Lubbock,45,Ballots Cast,,DEM,,,,,25
Lubbock,46,Ballots Cast,,DEM,,,,,102
Lubbock,47,Ballots Cast,,DEM,,,,,239
Lubbock,49,Ballots Cast,,DEM,,,,,149
Lubbock,50,Ballots Cast,,DEM,,,,,137
Lubbock,51,Ballots Cast,,DEM,,,,,12
Lubbock,52,Ballots Cast,,DEM,,,,,302
Lubbock,53,Ballots Cast,,DEM,,,,,231
Lubbock,54,Ballots Cast,,DEM,,,,,255
Lubbock,56,Ballots Cast,,DEM,,,,,32
Lubbock,57,Ballots Cast,,DEM,,,,,241
Lubbock,58,Ballots Cast,,DEM,,,,,116
Lubbock,59,Ballots Cast,,DEM,,,,,228
Lubbock,60,Ballots Cast,,DEM,,,,,106
Lubbock,62,Ballots Cast,,DEM,,,,,198
Lubbock,63,Ballots Cast,,DEM,,,,,6
Lubbock,65,Ballots Cast,,DEM,,,,,47
Lubbock,66,Ballots Cast,,DEM,,,,,206
Lubbock,67,Ballots Cast,,DEM,,,,,176
Lubbock,72,Ballots Cast,,DEM,,,,,237
Lubbock,75,Ballots Cast,,DEM,,,,,79
Lubbock,76,Ballots Cast,,DEM,,,,,160
Lubbock,78,Ballots Cast,,DEM,,,,,231
Lubbock,92,Ballots Cast,,DEM,,,,,18
Lubbock,96,Ballots Cast,,DEM,,,,,25
Lubbock,102,Ballots Cast,,DEM,,,,,12
Lubbock,104,Ballots Cast,,DEM,,,,,57
Lubbock,109,Ballots Cast,,DEM,,,,,247
Lubbock,110,Ballots Cast,,DEM,,,,,260
Lubbock,111,Ballots Cast,,DEM,,,,,96
Lubbock,112,Ballots Cast,,DEM,,,,,9
Lubbock,113,Ballots Cast,,DEM,,,,,223
Lubbock,114,Ballots Cast,,DEM,,,,,99
Lubbock,118,Ballots Cast,,DEM,,,,,158
Lubbock,119,Ballots Cast,,DEM,,,,,255
Lubbock,120,Ballots Cast,,DEM,,,,,119
Lubbock,121,Ballots Cast,,DEM,,,,,148
Lubbock,122,Ballots Cast,,DEM,,,,,103
Lubbock,123,Ballots Cast,,DEM,,,,,166
Lubbock,124,Ballots Cast,,DEM,,,,,175
Lubbock,125,Ballots Cast,,DEM,,,,,164
Lubbock,126,Ballots Cast,,DEM,,,,,151
Lubbock,127,Ballots Cast,,DEM,,,,,224
Lubbock,128,Ballots Cast,,DEM,,,,,151
Lubbock,129,Ballots Cast,,DEM,,,,,258
Lubbock,135,Ballots Cast,,DEM,,,,,23
Lubbock,138,Ballots Cast,,DEM,,,,,12
Lubbock,140,Ballots Cast,,DEM,,,,,235
Lubbock,141,Ballots Cast,,DEM,,,,,249
Lubbock,142,Ballots Cast,,DEM,,,,,9
Lubbock,151,Ballots Cast,,DEM,,,,,50
Lubbock,152,Ballots Cast,,DEM,,,,,176
Lubbock,153,Ballots Cast,,DEM,,,,,148
Lubbock,154,Ballots Cast,,DEM,,,,,218
Lubbock,155,Ballots Cast,,DEM,,,,,109
Lubbock,159,Ballots Cast,,DEM,,,,,0
Lubbock,178,Ballots Cast,,DEM,,,,,6
Lubbock,1,President,,DEM,Amy Klobuchar,0,6,3,9
Lubbock,2,President,,DEM,Amy Klobuchar,0,3,0,3
Lubbock,3,President,,DEM,Amy Klobuchar,0,8,5,13
Lubbock,4,President,,DEM,Amy Klobuchar,0,3,1,4
Lubbock,5,President,,DEM,Amy Klobuchar,0,4,0,4
Lubbock,6,President,,DEM,Amy Klobuchar,0,4,1,5
Lubbock,7,President,,DEM,Amy Klobuchar,0,5,0,5
Lubbock,8,President,,DEM,Amy Klobuchar,0,2,2,4
Lubbock,9,President,,DEM,Amy Klobuchar,2,15,1,18
Lubbock,10,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,12,President,,DEM,Amy Klobuchar,2,7,0,9
Lubbock,13,President,,DEM,Amy Klobuchar,0,9,0,9
Lubbock,14,President,,DEM,Amy Klobuchar,3,0,1,4
Lubbock,15,President,,DEM,Amy Klobuchar,3,8,0,11
Lubbock,16,President,,DEM,Amy Klobuchar,0,1,1,2
Lubbock,17,President,,DEM,Amy Klobuchar,0,1,1,2
Lubbock,18,President,,DEM,Amy Klobuchar,1,5,2,8
Lubbock,19,President,,DEM,Amy Klobuchar,0,4,0,4
Lubbock,20,President,,DEM,Amy Klobuchar,0,4,4,8
Lubbock,21,President,,DEM,Amy Klobuchar,0,4,3,7
Lubbock,22,President,,DEM,Amy Klobuchar,0,4,1,5
Lubbock,23,President,,DEM,Amy Klobuchar,0,5,0,5
Lubbock,24,President,,DEM,Amy Klobuchar,2,3,0,5
Lubbock,25,President,,DEM,Amy Klobuchar,1,3,0,4
Lubbock,26,President,,DEM,Amy Klobuchar,1,3,1,5
Lubbock,27,President,,DEM,Amy Klobuchar,1,8,1,10
Lubbock,28,President,,DEM,Amy Klobuchar,0,7,1,8
Lubbock,29,President,,DEM,Amy Klobuchar,0,4,2,6
Lubbock,30,President,,DEM,Amy Klobuchar,0,8,2,10
Lubbock,31,President,,DEM,Amy Klobuchar,0,2,0,2
Lubbock,33,President,,DEM,Amy Klobuchar,0,4,2,6
Lubbock,34,President,,DEM,Amy Klobuchar,0,1,0,1
Lubbock,35,President,,DEM,Amy Klobuchar,0,2,0,2
Lubbock,36,President,,DEM,Amy Klobuchar,2,6,1,9
Lubbock,38,President,,DEM,Amy Klobuchar,0,4,3,7
Lubbock,39,President,,DEM,Amy Klobuchar,3,5,0,8
Lubbock,40,President,,DEM,Amy Klobuchar,0,2,0,2
Lubbock,41,President,,DEM,Amy Klobuchar,0,3,0,3
Lubbock,43,President,,DEM,Amy Klobuchar,0,2,0,2
Lubbock,44,President,,DEM,Amy Klobuchar,1,1,2,4
Lubbock,45,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,46,President,,DEM,Amy Klobuchar,0,5,0,5
Lubbock,47,President,,DEM,Amy Klobuchar,3,6,1,10
Lubbock,49,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,50,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,51,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,52,President,,DEM,Amy Klobuchar,0,10,3,13
Lubbock,53,President,,DEM,Amy Klobuchar,1,3,2,6
Lubbock,54,President,,DEM,Amy Klobuchar,0,10,1,11
Lubbock,56,President,,DEM,Amy Klobuchar,0,4,0,4
Lubbock,57,President,,DEM,Amy Klobuchar,0,5,0,5
Lubbock,58,President,,DEM,Amy Klobuchar,0,2,1,3
Lubbock,59,President,,DEM,Amy Klobuchar,0,4,0,4
Lubbock,60,President,,DEM,Amy Klobuchar,0,5,1,6
Lubbock,62,President,,DEM,Amy Klobuchar,0,9,0,9
Lubbock,63,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,65,President,,DEM,Amy Klobuchar,0,2,0,2
Lubbock,66,President,,DEM,Amy Klobuchar,3,8,2,13
Lubbock,67,President,,DEM,Amy Klobuchar,1,2,0,3
Lubbock,72,President,,DEM,Amy Klobuchar,0,4,1,5
Lubbock,75,President,,DEM,Amy Klobuchar,0,3,0,3
Lubbock,76,President,,DEM,Amy Klobuchar,0,3,0,3
Lubbock,78,President,,DEM,Amy Klobuchar,0,11,1,12
Lubbock,92,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,96,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,102,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,104,President,,DEM,Amy Klobuchar,0,4,0,4
Lubbock,109,President,,DEM,Amy Klobuchar,1,9,1,11
Lubbock,110,President,,DEM,Amy Klobuchar,5,9,0,14
Lubbock,111,President,,DEM,Amy Klobuchar,3,3,1,7
Lubbock,112,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,113,President,,DEM,Amy Klobuchar,1,3,0,4
Lubbock,114,President,,DEM,Amy Klobuchar,0,2,0,2
Lubbock,118,President,,DEM,Amy Klobuchar,2,4,1,7
Lubbock,119,President,,DEM,Amy Klobuchar,0,5,1,6
Lubbock,120,President,,DEM,Amy Klobuchar,0,7,1,8
Lubbock,121,President,,DEM,Amy Klobuchar,0,4,0,4
Lubbock,122,President,,DEM,Amy Klobuchar,0,3,0,3
Lubbock,123,President,,DEM,Amy Klobuchar,1,6,0,7
Lubbock,124,President,,DEM,Amy Klobuchar,3,3,0,6
Lubbock,125,President,,DEM,Amy Klobuchar,2,6,0,8
Lubbock,126,President,,DEM,Amy Klobuchar,0,5,2,7
Lubbock,127,President,,DEM,Amy Klobuchar,0,5,2,7
Lubbock,128,President,,DEM,Amy Klobuchar,1,3,0,4
Lubbock,129,President,,DEM,Amy Klobuchar,1,6,2,9
Lubbock,135,President,,DEM,Amy Klobuchar,0,1,0,1
Lubbock,138,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,140,President,,DEM,Amy Klobuchar,0,9,2,11
Lubbock,141,President,,DEM,Amy Klobuchar,1,10,1,12
Lubbock,142,President,,DEM,Amy Klobuchar,0,1,0,1
Lubbock,151,President,,DEM,Amy Klobuchar,0,2,0,2
Lubbock,152,President,,DEM,Amy Klobuchar,1,5,1,7
Lubbock,153,President,,DEM,Amy Klobuchar,2,2,0,4
Lubbock,154,President,,DEM,Amy Klobuchar,0,7,2,9
Lubbock,155,President,,DEM,Amy Klobuchar,0,1,1,2
Lubbock,159,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,178,President,,DEM,Amy Klobuchar,0,0,0,0
Lubbock,1,President,,DEM,Tulsi Gabbard,0,2,1,3
Lubbock,2,President,,DEM,Tulsi Gabbard,0,0,0,0
Lubbock,3,President,,DEM,Tulsi Gabbard,0,2,0,2
Lubbock,4,President,,DEM,Tulsi Gabbard,0,1,0,1
Lubbock,5,President,,DEM,Tulsi Gabbard,0,1,0,1
