county,precinct,office,district,party,candidate,mail,election_day,early_voting,votes
Terrell,PCT. 1,President,,REP,BILL WELD,0,0,0,0
Terrell,PCT. 1,President,,REP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0,0
Terrell,PCT. 1,President,,REP,JOE WALSH,0,0,0,0
Terrell,PCT. 1,President,,REP,ZOLTAN G. ISTVAN,0,0,0,0
Terrell,PCT. 1,President,,REP,DONALD J. TRUMP,3,5,17,25
Terrell,PCT. 1,President,,REP,MATTHEW JOHN MATERN,0,0,0,0
Terrell,PCT. 1,President,,REP,BOB ELY,0,0,0,0
Terrell,PCT. 1,President,,REP,UNCOMMITTED,0,0,0,0
Terrell,PCT. 2,President,,REP,BILL WELD,0,0,0,0
Terrell,PCT. 2,President,,REP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0,0
Terrell,PCT. 2,President,,REP,JOE WALSH,0,0,0,0
Terrell,PCT. 2,President,,REP,ZOLTAN G. ISTVAN,0,0,0,0
Terrell,PCT. 2,President,,REP,DONALD J. TRUMP,1,5,11,17
Terrell,PCT. 2,President,,REP,MATTHEW JOHN MATERN,0,0,0,0
Terrell,PCT. 2,President,,REP,BOB ELY,0,0,0,0
Terrell,PCT. 2,President,,REP,UNCOMMITTED,0,0,0,0
Terrell,PCT. 3,President,,REP,BILL WELD,0,0,0,0
Terrell,PCT. 3,President,,REP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,1,0,1
Terrell,PCT. 3,President,,REP,JOE WALSH,0,0,0,0
Terrell,PCT. 3,President,,REP,ZOLTAN G. ISTVAN,0,0,0,0
Terrell,PCT. 3,President,,REP,DONALD J. TRUMP,4,9,15,28
Terrell,PCT. 3,President,,REP,MATTHEW JOHN MATERN,0,0,0,0
Terrell,PCT. 3,President,,REP,BOB ELY,0,0,0,0
Terrell,PCT. 3,President,,REP,UNCOMMITTED,0,0,0,0
Terrell,PCT. 4,President,,REP,BILL WELD,0,0,0,0
Terrell,PCT. 4,President,,REP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0,0
Terrell,PCT. 4,President,,REP,JOE WALSH,0,1,0,1
Terrell,PCT. 4,President,,REP,ZOLTAN G. ISTVAN,0,0,0,0
Terrell,PCT. 4,President,,REP,DONALD J. TRUMP,0,11,14,25
Terrell,PCT. 4,President,,REP,MATTHEW JOHN MATERN,0,0,0,0
Terrell,PCT. 4,President,,REP,BOB ELY,0,0,0,0
Terrell,PCT. 4,President,,REP,UNCOMMITTED,0,0,0,0
Terrell,PCT. 1,U.S. Senate,,REP,JOHN CORNYN,3,2,16,21
Terrell,PCT. 1,U.S. Senate,,REP,DWAYNE STOVALL,0,0,1,1
Terrell,PCT. 1,U.S. Senate,,REP,VIRGIL BIERSCHWALE,0,0,0,0
Terrell,PCT. 1,U.S. Senate,,REP,MARK YANCEY,0,0,0,0
Terrell,PCT. 1,U.S. Senate,,REP,JOHN ANTHONY CASTRO,0,2,0,2
Terrell,PCT. 2,U.S. Senate,,REP,JOHN CORNYN,1,1,9,11
Terrell,PCT. 2,U.S. Senate,,REP,DWAYNE STOVALL,0,0,0,0
Terrell,PCT. 2,U.S. Senate,,REP,VIRGIL BIERSCHWALE,0,0,0,0
Terrell,PCT. 2,U.S. Senate,,REP,MARK YANCEY,0,0,0,0
Terrell,PCT. 2,U.S. Senate,,REP,JOHN ANTHONY CASTRO,0,3,0,3
Terrell,PCT. 3,U.S. Senate,,REP,JOHN CORNYN,4,6,10,20
Terrell,PCT. 3,U.S. Senate,,REP,DWAYNE STOVALL,0,1,5,6
Terrell,PCT. 3,U.S. Senate,,REP,VIRGIL BIERSCHWALE,0,0,0,0
Terrell,PCT. 3,U.S. Senate,,REP,MARK YANCEY,0,0,0,0
Terrell,PCT. 3,U.S. Senate,,REP,JOHN ANTHONY CASTRO,0,2,0,2
Terrell,PCT. 4,U.S. Senate,,REP,JOHN CORNYN,0,12,11,23
Terrell,PCT. 4,U.S. Senate,,REP,DWAYNE STOVALL,0,0,3,3
Terrell,PCT. 4,U.S. Senate,,REP,VIRGIL BIERSCHWALE,0,0,0,0
Terrell,PCT. 4,U.S. Senate,,REP,MARK YANCEY,0,0,0,0
Terrell,PCT. 4,U.S. Senate,,REP,JOHN ANTHONY CASTRO,0,0,0,0
Terrell,PCT. 1,U.S. House,23,REP,SHARON BECKENRIDGE THOMAS,0,1,1,2
Terrell,PCT. 1,U.S. House,23,REP,ALMA ARREDONDO-LYNCH,1,3,6,10
Terrell,PCT. 1,U.S. House,23,REP,"CECIL B. ""BURT"" JONES",2,0,2,4
Terrell,PCT. 1,U.S. House,23,REP,JEFF MCFARLIN,0,0,2,2
Terrell,PCT. 1,U.S. House,23,REP,DARWIN BOEDEKER,0,0,0,0
Terrell,PCT. 1,U.S. House,23,REP,RAUL REYES,0,0,4,4
Terrell,PCT. 1,U.S. House,23,REP,BEN VAN WINKLE,0,1,2,3
Terrell,PCT. 1,U.S. House,23,REP,TONY GONZALES,0,0,0,0
Terrell,PCT. 1,U.S. House,23,REP,ALÍA URESTE,0,0,0,0
Terrell,PCT. 2,U.S. House,23,REP,SHARON BECKENRIDGE THOMAS,0,0,5,5
Terrell,PCT. 2,U.S. House,23,REP,ALMA ARREDONDO-LYNCH,0,2,3,5
Terrell,PCT. 2,U.S. House,23,REP,"CECIL B. ""BURT"" JONES",0,0,0,0
Terrell,PCT. 2,U.S. House,23,REP,JEFF MCFARLIN,0,0,0,0
Terrell,PCT. 2,U.S. House,23,REP,DARWIN BOEDEKER,0,0,0,0
Terrell,PCT. 2,U.S. House,23,REP,RAUL REYES,0,2,0,2
Terrell,PCT. 2,U.S. House,23,REP,BEN VAN WINKLE,0,0,0,0
Terrell,PCT. 2,U.S. House,23,REP,TONY GONZALES,0,0,0,0
Terrell,PCT. 2,U.S. House,23,REP,ALÍA URESTE,0,0,0,0
Terrell,PCT. 3,U.S. House,23,REP,SHARON BECKENRIDGE THOMAS,0,0,0,0
Terrell,PCT. 3,U.S. House,23,REP,ALMA ARREDONDO-LYNCH,0,1,6,7
Terrell,PCT. 3,U.S. House,23,REP,"CECIL B. ""BURT"" JONES",0,1,0,1
Terrell,PCT. 3,U.S. House,23,REP,JEFF MCFARLIN,0,0,1,1
Terrell,PCT. 3,U.S. House,23,REP,DARWIN BOEDEKER,0,3,0,3
Terrell,PCT. 3,U.S. House,23,REP,RAUL REYES,0,0,3,3
Terrell,PCT. 3,U.S. House,23,REP,BEN VAN WINKLE,0,0,0,0
Terrell,PCT. 3,U.S. House,23,REP,TONY GONZALES,4,2,6,12
Terrell,PCT. 3,U.S. House,23,REP,ALÍA URESTE,0,2,0,2
Terrell,PCT. 4,U.S. House,23,REP,SHARON BECKENRIDGE THOMAS,0,0,2,2
