candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Donald J Trump,President ,,,Cass,Precinct 1,125,1427,186,1738
Joseph R Biden,President ,,,Cass,Precinct 1,93,323,42,458
Jo Jorgensen ,President ,,,Cass,Precinct 1,0,7,5,12
Howie Hawkins,President ,,,Cass,Precinct 1,0,2,1,3
Tom Hoefling (W),President ,,,Cass,Precinct 1,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 1,0,0,0,0
Over Votes,President ,,,Cass,Precinct 1,3,0,0,3
Under Votes,President ,,,Cass,Precinct 1,1,13,1,15
John Cornyn,U.S. Senate,,,Cass,Precinct 1,124,1396,174,1694
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 1,90,303,41,434
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 1,1,20,9,30
David B. Collins,U.S. Senate,,,Cass,Precinct 1,0,7,2,9
Over Votes,U.S. Senate,,,Cass,Precinct 1,3,0,0,3
Under Votes,U.S. Senate,,,Cass,Precinct 1,4,46,9,59
Pat Fallon,U.S. House,4,,Cass,Precinct 1,111,1352,175,1638
Russell Foster,U.S. House,4,,Cass,Precinct 1,90,297,41,428
Lou Antonelli,U.S. House,4,,Cass,Precinct 1,2,24,9,35
Tracey Jones (W),U.S. House,4,,Cass,Precinct 1,0,1,0,1
Tracy Jones (W),U.S. House,4,,Cass,Precinct 1,0,28,2,30
Tracy Jones (W),U.S. House,4,,Cass,Precinct 1,0,1,0,1
Over Votes,U.S. House,4,,Cass,Precinct 1,2,0,0,2
Under Votes,U.S. House,4,,Cass,Precinct 1,17,69,8,94
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 1,125,1383,178,1686
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 1,84,279,41,404
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 1,2,23,8,33
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 1,0,12,1,13
Over Votes,Railroad Commissioner,,,Cass,Precinct 1,4,0,0,4
Under Votes,Railroad Commissioner,,,Cass,Precinct 1,7,75,7,89
Bryan Hughes,State Senate,1,,Cass,Precinct 1,121,1403,182,1706
Audrey Spanko,State Senate,1,,Cass,Precinct 1,86,293,45,424
Over Votes,State Senate,1,,Cass,Precinct 1,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 1,15,76,8,99
Chris Paddie,State Representative,9,,Cass,Precinct 1,128,1480,201,1809
Over Votes,State Representative,9,,Cass,Precinct 1,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 1,94,292,34,420
Donald J Trump,President ,,,Cass,Precinct 4,26,163,36,225
Joseph R Biden,President ,,,Cass,Precinct 4,27,46,11,84
Jo Jorgensen ,President ,,,Cass,Precinct 4,0,2,1,3
Howie Hawkins,President ,,,Cass,Precinct 4,0,0,0,0
Tom Hoefling (W),President ,,,Cass,Precinct 4,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 4,0,0,0,0
Over Votes,President ,,,Cass,Precinct 4,1,0,0,1
Under Votes,President ,,,Cass,Precinct 4,0,1,0,1
John Cornyn,U.S. Senate,,,Cass,Precinct 4,27,157,37,221
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 4,26,42,11,79
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 4,0,4,0,4
David B. Collins,U.S. Senate,,,Cass,Precinct 4,1,0,0,1
Over Votes,U.S. Senate,,,Cass,Precinct 4,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 4,0,9,0,9
Pat Fallon,U.S. House,4,,Cass,Precinct 4,22,150,36,208
Russell Foster,U.S. House,4,,Cass,Precinct 4,28,42,10,80
Lou Antonelli,U.S. House,4,,Cass,Precinct 4,0,3,0,3
Tracey Jones (W),U.S. House,4,,Cass,Precinct 4,0,1,1,2
Tracy Jones (W),U.S. House,4,,Cass,Precinct 4,0,8,1,9
Tracy Jones (W),U.S. House,4,,Cass,Precinct 4,0,2,0,2
Over Votes,U.S. House,4,,Cass,Precinct 4,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 4,4,6,0,10
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 4,26,160,35,221
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 4,25,44,12,81
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 4,1,1,0,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 4,1,0,0,1
Over Votes,Railroad Commissioner,,,Cass,Precinct 4,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 4,1,7,1,9
Bryan Hughes,State Senate,1,,Cass,Precinct 4,23,157,35,215
Audrey Spanko,State Senate,1,,Cass,Precinct 4,27,46,12,85
Over Votes,State Senate,1,,Cass,Precinct 4,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 4,4,9,1,14
Chris Paddie,State Representative,9,,Cass,Precinct 4,28,165,38,231
Over Votes,State Representative,9,,Cass,Precinct 4,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 4,26,47,10,83
Donald J Trump,President ,,,Cass,Precinct 2,13,164,62,239
Joseph R Biden,President ,,,Cass,Precinct 2,18,41,16,75
Jo Jorgensen ,President ,,,Cass,Precinct 2,0,1,0,1
Howie Hawkins,President ,,,Cass,Precinct 2,0,1,0,1
Tom Hoefling (W),President ,,,Cass,Precinct 2,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 2,0,0,0,0
Over Votes,President ,,,Cass,Precinct 2,0,0,0,0
Under Votes,President ,,,Cass,Precinct 2,0,1,0,1
John Cornyn,U.S. Senate,,,Cass,Precinct 2,14,162,61,237
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 2,15,35,15,65
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 2,0,2,0,2
David B. Collins,U.S. Senate,,,Cass,Precinct 2,0,1,0,1
Over Votes,U.S. Senate,,,Cass,Precinct 2,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 2,2,8,2,12
Pat Fallon,U.S. House,4,,Cass,Precinct 2,13,161,61,235
Russell Foster,U.S. House,4,,Cass,Precinct 2,18,36,14,68
Lou Antonelli,U.S. House,4,,Cass,Precinct 2,0,1,1,2
Tracey Jones (W),U.S. House,4,,Cass,Precinct 2,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 2,0,2,0,2
Tracy Jones (W),U.S. House,4,,Cass,Precinct 2,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 2,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 2,0,8,2,10
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 2,16,162,61,239
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 2,15,34,14,63
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 2,0,1,0,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 2,0,1,1,2
Over Votes,Railroad Commissioner,,,Cass,Precinct 2,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 2,0,10,2,12
Bryan Hughes,State Senate,1,,Cass,Precinct 2,13,164,63,240
Audrey Spanko,State Senate,1,,Cass,Precinct 2,18,35,14,67
Over Votes,State Senate,1,,Cass,Precinct 2,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 2,0,9,1,10
Chris Paddie,State Representative,9,,Cass,Precinct 2,16,168,64,251
Over Votes,State Representative,9,,Cass,Precinct 2,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 2,12,40,14,66
Donald J Trump,President ,,,Cass,Precinct 5,48,216,214,478
Joseph R Biden,President ,,,Cass,Precinct 5,40,50,37,127
Jo Jorgensen ,President ,,,Cass,Precinct 5,0,1,0,1
Howie Hawkins,President ,,,Cass,Precinct 5,0,1,1,2
