candidate,office,district,party,county,precinct,total votes,mail,early voting,election day
Registered Voters,,,,Goliad,Precinct 11,1050,,,
Ballots Cast ,,,,Goliad,Precinct 11,646,43,475,128
Donald J Trump,President ,,REP,Goliad,Precinct 11,386,12,292,82
Joseph R Biden,President ,,DEM,Goliad,Precinct 11,252,34,176,42
Jo Jorgensen ,President ,,LIB,Goliad,Precinct 11,1,0,0,1
Howie Hawkins,President ,,GRN,Goliad,Precinct 11,2,0,1,1
Write-In,,,,Goliad,Precinct 11,1,0,0,1
John Cornyn,U.S. Senate,,REP,Goliad,Precinct 11,363,11,279,73
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Goliad,Precinct 11,234,28,166,40
Kerry Douglas McKennon ,U.S. Senate,,LIB,Goliad,Precinct 11,9,2,5,2
David B. Collins,U.S. Senate,,GRN,Goliad,Precinct 11,3,1,0,2
Write-In,U.S. Senate,,NLP,Goliad,Precinct 11,5,0,4,1
Rey Gonzalez,U.S. House,34,REP,Goliad,Precinct 11,351,12,268,71
Filemon B Vela,U.S. House,34,DEM,Goliad,Precinct 11,248,32,170,46
Anthony Cristo,U.S. House,34,LIB,Goliad,Precinct 11,4,0,3,1
Chris B. Royal,U.S. House,34,IND,Goliad,Precinct 11,7,0,4,3
"James ""Jim"" Wright ",Railroad Commissioner,,REP,Goliad,Precinct 11,337,11,257,69
Chrysta Castaneda ,Railroad Commissioner,,DEM,Goliad,Precinct 11,258,32,179,47
Matt Sterett ,Railroad Commissioner,,LIB,Goliad,Precinct 11,2,0,2,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Goliad,Precinct 11,6,0,5,1
Lois W. Kolkhorst,State Senate,18,REP,Goliad,Precinct 11,361,12,280,69
Michael Antalan,State Senate,18,DEM,Goliad,Precinct 11,224,30,150,44
Geanie W. Morrison,State Representative,30,REP,Goliad,Precinct 11,448,20,339,89
Registered Voters,,,,Goliad,Precinct 12,467,,,
Ballots Cast ,,,,Goliad,Precinct 12,351,20,227,104
Donald J Trump,President ,,REP,Goliad,Precinct 12,313,12,210,91
Joseph R Biden,President ,,DEM,Goliad,Precinct 12,35,8,16,11
Jo Jorgensen ,President ,,LIB,Goliad,Precinct 12,0,0,0,0
Howie Hawkins,President ,,GRN,Goliad,Precinct 12,0,0,0,0
Write-In,,,,Goliad,Precinct 12,0,0,0,0
John Cornyn,U.S. Senate,,REP,Goliad,Precinct 12,303,14,205,84
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Goliad,Precinct 12,34,6,18,10
Kerry Douglas McKennon ,U.S. Senate,,LIB,Goliad,Precinct 12,1,0,0,1
David B. Collins,U.S. Senate,,GRN,Goliad,Precinct 12,1,0,0,1
Write-In,U.S. Senate,,NLP,Goliad,Precinct 12,2,0,1,1
Rey Gonzalez,U.S. House,34,REP,Goliad,Precinct 12,301,13,204,84
Filemon B Vela,U.S. House,34,DEM,Goliad,Precinct 12,31,6,15,10
Anthony Cristo,U.S. House,34,LIB,Goliad,Precinct 12,0,0,0,0
Chris B. Royal,U.S. House,34,IND,Goliad,Precinct 12,4,0,2,2
"James ""Jim"" Wright ",Railroad Commissioner,,REP,Goliad,Precinct 12,298,12,203,83
Chrysta Castaneda ,Railroad Commissioner,,DEM,Goliad,Precinct 12,29,6,14,9
Matt Sterett ,Railroad Commissioner,,LIB,Goliad,Precinct 12,3,0,2,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Goliad,Precinct 12,3,1,0,2
Lois W. Kolkhorst,State Senate,18,REP,Goliad,Precinct 12,306,13,208,85
Michael Antalan,State Senate,18,DEM,Goliad,Precinct 12,29,5,15,9
Geanie W. Morrison,State Representative,30,REP,Goliad,Precinct 12,312,13,211,88
Registered Voters,,,,Goliad,Precinct 21,1015,,,
Ballots Cast ,,,,Goliad,Precinct 21,637,54,466,117
Donald J Trump,President ,,REP,Goliad,Precinct 21,395,23,304,68
Joseph R Biden,President ,,DEM,Goliad,Precinct 21,226,30,153,43
Jo Jorgensen ,President ,,LIB,Goliad,Precinct 21,7,0,2,5
Howie Hawkins,President ,,GRN,Goliad,Precinct 21,0,0,0,0
Write-In,,,,Goliad,Precinct 21,1,0,1,0
John Cornyn,U.S. Senate,,REP,Goliad,Precinct 21,381,20,298,63
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Goliad,Precinct 21,214,32,139,43
Kerry Douglas McKennon ,U.S. Senate,,LIB,Goliad,Precinct 21,8,0,3,5
