county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional
Leon,1,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1556,0,0,0,0
Leon,1A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,204,0,0,0,0
Leon,2,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,359,0,0,0,0
Leon,3,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,604,0,0,0,0
Leon,4,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,911,0,0,0,0
Leon,5,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,521,0,0,0,0
Leon,5A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,71,0,0,0,0
Leon,6,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1117,0,0,0,0
Leon,7,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,630,0,0,0,0
Leon,8,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1070,0,0,0,0
Leon,9,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,329,0,0,0,0
Leon,10,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1025,0,0,0,0
Leon,11,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,996,0,0,0,0
Leon,12,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,817,0,0,0,0
Leon,13,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,667,0,0,0,0
Leon,14,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,212,0,0,0,0
Leon,14A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,206,0,0,0,0
Leon,1,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,616,379,203,33,1
Leon,1A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,89,60,23,6,0
Leon,2,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,169,81,80,8,0
Leon,3,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,243,108,123,12,0
Leon,4,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,292,36,240,16,0
Leon,5,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,215,82,124,9,0
Leon,5A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,15,6,9,0,0
Leon,6,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,467,69,384,13,1
Leon,7,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,262,68,178,15,1
Leon,8,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,465,130,312,23,0
