county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day
Ochiltree,Precinct 1,Registered Voters,,,,919,,,
Ochiltree,Precinct 1,Ballots Cast,,,,457,29,281,147
Ochiltree,Precinct 1,President,,Donald J. Trump / Michael R. Pence,REP,394,25,250,119
Ochiltree,Precinct 1,President,,Joseph R. Biden / Kamala D. Harris,DEM,52,3,24,25
Ochiltree,Precinct 1,President,,"Jo Jorgensen / Jeremy ""Spike""",LIB,9,0,6,3
Ochiltree,Precinct 1,President,,Howie Hawkins / Angela Walker,GRN,2,1,1,0
Ochiltree,Precinct 1,President,,Write-In,,0,0,0,0
Ochiltree,Precinct 1,President,,Over Votes,,0,0,0,0
Ochiltree,Precinct 1,President,,Under Votes,,0,0,0,0
Ochiltree,Precinct 1,U.S. Senate,,John Cornyn,REP,382,23,243,116
Ochiltree,Precinct 1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,52,3,26,23
Ochiltree,Precinct 1,U.S. Senate,,Kerry Douglas McKennon,LIB,8,1,5,2
Ochiltree,Precinct 1,U.S. Senate,,David B. Collins,GRN,3,0,3,0
Ochiltree,Precinct 1,U.S. Senate,,Write-In,,0,0,0,0
Ochiltree,Precinct 1,U.S. Senate,,Over Votes,,1,0,0,1
Ochiltree,Precinct 1,U.S. Senate,,Under Votes,,11,2,4,5
Ochiltree,Precinct 1,U.S. House,13,Ronny Jackson,REP,387,25,249,113
Ochiltree,Precinct 1,U.S. House,13,Gus Trujillo,DEM,50,3,22,25
Ochiltree,Precinct 1,U.S. House,13,Jack B. Westbrook,LIB,11,1,5,5
Ochiltree,Precinct 1,U.S. House,13,Over Votes,,0,0,0,0
Ochiltree,Precinct 1,U.S. House,13,Under Votes,,9,0,5,4
Ochiltree,Precinct 1,Railroad Commissioner,,"James ""Jim"" Wright",REP,377,26,235,116
Ochiltree,Precinct 1,Railroad Commissioner,,Chrysta Castaneda,DEM,55,3,31,21
Ochiltree,Precinct 1,Railroad Commissioner,,Matt Sterett,LIB,8,0,5,3
Ochiltree,Precinct 1,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,1,1
Ochiltree,Precinct 1,Railroad Commissioner,,Over Votes,,0,0,0,0
Ochiltree,Precinct 1,Railroad Commissioner,,Under Votes,,15,0,9,6
