county,precinct,office,district,candidate,party,votes,
Caldwell,Precinct 100,President,,Donald J. Trump / Michael R. Pence,REP,122,
Caldwell,Precinct 100,President,,Joseph R. Biden / Kamala D. Harris,DEM,189,
Caldwell,Precinct 100,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,6,
Caldwell,Precinct 100,President,,Howie Hawkins / Angela Walker,GRN,1,
Caldwell,Precinct 100,President,,Write-In,,1,
Caldwell,Precinct 100,U.S. Senate,,John Cornyn,REP,128,
Caldwell,Precinct 100,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,181,
Caldwell,Precinct 100,U.S. Senate,,Kerry Douglas McKennon,LIB,7,
Caldwell,Precinct 100,U.S. Senate,,David B. Collins,GRN,0,
Caldwell,Precinct 100,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 100,U.S. House,35,Jenny Garcia Sharon,REP,109,
Caldwell,Precinct 100,U.S. House,35,Lloyd Doggett,DEM,194,
Caldwell,Precinct 100,U.S. House,35,Mark Lowe,LIB,12,
Caldwell,Precinct 100,U.S. House,35,Jason Mata Sr.,IND,3,
Caldwell,Precinct 100,Railroad Commissioner,,"James ""Jim"" Wright",REP,121,
Caldwell,Precinct 100,Railroad Commissioner,,Chrysta Castaneda,DEM,178,
Caldwell,Precinct 100,Railroad Commissioner,,Matt Sterett,LIB,11,
Caldwell,Precinct 100,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,3,
Caldwell,Precinct 100,State Senate,21,Frank Pomeroy,REP,124,
Caldwell,Precinct 100,State Senate,21,Judith Zaffirini,DEM,193,
Caldwell,Precinct 100,State Representative,17,John P. Cyrier,REP,134,
Caldwell,Precinct 100,State Representative,17,Madeline Eden,DEM,177,
Caldwell,Precinct 101,President,,Donald J. Trump / Michael R. Pence,REP,195,
Caldwell,Precinct 101,President,,Joseph R. Biden / Kamala D. Harris,DEM,294,
Caldwell,Precinct 101,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,7,
Caldwell,Precinct 101,President,,Howie Hawkins / Angela Walker,GRN,2,
Caldwell,Precinct 101,President,,Write-In,,1,
Caldwell,Precinct 101,U.S. Senate,,John Cornyn,REP,216,
Caldwell,Precinct 101,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,267,
Caldwell,Precinct 101,U.S. Senate,,Kerry Douglas McKennon,LIB,8,
Caldwell,Precinct 101,U.S. Senate,,David B. Collins,GRN,3,
Caldwell,Precinct 101,U.S. Senate,,Write-In,,1,
Caldwell,Precinct 101,U.S. House,35,Jenny Garcia Sharon,REP,173,
Caldwell,Precinct 101,U.S. House,35,Lloyd Doggett,DEM,313,
Caldwell,Precinct 101,U.S. House,35,Mark Lowe,LIB,6,
Caldwell,Precinct 101,U.S. House,35,Jason Mata Sr.,IND,6,
Caldwell,Precinct 101,Railroad Commissioner,,"James ""Jim"" Wright",REP,198,
Caldwell,Precinct 101,Railroad Commissioner,,Chrysta Castaneda,DEM,282,
Caldwell,Precinct 101,Railroad Commissioner,,Matt Sterett,LIB,10,
Caldwell,Precinct 101,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,
Caldwell,Precinct 101,State Senate,21,Frank Pomeroy,REP,187,
Caldwell,Precinct 101,State Senate,21,Judith Zaffirini,DEM,305,
Caldwell,Precinct 101,State Representative,17,John P. Cyrier,REP,213,
Caldwell,Precinct 101,State Representative,17,Madeline Eden,DEM,277,
Caldwell,Precinct 102,President,,Donald J. Trump / Michael R. Pence,REP,356,
Caldwell,Precinct 102,President,,Joseph R. Biden / Kamala D. Harris,DEM,159,
Caldwell,Precinct 102,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,3,
Caldwell,Precinct 102,President,,Howie Hawkins / Angela Walker,GRN,3,
Caldwell,Precinct 102,President,,Write-In,,1,
Caldwell,Precinct 102,U.S. Senate,,John Cornyn,REP,344,
Caldwell,Precinct 102,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,165,
Caldwell,Precinct 102,U.S. Senate,,Kerry Douglas McKennon,LIB,9,
Caldwell,Precinct 102,U.S. Senate,,David B. Collins,GRN,4,
Caldwell,Precinct 102,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 102,U.S. House,27,Michael Cloud,REP,359,
Caldwell,Precinct 102,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,146,
Caldwell,Precinct 102,U.S. House,27,Phil Gray,LIB,13,
Caldwell,Precinct 102,Railroad Commissioner,,"James ""Jim"" Wright",REP,354,
Caldwell,Precinct 102,Railroad Commissioner,,Chrysta Castaneda,DEM,149,
Caldwell,Precinct 102,Railroad Commissioner,,Matt Sterett,LIB,13,
Caldwell,Precinct 102,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,3,
Caldwell,Precinct 102,State Senate,21,Frank Pomeroy,REP,343,
Caldwell,Precinct 102,State Senate,21,Judith Zaffirini,DEM,173,
Caldwell,Precinct 102,State Representative,17,John P. Cyrier,REP,371,
Caldwell,Precinct 102,State Representative,17,Madeline Eden,DEM,147,
Caldwell,Precinct 103,President,,Donald J. Trump / Michael R. Pence,REP,760,
Caldwell,Precinct 103,President,,Joseph R. Biden / Kamala D. Harris,DEM,731,
Caldwell,Precinct 103,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,22,
Caldwell,Precinct 103,President,,Howie Hawkins / Angela Walker,GRN,4,
Caldwell,Precinct 103,President,,Write-In,,3,
Caldwell,Precinct 103,U.S. Senate,,John Cornyn,REP,788,
Caldwell,Precinct 103,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,694,
Caldwell,Precinct 103,U.S. Senate,,Kerry Douglas McKennon,LIB,24,
Caldwell,Precinct 103,U.S. Senate,,David B. Collins,GRN,11,
Caldwell,Precinct 103,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 103,U.S. House,35,Jenny Garcia Sharon,REP,679,
Caldwell,Precinct 103,U.S. House,35,Lloyd Doggett,DEM,793,
Caldwell,Precinct 103,U.S. House,35,Mark Lowe,LIB,32,
Caldwell,Precinct 103,U.S. House,35,Jason Mata Sr.,IND,14,
Caldwell,Precinct 103,Railroad Commissioner,,"James ""Jim"" Wright",REP,786,
Caldwell,Precinct 103,Railroad Commissioner,,Chrysta Castaneda,DEM,666,
Caldwell,Precinct 103,Railroad Commissioner,,Matt Sterett,LIB,29,
Caldwell,Precinct 103,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,17,
Caldwell,Precinct 103,State Senate,21,Frank Pomeroy,REP,730,
Caldwell,Precinct 103,State Senate,21,Judith Zaffirini,DEM,774,
Caldwell,Precinct 103,State Representative,17,John P. Cyrier,REP,869,
Caldwell,Precinct 103,State Representative,17,Madeline Eden,DEM,631,
Caldwell,Precinct 104,President,,Donald J. Trump / Michael R. Pence,REP,248,
Caldwell,Precinct 104,President,,Joseph R. Biden / Kamala D. Harris,DEM,108,
Caldwell,Precinct 104,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,3,
Caldwell,Precinct 104,President,,Howie Hawkins / Angela Walker,GRN,0,
Caldwell,Precinct 104,President,,Write-In,,0,
Caldwell,Precinct 104,U.S. Senate,,John Cornyn,REP,239,
Caldwell,Precinct 104,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,112,
Caldwell,Precinct 104,U.S. Senate,,Kerry Douglas McKennon,LIB,6,
Caldwell,Precinct 104,U.S. Senate,,David B. Collins,GRN,1,
Caldwell,Precinct 104,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 104,U.S. House,27,Michael Cloud,REP,244,
Caldwell,Precinct 104,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,105,
Caldwell,Precinct 104,U.S. House,27,Phil Gray,LIB,5,
Caldwell,Precinct 104,Railroad Commissioner,,"James ""Jim"" Wright",REP,243,
Caldwell,Precinct 104,Railroad Commissioner,,Chrysta Castaneda,DEM,99,
Caldwell,Precinct 104,Railroad Commissioner,,Matt Sterett,LIB,7,
Caldwell,Precinct 104,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,4,
Caldwell,Precinct 104,State Senate,21,Frank Pomeroy,REP,233,
Caldwell,Precinct 104,State Senate,21,Judith Zaffirini,DEM,118,
Caldwell,Precinct 104,State Representative,17,John P. Cyrier,REP,250,
Caldwell,Precinct 104,State Representative,17,Madeline Eden,DEM,100,
Caldwell,Precinct 105,President,,Donald J. Trump / Michael R. Pence,REP,25,
Caldwell,Precinct 105,President,,Joseph R. Biden / Kamala D. Harris,DEM,48,
Caldwell,Precinct 105,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,
Caldwell,Precinct 105,President,,Howie Hawkins / Angela Walker,GRN,0,
Caldwell,Precinct 105,President,,Write-In,,0,
Caldwell,Precinct 105,U.S. Senate,,John Cornyn,REP,23,
Caldwell,Precinct 105,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,48,
Caldwell,Precinct 105,U.S. Senate,,Kerry Douglas McKennon,LIB,2,
Caldwell,Precinct 105,U.S. Senate,,David B. Collins,GRN,2,
Caldwell,Precinct 105,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 105,U.S. House,35,Jenny Garcia Sharon,REP,25,
Caldwell,Precinct 105,U.S. House,35,Lloyd Doggett,DEM,50,
Caldwell,Precinct 105,U.S. House,35,Mark Lowe,LIB,0,
Caldwell,Precinct 105,U.S. House,35,Jason Mata Sr.,IND,1,
Caldwell,Precinct 105,Railroad Commissioner,,"James ""Jim"" Wright",REP,23,
Caldwell,Precinct 105,Railroad Commissioner,,Chrysta Castaneda,DEM,48,
Caldwell,Precinct 105,Railroad Commissioner,,Matt Sterett,LIB,3,
Caldwell,Precinct 105,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,
Caldwell,Precinct 105,State Senate,21,Frank Pomeroy,REP,26,
Caldwell,Precinct 105,State Senate,21,Judith Zaffirini,DEM,50,
Caldwell,Precinct 105,State Representative,17,John P. Cyrier,REP,31,
Caldwell,Precinct 105,State Representative,17,Madeline Eden,DEM,44,
Caldwell,Precinct 108,President,,Donald J. Trump / Michael R. Pence,REP,28,
Caldwell,Precinct 108,President,,Joseph R. Biden / Kamala D. Harris,DEM,31,
Caldwell,Precinct 108,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,
Caldwell,Precinct 108,President,,Howie Hawkins / Angela Walker,GRN,1,
Caldwell,Precinct 108,President,,Write-In,,1,
Caldwell,Precinct 108,U.S. Senate,,John Cornyn,REP,27,
Caldwell,Precinct 108,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,31,
Caldwell,Precinct 108,U.S. Senate,,Kerry Douglas McKennon,LIB,1,
Caldwell,Precinct 108,U.S. Senate,,David B. Collins,GRN,1,
Caldwell,Precinct 108,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 108,U.S. House,35,Jenny Garcia Sharon,REP,22,
Caldwell,Precinct 108,U.S. House,35,Lloyd Doggett,DEM,37,
Caldwell,Precinct 108,U.S. House,35,Mark Lowe,LIB,0,
Caldwell,Precinct 108,U.S. House,35,Jason Mata Sr.,IND,1,
Caldwell,Precinct 108,Railroad Commissioner,,"James ""Jim"" Wright",REP,26,
Caldwell,Precinct 108,Railroad Commissioner,,Chrysta Castaneda,DEM,32,
Caldwell,Precinct 108,Railroad Commissioner,,Matt Sterett,LIB,0,
Caldwell,Precinct 108,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,
Caldwell,Precinct 108,State Senate,21,Frank Pomeroy,REP,28,
Caldwell,Precinct 108,State Senate,21,Judith Zaffirini,DEM,32,
Caldwell,Precinct 108,State Representative,17,John P. Cyrier,REP,27,
Caldwell,Precinct 108,State Representative,17,Madeline Eden,DEM,32,
Caldwell,Precinct 109,President,,Donald J. Trump / Michael R. Pence,REP,27,
Caldwell,Precinct 109,President,,Joseph R. Biden / Kamala D. Harris,DEM,3,
Caldwell,Precinct 109,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,
Caldwell,Precinct 109,President,,Howie Hawkins / Angela Walker,GRN,0,
Caldwell,Precinct 109,President,,Write-In,,0,
Caldwell,Precinct 109,U.S. Senate,,John Cornyn,REP,26,
Caldwell,Precinct 109,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,3,
Caldwell,Precinct 109,U.S. Senate,,Kerry Douglas McKennon,LIB,1,
Caldwell,Precinct 109,U.S. Senate,,David B. Collins,GRN,0,
Caldwell,Precinct 109,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 109,U.S. House,35,Jenny Garcia Sharon,REP,24,
Caldwell,Precinct 109,U.S. House,35,Lloyd Doggett,DEM,5,
Caldwell,Precinct 109,U.S. House,35,Mark Lowe,LIB,1,
Caldwell,Precinct 109,U.S. House,35,Jason Mata Sr.,IND,0,
Caldwell,Precinct 109,Railroad Commissioner,,"James ""Jim"" Wright",REP,27,
Caldwell,Precinct 109,Railroad Commissioner,,Chrysta Castaneda,DEM,3,
Caldwell,Precinct 109,Railroad Commissioner,,Matt Sterett,LIB,0,
Caldwell,Precinct 109,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,
Caldwell,Precinct 109,State Senate,21,Frank Pomeroy,REP,27,
Caldwell,Precinct 109,State Senate,21,Judith Zaffirini,DEM,3,
Caldwell,Precinct 109,State Representative,17,John P. Cyrier,REP,27,
Caldwell,Precinct 109,State Representative,17,Madeline Eden,DEM,3,
Caldwell,Precinct 110,President,,Donald J. Trump / Michael R. Pence,REP,50,
Caldwell,Precinct 110,President,,Joseph R. Biden / Kamala D. Harris,DEM,45,
Caldwell,Precinct 110,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,
Caldwell,Precinct 110,President,,Howie Hawkins / Angela Walker,GRN,0,
Caldwell,Precinct 110,President,,Write-In,,1,
Caldwell,Precinct 110,U.S. Senate,,John Cornyn,REP,52,
Caldwell,Precinct 110,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,42,
Caldwell,Precinct 110,U.S. Senate,,Kerry Douglas McKennon,LIB,2,
Caldwell,Precinct 110,U.S. Senate,,David B. Collins,GRN,0,
Caldwell,Precinct 110,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 110,U.S. House,27,Michael Cloud,REP,53,
Caldwell,Precinct 110,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,39,
Caldwell,Precinct 110,U.S. House,27,Phil Gray,LIB,3,
Caldwell,Precinct 110,Railroad Commissioner,,"James ""Jim"" Wright",REP,54,
Caldwell,Precinct 110,Railroad Commissioner,,Chrysta Castaneda,DEM,39,
Caldwell,Precinct 110,Railroad Commissioner,,Matt Sterett,LIB,3,
Caldwell,Precinct 110,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,
Caldwell,Precinct 110,State Senate,21,Frank Pomeroy,REP,48,
Caldwell,Precinct 110,State Senate,21,Judith Zaffirini,DEM,47,
Caldwell,Precinct 110,State Representative,17,John P. Cyrier,REP,56,
Caldwell,Precinct 110,State Representative,17,Madeline Eden,DEM,39,
Caldwell,Precinct 111,President,,Donald J. Trump / Michael R. Pence,REP,334,
Caldwell,Precinct 111,President,,Joseph R. Biden / Kamala D. Harris,DEM,337,
Caldwell,Precinct 111,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,13,
Caldwell,Precinct 111,President,,Howie Hawkins / Angela Walker,GRN,1,
Caldwell,Precinct 111,President,,Write-In,,4,
Caldwell,Precinct 111,U.S. Senate,,John Cornyn,REP,344,
Caldwell,Precinct 111,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,316,
Caldwell,Precinct 111,U.S. Senate,,Kerry Douglas McKennon,LIB,18,
Caldwell,Precinct 111,U.S. Senate,,David B. Collins,GRN,4,
Caldwell,Precinct 111,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 111,U.S. House,27,Michael Cloud,REP,348,
Caldwell,Precinct 111,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,312,
Caldwell,Precinct 111,U.S. House,27,Phil Gray,LIB,17,
Caldwell,Precinct 111,Railroad Commissioner,,"James ""Jim"" Wright",REP,328,
Caldwell,Precinct 111,Railroad Commissioner,,Chrysta Castaneda,DEM,306,
Caldwell,Precinct 111,Railroad Commissioner,,Matt Sterett,LIB,21,
Caldwell,Precinct 111,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,10,
Caldwell,Precinct 111,State Senate,21,Frank Pomeroy,REP,317,
Caldwell,Precinct 111,State Senate,21,Judith Zaffirini,DEM,354,
Caldwell,Precinct 111,State Representative,17,John P. Cyrier,REP,365,
Caldwell,Precinct 111,State Representative,17,Madeline Eden,DEM,306,
Caldwell,Precinct 118,President,,Donald J. Trump / Michael R. Pence,REP,46,
Caldwell,Precinct 118,President,,Joseph R. Biden / Kamala D. Harris,DEM,40,
Caldwell,Precinct 118,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,
Caldwell,Precinct 118,President,,Howie Hawkins / Angela Walker,GRN,0,
Caldwell,Precinct 118,President,,Write-In,,0,
Caldwell,Precinct 118,U.S. Senate,,John Cornyn,REP,45,
Caldwell,Precinct 118,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,41,
Caldwell,Precinct 118,U.S. Senate,,Kerry Douglas McKennon,LIB,0,
Caldwell,Precinct 118,U.S. Senate,,David B. Collins,GRN,0,
Caldwell,Precinct 118,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 118,U.S. House,35,Jenny Garcia Sharon,REP,44,
Caldwell,Precinct 118,U.S. House,35,Lloyd Doggett,DEM,41,
Caldwell,Precinct 118,U.S. House,35,Mark Lowe,LIB,1,
Caldwell,Precinct 118,U.S. House,35,Jason Mata Sr.,IND,0,
Caldwell,Precinct 118,Railroad Commissioner,,"James ""Jim"" Wright",REP,46,
Caldwell,Precinct 118,Railroad Commissioner,,Chrysta Castaneda,DEM,38,
Caldwell,Precinct 118,Railroad Commissioner,,Matt Sterett,LIB,1,
Caldwell,Precinct 118,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,
Caldwell,Precinct 118,State Senate,21,Frank Pomeroy,REP,44,
Caldwell,Precinct 118,State Senate,21,Judith Zaffirini,DEM,42,
Caldwell,Precinct 118,State Representative,17,John P. Cyrier,REP,47,
Caldwell,Precinct 118,State Representative,17,Madeline Eden,DEM,39,
Caldwell,Precinct 201,President,,Donald J. Trump / Michael R. Pence,REP,392,
Caldwell,Precinct 201,President,,Joseph R. Biden / Kamala D. Harris,DEM,242,
Caldwell,Precinct 201,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,10,
Caldwell,Precinct 201,President,,Howie Hawkins / Angela Walker,GRN,1,
Caldwell,Precinct 201,President,,Write-In,,2,
Caldwell,Precinct 201,U.S. Senate,,John Cornyn,REP,396,
Caldwell,Precinct 201,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,227,
Caldwell,Precinct 201,U.S. Senate,,Kerry Douglas McKennon,LIB,14,
Caldwell,Precinct 201,U.S. Senate,,David B. Collins,GRN,4,
Caldwell,Precinct 201,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 201,U.S. House,27,Michael Cloud,REP,398,
Caldwell,Precinct 201,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,224,
Caldwell,Precinct 201,U.S. House,27,Phil Gray,LIB,15,
Caldwell,Precinct 201,Railroad Commissioner,,"James ""Jim"" Wright",REP,395,
Caldwell,Precinct 201,Railroad Commissioner,,Chrysta Castaneda,DEM,220,
Caldwell,Precinct 201,Railroad Commissioner,,Matt Sterett,LIB,16,
Caldwell,Precinct 201,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,7,
Caldwell,Precinct 201,State Senate,21,Frank Pomeroy,REP,384,
Caldwell,Precinct 201,State Senate,21,Judith Zaffirini,DEM,254,
Caldwell,Precinct 201,State Representative,17,John P. Cyrier,REP,405,
Caldwell,Precinct 201,State Representative,17,Madeline Eden,DEM,231,
Caldwell,Precinct 202,President,,Donald J. Trump / Michael R. Pence,REP,527,
