county,precinct,office,district,candidate,party,votes,election day,early_voting,absentee
Blanco,Pct 102,Registered Voters,,,,0,,,
Blanco,Pct 102,Ballots Cast,,,,792,450,291,51
Blanco,Pct 102,Ballots Cast,,,REP,569,336,206,27
Blanco,Pct 102,Ballots Cast,,,DEM,223,114,85,24
Blanco,Pct 102,President,,Zoltan G. Istvan,REP,0,0,0,0
Blanco,Pct 102,President,,Donald J. Trump,REP,539,318,198,23
Blanco,Pct 102,President,,Bill Weld,REP,4,3,1,0
Blanco,Pct 102,President,,Roque Rocky De La Fuente Guerra,REP,2,2,0,0
Blanco,Pct 102,President,,Joe Walsh,REP,4,3,1,0
Blanco,Pct 102,President,,Bob Ely,REP,2,2,0,0
Blanco,Pct 102,President,,Matthew John Matern,REP,0,0,0,0
Blanco,Pct 102,President,,Uncommitted,REP,17,8,5,4
Blanco,Pct 102,U.S. Senate,,John Anthony Castro,REP,17,12,5,0
Blanco,Pct 102,U.S. Senate,,Virgil Bierschwale,REP,6,4,2,0
Blanco,Pct 102,U.S. Senate,,Dwayne Stovall,REP,55,37,18,0
Blanco,Pct 102,U.S. Senate,,Mark Yancey,REP,25,18,6,1
Blanco,Pct 102,U.S. Senate,,John Cornyn,REP,449,256,168,25
Blanco,Pct 102,U.S. House,21,Chip Roy,REP,527,309,195,23
Blanco,Pct 102,Railroad Commissioner,,Ryan Sitton,REP,218,129,79,10
Blanco,Pct 102,Railroad Commissioner,,"James ""Jim"" Wright",REP,299,178,110,11
Blanco,Pct 102,State Senate,24,Dawn Buckingham,REP,516,300,193,23
Blanco,Pct 102,State Representative,45,Austin Talley,REP,44,28,16,0
Blanco,Pct 102,State Representative,45,"Kent ""Bud"" Wymore",REP,184,100,74,10
Blanco,Pct 102,State Representative,45,Carrie Isaac,REP,330,203,113,14
Blanco,Pct 102,President,,Michael Bennet,DEM,0,0,0,0
Blanco,Pct 102,President,,Joseph R. Biden,DEM,75,48,22,5
Blanco,Pct 102,President,,Michael R. Bloomberg,DEM,35,13,16,6
Blanco,Pct 102,President,,Cory Booker,DEM,0,0,0,0
Blanco,Pct 102,President,,Pete Buttigieg,DEM,14,1,11,2
Blanco,Pct 102,President,,Julian Castro,DEM,0,0,0,0
Blanco,Pct 102,President,,Roque Rocky De La Fuente,DEM,0,0,0,0
Blanco,Pct 102,President,,John K. Delaney,DEM,0,0,0,0
Blanco,Pct 102,President,,Tulsi Gabbard,DEM,0,0,0,0
Blanco,Pct 102,President,,Amy Klobuchar,DEM,6,0,2,4
Blanco,Pct 102,President,,Deval Patrick,DEM,0,0,0,0
Blanco,Pct 102,President,,Bernie Sanders,DEM,54,28,20,6
Blanco,Pct 102,President,,Tom Steyer,DEM,2,0,2,0
Blanco,Pct 102,President,,Elizabeth Warren,DEM,37,24,12,1
Blanco,Pct 102,President,,Robby Wells,DEM,0,0,0,0
Blanco,Pct 102,President,,Marianne Williamson,DEM,0,0,0,0
Blanco,Pct 102,President,,Andrew Yang,DEM,0,0,0,0
Blanco,Pct 102,U.S. Senate,,Chris Bell,DEM,12,5,5,2
Blanco,Pct 102,U.S. Senate,,Michael Cooper,DEM,2,1,1,0
Blanco,Pct 102,U.S. Senate,,Amanda K. Edwards,DEM,23,13,9,1
Blanco,Pct 102,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,2,1,1,0
Blanco,Pct 102,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,20,13,6,1
Blanco,Pct 102,U.S. Senate,,Victor Hugo Harris,DEM,2,2,0,0
Blanco,Pct 102,U.S. Senate,,Mary (MJ) Hegar,DEM,112,54,43,15
Blanco,Pct 102,U.S. Senate,,Sema Hernandez,DEM,4,3,1,0
Blanco,Pct 102,U.S. Senate,,D. R. Hunter,DEM,1,0,1,0
Blanco,Pct 102,U.S. Senate,,Adrian Ocegueda,DEM,2,0,2,0
Blanco,Pct 102,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,21,12,8,1
Blanco,Pct 102,U.S. Senate,,Royce West,DEM,5,2,2,1
Blanco,Pct 102,U.S. House,21,Wendy R. Davis,DEM,192,94,75,23
Blanco,Pct 102,U.S. House,21,Jennie Lou Leeder,DEM,24,15,8,1
Blanco,Pct 102,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,36,22,12,2
Blanco,Pct 102,Railroad Commissioner,,Chrysta Castaneda,DEM,78,44,26,8
Blanco,Pct 102,Railroad Commissioner,,Kelly Stone,DEM,50,25,20,5
Blanco,Pct 102,Railroad Commissioner,,Mark Watson,DEM,39,14,21,4
Blanco,Pct 102,State Senate,24,Clayton Tucker,DEM,184,94,74,16
Blanco,Pct 102,State Representative,45,Liliana Posada,DEM,54,27,23,4
Blanco,Pct 102,State Representative,45,Erin Zwiener,DEM,159,82,60,17
Blanco,Pct 201,Registered Voters,,,,0,,,
Blanco,Pct 201,Ballots Cast,,,,869,375,438,56
Blanco,Pct 201,Ballots Cast,,,REP,599,253,317,29
Blanco,Pct 201,Ballots Cast,,,DEM,270,122,121,27
Blanco,Pct 201,President,,Zoltan G. Istvan,REP,0,0,0,0
Blanco,Pct 201,President,,Donald J. Trump,REP,574,241,307,26
Blanco,Pct 201,President,,Bill Weld,REP,2,0,2,0
Blanco,Pct 201,President,,Roque Rocky De La Fuente Guerra,REP,0,0,0,0
Blanco,Pct 201,President,,Joe Walsh,REP,1,0,1,0
Blanco,Pct 201,President,,Bob Ely,REP,3,3,0,0
Blanco,Pct 201,President,,Matthew John Matern,REP,1,1,0,0
Blanco,Pct 201,President,,Uncommitted,REP,16,7,6,3
Blanco,Pct 201,U.S. Senate,,John Anthony Castro,REP,28,19,8,1
Blanco,Pct 201,U.S. Senate,,Virgil Bierschwale,REP,17,9,8,0
Blanco,Pct 201,U.S. Senate,,Dwayne Stovall,REP,46,21,25,0
Blanco,Pct 201,U.S. Senate,,Mark Yancey,REP,18,11,6,1
Blanco,Pct 201,U.S. Senate,,John Cornyn,REP,473,180,266,27
Blanco,Pct 201,U.S. House,21,Chip Roy,REP,566,236,304,26
Blanco,Pct 201,Railroad Commissioner,,Ryan Sitton,REP,228,103,120,5
Blanco,Pct 201,Railroad Commissioner,,"James ""Jim"" Wright",REP,304,122,163,19
Blanco,Pct 201,State Senate,24,Dawn Buckingham,REP,527,212,291,24
Blanco,Pct 201,State Representative,45,Austin Talley,REP,40,21,19,0
Blanco,Pct 201,State Representative,45,"Kent ""Bud"" Wymore",REP,246,109,119,18
Blanco,Pct 201,State Representative,45,Carrie Isaac,REP,301,119,173,9
Blanco,Pct 201,President,,Michael Bennet,DEM,0,0,0,0
Blanco,Pct 201,President,,Joseph R. Biden,DEM,93,61,27,5
Blanco,Pct 201,President,,Michael R. Bloomberg,DEM,45,11,26,8
Blanco,Pct 201,President,,Cory Booker,DEM,0,0,0,0
Blanco,Pct 201,President,,Pete Buttigieg,DEM,22,0,17,5
Blanco,Pct 201,President,,Julian Castro,DEM,0,0,0,0
Blanco,Pct 201,President,,Roque Rocky De La Fuente,DEM,0,0,0,0
Blanco,Pct 201,President,,John K. Delaney,DEM,0,0,0,0
Blanco,Pct 201,President,,Tulsi Gabbard,DEM,0,0,0,0
Blanco,Pct 201,President,,Amy Klobuchar,DEM,9,0,9,0
Blanco,Pct 201,President,,Deval Patrick,DEM,0,0,0,0
Blanco,Pct 201,President,,Bernie Sanders,DEM,63,33,24,6
Blanco,Pct 201,President,,Tom Steyer,DEM,2,0,2,0
Blanco,Pct 201,President,,Elizabeth Warren,DEM,35,17,16,2
Blanco,Pct 201,President,,Robby Wells,DEM,0,0,0,0
Blanco,Pct 201,President,,Marianne Williamson,DEM,0,0,0,0
Blanco,Pct 201,President,,Andrew Yang,DEM,0,0,0,0
Blanco,Pct 201,U.S. Senate,,Chris Bell,DEM,23,10,10,3
Blanco,Pct 201,U.S. Senate,,Michael Cooper,DEM,5,3,2,0
Blanco,Pct 201,U.S. Senate,,Amanda K. Edwards,DEM,26,10,15,1
Blanco,Pct 201,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,1,0,1,0
Blanco,Pct 201,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,17,8,7,2
Blanco,Pct 201,U.S. Senate,,Victor Hugo Harris,DEM,1,0,1,0
