county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail,provisional
Montague,PCT 2,Registered Voters,,,,2410,,,,
Montague,PCT 2,Ballots Cast,,,,801,370,423,8,0
Montague,PCT 2,Ballots Cast,,DEM,,0,0,0,0,0
Montague,PCT 2,President,,DEM,Julian Castro,0,0,0,0,0
Montague,PCT 2,President,,DEM,Deval Patrick,0,0,0,0,0
Montague,PCT 2,President,,DEM,Michael R. Bloomberg,16,4,6,6,0
Montague,PCT 2,President,,DEM,Bernie Sanders,12,5,6,1,0
Montague,PCT 2,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Montague,PCT 2,President,,DEM,Cory Booker,0,0,0,0,0
Montague,PCT 2,President,,DEM,Tom Steyer,0,0,0,0,0
Montague,PCT 2,President,,DEM,Andrew Yang,0,0,0,0,0
Montague,PCT 2,President,,DEM,Robby Wells,0,0,0,0,0
Montague,PCT 2,President,,DEM,Michael Bennet,0,0,0,0,0
Montague,PCT 2,President,,DEM,Pete Buttigieg,1,0,1,0,0
Montague,PCT 2,President,,DEM,Amy Klobuchar,4,1,3,0,0
Montague,PCT 2,President,,DEM,Elizabeth Warren,5,0,5,0,0
Montague,PCT 2,President,,DEM,Joseph R. Biden,41,34,7,0,0
Montague,PCT 2,President,,DEM,Tulsi Gabbard,0,0,0,0,0
Montague,PCT 2,President,,DEM,Marianne Williamson,0,0,0,0,0
Montague,PCT 2,President,,DEM,John K. Delaney,1,0,1,0,0
Montague,PCT 2,President,,DEM,Total Votes Cast,80,44,29,7,0
Montague,PCT 2,U.S. Senate,,DEM,Michael Cooper,2,2,0,0,0
Montague,PCT 2,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0,0,0
Montague,PCT 2,U.S. Senate,,DEM,Chris Bell,13,8,5,0,0
Montague,PCT 2,U.S. Senate,,DEM,Sema Hernandez,3,2,1,0,0
Montague,PCT 2,U.S. Senate,,DEM,Mary (MJ) Hegar,22,11,11,0,0
Montague,PCT 2,U.S. Senate,,DEM,D. R. Hunter,1,1,0,0,0
Montague,PCT 2,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,7,3,2,2,0
Montague,PCT 2,U.S. Senate,,DEM,Amanda K. Edwards,6,4,1,1,0
Montague,PCT 2,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",12,7,3,2,0
Montague,PCT 2,U.S. Senate,,DEM,Royce West,5,2,3,0,0
Montague,PCT 2,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",2,1,1,0,0
Montague,PCT 2,U.S. Senate,,DEM,Adrian Ocegueda,1,1,0,0,0
Montague,PCT 2,U.S. Senate,,DEM,Total Votes Cast,74,42,27,5,0
Montague,PCT 2,U.S. House,13,DEM,Gus Trujillo,24,15,8,1,0
Montague,PCT 2,U.S. House,13,DEM,Timothy W. Gassaway,19,8,9,2,0
Montague,PCT 2,U.S. House,13,DEM,Greg Sagan,26,15,9,2,0
Montague,PCT 2,U.S. House,13,DEM,Total Votes Cast,69,38,26,5,0
Montague,PCT 2,Railroad Commissioner,,DEM,Kelly Stone,25,15,9,1,0
Montague,PCT 2,Railroad Commissioner,,DEM,Chrysta Castaneda,17,4,9,4,0
Montague,PCT 2,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",13,9,4,0,0
Montague,PCT 2,Railroad Commissioner,,DEM,Mark Watson,15,11,4,0,0
Montague,PCT 2,Railroad Commissioner,,DEM,Total Votes Cast,70,39,26,5,0
Montague,PCT 2,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,8,6,2,0,0
Montague,PCT 2,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,65,34,26,5,0
Montague,PCT 2,"Chief Justice, Supreme Court",,DEM,Total Votes Cast,73,40,28,5,0
Montague,PCT 2,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,55,31,21,3,0
Montague,PCT 2,"Justice, Supreme Court, Pl 6",,DEM,Larry Praeger,19,10,7,2,0
Montague,PCT 2,"Justice, Supreme Court, Pl 6",,DEM,Total Votes Cast,74,41,28,5,0
Montague,PCT 2,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,51,29,17,5,0
Montague,PCT 2,"Justice, Supreme Court, Pl 7",,DEM,Brandy Voss,22,12,10,0,0
Montague,PCT 2,"Justice, Supreme Court, Pl 7",,DEM,Total Votes Cast,73,41,27,5,0
Montague,PCT 2,"Justice, Supreme Court, Pl 8",,DEM,Peter Kelly,29,15,11,3,0
Montague,PCT 2,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,43,26,15,2,0
Montague,PCT 2,"Justice, Supreme Court, Pl 8",,DEM,Total Votes Cast,72,41,26,5,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 3",,DEM,William Pieratt Demond,8,5,3,0,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 3",,DEM,Dan Wood,14,8,4,2,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,50,27,20,3,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 3",,DEM,Total Votes Cast,72,40,27,5,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 4",,DEM,Steven Miears,17,10,5,2,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,55,30,22,3,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 4",,DEM,Total Votes Cast,72,40,27,5,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,69,39,25,5,0
Montague,PCT 2,"Judge, Ct of Crim App, Pl 9",,DEM,Total Votes Cast,69,39,25,5,0
Montague,PCT 2,"Member, State BoE, Dist 15",,DEM,John Betancourt,72,40,27,5,0
Montague,PCT 2,"Member, State BoE, Dist 15",,DEM,Total Votes Cast,72,40,27,5,0
Montague,PCT 2,State Representative,68,DEM,Patsy Ledbetter,72,41,26,5,0
Montague,PCT 2,State Representative,68,DEM,Total Votes Cast,72,41,26,5,0
Montague,PCT 2,"Justice, 2nd Ct of App Dist, Pl 6",,DEM,Delonia A. Watson,71,39,27,5,0
Montague,PCT 2,"Justice, 2nd Ct of App Dist, Pl 6",,DEM,Total Votes Cast,71,39,27,5,0
Montague,PCT 2,Proposition #1,,DEM,Yes,69,41,25,3,0
Montague,PCT 2,Proposition #1,,DEM,No,7,3,2,2,0
Montague,PCT 2,Proposition #1,,DEM,Total Votes Cast,76,44,27,5,0
Montague,PCT 2,Proposition #2,,DEM,Yes,78,44,27,7,0
Montague,PCT 2,Proposition #2,,DEM,No,0,0,0,0,0
Montague,PCT 2,Proposition #2,,DEM,Total Votes Cast,78,44,27,7,0
Montague,PCT 2,Proposition #3,,DEM,Yes,75,40,28,7,0
Montague,PCT 2,Proposition #3,,DEM,No,3,3,0,0,0
Montague,PCT 2,Proposition #3,,DEM,Total Votes Cast,78,43,28,7,0
Montague,PCT 2,Proposition #4,,DEM,Yes,76,44,28,4,0
Montague,PCT 2,Proposition #4,,DEM,No,3,0,0,3,0
Montague,PCT 2,Proposition #4,,DEM,Total Votes Cast,79,44,28,7,0
Montague,PCT 2,Proposition #5,,DEM,Yes,74,43,27,4,0
Montague,PCT 2,Proposition #5,,DEM,No,5,1,1,3,0
Montague,PCT 2,Proposition #5,,DEM,Total Votes Cast,79,44,28,7,0
Montague,PCT 2,Proposition #6,,DEM,Yes,77,43,27,7,0
Montague,PCT 2,Proposition #6,,DEM,No,0,0,0,0,0
Montague,PCT 2,Proposition #6,,DEM,Total Votes Cast,77,43,27,7,0
Montague,PCT 2,Proposition #7,,DEM,Yes,75,42,28,5,0
Montague,PCT 2,Proposition #7,,DEM,No,2,0,0,2,0
Montague,PCT 2,Proposition #7,,DEM,Total Votes Cast,77,42,28,7,0
Montague,PCT 2,Proposition #8,,DEM,Yes,80,44,29,7,0
Montague,PCT 2,Proposition #8,,DEM,No,0,0,0,0,0
Montague,PCT 2,Proposition #8,,DEM,Total Votes Cast,80,44,29,7,0
Montague,PCT 2,Proposition #9,,DEM,Yes,74,43,26,5,0
Montague,PCT 2,Proposition #9,,DEM,No,4,0,2,2,0
Montague,PCT 2,Proposition #9,,DEM,Total Votes Cast,78,43,28,7,0
Montague,PCT 2,Proposition #10,,DEM,Yes,76,42,29,5,0
Montague,PCT 2,Proposition #10,,DEM,No,4,2,0,2,0
Montague,PCT 2,Proposition #10,,DEM,Total Votes Cast,80,44,29,7,0
Montague,PCT 2,Proposition #11,,DEM,Yes,65,38,24,3,0
Montague,PCT 2,Proposition #11,,DEM,No,12,3,5,4,0
Montague,PCT 2,Proposition #11,,DEM,Total Votes Cast,77,41,29,7,0
Montague,PCT 3,Registered Voters,,,,1298,,,,
Montague,PCT 3,Registered Voters,,,,1298,,,,
Montague,PCT 3,Registered Voters,,,,0,,,,
Montague,PCT 3,Ballots Cast,,,,429,189,236,4,0
Montague,PCT 3,Ballots Cast,,DEM,,0,0,0,0,0
Montague,PCT 3,President,,DEM,Julian Castro,0,0,0,0,0
Montague,PCT 3,President,,DEM,Deval Patrick,0,0,0,0,0
Montague,PCT 3,President,,DEM,Michael R. Bloomberg,12,3,9,0,0
Montague,PCT 3,President,,DEM,Bernie Sanders,7,5,2,0,0
Montague,PCT 3,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Montague,PCT 3,President,,DEM,Cory Booker,0,0,0,0,0
Montague,PCT 3,President,,DEM,Tom Steyer,0,0,0,0,0
Montague,PCT 3,President,,DEM,Andrew Yang,0,0,0,0,0
Montague,PCT 3,President,,DEM,Robby Wells,0,0,0,0,0
Montague,PCT 3,President,,DEM,Michael Bennet,0,0,0,0,0
Montague,PCT 3,President,,DEM,Pete Buttigieg,0,0,0,0,0
Montague,PCT 3,President,,DEM,Amy Klobuchar,0,0,0,0,0
Montague,PCT 3,President,,DEM,Elizabeth Warren,3,1,1,1,0
Montague,PCT 3,President,,DEM,Joseph R. Biden,8,7,1,0,0
Montague,PCT 3,President,,DEM,Tulsi Gabbard,0,0,0,0,0
Montague,PCT 3,President,,DEM,Marianne Williamson,0,0,0,0,0
Montague,PCT 3,President,,DEM,John K. Delaney,0,0,0,0,0
Montague,PCT 3,President,,DEM,Total Votes Cast,30,16,13,1,0
Montague,PCT 3,U.S. Senate,,DEM,Michael Cooper,3,0,3,0,0
Montague,PCT 3,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0,0,0
Montague,PCT 3,U.S. Senate,,DEM,Chris Bell,2,0,2,0,0
Montague,PCT 3,U.S. Senate,,DEM,Sema Hernandez,2,0,2,0,0
Montague,PCT 3,U.S. Senate,,DEM,Mary (MJ) Hegar,8,3,5,0,0
Montague,PCT 3,U.S. Senate,,DEM,D. R. Hunter,1,1,0,0,0
Montague,PCT 3,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,4,3,0,1,0
Montague,PCT 3,U.S. Senate,,DEM,Amanda K. Edwards,3,3,0,0,0
Montague,PCT 3,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",1,1,0,0,0
Montague,PCT 3,U.S. Senate,,DEM,Royce West,1,1,0,0,0
Montague,PCT 3,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",0,0,0,0,0
Montague,PCT 3,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0,0
Montague,PCT 3,U.S. Senate,,DEM,Total Votes Cast,25,12,12,1,0
Montague,PCT 3,U.S. House,13,DEM,Gus Trujillo,10,6,3,1,0
Montague,PCT 3,U.S. House,13,DEM,Timothy W. Gassaway,6,2,4,0,0
Montague,PCT 3,U.S. House,13,DEM,Greg Sagan,10,5,5,0,0
Montague,PCT 3,U.S. House,13,DEM,Total Votes Cast,26,13,12,1,0
Montague,PCT 3,Railroad Commissioner,,DEM,Kelly Stone,9,5,4,0,0
Montague,PCT 3,Railroad Commissioner,,DEM,Chrysta Castaneda,7,5,1,1,0
