county,precinct,office,district,party,candidate,mail,early_voting,election_day_mail,election_day,votes
Atascosa,1,Registered Voters,,,,,,,,895
Atascosa,2,Registered Voters,,,,,,,,1578
Atascosa,3,Registered Voters,,,,,,,,1836
Atascosa,4,Registered Voters,,,,,,,,154
Atascosa,5,Registered Voters,,,,,,,,2110
Atascosa,6,Registered Voters,,,,,,,,104
Atascosa,7,Registered Voters,,,,,,,,1875
Atascosa,8,Registered Voters,,,,,,,,555
Atascosa,9,Registered Voters,,,,,,,,159
Atascosa,10,Registered Voters,,,,,,,,1344
Atascosa,11,Registered Voters,,,,,,,,52
Atascosa,12,Registered Voters,,,,,,,,1329
Atascosa,13,Registered Voters,,,,,,,,2666
Atascosa,14,Registered Voters,,,,,,,,443
Atascosa,15,Registered Voters,,,,,,,,2199
Atascosa,16,Registered Voters,,,,,,,,264
Atascosa,17,Registered Voters,,,,,,,,2216
Atascosa,18,Registered Voters,,,,,,,,1776
Atascosa,19,Registered Voters,,,,,,,,494
Atascosa,20,Registered Voters,,,,,,,,3690
Atascosa,21,Registered Voters,,,,,,,,247
Atascosa,22,Registered Voters,,,,,,,,733
Atascosa,23,Registered Voters,,,,,,,,882
Atascosa,24,Registered Voters,,,,,,,,1785
Atascosa,1,Ballots Cast,,,,55,459,1,84,599
Atascosa,2,Ballots Cast,,,,67,575,1,146,789
Atascosa,3,Ballots Cast,,,,111,738,0,187,1036
Atascosa,4,Ballots Cast,,,,9,30,0,64,103
Atascosa,5,Ballots Cast,,,,86,838,0,196,1120
Atascosa,6,Ballots Cast,,,,7,68,0,6,81
Atascosa,7,Ballots Cast,,,,98,681,1,253,1033
Atascosa,8,Ballots Cast,,,,35,270,0,86,391
Atascosa,9,Ballots Cast,,,,3,112,0,12,127
Atascosa,10,Ballots Cast,,,,57,569,0,252,878
Atascosa,11,Ballots Cast,,,,11,12,0,17,40
Atascosa,12,Ballots Cast,,,,55,585,0,154,794
Atascosa,13,Ballots Cast,,,,159,1323,0,214,1696
Atascosa,14,Ballots Cast,,,,29,251,0,38,318
Atascosa,15,Ballots Cast,,,,147,876,2,211,1236
Atascosa,16,Ballots Cast,,,,16,131,0,29,176
Atascosa,17,Ballots Cast,,,,111,870,0,223,1204
Atascosa,18,Ballots Cast,,,,85,659,0,368,1112
Atascosa,19,Ballots Cast,,,,19,258,0,52,329
Atascosa,20,Ballots Cast,,,,227,2191,2,358,2778
Atascosa,21,Ballots Cast,,,,19,119,0,39,177
Atascosa,22,Ballots Cast,,,,32,348,0,143,523
Atascosa,23,Ballots Cast,,,,35,333,0,90,458
Atascosa,24,Ballots Cast,,,,87,985,0,163,1235
Atascosa,1,President,,REP,Donald J. Trump,23,363,1,64,451
Atascosa,2,President,,REP,Donald J. Trump,27,330,1,89,447
Atascosa,3,President,,REP,Donald J. Trump,46,513,0,128,687
Atascosa,4,President,,REP,Donald J. Trump,2,28,0,50,80
Atascosa,5,President,,REP,Donald J. Trump,25,495,0,106,626
Atascosa,6,President,,REP,Donald J. Trump,5,64,0,5,74
Atascosa,7,President,,REP,Donald J. Trump,33,469,1,167,670
Atascosa,8,President,,REP,Donald J. Trump,22,179,0,58,259
Atascosa,9,President,,REP,Donald J. Trump,1,103,0,9,113
Atascosa,10,President,,REP,Donald J. Trump,17,366,0,164,547
Atascosa,11,President,,REP,Donald J. Trump,6,10,0,15,31
Atascosa,12,President,,REP,Donald J. Trump,18,389,0,97,504
Atascosa,13,President,,REP,Donald J. Trump,60,1008,0,161,1229
Atascosa,14,President,,REP,Donald J. Trump,12,195,0,27,234
Atascosa,15,President,,REP,Donald J. Trump,28,559,0,136,723
Atascosa,16,President,,REP,Donald J. Trump,5,85,0,16,106
Atascosa,17,President,,REP,Donald J. Trump,29,431,0,101,561
Atascosa,18,President,,REP,Donald J. Trump,29,479,0,248,756
Atascosa,19,President,,REP,Donald J. Trump,8,204,0,39,251
Atascosa,20,President,,REP,Donald J. Trump,116,1717,2,271,2106
Atascosa,21,President,,REP,Donald J. Trump,10,102,0,35,147
Atascosa,22,President,,REP,Donald J. Trump,21,273,0,122,416
Atascosa,23,President,,REP,Donald J. Trump,9,202,0,56,267
Atascosa,24,President,,REP,Donald J. Trump,28,617,0,109,754
Atascosa,1,President,,DEM,Joseph R. Biden,29,91,0,20,140
Atascosa,2,President,,DEM,Joseph R. Biden,39,238,0,56,333
Atascosa,3,President,,DEM,Joseph R. Biden,64,214,0,55,333
Atascosa,4,President,,DEM,Joseph R. Biden,7,2,0,14,23
Atascosa,5,President,,DEM,Joseph R. Biden,56,338,0,82,476
Atascosa,6,President,,DEM,Joseph R. Biden,1,3,0,1,5
Atascosa,7,President,,DEM,Joseph R. Biden,61,202,0,80,343
Atascosa,8,President,,DEM,Joseph R. Biden,12,86,0,24,122
Atascosa,9,President,,DEM,Joseph R. Biden,2,8,0,2,12
Atascosa,10,President,,DEM,Joseph R. Biden,40,196,0,84,320
Atascosa,11,President,,DEM,Joseph R. Biden,5,0,0,0,5
Atascosa,12,President,,DEM,Joseph R. Biden,34,186,0,54,274
Atascosa,13,President,,DEM,Joseph R. Biden,96,296,0,48,440
Atascosa,14,President,,DEM,Joseph R. Biden,16,53,0,10,79
Atascosa,15,President,,DEM,Joseph R. Biden,113,303,2,67,485
Atascosa,16,President,,DEM,Joseph R. Biden,10,44,0,13,67
Atascosa,17,President,,DEM,Joseph R. Biden,76,421,0,117,614
Atascosa,18,President,,DEM,Joseph R. Biden,56,171,0,112,339
Atascosa,19,President,,DEM,Joseph R. Biden,11,52,0,12,75
Atascosa,20,President,,DEM,Joseph R. Biden,108,437,0,77,622
Atascosa,21,President,,DEM,Joseph R. Biden,7,15,0,3,25
Atascosa,22,President,,DEM,Joseph R. Biden,11,71,0,20,102
Atascosa,23,President,,DEM,Joseph R. Biden,26,125,0,34,185
Atascosa,24,President,,DEM,Joseph R. Biden,59,351,0,47,457
Atascosa,1,President,,LIB,Jo Jorgensen,0,3,0,0,3
Atascosa,2,President,,LIB,Jo Jorgensen,1,4,0,1,6
Atascosa,3,President,,LIB,Jo Jorgensen,0,6,0,3,9
Atascosa,4,President,,LIB,Jo Jorgensen,0,0,0,0,0
Atascosa,5,President,,LIB,Jo Jorgensen,1,0,0,3,4
Atascosa,6,President,,LIB,Jo Jorgensen,1,0,0,0,1
Atascosa,7,President,,LIB,Jo Jorgensen,0,6,0,3,9
Atascosa,8,President,,LIB,Jo Jorgensen,0,4,0,0,4
Atascosa,9,President,,LIB,Jo Jorgensen,0,1,0,1,2
Atascosa,10,President,,LIB,Jo Jorgensen,0,6,0,2,8
Atascosa,11,President,,LIB,Jo Jorgensen,0,0,0,0,0
Atascosa,12,President,,LIB,Jo Jorgensen,1,4,0,2,7
Atascosa,13,President,,LIB,Jo Jorgensen,0,6,0,0,6
Atascosa,14,President,,LIB,Jo Jorgensen,1,2,0,0,3
Atascosa,15,President,,LIB,Jo Jorgensen,2,6,0,3,11
Atascosa,16,President,,LIB,Jo Jorgensen,0,1,0,0,1
Atascosa,17,President,,LIB,Jo Jorgensen,2,7,0,3,12
Atascosa,18,President,,LIB,Jo Jorgensen,0,2,0,2,4
Atascosa,19,President,,LIB,Jo Jorgensen,0,1,0,0,1
Atascosa,20,President,,LIB,Jo Jorgensen,1,25,0,3,29
Atascosa,21,President,,LIB,Jo Jorgensen,2,2,0,0,4
Atascosa,22,President,,LIB,Jo Jorgensen,0,1,0,1,2
Atascosa,23,President,,LIB,Jo Jorgensen,0,4,0,0,4
Atascosa,24,President,,LIB,Jo Jorgensen,0,9,0,4,13
Atascosa,1,President,,GRN,Howie Hawkins,0,1,0,0,1
Atascosa,2,President,,GRN,Howie Hawkins,0,3,0,0,3
Atascosa,3,President,,GRN,Howie Hawkins,0,3,0,0,3
Atascosa,4,President,,GRN,Howie Hawkins,0,0,0,0,0
Atascosa,5,President,,GRN,Howie Hawkins,0,2,0,2,4
Atascosa,6,President,,GRN,Howie Hawkins,0,0,0,0,0
Atascosa,7,President,,GRN,Howie Hawkins,0,2,0,1,3
Atascosa,8,President,,GRN,Howie Hawkins,0,0,0,2,2
