county,precinct,office,district,party,candidate,mail,early_voting,election_day,provisional,votes
Williamson,119,President,,REP,Donald J. Trump/Michael R. Pence,63,1006,154,48,1271
Williamson,119,President,,DEM,Joseph R. Biden/Kamala D. Harris,184,1187,126,90,1587
Williamson,119,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",2,42,11,3,58
Williamson,119,President,,GRE,Howie Hawkins/Angela Walker,0,6,5,0,11
Williamson,119,President,,,Write-in,1,3,3,1,8
Williamson,119,U.S. Senate,,REP,John Cornyn,70,1032,158,44,1304
Williamson,119,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",173,1084,115,88,1460
Williamson,119,U.S. Senate,,LBT,Kerry Douglas McKennon,1,54,10,5,70
Williamson,119,U.S. Senate,,GRE,David B. Collins,1,15,5,0,21
Williamson,119,U.S. Senate,,,Write-in,1,1,1,0,3
Williamson,119,U.S. House,31,REP,John Carter,72,1082,162,48,1364
Williamson,119,U.S. House,31,DEM,Donna Imam,169,1070,111,79,1429
Williamson,119,U.S. House,31,LBT,Clark Patterson,0,54,13,6,73
Williamson,119,U.S. House,31,,Write-in,0,1,1,0,2
Williamson,119,Railroad Commissioner,,REP,"James ""Jim"" Wright",63,994,145,44,1246
Williamson,119,Railroad Commissioner,,DEM,Chrysta Castañeda,171,1071,107,78,1427
Williamson,119,Railroad Commissioner,,LBT,Matt Sterett,4,73,16,6,99
Williamson,119,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,31,9,3,44
Williamson,119,State Representative,52,REP,Lucio Valdez,70,1059,170,51,1350
Williamson,119,State Representative,52,DEM,James Talarico,165,1086,108,77,1436
Williamson,122,President,,REP,Donald J. Trump/Michael R. Pence,68,822,69,2,961
Williamson,122,President,,DEM,Joseph R. Biden/Kamala D. Harris,161,1104,56,4,1325
Williamson,122,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",2,32,10,0,44
Williamson,122,President,,GRE,Howie Hawkins/Angela Walker,0,3,0,0,3
Williamson,122,President,,,Write-in,0,9,5,0,14
Williamson,122,U.S. Senate,,REP,John Cornyn,85,895,84,2,1066
Williamson,122,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",140,1003,43,4,1190
Williamson,122,U.S. Senate,,LBT,Kerry Douglas McKennon,1,34,5,0,40
Williamson,122,U.S. Senate,,GRE,David B. Collins,1,10,3,0,14
Williamson,122,U.S. Senate,,,Write-in,0,1,1,0,2
Williamson,122,U.S. House,31,REP,John Carter,85,930,90,3,1108
Williamson,122,U.S. House,31,DEM,Donna Imam,140,976,42,3,1161
Williamson,122,U.S. House,31,LBT,Clark Patterson,2,39,2,0,43
Williamson,122,U.S. House,31,,Write-in,1,1,1,0,3
Williamson,122,Railroad Commissioner,,REP,"James ""Jim"" Wright",82,861,69,2,1014
Williamson,122,Railroad Commissioner,,DEM,Chrysta Castañeda,135,951,45,3,1134
Williamson,122,Railroad Commissioner,,LBT,Matt Sterett,1,60,8,0,69
Williamson,122,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",5,24,4,0,33
Williamson,122,State Representative,52,REP,Lucio Valdez,84,923,81,3,1091
Williamson,122,State Representative,52,DEM,James Talarico,138,957,49,3,1147
Williamson,135,President,,REP,Donald J. Trump/Michael R. Pence,55,572,133,3,763
Williamson,135,President,,DEM,Joseph R. Biden/Kamala D. Harris,142,1199,141,2,1484
Williamson,135,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",3,39,8,0,50
Williamson,135,President,,GRE,Howie Hawkins/Angela Walker,0,8,0,0,8
Williamson,135,President,,,Write-in,0,8,1,0,9
Williamson,135,U.S. Senate,,REP,John Cornyn,59,565,128,3,755
Williamson,135,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",135,1127,126,2,1390
Williamson,135,U.S. Senate,,LBT,Kerry Douglas McKennon,2,58,12,0,72
Williamson,135,U.S. Senate,,GRE,David B. Collins,0,14,1,0,15
Williamson,135,U.S. Senate,,,Write-in,0,1,0,0,1
Williamson,135,U.S. House,31,REP,John Carter,54,600,134,3,791
Williamson,135,U.S. House,31,DEM,Donna Imam,115,1115,130,2,1362
Williamson,135,U.S. House,31,LBT,Clark Patterson,2,62,8,0,72
Williamson,135,U.S. House,31,,Write-in,0,1,0,0,1
