county,precinct,office,district,candidate,party,votes,election day,early_voting,mail ,provisional,limited
Kleberg,Precinct 11,Registered Voters,,,,1911,,,,,
Kleberg,Precinct 11,Ballots Cast Total,,,,425,262,138,25,0,0
Kleberg,Precinct 11,Ballots Cast,,,REP,192,107,85,0,0,0
Kleberg,Precinct 11,Ballots Cast,,,DEM,233,155,53,25,0,0
Kleberg,Precinct 11,President,,Michael Bennet,DEM,1,1,0,0,0,0
Kleberg,Precinct 11,President,,Andrew Yang,DEM,0,0,0,0,0,0
Kleberg,Precinct 11,President,,Tulsi Gabbard,DEM,1,1,0,0,0,0
Kleberg,Precinct 11,President,,Elizabeth Warren,DEM,13,9,2,2,0,0
Kleberg,Precinct 11,President,,Julian Castro,DEM,3,3,0,0,0,0
Kleberg,Precinct 11,President,,Pete Buttigieg,DEM,12,0,8,4,0,0
Kleberg,Precinct 11,President,,"Roque ""Rocky"" De La Fuente",DEM,2,1,1,0,0,0
Kleberg,Precinct 11,President,,Michael R. Bloomberg,DEM,29,15,9,5,0,0
Kleberg,Precinct 11,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 11,President,,Joseph R. Biden,DEM,99,83,10,6,0,0
Kleberg,Precinct 11,President,,Amy Klobuchar,DEM,2,0,2,0,0,0
Kleberg,Precinct 11,President,,Tom Steyer,DEM,0,0,0,0,0,0
Kleberg,Precinct 11,President,,Bernie Sanders,DEM,61,40,13,8,0,0
Kleberg,Precinct 11,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 11,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 11,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 11,President,,Robby Wells,DEM,1,0,1,0,0,0
Kleberg,Precinct 11,U.S. Senate,,Adrian Ocegueda,DEM,12,8,2,2,0,0
Kleberg,Precinct 11,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,30,21,5,4,0,0
Kleberg,Precinct 11,U.S. Senate,,D. R. Hunter,DEM,10,7,2,1,0,0
Kleberg,Precinct 11,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,54,38,10,6,0,0
Kleberg,Precinct 11,U.S. Senate,,Michael Cooper,DEM,8,7,0,1,0,0
