county,precinct,office,district,candidate,party,votes,early_voting,election_day,absentee
Schleicher,Precinct #1,Registered Voters,,,,495,,,
Schleicher,Precinct #1,Ballots Cast,,,,197,,,
Schleicher,Precinct #1,Ballots Cast,,,REP,155,70,76,9
Schleicher,Precinct #1,Ballots Cast,,,DEM,42,13,25,4
Schleicher,Precinct #1,President,,Zoltan G. Istvan,REP,0,0,0,0
Schleicher,Precinct #1,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,1,0,0
Schleicher,Precinct #1,President,,Joe Walsh,REP,0,0,0,0
Schleicher,Precinct #1,President,,Matthew John Matern,REP,1,1,0,0
Schleicher,Precinct #1,President,,Donald J. Trump,REP,149,66,74,9
Schleicher,Precinct #1,President,,Bob Ely,REP,1,0,1,0
Schleicher,Precinct #1,President,,Bill Weld,REP,0,0,0,0
Schleicher,Precinct #1,President,,Uncommitted,REP,2,2,0,0
Schleicher,Precinct #1,U.S. Senate,,Dwayne Stovall,REP,14,4,9,1
Schleicher,Precinct #1,U.S. Senate,,Mark Yancey,REP,13,8,5,0
Schleicher,Precinct #1,U.S. Senate,,John Cornyn,REP,100,48,44,8
Schleicher,Precinct #1,U.S. Senate,,Virgil Bierschwale,REP,3,1,2,0
Schleicher,Precinct #1,U.S. Senate,,John Anthony Castro,REP,9,4,5,0
Schleicher,Precinct #1,U.S. House,23,Alia Ureste,REP,5,1,4,0
Schleicher,Precinct #1,U.S. House,23,Raul Reyes,REP,32,13,16,3
Schleicher,Precinct #1,U.S. House,23,Sharon Breckenridge Thomas,REP,7,4,2,1
Schleicher,Precinct #1,U.S. House,23,Alma Arredondo-Lynch,REP,18,7,11,0
Schleicher,Precinct #1,U.S. House,23,Ben Van Winkle,REP,5,4,1,0
Schleicher,Precinct #1,U.S. House,23,"Cecil B. ""Burt"" Jones",REP,17,8,9,0
Schleicher,Precinct #1,U.S. House,23,Tony Gonzales,REP,27,13,12,2
Schleicher,Precinct #1,U.S. House,23,Jeff McFarlin,REP,20,11,7,2
Schleicher,Precinct #1,U.S. House,23,Darwin Boedeker,REP,1,0,1,0
Schleicher,Precinct #1,Railroad Commissioner,,Ryan Sitton,REP,54,28,22,4
Schleicher,Precinct #1,Railroad Commissioner,,"James ""Jim"" Wright",REP,80,38,37,5
Schleicher,Precinct #1,State Senate,28,Charles Perry,REP,136,63,64,9
Schleicher,Precinct #1,State Representative,53,Andrew S. Murr,REP,144,65,70,9
Schleicher,Precinct #1,President,,Tulsi Gabbard,DEM,0,0,0,0
Schleicher,Precinct #1,President,,John K. Delaney,DEM,0,0,0,0
Schleicher,Precinct #1,President,,Marianne Williamson,DEM,0,0,0,0
Schleicher,Precinct #1,President,,Cory Booker,DEM,0,0,0,0
Schleicher,Precinct #1,President,,Michael Bennet,DEM,0,0,0,0
Schleicher,Precinct #1,President,,Elizabeth Warren,DEM,3,0,2,1
Schleicher,Precinct #1,President,,Julian Castro,DEM,1,1,0,0
Schleicher,Precinct #1,President,,Bernie Sanders,DEM,12,2,9,1
Schleicher,Precinct #1,President,,Robby Wells,DEM,0,0,0,0
Schleicher,Precinct #1,President,,Andrew Yang,DEM,0,0,0,0
Schleicher,Precinct #1,President,,Amy Klobuchar,DEM,3,2,0,1
Schleicher,Precinct #1,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Schleicher,Precinct #1,President,,Michael R. Bloomberg,DEM,6,3,3,0
Schleicher,Precinct #1,President,,Joseph R. Biden,DEM,14,4,9,1
Schleicher,Precinct #1,President,,Deval Patrick,DEM,0,0,0,0
Schleicher,Precinct #1,President,,Pete Buttigieg,DEM,0,0,0,0
Schleicher,Precinct #1,President,,Tom Steyer,DEM,0,0,0,0
