county,precinct,office,district,candidate,party,votes,early_voting,election_day,mail
Lynn,Precinct 1/5,Registered Voters,,,,411,,,
Lynn,Precinct 1/5,Ballots Cast,,,,132,46,78,8
Lynn,Precinct 1/5,Ballots Cast,,,REP,125,43,77,5
Lynn,Precinct 1/5,Ballots Cast,,,DEM,7,3,1,3
Lynn,Precinct 1/5,President,,Bill Weld,REP,0,0,0,0
Lynn,Precinct 1/5,President,,Bob Ely,REP,1,1,0,0
Lynn,Precinct 1/5,President,,Donald J. Trump,REP,99,38,57,4
Lynn,Precinct 1/5,President,,Zoltan G. Istvan,REP,0,0,0,0
Lynn,Precinct 1/5,President,,Matthew John Matern,REP,1,0,1,0
Lynn,Precinct 1/5,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,0,1,0
Lynn,Precinct 1/5,President,,Joe Walsh,REP,3,1,2,0
Lynn,Precinct 1/5,President,,Uncommitted,REP,12,2,10,0
Lynn,Precinct 1/5,U.S. Senate,,Virgil Bierschwale,REP,1,0,1,0
Lynn,Precinct 1/5,U.S. Senate,,John Anthony Castro,REP,7,1,6,0
Lynn,Precinct 1/5,U.S. Senate,,John Cornyn,REP,75,26,45,4
Lynn,Precinct 1/5,U.S. Senate,,Dwayne Stovall,REP,16,8,8,0
Lynn,Precinct 1/5,U.S. Senate,,Mark Yancey,REP,7,4,3,0
Lynn,Precinct 1/5,U.S. House,19,Vance W. Boyd,REP,9,2,7,0
Lynn,Precinct 1/5,U.S. House,19,Jodey C. Arrington,REP,100,37,59,4
Lynn,Precinct 1/5,Railroad Commissioner,,Ryan Sitton,REP,52,18,31,3
Lynn,Precinct 1/5,Railroad Commissioner,,"James ""Jim"" Wright",REP,41,18,22,1
Lynn,Precinct 1/5,State Senate,28,Charles Perry,REP,97,37,56,4
Lynn,Precinct 1/5,State Representative,83,Dustin Burrows,REP,93,34,55,4
Lynn,Precinct 1/5,President,,Michael Bennet,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Joseph R. Biden,DEM,3,0,1,2
Lynn,Precinct 1/5,President,,Andrew Yang,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,John K. Delaney,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Michael R. Bloomberg,DEM,4,3,0,1
Lynn,Precinct 1/5,President,,Amy Klobuchar,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Tulsi Gabbard,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Robby Wells,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Bernie Sanders,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Deval Patrick,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Julian Castro,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Tom Steyer,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Elizabeth Warren,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Marianne Williamson,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Pete Buttigieg,DEM,0,0,0,0
Lynn,Precinct 1/5,President,,Cory Booker,DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,Mary (MJ) Hegar,DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,Chris Bell,DEM,1,1,0,0
Lynn,Precinct 1/5,U.S. Senate,,Amanda K. Edwards,DEM,1,0,1,0
Lynn,Precinct 1/5,U.S. Senate,,Royce West,DEM,1,0,0,1
Lynn,Precinct 1/5,U.S. Senate,,Sema Hernandez,DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,Michael Cooper,DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,0,0,0,0
Lynn,Precinct 1/5,U.S. Senate,,D. R. Hunter,DEM,1,0,0,1
Lynn,Precinct 1/5,U.S. House,19,Tom Watson,DEM,2,0,1,1
Lynn,Precinct 1/5,Railroad Commissioner,,Chrysta Castaneda,DEM,1,0,1,0
Lynn,Precinct 1/5,Railroad Commissioner,,Kelly Stone,DEM,1,0,0,1
Lynn,Precinct 1/5,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,1,0,0,1
Lynn,Precinct 1/5,Railroad Commissioner,,Mark Watson,DEM,1,1,0,0
Lynn,Precinct 1/5,State Representative,83,James Barrick,DEM,3,1,0,2
Lynn,Precinct 1/5,State Representative,83,Addison Perry-Franks,DEM,1,0,1,0
Lynn,Precinct 2/8,Registered Voters,,,,456,,,
Lynn,Precinct 2/8,Ballots Cast,,,,120,11,104,5
Lynn,Precinct 2/8,Ballots Cast,,,REP,114,9,101,4
Lynn,Precinct 2/8,Ballots Cast,,,DEM,6,2,3,1
Lynn,Precinct 2/8,President,,Bill Weld,REP,1,0,1,0
Lynn,Precinct 2/8,President,,Bob Ely,REP,0,0,0,0
Lynn,Precinct 2/8,President,,Donald J. Trump,REP,92,9,79,4
Lynn,Precinct 2/8,President,,Zoltan G. Istvan,REP,0,0,0,0
Lynn,Precinct 2/8,President,,Matthew John Matern,REP,0,0,0,0
Lynn,Precinct 2/8,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,2,0,2,0
Lynn,Precinct 2/8,President,,Joe Walsh,REP,1,0,1,0
