county,precinct,office,district,party,candidate,mail,early_voting,election_day,votes
Karnes,Precinct 1 - BS69,Ballots Cast,,,,,,,199
Karnes,Precinct 1 - BS69,President,,REP,Donald J Trump,7,74,34,115
Karnes,Precinct 1 - BS69,President,,DEM,Joseph R Biden,10,52,15,77
Karnes,Precinct 1 - BS69,President,,LIB,Jo Jorgensen,0,1,0,1
Karnes,Precinct 1 - BS69,President,,GRN,Howie Hawkins,0,0,0,0
Karnes,Precinct 1 - BS69,President,,,Brian Carroll (W),0,0,0,0
Karnes,Precinct 1 - BS69,U.S. Senate,,REP,John Cornyn,8,65,31,104
Karnes,Precinct 1 - BS69,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",9,47,12,68
Karnes,Precinct 1 - BS69,U.S. Senate,,LIB,Kerry Douglas McKennon,0,4,2,6
Karnes,Precinct 1 - BS69,U.S. Senate,,GRN,David B. Collins,0,2,0,2
Karnes,Precinct 1 - BS69,U.S. House,15,,Monica De La Cruz-Hernandez,7,58,27,92
Karnes,Precinct 1 - BS69,U.S. House,15,,Vicente Gonzalez,10,60,15,85
Karnes,Precinct 1 - BS69,U.S. House,15,,Rose Lynn Leone,1,2,2,5
Karnes,Precinct 1 - BS69,Railroad Commissioner,,REP,"James ""Jim""Wright",8,57,26,91
Karnes,Precinct 1 - BS69,Railroad Commissioner,,DEM,Chrysta Castaneda,10,53,13,76
Karnes,Precinct 1 - BS69,Railroad Commissioner,,LIB,Matt Sterett,0,2,2,4
Karnes,Precinct 1 - BS69,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,2,0,2
Karnes,Precinct 1 - BS69,State Senate,21,,Frank Pomeroy,6,50,24,80
Karnes,Precinct 1 - BS69,State Senate,21,,Judith Zaffirini,11,71,21,103
Karnes,Precinct 1 - BS69,State Representative,17,,John P. Cyrier,9,64,30,103
Karnes,Precinct 1 - BS69,State Representative,17,,Madeline Eden,6,52,14,72
Karnes,Precinct 1 - BS70,Ballots Cast,,,,,,,283
Karnes,Precinct 1 - BS70,President,,REP,Donald J Trump,15,114,53,182
Karnes,Precinct 1 - BS70,President,,DEM,Joseph R Biden,13,52,20,85
Karnes,Precinct 1 - BS70,President,,LIB,Jo Jorgensen,0,0,0,0
Karnes,Precinct 1 - BS70,President,,GRN,Howie Hawkins,0,2,1,3
Karnes,Precinct 1 - BS70,President,,,Brian Carroll (W),0,0,0,0
Karnes,Precinct 1 - BS70,U.S. Senate,,REP,John Cornyn,15,110,39,164
Karnes,Precinct 1 - BS70,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",13,42,21,76
Karnes,Precinct 1 - BS70,U.S. Senate,,LIB,Kerry Douglas McKennon,1,2,0,3
Karnes,Precinct 1 - BS70,U.S. Senate,,GRN,David B. Collins,0,1,2,3
Karnes,Precinct 1 - BS70,U.S. House,15,,Monica De La Cruz-Hernandez,14,99,38,151
Karnes,Precinct 1 - BS70,U.S. House,15,,Vicente Gonzalez,14,54,23,91
Karnes,Precinct 1 - BS70,U.S. House,15,,Rose Lynn Leone,1,2,0,3
Karnes,Precinct 1 - BS70,Railroad Commissioner,,REP,"James ""Jim""Wright",17,100,34,151
Karnes,Precinct 1 - BS70,Railroad Commissioner,,DEM,Chrysta Castaneda,10,49,21,80
Karnes,Precinct 1 - BS70,Railroad Commissioner,,LIB,Matt Sterett,0,1,0,1
Karnes,Precinct 1 - BS70,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,1,1
Karnes,Precinct 1 - BS70,State Senate,21,,Frank Pomeroy,7,84,29,120
Karnes,Precinct 1 - BS70,State Senate,21,,Judith Zaffirini,20,73,30,123
Karnes,Precinct 1 - BS70,State Representative,17,,John P. Cyrier,17,104,36,157
Karnes,Precinct 1 - BS70,State Representative,17,,Madeline Eden,12,46,20,78
Karnes,Precinct 1 - BS71,Ballots Cast,,,,,,,62
Karnes,Precinct 1 - BS71,President,,REP,Donald J Trump,6,38,9,53
Karnes,Precinct 1 - BS71,President,,DEM,Joseph R Biden,0,5,4,9
Karnes,Precinct 1 - BS71,President,,LIB,Jo Jorgensen,0,0,0,0
Karnes,Precinct 1 - BS71,President,,GRN,Howie Hawkins,0,0,0,0
Karnes,Precinct 1 - BS71,President,,,Brian Carroll (W),0,0,0,0
Karnes,Precinct 1 - BS71,U.S. Senate,,REP,John Cornyn,5,39,8,52
Karnes,Precinct 1 - BS71,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1,4,5,10
Karnes,Precinct 1 - BS71,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Karnes,Precinct 1 - BS71,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Karnes,Precinct 1 - BS71,U.S. House,15,,Monica De La Cruz-Hernandez,5,34,9,48
Karnes,Precinct 1 - BS71,U.S. House,15,,Vicente Gonzalez,1,6,4,11
Karnes,Precinct 1 - BS71,U.S. House,15,,Rose Lynn Leone,0,1,0,1
Karnes,Precinct 1 - BS71,Railroad Commissioner,,REP,"James ""Jim""Wright",4,35,8,47
Karnes,Precinct 1 - BS71,Railroad Commissioner,,DEM,Chrysta Castaneda,0,7,5,12
Karnes,Precinct 1 - BS71,Railroad Commissioner,,LIB,Matt Sterett,1,0,0,1
Karnes,Precinct 1 - BS71,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Karnes,Precinct 1 - BS71,State Senate,21,,Frank Pomeroy,4,31,7,42
Karnes,Precinct 1 - BS71,State Senate,21,,Judith Zaffirini,1,10,6,17
Karnes,Precinct 1 - BS71,State Representative,17,,John P. Cyrier,4,35,8,47
Karnes,Precinct 1 - BS71,State Representative,17,,Madeline Eden,1,6,5,12
Karnes,Precinct 1 - BS72,Ballots Cast,,,,,,,0
Karnes,Precinct 1 - BS72,President,,REP,Donald J Trump,0,0,0,0
Karnes,Precinct 1 - BS72,President,,DEM,Joseph R Biden,0,0,0,0
Karnes,Precinct 1 - BS72,President,,LIB,Jo Jorgensen,0,0,0,0
Karnes,Precinct 1 - BS72,President,,GRN,Howie Hawkins,0,0,0,0
Karnes,Precinct 1 - BS72,President,,,Brian Carroll (W),0,0,0,0
Karnes,Precinct 1 - BS72,U.S. Senate,,REP,John Cornyn,0,0,0,0
Karnes,Precinct 1 - BS72,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
Karnes,Precinct 1 - BS72,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Karnes,Precinct 1 - BS72,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Karnes,Precinct 1 - BS72,U.S. House,15,,Monica De La Cruz-Hernandez,0,0,0,0
Karnes,Precinct 1 - BS72,U.S. House,15,,Vicente Gonzalez,0,0,0,0
Karnes,Precinct 1 - BS72,U.S. House,15,,Rose Lynn Leone,0,0,0,0
Karnes,Precinct 1 - BS72,Railroad Commissioner,,REP,"James ""Jim""Wright",0,0,0,0
Karnes,Precinct 1 - BS72,Railroad Commissioner,,DEM,Chrysta Castaneda,0,0,0,0
Karnes,Precinct 1 - BS72,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0
Karnes,Precinct 1 - BS72,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Karnes,Precinct 1 - BS72,State Senate,21,,Frank Pomeroy,0,0,0,0
Karnes,Precinct 1 - BS72,State Senate,21,,Judith Zaffirini,0,0,0,0
Karnes,Precinct 1 - BS72,State Representative,17,,John P. Cyrier,0,0,0,0
Karnes,Precinct 1 - BS72,State Representative,17,,Madeline Eden,0,0,0,0
Karnes,Precinct 1 - BS73,Ballots Cast,,,,,,,118
Karnes,Precinct 1 - BS73,President,,REP,Donald J Trump,2,47,16,65
Karnes,Precinct 1 - BS73,President,,DEM,Joseph R Biden,3,30,10,43
Karnes,Precinct 1 - BS73,President,,LIB,Jo Jorgensen,0,1,0,1
Karnes,Precinct 1 - BS73,President,,GRN,Howie Hawkins,0,0,1,1
Karnes,Precinct 1 - BS73,President,,,Brian Carroll (W),0,0,0,0
Karnes,Precinct 1 - BS73,U.S. Senate,,REP,John Cornyn,1,33,12,46
Karnes,Precinct 1 - BS73,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",5,27,11,43
Karnes,Precinct 1 - BS73,U.S. Senate,,LIB,Kerry Douglas McKennon,0,2,0,2
Karnes,Precinct 1 - BS73,U.S. Senate,,GRN,David B. Collins,0,1,0,1
Karnes,Precinct 1 - BS73,U.S. House,15,,Monica De La Cruz-Hernandez,4,34,9,47
Karnes,Precinct 1 - BS73,U.S. House,15,,Vicente Gonzalez,2,35,15,52
Karnes,Precinct 1 - BS73,U.S. House,15,,Rose Lynn Leone,1,0,0,1
Karnes,Precinct 1 - BS73,Railroad Commissioner,,REP,"James ""Jim""Wright",2,34,11,47
Karnes,Precinct 1 - BS73,Railroad Commissioner,,DEM,Chrysta Castaneda,3,23,9,35
Karnes,Precinct 1 - BS73,Railroad Commissioner,,LIB,Matt Sterett,0,3,0,3
Karnes,Precinct 1 - BS73,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,1,1
Karnes,Precinct 1 - BS73,State Senate,21,,Frank Pomeroy,0,28,8,36
Karnes,Precinct 1 - BS73,State Senate,21,,Judith Zaffirini,6,38,14,58
Karnes,Precinct 1 - BS73,State Representative,17,,John P. Cyrier,1,31,14,46
Karnes,Precinct 1 - BS73,State Representative,17,,Madeline Eden,4,29,8,41
Karnes,Precinct 1 - BS74,Ballots Cast,,,,,,,292
Karnes,Precinct 1 - BS74,President,,REP,Donald J Trump,20,162,52,234
Karnes,Precinct 1 - BS74,President,,DEM,Joseph R Biden,13,27,8,48
Karnes,Precinct 1 - BS74,President,,LIB,Jo Jorgensen,0,1,0,1
Karnes,Precinct 1 - BS74,President,,GRN,Howie Hawkins,0,0,0,0
Karnes,Precinct 1 - BS74,President,,,Brian Carroll (W),0,0,1,1
Karnes,Precinct 1 - BS74,U.S. Senate,,REP,John Cornyn,20,160,48,228
Karnes,Precinct 1 - BS74,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",11,24,11,46
Karnes,Precinct 1 - BS74,U.S. Senate,,LIB,Kerry Douglas McKennon,0,1,1,2
Karnes,Precinct 1 - BS74,U.S. Senate,,GRN,David B. Collins,1,1,0,2
Karnes,Precinct 1 - BS74,U.S. House,15,,Monica De La Cruz-Hernandez,21,148,51,220
Karnes,Precinct 1 - BS74,U.S. House,15,,Vicente Gonzalez,13,38,9,60
Karnes,Precinct 1 - BS74,U.S. House,15,,Rose Lynn Leone,0,1,1,2
Karnes,Precinct 1 - BS74,Railroad Commissioner,,REP,"James ""Jim""Wright",20,142,50,212
Karnes,Precinct 1 - BS74,Railroad Commissioner,,DEM,Chrysta Castaneda,13,38,8,59
Karnes,Precinct 1 - BS74,Railroad Commissioner,,LIB,Matt Sterett,0,2,0,2
Karnes,Precinct 1 - BS74,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Karnes,Precinct 1 - BS74,State Senate,21,,Frank Pomeroy,17,140,46,203
Karnes,Precinct 1 - BS74,State Senate,21,,Judith Zaffirini,17,47,13,77
Karnes,Precinct 1 - BS74,State Representative,17,,John P. Cyrier,22,157,50,229
Karnes,Precinct 1 - BS74,State Representative,17,,Madeline Eden,11,27,9,47
Karnes,Precinct 2 - BS15,Ballots Cast,,,,,,,2
Karnes,Precinct 2 - BS15,President,,REP,Donald J Trump,0,0,1,1
Karnes,Precinct 2 - BS15,President,,DEM,Joseph R Biden,0,0,1,1
Karnes,Precinct 2 - BS15,President,,LIB,Jo Jorgensen,0,0,0,0
Karnes,Precinct 2 - BS15,President,,GRN,Howie Hawkins,0,0,0,0
Karnes,Precinct 2 - BS15,President,,,Brian Carroll (W),0,0,0,0
Karnes,Precinct 2 - BS15,U.S. Senate,,REP,John Cornyn,0,0,2,2
Karnes,Precinct 2 - BS15,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
Karnes,Precinct 2 - BS15,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Karnes,Precinct 2 - BS15,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Karnes,Precinct 2 - BS15,U.S. House,15,,Monica De La Cruz-Hernandez,0,0,1,1
Karnes,Precinct 2 - BS15,U.S. House,15,,Vicente Gonzalez,0,0,1,1
Karnes,Precinct 2 - BS15,U.S. House,15,,Rose Lynn Leone,0,0,0,0
Karnes,Precinct 2 - BS15,Railroad Commissioner,,REP,"James ""Jim""Wright",0,0,2,2
Karnes,Precinct 2 - BS15,Railroad Commissioner,,DEM,Chrysta Castaneda,0,0,0,0
Karnes,Precinct 2 - BS15,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0
Karnes,Precinct 2 - BS15,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Karnes,Precinct 2 - BS15,State Senate,21,,Frank Pomeroy,0,0,1,1
Karnes,Precinct 2 - BS15,State Senate,21,,Judith Zaffirini,0,0,1,1
Karnes,Precinct 2 - BS15,State Representative,17,,John P. Cyrier,0,0,1,1
Karnes,Precinct 2 - BS15,State Representative,17,,Madeline Eden,0,0,1,1
Karnes,Precinct 2 - BS42,Ballots Cast,,,,,,,67
Karnes,Precinct 2 - BS42,President,,REP,Donald J Trump,6,41,17,64
Karnes,Precinct 2 - BS42,President,,DEM,Joseph R Biden,1,1,1,3
Karnes,Precinct 2 - BS42,President,,LIB,Jo Jorgensen,0,0,0,0
Karnes,Precinct 2 - BS42,President,,GRN,Howie Hawkins,0,0,0,0
Karnes,Precinct 2 - BS42,President,,,Brian Carroll (W),0,0,0,0
Karnes,Precinct 2 - BS42,U.S. Senate,,REP,John Cornyn,7,42,17,66
Karnes,Precinct 2 - BS42,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,1,1
Karnes,Precinct 2 - BS42,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Karnes,Precinct 2 - BS42,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Karnes,Precinct 2 - BS42,U.S. House,15,,Monica De La Cruz-Hernandez,5,41,18,64
Karnes,Precinct 2 - BS42,U.S. House,15,,Vicente Gonzalez,2,0,0,2
Karnes,Precinct 2 - BS42,U.S. House,15,,Rose Lynn Leone,0,0,0,0
Karnes,Precinct 2 - BS42,Railroad Commissioner,,REP,"James ""Jim""Wright",7,38,14,59
Karnes,Precinct 2 - BS42,Railroad Commissioner,,DEM,Chrysta Castaneda,0,4,4,8
Karnes,Precinct 2 - BS42,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0
Karnes,Precinct 2 - BS42,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Karnes,Precinct 2 - BS42,State Senate,21,,Frank Pomeroy,5,40,16,61
Karnes,Precinct 2 - BS42,State Senate,21,,Judith Zaffirini,2,1,2,5
Karnes,Precinct 2 - BS42,State Representative,17,,John P. Cyrier,7,41,17,65
Karnes,Precinct 2 - BS42,State Representative,17,,Madeline Eden,0,1,1,2
Karnes,Precinct 2 - BS47,Ballots Cast,,,,,,,63
Karnes,Precinct 2 - BS47,President,,REP,Donald J Trump,1,26,25,52
Karnes,Precinct 2 - BS47,President,,DEM,Joseph R Biden,1,9,1,11
Karnes,Precinct 2 - BS47,President,,LIB,Jo Jorgensen,0,0,0,0
Karnes,Precinct 2 - BS47,President,,GRN,Howie Hawkins,0,0,0,0
Karnes,Precinct 2 - BS47,President,,,Brian Carroll (W),0,0,0,0
Karnes,Precinct 2 - BS47,U.S. Senate,,REP,John Cornyn,1,24,25,50
Karnes,Precinct 2 - BS47,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1,10,1,12
Karnes,Precinct 2 - BS47,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Karnes,Precinct 2 - BS47,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Karnes,Precinct 2 - BS47,U.S. House,15,,Monica De La Cruz-Hernandez,1,24,24,49
Karnes,Precinct 2 - BS47,U.S. House,15,,Vicente Gonzalez,1,7,0,8
Karnes,Precinct 2 - BS47,U.S. House,15,,Rose Lynn Leone,0,0,0,0
Karnes,Precinct 2 - BS47,Railroad Commissioner,,REP,"James ""Jim""Wright",1,24,24,49
Karnes,Precinct 2 - BS47,Railroad Commissioner,,DEM,Chrysta Castaneda,1,9,0,10
Karnes,Precinct 2 - BS47,Railroad Commissioner,,LIB,Matt Sterett,0,1,0,1
Karnes,Precinct 2 - BS47,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
