county,precinct,office,district,candidate,party,early_voting,election_day,votes
Mason,101,COUNTY ATTORNEY,,REBEKAH WHITWORTH,REP,243,113,356
Mason,210,COUNTY ATTORNEY,,REBEKAH WHITWORTH,REP,182,83,265
Mason,302,COUNTY ATTORNEY,,REBEKAH WHITWORTH,REP,283,139,422
Mason,405,COUNTY ATTORNEY,,REBEKAH WHITWORTH,REP,242,122,364
Mason,101,COUNTY COMMISSIONER PRECINCT 1,,REGGIE LOEFFLER,REP,237,110,347
Mason,101,State Senate,28,CHARLES PERRY,REP,207,99,306
Mason,210,State Senate,28,CHARLES PERRY,REP,167,78,245
Mason,302,State Senate,28,CHARLES PERRY,REP,224,112,336
Mason,405,State Senate,28,CHARLES PERRY,REP,199,106,305
Mason,101,RAILROAD COMMISSIONER,,"JAMES ""JIM"" WRIGHT",REP,130,70,200
Mason,101,RAILROAD COMMISSIONER,,RYAN SITTON,REP,71,30,101
Mason,210,RAILROAD COMMISSIONER,,"JAMES ""JIM"" WRIGHT",REP,105,50,155
Mason,210,RAILROAD COMMISSIONER,,RYAN SITTON,REP,74,27,101
Mason,302,RAILROAD COMMISSIONER,,"JAMES ""JIM"" WRIGHT",REP,133,72,205
Mason,302,RAILROAD COMMISSIONER,,RYAN SITTON,REP,109,32,141
Mason,405,RAILROAD COMMISSIONER,,"JAMES ""JIM"" WRIGHT",REP,130,66,196
Mason,405,RAILROAD COMMISSIONER,,RYAN SITTON,REP,92,48,140
Mason,101,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,INGA COTTON,REP,38,19,57
Mason,101,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,LANI POPP,REP,95,44,139
Mason,101,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,ROBERT MORROW,REP,71,33,104
Mason,210,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,INGA COTTON,REP,26,19,45
Mason,210,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,LANI POPP,REP,86,24,110
Mason,210,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,ROBERT MORROW,REP,63,33,96
Mason,302,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,INGA COTTON,REP,42,21,63
Mason,302,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,LANI POPP,REP,129,52,181
Mason,302,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,ROBERT MORROW,REP,66,39,105
Mason,405,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,INGA COTTON,REP,40,20,60
Mason,405,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,LANI POPP,REP,118,56,174
Mason,405,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",,ROBERT MORROW,REP,65,34,99
Mason,101,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 9",,DAVID NEWELL,REP,198,94,292
Mason,210,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 9",,DAVID NEWELL,REP,160,73,233
Mason,302,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 9",,DAVID NEWELL,REP,212,103,315
Mason,405,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 9",,DAVID NEWELL,REP,190,103,293
Mason,101,U.S. Senate,,DWAYNE STOVALL,REP,18,12,30
Mason,101,U.S. Senate,,JOHN ANTHONY CASTRO,REP,11,8,19
Mason,101,U.S. Senate,,JOHN CORNYN,REP,174,79,253
Mason,101,U.S. Senate,,MARK YANCEY,REP,13,5,18
Mason,101,U.S. Senate,,VIRGIL BIERSCHWALE,REP,20,6,26
Mason,210,U.S. Senate,,DWAYNE STOVALL,REP,13,9,22
Mason,210,U.S. Senate,,JOHN ANTHONY CASTRO,REP,16,9,25
Mason,210,U.S. Senate,,JOHN CORNYN,REP,139,58,197
Mason,210,U.S. Senate,,MARK YANCEY,REP,15,7,22
Mason,210,U.S. Senate,,VIRGIL BIERSCHWALE,REP,10,7,17
Mason,302,U.S. Senate,,DWAYNE STOVALL,REP,24,7,31
Mason,302,U.S. Senate,,JOHN ANTHONY CASTRO,REP,16,1,17
Mason,302,U.S. Senate,,JOHN CORNYN,REP,215,115,330
Mason,302,U.S. Senate,,MARK YANCEY,REP,17,4,21
Mason,302,U.S. Senate,,VIRGIL BIERSCHWALE,REP,16,8,24
Mason,405,U.S. Senate,,DWAYNE STOVALL,REP,23,14,37
Mason,405,U.S. Senate,,JOHN ANTHONY CASTRO,REP,9,5,14
Mason,405,U.S. Senate,,JOHN CORNYN,REP,189,92,281
Mason,405,U.S. Senate,,MARK YANCEY,REP,11,9,20
Mason,405,U.S. Senate,,VIRGIL BIERSCHWALE,REP,23,17,40
Mason,302,COUNTY COMMISSIONER PRECINCT 3,,BUDDY SCHUESSLER,REP,275,131,406
Mason,101,"JUSTICE, SUPREME COURT, PLACE 6",,JANE BLAND,REP,198,99,297
Mason,210,"JUSTICE, SUPREME COURT, PLACE 6",,JANE BLAND,REP,163,75,238
Mason,302,"JUSTICE, SUPREME COURT, PLACE 6",,JANE BLAND,REP,216,108,324
Mason,405,"JUSTICE, SUPREME COURT, PLACE 6",,JANE BLAND,REP,199,105,304
Mason,101,"JUSTICE, SUPREME COURT, PLACE 7",,JEFF BOYD,REP,202,97,299
Mason,210,"JUSTICE, SUPREME COURT, PLACE 7",,JEFF BOYD,REP,167,74,241
Mason,302,"JUSTICE, SUPREME COURT, PLACE 7",,JEFF BOYD,REP,219,111,330
Mason,405,"JUSTICE, SUPREME COURT, PLACE 7",,JEFF BOYD,REP,195,106,301
Mason,101,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 4",,KEVIN PATRICK YEARY,REP,197,93,290
Mason,210,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 4",,KEVIN PATRICK YEARY,REP,162,73,235
Mason,302,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 4",,KEVIN PATRICK YEARY,REP,211,108,319
Mason,405,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 4",,KEVIN PATRICK YEARY,REP,190,105,295
Mason,101,State Representative,53,ANDREW S. MURR,REP,226,104,330
Mason,210,State Representative,53,ANDREW S. MURR,REP,178,81,259
Mason,302,State Representative,53,ANDREW S. MURR,REP,258,127,385
Mason,405,State Representative,53,ANDREW S. MURR,REP,219,115,334
Mason,101,U.S. House,11,AUGUST PFLUGER,REP,116,50,166
Mason,101,U.S. House,11,BRANDON BATCH,REP,27,14,41
Mason,101,U.S. House,11,GENE BARBER,REP,1,1,2
Mason,101,U.S. House,11,GENE BARBER,REP,4,3,7
Mason,101,U.S. House,11,J.D. FAIRCLOTH,REP,3,2,5
Mason,101,U.S. House,11,J.ROSS LACY,REP,5,1,6
Mason,101,U.S. House,11,JAMIE BERRYHILL,REP,8,2,10
Mason,101,U.S. House,11,NED LUSCOMBE,REP,5,7,12
Mason,101,U.S. House,11,ROBERT TUCKER,REP,5,1,6
