candidate,office,district,party,county,precinct,votes,election_day,early_voting,absentee,provisional
Ballots Cast,,,,Bosque,Precinct 1,558,202,326,29,1
Ballots Cast Blank,,,,Bosque,Precinct 1,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 1,489,179,292,18,0
Joseph R Biden,President,,DEM,Bosque,Precinct 1,62,19,31,11,1
Jo Jorgensen,President,,LIB,Bosque,Precinct 1,2,1,1,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 1,0,0,0,0,0
Write-In Totals,President,,,Bosque,Precinct 1,2,2,0,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 1,486,174,293,18,1
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 1,58,20,28,10,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 1,7,5,1,1,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 1,3,1,2,0,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 1,1,1,0,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 1,472,172,282,18,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 1,66,25,29,11,1
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 1,8,4,4,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 1,487,175,292,19,1
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 1,56,17,29,10,0
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 1,10,7,3,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 1,2,1,1,0,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 1,486,179,288,18,1
Robert Vick,State Senate,22,DEM,Bosque,Precinct 1,61,22,29,10,0
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 1,477,178,281,18,0
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 1,61,20,29,11,1
Ballots Cast,,,,Bosque,Precinct 2,622,236,343,40,3
Ballots Cast Blank,,,,Bosque,Precinct 2,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 2,503,193,287,23,0
Joseph R Biden,President,,DEM,Bosque,Precinct 2,108,40,50,15,3
Jo Jorgensen,President,,LIB,Bosque,Precinct 2,4,1,3,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 2,2,1,1,0,0
Write-In Totals,President,,,Bosque,Precinct 2,3,1,1,1,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 2,492,185,281,26,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 2,104,41,48,12,3
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 2,10,3,7,0,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 2,3,3,0,0,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 2,0,0,0,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 2,496,188,283,25,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 2,104,40,48,13,3
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 2,10,6,3,1,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 2,493,187,281,25,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 2,93,36,43,11,3
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 2,14,6,6,2,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 2,5,2,3,0,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 2,495,192,278,25,0
Robert Vick,State Senate,22,DEM,Bosque,Precinct 2,107,41,50,13,3
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 2,493,190,278,25,0
