county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Hutchinson,Precinct 11,Registered Voters,,,,1829,,,
Hutchinson,Precinct 11,Ballots Cast,,,,1267,75,905,287
Hutchinson,Precinct 11,Ballots Cast Blank,,,,0,0,0,0
Hutchinson,Precinct 11,President,,REP,Donald J. Trump / Michael R. Pence,1117,63,797,257
Hutchinson,Precinct 11,President,,DEM,Joseph R. Biden / Kamala D. Harris,126,11,93,22
Hutchinson,Precinct 11,President,,LBT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",18,1,11,6
Hutchinson,Precinct 11,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Hutchinson,Precinct 11,President,,,Write-in,3,0,2,1
Hutchinson,Precinct 11,U.S. Senate,,REP,John Cornyn,1106,63,793,250
Hutchinson,Precinct 11,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",116,11,82,23
Hutchinson,Precinct 11,U.S. Senate,,LBT,Kerry Douglas McKennon,28,1,17,10
Hutchinson,Precinct 11,U.S. Senate,,GRE,David B. Collins,1,0,1,0
Hutchinson,Precinct 11,U.S. Senate,,,Write-in,0,0,0,0
Hutchinson,Precinct 11,U.S. House,13,REP,Ronny Jackson,1103,61,795,247
Hutchinson,Precinct 11,U.S. House,13,DEM,Gus Trujillo,122,11,87,24
Hutchinson,Precinct 11,U.S. House,13,LBT,Jack B. Westbrook,26,0,16,10
Hutchinson,Precinct 11,Railroad Commissioner,,REP,"James ""Jim"" Wright",1101,64,788,249
Hutchinson,Precinct 11,Railroad Commissioner,,DEM,Chrysta Castaneda,112,9,83,20
Hutchinson,Precinct 11,Railroad Commissioner,,LBT,Matt Sterett,29,0,20,9
Hutchinson,Precinct 11,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",5,0,4,1
Hutchinson,Precinct 11,"Chief Justice, Supreme Court",,REP,Nathan Hecht,1091,62,786,243
Hutchinson,Precinct 11,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,128,10,93,25
Hutchinson,Precinct 11,"Chief Justice, Supreme Court",,LBT,Mark Ash,28,0,16,12
Hutchinson,Precinct 11,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,1129,61,812,256
Hutchinson,Precinct 11,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,119,10,84,25
Hutchinson,Precinct 11,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,1108,61,796,251
Hutchinson,Precinct 11,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,114,10,85,19
Hutchinson,Precinct 11,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,26,0,15,11
Hutchinson,Precinct 11,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,1107,62,797,248
Hutchinson,Precinct 11,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,114,9,83,22
Hutchinson,Precinct 11,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,24,0,14,10
Hutchinson,Precinct 11,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,1120,61,803,256
Hutchinson,Precinct 11,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,126,9,93,24
Hutchinson,Precinct 11,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,1120,61,802,257
Hutchinson,Precinct 11,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,119,9,88,22
Hutchinson,Precinct 11,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,1130,63,811,256
Hutchinson,Precinct 11,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,114,8,83,23
Hutchinson,Precinct 11,"Member, State BoE, Dist 15",,REP,Jay Johnson,1120,62,806,252
Hutchinson,Precinct 11,"Member, State BoE, Dist 15",,DEM,John Betancourt,118,9,83,26
Hutchinson,Precinct 11,State Representative,87,REP,Four Price,1203,65,862,276
Hutchinson,Precinct 11,"Chief Justice, 7th Ct of App Dist",,REP,Brian Quinn,1203,63,861,279
Hutchinson,Precinct 11,"Justice, 7th Ct of App Dist, Pl 4",,REP,Larry Doss,1206,63,864,279
Hutchinson,Precinct 11,"Dist Judge, 84th Judicial Dist",,REP,Curt W. Brancheau,1208,63,864,281
Hutchinson,Precinct 11,"Dist Attorney, 84th Judicial Dist",,REP,Mark W. Snider,1196,60,859,277
Hutchinson,Precinct 11,County Attorney,,REP,Craig Jones,1209,64,865,280
Hutchinson,Precinct 11,Sheriff,,REP,Blaik Kemp,822,52,574,196
Hutchinson,Precinct 11,Sheriff,,,Write-in,401,14,302,85
Hutchinson,Precinct 11,County Tax Assessor-Collector,,REP,Carrie Kimmell,1220,65,875,280
Hutchinson,Precinct 11,County Commissioner,,REP,Gary Alexander,1205,61,866,278
Hutchinson,Precinct 11,County Commissioner,,REP,Ben Bentley,0,0,0,0
Hutchinson,Precinct 11,Constable,,REP,Terry Webster,0,0,0,0
Hutchinson,Precinct 11,Constable,,REP,Scott Jordan,1199,63,860,276
Hutchinson,Precinct 11,Trustee,,,Pedro Murga,213,9,150,54
Hutchinson,Precinct 11,Trustee,,,James Orcutt,150,5,103,42
Hutchinson,Precinct 11,Trustee,,,Les Sharp,669,36,496,137
Hutchinson,Precinct 11,Trustee,,,Payton Lumpkin,431,18,315,98
Hutchinson,Precinct 11,Trustee,,,Cody Sessions,567,28,391,148
Hutchinson,Precinct 11,"City Council Member, PL 2",,,James Marrs II,513,35,347,131
