county,precinct,reg_voters,office,district,candidate,party,election_day,absentee,early_voting,votes
Zapata,1,1765,President,,Joseph R. Biden,DEM,63,4,118,185
Zapata,1,1765,President,,Amy Klobuchar,DEM,2,0,15,17
Zapata,1,1765,President,,Robby Wells,DEM,0,0,5,5
Zapata,1,1765,President,,Michael R. Bloomberg,DEM,40,7,125,172
Zapata,1,1765,President,,Andrew Yang,DEM,4,0,6,10
Zapata,1,1765,President,,Marianne Williamson,DEM,0,0,2,2
Zapata,1,1765,President,,Tom Steyer,DEM,3,1,7,11
Zapata,1,1765,President,,Deval Patrick,DEM,1,0,2,3
Zapata,1,1765,President,,"Roque ""Rocky"" De La Fuente",DEM,5,0,31,36
Zapata,1,1765,President,,Pete Buttigieg,DEM,2,0,10,12
Zapata,1,1765,President,,John K. Delaney,DEM,0,0,5,5
Zapata,1,1765,President,,Elizabeth Warren,DEM,5,1,21,27
Zapata,1,1765,President,,Cory Booker,DEM,2,0,2,4
Zapata,1,1765,President,,Bernie Sanders,DEM,52,5,128,185
Zapata,1,1765,President,,Julián Castro,DEM,3,1,25,29
Zapata,1,1765,President,,Michael Bennet,DEM,0,0,4,4
Zapata,1,1765,President,,Tulsi Gabbard,DEM,4,0,5,9
Zapata,1,1765,President,,Under Votes,DEM,74,10,270,354
Zapata,1,1765,President,,Over Votes,DEM,0,0,7,7
Zapata,1,1765,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,58,6,137,201
Zapata,1,1765,U.S. Senate,,Michael Cooper,DEM,5,0,33,38
Zapata,1,1765,U.S. Senate,,Sema Hernandez,DEM,17,0,47,64
Zapata,1,1765,U.S. Senate,,Jack Daniel Foster Jr,DEM,0,2,16,18
Zapata,1,1765,U.S. Senate,,Chris Bell,DEM,6,1,22,29
Zapata,1,1765,U.S. Senate,,Amanda K. Edwards,DEM,4,0,17,21
Zapata,1,1765,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,9,0,21,30
Zapata,1,1765,U.S. Senate,,"Annie ""Mam·"" Garcia",DEM,26,3,92,121
Zapata,1,1765,U.S. Senate,,Adrian Ocegueda,DEM,8,2,24,34
Zapata,1,1765,U.S. Senate,,Victor Hugo Harris,DEM,7,0,21,28
Zapata,1,1765,U.S. Senate,,D.R. Hunter,DEM,1,0,11,12
Zapata,1,1765,U.S. Senate,,Royce West,DEM,5,0,12,17
Zapata,1,1765,U.S. Senate,,Under Votes,DEM,114,15,332,461
Zapata,1,1765,U.S. Senate,,Over Votes,DEM,0,0,3,3
Zapata,1,1765,U.S. House,28,Jessica Cisneros,DEM,69,3,152,224
Zapata,1,1765,U.S. House,28,Henry Cuellar,DEM,156,22,512,690
Zapata,1,1765,U.S. House,28,Under Votes,DEM,35,4,122,161
Zapata,1,1765,U.S. House,28,Over Votes,DEM,0,0,2,2
Zapata,1,1765,Railroad Commissioner,,Kelly Stone,DEM,24,0,69,93
Zapata,1,1765,Railroad Commissioner,,Mark Watson,DEM,11,2,44,57
Zapata,1,1765,Railroad Commissioner,,Chrysta CastaÒeda,DEM,45,3,121,169
Zapata,1,1765,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,76,10,261,347
Zapata,1,1765,Railroad Commissioner,,Under Votes,DEM,104,14,290,408
Zapata,1,1765,Railroad Commissioner,,Over Votes,DEM,0,0,3,3
Zapata,1,1765,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,88,7,277,372
Zapata,1,1765,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,56,7,189,252
Zapata,1,1765,"Chief Justice, Supreme Court",,Under Votes,DEM,116,15,322,453
Zapata,1,1765,"Chief Justice, Supreme Court",,Over Votes,DEM,0,0,0,0
Zapata,1,1765,"Justice, Supreme Court, Place 6 Unexpired Term",,Larry Praeger,DEM,66,6,214,286
Zapata,1,1765,"Justice, Supreme Court, Place 6 Unexpired Term",,Kathy Cheng,DEM,67,7,235,309
Zapata,1,1765,"Justice, Supreme Court, Place 6 Unexpired Term",,Under Votes,DEM,127,16,339,482
Zapata,1,1765,"Justice, Supreme Court, Place 6 Unexpired Term",,Over Votes,DEM,0,0,0,0
Zapata,1,1765,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,99,11,290,400
Zapata,1,1765,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,35,2,154,191
Zapata,1,1765,"Justice, Supreme Court, Place 7",,Under Votes,DEM,126,16,344,486
Zapata,1,1765,"Justice, Supreme Court, Place 7",,Over Votes,DEM,0,0,0,0
