county,precinct,office,district,party,candidate,votes,early_votes,election_day
Tom Green,106,President,,REP,DONALD J. TRUMP/MICHAEL R. PENCE,469,258,211
Tom Green,106,President,,DEM,JOSEPH R. BIDEN/KAMALA D. HARRIS,313,182,131
Tom Green,106,President,,LIB,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",7,4,3
Tom Green,106,President,,GRN,HOWIE HAWKINS/ANGELA WALKER,0,0,0
Tom Green,106,President,,,Boddie/Stoneham,0,0,0
Tom Green,106,President,,,Carroll/Patel,0,0,0
Tom Green,106,President,,,Cella/Calla,0,0,0
Tom Green,106,President,,,Cuellar/Monreal,0,0,0
Tom Green,106,President,,,Hoefling/Prior,0,0,0
Tom Green,106,President,,,La Riva/Peltier,0,0,0
Tom Green,106,President,,,Loeb/Jairala,0,0,0
Tom Green,106,President,,,Morrow/Beckett,0,0,0
Tom Green,106,President,,,Wells/Wells,0,0,0
Tom Green,106,President,,,Rejected write-ins,1,0,1
Tom Green,106,President,,,Unassigned write-ins,0,0,0
Tom Green,106,U.S. Senate,,REP,JOHN CORNYN,454,253,201
Tom Green,106,U.S. Senate,,DEM,"MARY ""MJ"" HEGAR",298,171,127
Tom Green,106,U.S. Senate,,LIB,KERRY DOUGLAS MCKENNON,13,8,5
Tom Green,106,U.S. Senate,,GRN,DAVID B. COLLINS,8,5,3
Tom Green,106,U.S. Senate,,,Turullois-Bonilla,0,0,0
Tom Green,106,U.S. Senate,,,Rejected write-ins,0,0,0
Tom Green,106,U.S. Senate,,,Unassigned write-ins,0,0,0
Tom Green,106,U.S. House,11,REP,AUGUST PFLUGER,472,264,208
Tom Green,106,U.S. House,11,DEM,JON MARK HOGG,279,158,121
Tom Green,106,U.S. House,11,LIB,WACEY ALPHA CODY,20,14,6
Tom Green,106,Railroad Commissioner,,REP,"JAMES ""JIM"" WRIGHT",447,247,200
Tom Green,106,Railroad Commissioner,,DEM,CHRYSTA CASTAÑEDA,300,174,126
