county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Rusk,PCT 111,President,,DEM,Tom Steyer,0,0,0,0
Rusk,PCT 111,President,,DEM,Andrew Yang,0,0,0,0
Rusk,PCT 111,President,,DEM,John K. Delaney,0,0,0,0
Rusk,PCT 111,President,,DEM,Cory Booker,0,0,0,0
Rusk,PCT 111,President,,DEM,Michael R. Bloomberg,4,1,1,2
Rusk,PCT 111,President,,DEM,Julian Castro,0,0,0,0
Rusk,PCT 111,President,,DEM,Elizabeth Warren,1,0,1,0
Rusk,PCT 111,President,,DEM,Marianne Williamson,0,0,0,0
Rusk,PCT 111,President,,DEM,Deval Patrick,0,0,0,0
Rusk,PCT 111,President,,DEM,Robby Wells,0,0,0,0
Rusk,PCT 111,President,,DEM,Amy Klobuchar,3,1,2,0
Rusk,PCT 111,President,,DEM,Tulsi Gabbard,0,0,0,0
Rusk,PCT 111,President,,DEM,Michael Bennet,0,0,0,0
Rusk,PCT 111,President,,DEM,Bernie Sanders,4,0,1,3
Rusk,PCT 111,President,,DEM,Pete Buttigieg,0,0,0,0
Rusk,PCT 111,President,,DEM,Joseph R. Biden,21,0,3,18
Rusk,PCT 111,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Rusk,PCT 111,President,,DEM,Total Votes Cast,33,2,8,23
Rusk,PCT 111,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",4,0,0,4
Rusk,PCT 111,U.S. Senate,,DEM,Mary (MJ) Hegar,4,1,3,0
Rusk,PCT 111,U.S. Senate,,DEM,Amanda K. Edwards,4,1,1,2
Rusk,PCT 111,U.S. Senate,,DEM,D. R. Hunter,1,0,0,1
Rusk,PCT 111,U.S. Senate,,DEM,Michael Cooper,3,0,0,3
Rusk,PCT 111,U.S. Senate,,DEM,Chris Bell,1,0,0,1
Rusk,PCT 111,U.S. Senate,,DEM,Royce West,3,0,0,3
Rusk,PCT 111,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,5,0,3,2
Rusk,PCT 111,U.S. Senate,,DEM,Victor Hugo Harris,1,0,0,1
Rusk,PCT 111,U.S. Senate,,DEM,Sema Hernandez,1,0,0,1
Rusk,PCT 111,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
