candidate,office,district,party,county,precinct,votes,mail,early_voting,limited,election_day,provisional
Registered Voters,,,,Leon,Precinct 1,1600,,,,,
Ballots Cast,,,,Leon,Precinct 1,1142,96,873,11,162,0
Donald J Trump,President,,REP,Leon,Precinct 1,955,63,748,10,134,0
Joseph R Biden,President,,DEM,Leon,Precinct 1,169,31,110,1,27,0
Jo Jorgensen,President,,LIB,Leon,Precinct 1,8,0,8,0,0,0
Howie Hawkins,President,,GRN,Leon,Precinct 1,1,0,1,0,0,0
Write-In,President,,,Leon,Precinct 1,1,0,0,0,1,0
Over Votes,President,,,Leon,Precinct 1,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 1,8,2,6,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 1,939,65,734,10,130,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 1,154,30,99,1,24,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 1,16,0,14,0,2,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 1,7,0,4,0,3,0
Write-In,U.S. Senate,,,Leon,Precinct 1,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 1,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 1,26,1,22,0,3,0
Kevin Brady,U.S. House,8,REP,Leon,Precinct 1,946,68,737,5,136,0
Elizabeth Hernandez,U.S. House,8,DEM,Leon,Precinct 1,147,27,97,1,22,0
Chris Duncan,U.S. House,8,LIB,Leon,Precinct 1,14,0,12,0,2,0
Over Votes,U.S. House,8,,Leon,Precinct 1,0,0,0,0,0,0
Under Votes,U.S. House,8,,Leon,Precinct 1,35,1,27,5,2,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 1,936,67,728,9,132,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 1,150,27,101,1,21,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 1,21,0,14,0,7,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 1,1,0,1,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 1,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 1,34,2,29,1,2,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 1,966,69,758,2,137,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 1,137,26,89,0,22,0
Over Votes,State Representative,57,,Leon,Precinct 1,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 1,39,1,26,9,3,0
Registered Voters,,,,Leon,Precinct 1A,218,,,,,
Ballots Cast,,,,Leon,Precinct 1A,182,13,141,7,21,0
Donald J Trump,President,,REP,Leon,Precinct 1A,158,10,124,4,20,0
Joseph R Biden,President,,DEM,Leon,Precinct 1A,23,3,16,3,1,0
Jo Jorgensen,President,,LIB,Leon,Precinct 1A,1,0,1,0,0,0
Howie Hawkins,President,,GRN,Leon,Precinct 1A,0,0,0,0,0,0
Write-In,President,,,Leon,Precinct 1A,0,0,0,0,0,0
Over Votes,President,,,Leon,Precinct 1A,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 1A,0,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 1A,155,9,123,4,19,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 1A,19,2,13,3,1,0
