candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Donald J Trump,President,,REP,Medina,1A,48,799,58,905
Joseph R Biden,President,,DEM,Medina,1A,36,164,11,211
Jo Jorgensen,President,,LIB,Medina,1A,0,4,1,5
Howie Hawkins,President,,GRN,Medina,1A,0,2,0,2
Abram Loeb (W),President,,,Medina,1A,0,0,0,0
Todd Cella (W),President,,,Medina,1A,0,0,0,0
Gloria La Rivera (W),President,,,Medina,1A,0,0,0,0
President R. Boddie (W),President,,,Medina,1A,0,0,0,0
Jesse Cuellar (W),President,,,Medina,1A,0,0,0,0
Tom Heofling (W),President,,,Medina,1A,0,0,0,0
Kasey Wells (W),President,,,Medina,1A,0,0,0,0
Robert Marrow (W),President,,,Medina,1A,0,0,0,0
Brian Carroll (W),President,,,Medina,1A,2,2,0,4
Under Votes,President,,,Medina,1A,1,1,0,2
Over Votes,President,,,Medina,1A,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,1A,51,805,56,912
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,1A,33,145,9,187
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,1A,0,4,2,6
David B. Collins,U.S. Senate,,GRN,Medina,1A,0,2,1,3
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,1A,0,0,0,0
Under Votes,U.S. Senate,,,Medina,1A,2,16,2,20
Over Votes,U.S. Senate,,,Medina,1A,1,0,0,1
Tony Gonzales,U.S. House,23,REP,Medina,1A,53,809,61,923
Gina Ortiz Jones,U.S. House,23,DEM,Medina,1A,28,135,5,168
Beto Villela,U.S. House,23,LIB,Medina,1A,0,12,3,15
Under Votes,U.S. House,23,,Medina,1A,6,16,1,23
Over Votes,U.S. House,23,,Medina,1A,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,1A,52,792,57,901
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,1A,30,143,7,180
Matt Sterett,Railroad Commissioner,,LIB,Medina,1A,0,13,1,14
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,1A,1,3,1,5
Under Votes,Railroad Commissioner,,,Medina,1A,4,21,4,29
Over Votes,Railroad Commissioner,,,Medina,1A,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,1A,50,808,58,916
Roland Gutierrez,State Senate,19,DEM,Medina,1A,25,131,8,164
Jo-Anne Valdivia,State Senate,19,LIB,Medina,1A,3,14,3,20
Under Votes,State Senate,19,,Medina,1A,9,19,1,29
Over Votes,State Senate,19,,Medina,1A,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,1A,50,810,59,919
Joe P. Herrera,State Representative,53,DEM,Medina,1A,28,138,9,175
Under Votes,State Representative,53,,Medina,1A,9,24,2,35
Over Votes,State Representative,53,,Medina,1A,0,0,0,0
Donald J Trump,President,,REP,Medina,1B,90,875,76,1041
Joseph R Biden,President,,DEM,Medina,1B,38,166,15,219
Jo Jorgensen,President,,LIB,Medina,1B,0,9,3,12
Howie Hawkins,President,,GRN,Medina,1B,0,0,0,0
Gloria La Rivera (W),President,,,Medina,1B,0,0,0,0
Abram Loeb (W),President,,,Medina,1B,0,0,0,0
President R. Boddie (W),President,,,Medina,1B,0,0,0,0
Jesse Cuellar (W),President,,,Medina,1B,0,0,0,0
Robert Marrow (W),President,,,Medina,1B,0,0,0,0
Kasey Wells (W),President,,,Medina,1B,0,0,0,0
Todd Cella (W),President,,,Medina,1B,0,0,0,0
Tom Heofling (W),President,,,Medina,1B,0,0,0,0
Brian Carroll (W),President,,,Medina,1B,0,1,0,1
Under Votes,President,,,Medina,1B,1,4,1,6
Over Votes,President,,,Medina,1B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,1B,92,857,77,1026
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,1B,32,154,11,197
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,1B,0,16,3,19
David B. Collins,U.S. Senate,,GRN,Medina,1B,0,6,0,6
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,1B,0,0,0,0
Under Votes,U.S. Senate,,,Medina,1B,5,22,4,31
Over Votes,U.S. Senate,,,Medina,1B,0,0,0,0
