county,precinct,office,district,Candidate,party,votes,election_day,early_voting ,mail ,provisional 
Bosque,Precinct 1,President,,Tom Steyer,DEM,0,0,0,0,0
Bosque,Precinct 2,President,,Tom Steyer,DEM,4,4,0,0,0
Bosque,Precinct 3,President,,Tom Steyer,DEM,1,0,1,0,0
Bosque,Precinct 4,President,,Tom Steyer,DEM,0,0,0,0,0
Bosque,Precinct 5,President,,Tom Steyer,DEM,1,1,0,0,0
Bosque,Precinct 6,President,,Tom Steyer,DEM,1,0,1,0,0
Bosque,Precinct 7,President,,Tom Steyer,DEM,2,1,0,1,0
Bosque,Precinct 8,President,,Tom Steyer,DEM,1,0,1,0,0
Bosque,Precinct 9,President,,Tom Steyer,DEM,0,0,0,0,0
Bosque,Precinct 10,President,,Tom Steyer,DEM,1,1,0,0,0
Bosque,Precinct 11,President,,Tom Steyer,DEM,1,0,0,1,0
Bosque,Total,President,,Tom Steyer,DEM,12,7,3,2,0
Bosque,Precinct 1,President,,Amy Klobuchar,DEM,1,0,1,0,0
Bosque,Precinct 2,President,,Amy Klobuchar,DEM,0,0,0,0,0
Bosque,Precinct 3,President,,Amy Klobuchar,DEM,3,0,3,0,0
Bosque,Precinct 4,President,,Amy Klobuchar,DEM,0,0,0,0,0
Bosque,Precinct 5,President,,Amy Klobuchar,DEM,6,0,5,1,1
Bosque,Precinct 6,President,,Amy Klobuchar,DEM,4,0,4,0,0
Bosque,Precinct 7,President,,Amy Klobuchar,DEM,1,0,0,1,0
Bosque,Precinct 8,President,,Amy Klobuchar,DEM,1,0,0,1,0
Bosque,Precinct 9,President,,Amy Klobuchar,DEM,4,0,4,0,0
Bosque,Precinct 10,President,,Amy Klobuchar,DEM,2,0,2,0,0
Bosque,Precinct 11,President,,Amy Klobuchar,DEM,3,0,3,0,0
Bosque,Total,President,,Amy Klobuchar,DEM,25,0,22,3,1
Bosque,Precinct 1,President,,Bernie Sanders,DEM,3,2,0,1,0
Bosque,Precinct 2,President,,Bernie Sanders,DEM,22,15,7,0,0
Bosque,Precinct 3,President,,Bernie Sanders,DEM,10,5,5,0,0
