county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day,provisional
Hood,Precinct 14,U.S. Senate,,Write-In,,1,1,0,0,0
Hood,Precinct 14,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 14,U.S. Senate,,Under Votes,,41,5,23,13,0
Hood,Precinct 14,U.S. House,11,August Pfluger,REP,2041,149,1446,427,19
Hood,Precinct 14,U.S. House,11,Jon Mark Hogg,DEM,431,110,244,75,2
Hood,Precinct 14,U.S. House,11,Wacey Alpha Cody,LIB,43,2,29,12,0
Hood,Precinct 14,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 14,U.S. House,11,Under Votes,,91,16,48,24,3
Hood,Precinct 14,Railroad Commissioner,,"James ""Jim"" Wright",REP,2038,154,1441,424,19
Hood,Precinct 14,Railroad Commissioner,,Chrysta Castaneda,DEM,428,108,240,77,3
Hood,Precinct 14,Railroad Commissioner,,Matt Sterett,LIB,49,5,31,13,0
Hood,Precinct 14,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,18,1,15,2,0
Hood,Precinct 14,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 14,Railroad Commissioner,,Under Votes,,73,9,40,22,2
Hood,Precinct 14,State Senate,22,Brian Birdwell,REP,2110,152,1493,446,19
Hood,Precinct 14,State Senate,22,Robert Vick,DEM,430,111,244,72,3
Hood,Precinct 14,State Senate,22,Over Votes,,0,0,0,0,0
Hood,Precinct 14,State Senate,22,Under Votes,,66,14,30,20,2
Hood,Precinct 14,State Representative,60,Glenn Rogers,REP,2217,166,1555,477,19
Hood,Precinct 14,State Representative,60,Over Votes,,0,0,0,0,0
Hood,Precinct 14,State Representative,60,Under Votes,,389,111,212,61,5
Hood,Precinct 13,Registered Voters,,,,3741,,,,
Hood,Precinct 13,Ballots Cast,,,,2855,414,2062,362,17
Hood,Precinct 13,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,2322,268,1738,302,14
Hood,Precinct 13,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,484,138,293,50,3
Hood,Precinct 13,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,23,1,16,6,0
Hood,Precinct 13,President / Vice President,,Howie Hawkins / Angela Walker,GRN,8,1,4,3,0
Hood,Precinct 13,President / Vice President,,Write-In,,5,1,3,1,0
Hood,Precinct 13,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 13,President / Vice President,,Under Votes,,13,5,8,0,0
Hood,Precinct 13,U.S. Senate,,John Cornyn,REP,2329,286,1735,293,15
Hood,Precinct 13,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,435,122,260,51,2
Hood,Precinct 13,U.S. Senate,,Kerry Douglas McKennon,LIB,30,3,22,5,0
Hood,Precinct 13,U.S. Senate,,David B. Collins,GRN,19,0,13,6,0
Hood,Precinct 13,U.S. Senate,,Write-In,,3,0,2,1,0
Hood,Precinct 13,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 13,U.S. Senate,,Under Votes,,39,3,30,6,0
Hood,Precinct 13,U.S. House,11,August Pfluger,REP,2279,256,1713,296,14
Hood,Precinct 13,U.S. House,11,Jon Mark Hogg,DEM,431,124,257,48,2
Hood,Precinct 13,U.S. House,11,Wacey Alpha Cody,LIB,37,1,27,9,0
Hood,Precinct 13,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 13,U.S. House,11,Under Votes,,108,33,65,9,1
Hood,Precinct 13,Railroad Commissioner,,"James ""Jim"" Wright",REP,2274,273,1695,292,14
Hood,Precinct 13,Railroad Commissioner,,Chrysta Castaneda,DEM,426,121,254,49,2
Hood,Precinct 13,Railroad Commissioner,,Matt Sterett,LIB,44,1,35,8,0
Hood,Precinct 13,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,20,2,14,4,0
Hood,Precinct 13,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 13,Railroad Commissioner,,Under Votes,,91,17,64,9,1
Hood,Precinct 13,State Senate,22,Brian Birdwell,REP,2316,258,1742,301,15
Hood,Precinct 13,State Senate,22,Robert Vick,DEM,448,121,273,52,2
Hood,Precinct 13,State Senate,22,Over Votes,,0,0,0,0,0
Hood,Precinct 13,State Senate,22,Under Votes,,91,35,47,9,0
Hood,Precinct 13,State Representative,60,Glenn Rogers,REP,2457,277,1845,321,14
Hood,Precinct 13,State Representative,60,Over Votes,,0,0,0,0,0
Hood,Precinct 13,State Representative,60,Under Votes,,398,137,217,41,3
Hood,Precinct 12,Registered Voters,,,,1933,,,,
Hood,Precinct 12,Ballots Cast,,,,1213,112,860,238,3
Hood,Precinct 12,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,963,72,694,194,3
Hood,Precinct 12,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,225,39,153,34,0
Hood,Precinct 12,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,11,1,4,6,0
Hood,Precinct 12,President / Vice President,,Howie Hawkins / Angela Walker,GRN,9,0,7,2,0
Hood,Precinct 12,President / Vice President,,Write-In,,0,0,0,0,0
Hood,Precinct 12,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 12,President / Vice President,,Under Votes,,4,0,2,2,0
Hood,Precinct 12,U.S. Senate,,John Cornyn,REP,933,78,674,179,2
Hood,Precinct 12,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,217,30,147,39,1
Hood,Precinct 12,U.S. Senate,,Kerry Douglas McKennon,LIB,20,0,13,7,0
Hood,Precinct 12,U.S. Senate,,David B. Collins,GRN,21,1,13,7,0
