county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail
Nolan,Precinct 1,Registered Voters,,,,1047,,,
Nolan,Precinct 1,Ballots Cast,,,,280,179,92,9
Nolan,Precinct 1,Ballots Cast,,REP,,215,133,76,6
Nolan,Precinct 1,Ballots Cast,,DEM,,65,46,16,3
Nolan,Precinct 1,President,,REP,Zoltan G. Istvan,0,0,0,0
Nolan,Precinct 1,President,,REP,Bob Ely,2,1,1,0
Nolan,Precinct 1,President,,REP,Donald J. Trump,199,121,72,6
Nolan,Precinct 1,President,,REP,Bill Weld,1,1,0,0
Nolan,Precinct 1,President,,REP,Joe Walsh,0,0,0,0
Nolan,Precinct 1,President,,REP,Matthew John Matern,1,1,0,0
Nolan,Precinct 1,President,,REP,Roque Rocky DeLa Fuente Guerra,0,0,0,0
Nolan,Precinct 1,President,,REP,Uncommitted,8,5,3,0
Nolan,Precinct 1,President,,REP,Total Votes Cast,211,129,76,6
Nolan,Precinct 1,U.S. Senate,,REP,Dwayne Stovall,33,24,9,0
Nolan,Precinct 1,U.S. Senate,,REP,Virgil Bierschwale,2,1,1,0
Nolan,Precinct 1,U.S. Senate,,REP,John Cornyn,153,86,61,6
Nolan,Precinct 1,U.S. Senate,,REP,John Anthony Castro,11,10,1,0
Nolan,Precinct 1,U.S. Senate,,REP,Mark Yancey,10,7,3,0
Nolan,Precinct 1,U.S. Senate,,REP,Total Votes Cast,209,128,75,6
Nolan,Precinct 1,U.S. House,19,REP,Jodey C. Arrington,180,110,65,5
Nolan,Precinct 1,U.S. House,19,REP,Vance W. Boyd,23,15,8,0
Nolan,Precinct 1,U.S. House,19,REP,Total Votes Cast,203,125,73,5
Nolan,Precinct 1,Railroad Commissioner,,REP,Ryan Sitton,82,57,22,3
Nolan,Precinct 1,Railroad Commissioner,,REP,"James ""Jim"" Wright",109,63,46,0
Nolan,Precinct 1,Railroad Commissioner,,REP,Total Votes Cast,191,120,68,3
Nolan,Precinct 1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,182,110,67,5
Nolan,Precinct 1,"Chief Justice, Supreme Court",,REP,Total Votes Cast,182,110,67,5
Nolan,Precinct 1,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,185,115,66,4
Nolan,Precinct 1,"Justice, Supreme Court, Pl 6",,REP,Total Votes Cast,185,115,66,4
Nolan,Precinct 1,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,184,114,66,4
Nolan,Precinct 1,"Justice, Supreme Court, Pl 7",,REP,Total Votes Cast,184,114,66,4
