county,precinct,office,district,party,candidate,mail,early_voting,election_day,votes
Houston,1,Ballots Cast,,DEM,,,,,104
Houston,2,Ballots Cast,,DEM,,,,,120
Houston,3,Ballots Cast,,DEM,,,,,202
Houston,4,Ballots Cast,,DEM,,,,,115
Houston,5,Ballots Cast,,DEM,,,,,45
Houston,6,Ballots Cast,,DEM,,,,,78
Houston,7,Ballots Cast,,DEM,,,,,29
Houston,8,Ballots Cast,,DEM,,,,,23
Houston,9,Ballots Cast,,DEM,,,,,11
Houston,10,Ballots Cast,,DEM,,,,,16
Houston,11,Ballots Cast,,DEM,,,,,8
Houston,12,Ballots Cast,,DEM,,,,,6
Houston,14,Ballots Cast,,DEM,,,,,3
Houston,15,Ballots Cast,,DEM,,,,,30
Houston,16,Ballots Cast,,DEM,,,,,8
Houston,17,Ballots Cast,,DEM,,,,,2
Houston,18,Ballots Cast,,DEM,,,,,41
Houston,19,Ballots Cast,,DEM,,,,,41
Houston,20,Ballots Cast,,DEM,,,,,4
Houston,21,Ballots Cast,,DEM,,,,,25
Houston,22,Ballots Cast,,DEM,,,,,23
Houston,1,President,,DEM,Michael Bennet,0,1,2,3
Houston,2,President,,DEM,Michael Bennet,0,1,2,3
Houston,3,President,,DEM,Michael Bennet,0,0,3,3
Houston,4,President,,DEM,Michael Bennet,0,0,0,0
Houston,5,President,,DEM,Michael Bennet,0,0,0,0
Houston,6,President,,DEM,Michael Bennet,0,0,0,0
Houston,7,President,,DEM,Michael Bennet,0,0,0,0
Houston,8,President,,DEM,Michael Bennet,0,0,0,0
Houston,9,President,,DEM,Michael Bennet,0,0,0,0
Houston,10,President,,DEM,Michael Bennet,0,0,0,0
Houston,11,President,,DEM,Michael Bennet,0,0,1,1
Houston,12,President,,DEM,Michael Bennet,0,0,0,0
Houston,14,President,,DEM,Michael Bennet,0,0,0,0
Houston,15,President,,DEM,Michael Bennet,0,0,0,0
Houston,16,President,,DEM,Michael Bennet,0,0,0,0
Houston,17,President,,DEM,Michael Bennet,0,0,0,0
Houston,18,President,,DEM,Michael Bennet,0,0,2,2
Houston,19,President,,DEM,Michael Bennet,0,0,0,0
Houston,20,President,,DEM,Michael Bennet,0,0,0,0
Houston,21,President,,DEM,Michael Bennet,0,0,0,0
Houston,22,President,,DEM,Michael Bennet,0,0,2,2
Houston,1,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,2,President,,DEM,Pete Buttigieg,0,4,1,5
Houston,3,President,,DEM,Pete Buttigieg,2,1,1,4
Houston,4,President,,DEM,Pete Buttigieg,1,3,0,4
Houston,5,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,6,President,,DEM,Pete Buttigieg,0,0,1,1
Houston,7,President,,DEM,Pete Buttigieg,0,1,0,1
Houston,8,President,,DEM,Pete Buttigieg,0,1,0,1
Houston,9,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,10,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,11,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,12,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,14,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,15,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,16,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,17,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,18,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,19,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,20,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,21,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,22,President,,DEM,Pete Buttigieg,0,0,0,0
Houston,1,President,,DEM,Andrew Yang,0,0,0,0
Houston,2,President,,DEM,Andrew Yang,0,0,0,0
Houston,3,President,,DEM,Andrew Yang,0,0,0,0
Houston,4,President,,DEM,Andrew Yang,0,0,0,0
Houston,5,President,,DEM,Andrew Yang,0,0,0,0
Houston,6,President,,DEM,Andrew Yang,0,0,0,0
Houston,7,President,,DEM,Andrew Yang,0,0,0,0
Houston,8,President,,DEM,Andrew Yang,0,0,0,0
Houston,9,President,,DEM,Andrew Yang,0,0,0,0
Houston,10,President,,DEM,Andrew Yang,0,0,0,0
Houston,11,President,,DEM,Andrew Yang,0,0,0,0
Houston,12,President,,DEM,Andrew Yang,0,0,0,0
Houston,14,President,,DEM,Andrew Yang,0,0,0,0
Houston,15,President,,DEM,Andrew Yang,0,0,0,0
Houston,16,President,,DEM,Andrew Yang,0,0,0,0
Houston,17,President,,DEM,Andrew Yang,0,0,0,0
Houston,18,President,,DEM,Andrew Yang,0,0,0,0
Houston,19,President,,DEM,Andrew Yang,0,0,0,0
Houston,20,President,,DEM,Andrew Yang,0,0,0,0
Houston,21,President,,DEM,Andrew Yang,0,0,0,0
Houston,22,President,,DEM,Andrew Yang,0,0,0,0
Houston,1,President,,DEM,Tom Steyer,0,0,0,0
Houston,2,President,,DEM,Tom Steyer,0,0,0,0
Houston,3,President,,DEM,Tom Steyer,1,2,0,3
Houston,4,President,,DEM,Tom Steyer,0,0,1,1
Houston,5,President,,DEM,Tom Steyer,0,0,0,0
Houston,6,President,,DEM,Tom Steyer,0,0,0,0
Houston,7,President,,DEM,Tom Steyer,0,0,0,0
Houston,8,President,,DEM,Tom Steyer,0,0,0,0
Houston,9,President,,DEM,Tom Steyer,1,0,0,1
Houston,10,President,,DEM,Tom Steyer,0,0,0,0
Houston,11,President,,DEM,Tom Steyer,0,0,0,0
Houston,12,President,,DEM,Tom Steyer,0,0,0,0
Houston,14,President,,DEM,Tom Steyer,0,0,0,0
Houston,15,President,,DEM,Tom Steyer,0,0,0,0
Houston,16,President,,DEM,Tom Steyer,0,0,0,0
Houston,17,President,,DEM,Tom Steyer,0,0,0,0
Houston,18,President,,DEM,Tom Steyer,0,0,0,0
Houston,19,President,,DEM,Tom Steyer,0,0,0,0
Houston,20,President,,DEM,Tom Steyer,0,0,0,0
Houston,21,President,,DEM,Tom Steyer,0,0,0,0
Houston,22,President,,DEM,Tom Steyer,0,0,0,0
Houston,1,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,2,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,3,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,4,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,5,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,6,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,7,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,1,1
Houston,8,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,9,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,10,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,11,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,12,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,14,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,15,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,16,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,17,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,18,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,19,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,20,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,21,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,22,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Houston,1,President,,DEM,Bernie Sanders,2,4,12,18
Houston,2,President,,DEM,Bernie Sanders,2,10,4,16
Houston,3,President,,DEM,Bernie Sanders,2,12,10,24
Houston,4,President,,DEM,Bernie Sanders,2,9,14,25
Houston,5,President,,DEM,Bernie Sanders,1,3,3,7
Houston,6,President,,DEM,Bernie Sanders,1,7,13,21
Houston,7,President,,DEM,Bernie Sanders,1,3,1,5
Houston,8,President,,DEM,Bernie Sanders,0,2,1,3
Houston,9,President,,DEM,Bernie Sanders,0,0,1,1
Houston,10,President,,DEM,Bernie Sanders,0,3,1,4
Houston,11,President,,DEM,Bernie Sanders,0,0,2,2
Houston,12,President,,DEM,Bernie Sanders,0,1,0,1
Houston,14,President,,DEM,Bernie Sanders,0,1,0,1
Houston,15,President,,DEM,Bernie Sanders,0,0,1,1
Houston,16,President,,DEM,Bernie Sanders,1,0,0,1
Houston,17,President,,DEM,Bernie Sanders,0,0,1,1
Houston,18,President,,DEM,Bernie Sanders,0,2,6,8
Houston,19,President,,DEM,Bernie Sanders,1,3,6,10
Houston,20,President,,DEM,Bernie Sanders,0,0,0,0
Houston,21,President,,DEM,Bernie Sanders,0,1,4,5
Houston,22,President,,DEM,Bernie Sanders,0,3,1,4
Houston,1,President,,DEM,Amy Klobuchar,0,1,0,1
Houston,2,President,,DEM,Amy Klobuchar,0,2,0,2
Houston,3,President,,DEM,Amy Klobuchar,0,3,1,4
Houston,4,President,,DEM,Amy Klobuchar,2,0,0,2
Houston,5,President,,DEM,Amy Klobuchar,0,2,0,2
Houston,6,President,,DEM,Amy Klobuchar,0,1,0,1
Houston,7,President,,DEM,Amy Klobuchar,0,1,0,1
Houston,8,President,,DEM,Amy Klobuchar,0,1,0,1
Houston,9,President,,DEM,Amy Klobuchar,0,2,0,2
Houston,10,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,11,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,12,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,14,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,15,President,,DEM,Amy Klobuchar,0,1,0,1
Houston,16,President,,DEM,Amy Klobuchar,2,0,0,2
Houston,17,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,18,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,19,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,20,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,21,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,22,President,,DEM,Amy Klobuchar,0,0,0,0
Houston,1,President,,DEM,Marianne Williamson,0,0,0,0
Houston,2,President,,DEM,Marianne Williamson,0,0,0,0
Houston,3,President,,DEM,Marianne Williamson,0,0,1,1
Houston,4,President,,DEM,Marianne Williamson,0,0,0,0
Houston,5,President,,DEM,Marianne Williamson,0,0,0,0
Houston,6,President,,DEM,Marianne Williamson,0,0,0,0
Houston,7,President,,DEM,Marianne Williamson,0,0,0,0
Houston,8,President,,DEM,Marianne Williamson,0,0,0,0
Houston,9,President,,DEM,Marianne Williamson,0,0,0,0
Houston,10,President,,DEM,Marianne Williamson,0,0,0,0
Houston,11,President,,DEM,Marianne Williamson,0,0,0,0
Houston,12,President,,DEM,Marianne Williamson,0,0,0,0
Houston,14,President,,DEM,Marianne Williamson,0,0,0,0
Houston,15,President,,DEM,Marianne Williamson,0,0,0,0
Houston,16,President,,DEM,Marianne Williamson,0,0,0,0
Houston,17,President,,DEM,Marianne Williamson,0,0,0,0
Houston,18,President,,DEM,Marianne Williamson,0,0,0,0
Houston,19,President,,DEM,Marianne Williamson,0,0,0,0
Houston,20,President,,DEM,Marianne Williamson,0,0,0,0
Houston,21,President,,DEM,Marianne Williamson,0,0,0,0
Houston,22,President,,DEM,Marianne Williamson,0,0,0,0
Houston,1,President,,DEM,Joe Biden,11,5,40,56
Houston,2,President,,DEM,Joe Biden,8,13,46,67
Houston,3,President,,DEM,Joe Biden,25,23,80,128
Houston,4,President,,DEM,Joe Biden,7,16,39,62
Houston,5,President,,DEM,Joe Biden,3,3,16,22
Houston,6,President,,DEM,Joe Biden,3,13,23,39
Houston,7,President,,DEM,Joe Biden,3,1,8,12
Houston,8,President,,DEM,Joe Biden,2,3,5,10
Houston,9,President,,DEM,Joe Biden,0,1,2,3
Houston,10,President,,DEM,Joe Biden,0,3,2,5
Houston,11,President,,DEM,Joe Biden,1,0,3,4
Houston,12,President,,DEM,Joe Biden,0,1,3,4
Houston,14,President,,DEM,Joe Biden,0,0,1,1
Houston,15,President,,DEM,Joe Biden,7,3,9,19
Houston,16,President,,DEM,Joe Biden,0,1,2,3
Houston,17,President,,DEM,Joe Biden,0,0,0,0
Houston,18,President,,DEM,Joe Biden,4,0,18,22
Houston,19,President,,DEM,Joe Biden,1,1,19,21
Houston,20,President,,DEM,Joe Biden,0,0,0,0
Houston,21,President,,DEM,Joe Biden,5,1,6,12
Houston,22,President,,DEM,Joe Biden,2,1,6,9
Houston,1,President,,DEM,Deval Patrick,0,0,0,0
Houston,2,President,,DEM,Deval Patrick,0,0,0,0
Houston,3,President,,DEM,Deval Patrick,0,0,0,0
Houston,4,President,,DEM,Deval Patrick,0,0,0,0
Houston,5,President,,DEM,Deval Patrick,0,0,0,0
Houston,6,President,,DEM,Deval Patrick,0,0,0,0
Houston,7,President,,DEM,Deval Patrick,0,0,0,0
Houston,8,President,,DEM,Deval Patrick,0,0,0,0
Houston,9,President,,DEM,Deval Patrick,0,0,0,0
Houston,10,President,,DEM,Deval Patrick,0,0,0,0
Houston,11,President,,DEM,Deval Patrick,0,0,0,0
Houston,12,President,,DEM,Deval Patrick,0,0,0,0
Houston,14,President,,DEM,Deval Patrick,0,0,0,0
Houston,15,President,,DEM,Deval Patrick,0,1,0,1
Houston,16,President,,DEM,Deval Patrick,0,0,0,0
Houston,17,President,,DEM,Deval Patrick,0,0,0,0
Houston,18,President,,DEM,Deval Patrick,0,0,0,0
Houston,19,President,,DEM,Deval Patrick,0,0,0,0
Houston,20,President,,DEM,Deval Patrick,0,0,0,0
Houston,21,President,,DEM,Deval Patrick,0,0,0,0
Houston,22,President,,DEM,Deval Patrick,0,0,0,0
Houston,1,President,,DEM,John K. Delaney,0,0,0,0
Houston,2,President,,DEM,John K. Delaney,0,0,0,0
Houston,3,President,,DEM,John K. Delaney,0,0,0,0
Houston,4,President,,DEM,John K. Delaney,0,0,0,0
Houston,5,President,,DEM,John K. Delaney,0,0,0,0
Houston,6,President,,DEM,John K. Delaney,0,0,0,0
Houston,7,President,,DEM,John K. Delaney,0,0,0,0
Houston,8,President,,DEM,John K. Delaney,0,0,0,0
Houston,9,President,,DEM,John K. Delaney,0,0,0,0
Houston,10,President,,DEM,John K. Delaney,0,0,0,0
Houston,11,President,,DEM,John K. Delaney,0,0,0,0
Houston,12,President,,DEM,John K. Delaney,0,0,0,0
Houston,14,President,,DEM,John K. Delaney,0,0,0,0
Houston,15,President,,DEM,John K. Delaney,0,0,0,0
Houston,16,President,,DEM,John K. Delaney,0,0,0,0
Houston,17,President,,DEM,John K. Delaney,0,0,0,0
Houston,18,President,,DEM,John K. Delaney,0,0,1,1
Houston,19,President,,DEM,John K. Delaney,0,0,0,0
Houston,20,President,,DEM,John K. Delaney,0,0,0,0
Houston,21,President,,DEM,John K. Delaney,0,0,0,0
Houston,22,President,,DEM,John K. Delaney,0,0,0,0
Houston,1,President,,DEM,Tulsi Gabbard,0,0,1,1
Houston,2,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,3,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,4,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,5,President,,DEM,Tulsi Gabbard,0,1,0,1
Houston,6,President,,DEM,Tulsi Gabbard,0,0,1,1
Houston,7,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,8,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,9,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,10,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,11,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,12,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,14,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,15,President,,DEM,Tulsi Gabbard,0,0,0,0
Houston,16,President,,DEM,Tulsi Gabbard,0,0,0,0
