county,precinct,office,district,party,candidate,absentee,early_voting,election_day,provisional,limited,votes
Parker,200,Registered Voters,,,,,,,,,453
Parker,200,President,,Democratic Party,John K. Delaney,0,0,2,0,0,2
Parker,200,President,,Democratic Party,Michael R. Bloomberg,4,8,5,0,0,17
Parker,200,President,,Democratic Party,Marianne Williamson,0,0,0,0,0,0
Parker,200,President,,Democratic Party,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0
Parker,200,President,,Democratic Party,Amy Klobuchar,2,1,0,0,0,3
Parker,200,President,,Democratic Party,Robby Wells,0,0,0,0,0,0
Parker,200,President,,Democratic Party,Elizabeth Warren,3,3,2,0,0,8
Parker,200,President,,Democratic Party,Pete Buttigieg,0,2,0,0,0,2
Parker,200,President,,Democratic Party,Bernie Sanders,3,12,20,0,0,35
Parker,200,President,,Democratic Party,Joseph R. Biden,2,4,20,0,0,26
Parker,200,President,,Democratic Party,Julián Castro,0,0,0,0,0,0
Parker,200,President,,Democratic Party,Tom Steyer,0,0,0,0,0,0
Parker,200,President,,Democratic Party,Cory Booker,0,0,0,0,0,0
Parker,200,President,,Democratic Party,Tulsi Gabbard,0,0,0,0,0,0
Parker,200,President,,Democratic Party,Deval Patrick,0,0,0,0,0,0
Parker,200,President,,Democratic Party,Andrew Yang,0,0,0,0,0,0
Parker,200,President,,Democratic Party,Michael Bennet,0,0,0,0,0,0
Parker,200,Ballots Cast,,Democratic Party,,14,30,49,0,0,93
Parker,200,President,,Democratic Party,Undervotes,0,0,1,0,0,1
Parker,200,President,,Democratic Party,Overvotes,0,0,0,0,0,0
Parker,200,U.S. Senate,,Democratic Party,Amanda K. Edwards,2,1,5,0,0,8
Parker,200,U.S. Senate,,Democratic Party,Cristina Tzintzun Ramirez,3,1,5,0,0,9
Parker,200,U.S. Senate,,Democratic Party,Adrian Ocegueda,0,0,1,0,0,1
Parker,200,U.S. Senate,,Democratic Party,"Annie ""Mamá"" Garcia",0,3,6,0,0,9
Parker,200,U.S. Senate,,Democratic Party,"Mary ""MJ"" Hegar",5,12,7,0,0,24
Parker,200,U.S. Senate,,Democratic Party,Royce West,3,2,6,0,0,11
Parker,200,U.S. Senate,,Democratic Party,Jack Daniel Foster Jr,1,0,0,0,0,1
Parker,200,U.S. Senate,,Democratic Party,Chris Bell,0,2,3,0,0,5
Parker,200,U.S. Senate,,Democratic Party,Sema Hernandez,0,0,2,0,0,2
Parker,200,U.S. Senate,,Democratic Party,D. R. Hunter,0,1,0,0,0,1
Parker,200,U.S. Senate,,Democratic Party,Victor Hugo Harris,0,1,3,0,0,4
Parker,200,U.S. Senate,,Democratic Party,Michael Cooper,0,0,0,0,0,0
Parker,200,Ballots Cast,,Democratic Party,,14,23,38,0,0,75
Parker,200,U.S. Senate,,Democratic Party,Undervotes,0,7,12,0,0,19
Parker,200,U.S. Senate,,Democratic Party,Overvotes,0,0,0,0,0,0
Parker,200,"United States Representative, District No. 12",,Democratic Party,Danny Anderson,3,6,10,0,0,19
Parker,200,"United States Representative, District No. 12",,Democratic Party,Lisa Welch,10,17,29,0,0,56
Parker,200,Ballots Cast,,Democratic Party,,13,23,39,0,0,75
Parker,200,"United States Representative, District No. 12",,Democratic Party,Undervotes,1,7,11,0,0,19
Parker,200,"United States Representative, District No. 12",,Democratic Party,Overvotes,0,0,0,0,0,0
Parker,200,Railroad Commissioner,,Democratic Party,Kelly Stone,3,9,13,0,0,25
Parker,200,Railroad Commissioner,,Democratic Party,"Roberto R. ""Beto"" Alonzo",4,4,9,0,0,17
Parker,200,Railroad Commissioner,,Democratic Party,Chrysta Castañeda,5,7,9,0,0,21
Parker,200,Railroad Commissioner,,Democratic Party,Mark Watson,2,1,8,0,0,11
Parker,200,Ballots Cast,,Democratic Party,,14,21,39,0,0,74
Parker,200,Railroad Commissioner,,Democratic Party,Undervotes,0,9,11,0,0,20
Parker,200,Railroad Commissioner,,Democratic Party,Overvotes,0,0,0,0,0,0
Parker,200,"Chief Justice, Supreme Court",,Democratic Party,Amy Clark Meachum,12,17,32,0,0,61
Parker,200,"Chief Justice, Supreme Court",,Democratic Party,Jerry Zimmerer,2,8,7,0,0,17
