candidate,office,district,party,county,precinct,early_voting,election_day,votes
Ballots Cast,,,,Harrison,Precinct 1,,,1495
Donald J Trump,President,,REP,Harrison,Precinct 1,819,134,953
Joseph R Biden,President,,DEM,Harrison,Precinct 1,465,46,511
Jo Jorgensen,President,,LIB,Harrison,Precinct 1,11,6,17
Howie Hawkins,President,,GRN,Harrison,Precinct 1,2,1,3
President R. Boddie (W),President,,,Harrison,Precinct 1,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 1,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 1,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 1,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 1,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 1,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 1,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 1,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 1,0,0,0
Over Votes,President,,,Harrison,Precinct 1,1,0,1
Under Votes,President,,,Harrison,Precinct 1,9,1,10
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 1,822,125,947
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 1,447,51,498
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 1,15,6,21
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 1,4,1,5
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 1,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 1,1,0,1
Under Votes,U.S. Senate,,,Harrison,Precinct 1,18,5,23
Louie Gohmert,U.S. House,1,,Harrison,Precinct 1,836,142,978
Hank Gilbert,U.S. House,1,,Harrison,Precinct 1,451,40,491
Over Votes,U.S. House,1,,Harrison,Precinct 1,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 1,20,6,26
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 1,826,132,958
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 1,421,41,462
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 1,17,7,24
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 1,10,4,14
Over Votes,Railroad Commissioner,,,Harrison,Precinct 1,0,1,1
Under Votes,Railroad Commissioner,,,Harrison,Precinct 1,33,3,36
Bryan Hughes,State Senate,1,,Harrison,Precinct 1,865,141,1006
Audrey Spanko,State Senate,1,,Harrison,Precinct 1,417,43,460
Over Votes,State Senate,1,,Harrison,Precinct 1,1,0,1
Under Votes,State Senate,1,,Harrison,Precinct 1,24,4,28
Chris Paddie,State Representative,9,,Harrison,Precinct 1,989,163,1152
