county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day,provisional_early_voting,provisional_election_day
Freestone,#1 Fairfield,Ballots Cast,,,,2195,157,1742,293,2,1
Freestone,#1 Fairfield,President,,REP,Donald J Trump,1880,118,1517,243,2,0
Freestone,#1 Fairfield,President,,DEM,Joseph R Biden,280,36,203,40,0,1
Freestone,#1 Fairfield,President,,LIB,Jo Jorgensen,18,0,12,6,0,0
Freestone,#1 Fairfield,President,,GRN,Howie Hawkins,2,0,2,0,0,0
Freestone,#1 Fairfield,President,,,Write-In,3,0,0,3,0,0
Freestone,#1 Fairfield,U.S. Senate,,REP,John Cornyn,1822,119,1469,232,2,0
Freestone,#1 Fairfield,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",270,35,194,40,0,1
Freestone,#1 Fairfield,U.S. Senate,,LIB,Kerry Douglas McKennon,26,0,21,5,0,0
Freestone,#1 Fairfield,U.S. Senate,,GRN,David B. Collins,14,0,11,3,0,0
Freestone,#1 Fairfield,U.S. Senate,,,Write-In,1,0,0,1,0,0
Freestone,#1 Fairfield,U.S. House,17,REP,Pete Sessions,1829,112,1473,242,2,0
Freestone,#1 Fairfield,U.S. House,17,DEM,Rick Kennedy,261,35,190,35,0,1
Freestone,#1 Fairfield,U.S. House,17,LIB,Ted Brown,34,0,28,6,0,0
Freestone,#1 Fairfield,Railroad Commissioner,,REP,"James ""Jim"" Wright",1823,116,1464,241,2,0
Freestone,#1 Fairfield,Railroad Commissioner,,DEM,Chrysta Castaneda,246,32,178,35,0,1
Freestone,#1 Fairfield,Railroad Commissioner,,LIB,Matt Sterett,34,2,26,6,0,0
Freestone,#1 Fairfield,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",5,0,4,1,0,0
Freestone,#1 Fairfield,State Representative,8,REP,Cody Harris,1915,121,1548,244,2,0
Freestone,#1 Fairfield,State Representative,8,LIB,R. Edwin Adams,155,13,114,28,0,0
Freestone,#2 Falrfield Dogan,Ballots Cast,,,,1099,104,801,189,5,0
Freestone,#2 Falrfield Dogan,President,,REP,Donald J Trump,774,40,598,133,3,0
Freestone,#2 Falrfield Dogan,President,,DEM,Joseph R Biden,297,63,187,45,2,0
Freestone,#2 Falrfield Dogan,President,,LIB,Jo Jorgensen,13,0,7,6,0,0
Freestone,#2 Falrfield Dogan,President,,GRN,Howie Hawkins,3,0,1,2,0,0
Freestone,#2 Falrfield Dogan,President,,,Write-In,2,0,2,0,0,0
