county,precinct,office,district,candidate,party,mail,early_election,votes
Hamilton,1,Ballots Cast,,,,70,672,742
Hamilton,1,President,,Donald J. Trump,REP,41,575,616
Hamilton,1,President,,Joseph R. Biden,DEM,28,78,106
Hamilton,1,President,,Jo Jorgensen,LBT,0,5,5
Hamilton,1,President,,Howie Hawkins,GRE,0,5,5
Hamilton,1,President,,Write-ins,,0,3,3
Hamilton,1,U.S. Senate,,John Cornyn,REP,47,569,616
Hamilton,1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,23,73,96
Hamilton,1,U.S. Senate,,Kerry Douglas McKennon,LBT,0,5,5
Hamilton,1,U.S. Senate,,David B. Collins,GRE,0,6,6
Hamilton,1,U.S. Senate,,Write-ins,,0,2,2
Hamilton,1,U.S. House,25,Roger Williams,REP,44,563,607
Hamilton,1,U.S. House,25,Julie Oliver,DEM,26,70,96
Hamilton,1,U.S. House,25,Bill Kelsey,LBT,0,9,9
Hamilton,1,Railroad Commissioner,,"James ""Jim"" Wright",REP,44,560,604
Hamilton,1,Railroad Commissioner,,Chrysta Castaneda,DEM,26,70,96
Hamilton,1,Railroad Commissioner,,Matt Sterett,LBT,0,7,7
Hamilton,1,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRE,0,8,8
Hamilton,1,State Senate,24,Dawn Buckingham,REP,44,561,605
Hamilton,1,State Senate,24,Clayton Tucker,DEM,25,70,95
Hamilton,1,State Representative,59,Shelby Slawson,REP,51,576,627
Hamilton,4,Ballots Cast,,,,8,121,129
Hamilton,4,President,,Donald J. Trump,REP,5,87,92
Hamilton,4,President,,Joseph R. Biden,DEM,3,22,25
Hamilton,4,President,,Jo Jorgensen,LBT,0,2,2
Hamilton,4,President,,Howie Hawkins,GRE,0,4,4
Hamilton,4,President,,Write-ins,,0,2,2
Hamilton,4,U.S. Senate,,John Cornyn,REP,5,91,96
Hamilton,4,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,3,16,19
Hamilton,4,U.S. Senate,,Kerry Douglas McKennon,LBT,0,2,2
Hamilton,4,U.S. Senate,,David B. Collins,GRE,0,5,5
Hamilton,4,U.S. Senate,,Write-ins,,0,2,2
Hamilton,4,U.S. House,25,Roger Williams,REP,5,90,95
Hamilton,4,U.S. House,25,Julie Oliver,DEM,3,18,21
Hamilton,4,U.S. House,25,Bill Kelsey,LBT,0,3,3
Hamilton,4,Railroad Commissioner,,"James ""Jim"" Wright",REP,4,89,93
Hamilton,4,Railroad Commissioner,,Chrysta Castaneda,DEM,3,18,21
Hamilton,4,Railroad Commissioner,,Matt Sterett,LBT,0,3,3
Hamilton,4,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRE,0,5,5
Hamilton,4,State Senate,24,Dawn Buckingham,REP,4,87,91
Hamilton,4,State Senate,24,Clayton Tucker,DEM,3,18,21
Hamilton,4,State Representative,59,Shelby Slawson,REP,5,93,98
Hamilton,5,Ballots Cast,,,,8,122,130
Hamilton,5,President,,Donald J. Trump,REP,5,95,100
Hamilton,5,President,,Joseph R. Biden,DEM,3,16,19
Hamilton,5,President,,Jo Jorgensen,LBT,0,2,2
Hamilton,5,President,,Howie Hawkins,GRE,0,5,5
Hamilton,5,President,,Write-ins,,0,2,2
Hamilton,5,U.S. Senate,,John Cornyn,REP,4,93,97
Hamilton,5,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,3,14,17
Hamilton,5,U.S. Senate,,Kerry Douglas McKennon,LBT,0,2,2
Hamilton,5,U.S. Senate,,David B. Collins,GRE,0,5,5
Hamilton,5,U.S. Senate,,Write-ins,,0,2,2
Hamilton,5,U.S. House,25,Roger Williams,REP,5,94,99
Hamilton,5,U.S. House,25,Julie Oliver,DEM,2,13,15
Hamilton,5,U.S. House,25,Bill Kelsey,LBT,0,2,2
Hamilton,5,Railroad Commissioner,,"James ""Jim"" Wright",REP,4,93,97
Hamilton,5,Railroad Commissioner,,Chrysta Castaneda,DEM,2,13,15
Hamilton,5,Railroad Commissioner,,Matt Sterett,LBT,1,2,3
Hamilton,5,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRE,0,5,5
Hamilton,5,State Senate,24,Dawn Buckingham,REP,4,90,94
Hamilton,5,State Senate,24,Clayton Tucker,DEM,3,14,17
Hamilton,5,State Representative,59,Shelby Slawson,REP,4,92,96
Hamilton,7,Ballots Cast,,,,103,990,1093
Hamilton,7,President,,Donald J. Trump,REP,64,822,886
Hamilton,7,President,,Joseph R. Biden,DEM,39,146,185
Hamilton,7,President,,Jo Jorgensen,LBT,0,11,11
Hamilton,7,President,,Howie Hawkins,GRE,0,2,2
Hamilton,7,President,,Write-ins,,0,3,3
Hamilton,7,U.S. Senate,,John Cornyn,REP,64,817,881
Hamilton,7,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,33,141,174
Hamilton,7,U.S. Senate,,Kerry Douglas McKennon,LBT,1,8,9
Hamilton,7,U.S. Senate,,David B. Collins,GRE,0,2,2
Hamilton,7,U.S. Senate,,Write-ins,,0,2,2
Hamilton,7,U.S. House,25,Roger Williams,REP,61,813,874
Hamilton,7,U.S. House,25,Julie Oliver,DEM,36,136,172
Hamilton,7,U.S. House,25,Bill Kelsey,LBT,0,14,14
Hamilton,7,Railroad Commissioner,,"James ""Jim"" Wright",REP,62,813,875
Hamilton,7,Railroad Commissioner,,Chrysta Castaneda,DEM,33,137,170
Hamilton,7,Railroad Commissioner,,Matt Sterett,LBT,1,9,10
Hamilton,7,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRE,0,7,7
Hamilton,7,State Senate,24,Dawn Buckingham,REP,61,819,880
Hamilton,7,State Senate,24,Clayton Tucker,DEM,31,134,165
Hamilton,7,State Representative,59,Shelby Slawson,REP,70,859,929
Hamilton,9,Ballots Cast,,,,26,136,162
Hamilton,9,President,,Donald J. Trump,REP,20,107,127
Hamilton,9,President,,Joseph R. Biden,DEM,5,17,22
Hamilton,9,President,,Jo Jorgensen,LBT,0,4,4
Hamilton,9,President,,Howie Hawkins,GRE,0,4,4
Hamilton,9,President,,Write-ins,,1,2,3
Hamilton,9,U.S. Senate,,John Cornyn,REP,21,103,124
Hamilton,9,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,5,17,22
Hamilton,9,U.S. Senate,,Kerry Douglas McKennon,LBT,0,5,5
Hamilton,9,U.S. Senate,,David B. Collins,GRE,0,5,5
Hamilton,9,U.S. Senate,,Write-ins,,0,2,2
Hamilton,9,U.S. House,25,Roger Williams,REP,20,107,127
Hamilton,9,U.S. House,25,Julie Oliver,DEM,5,14,19
Hamilton,9,U.S. House,25,Bill Kelsey,LBT,0,5,5
Hamilton,9,Railroad Commissioner,,"James ""Jim"" Wright",REP,20,107,127
Hamilton,9,Railroad Commissioner,,Chrysta Castaneda,DEM,4,12,16
Hamilton,9,Railroad Commissioner,,Matt Sterett,LBT,1,6,7
Hamilton,9,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRE,0,4,4
Hamilton,9,State Senate,24,Dawn Buckingham,REP,19,108,127
Hamilton,9,State Senate,24,Clayton Tucker,DEM,6,16,22
