county,precinct,office,district,candidate,party,votes,early_voting,election_day
Palo Pinto,1,President,,Robby Wells,DEM,0,0,0
Palo Pinto,1,President,,Andrew Yang,DEM,0,0,0
Palo Pinto,1,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0
Palo Pinto,1,President,,Michael Bennet,DEM,0,0,0
Palo Pinto,1,President,,Michael R. Bloomberg,DEM,4,3,1
Palo Pinto,1,President,,Tulsi Gabbard,DEM,0,0,0
Palo Pinto,1,President,,Julin Castro,DEM,0,0,0
Palo Pinto,1,President,,Cory Booker,DEM,0,0,0
Palo Pinto,1,President,,Joseph R. Biden,DEM,10,0,10
Palo Pinto,1,President,,Marianne Williamson,DEM,0,0,0
Palo Pinto,1,President,,Pete Buttigieg,DEM,3,3,0
Palo Pinto,1,President,,Tom Steyer,DEM,1,1,0
Palo Pinto,1,President,,Bernie Sanders,DEM,17,6,11
Palo Pinto,1,President,,Deval Patrick,DEM,0,0,0
Palo Pinto,1,President,,John K. Delaney,DEM,0,0,0
Palo Pinto,1,President,,Elizabeth Warren,DEM,3,0,3
Palo Pinto,1,President,,Amy Klobuchar,DEM,2,2,0
Palo Pinto,1,United States Senator,,"Annie ""Mam"" Garcia",DEM,5,0,5
Palo Pinto,1,United States Senator,,Michael Cooper,DEM,1,0,1
Palo Pinto,1,United States Senator,,"Mary ""MJ"" Hegar",DEM,13,7,6
Palo Pinto,1,United States Senator,,Adrian Ocegueda,DEM,1,1,0
Palo Pinto,1,United States Senator,,Amanda K. Edwards,DEM,2,0,2
Palo Pinto,1,United States Senator,,Jack Daniel Foster Jr,DEM,2,2,0
Palo Pinto,1,United States Senator,,Sema Hernandez,DEM,2,1,1
Palo Pinto,1,United States Senator,,D.R. Hunter,DEM,1,0,1
Palo Pinto,1,United States Senator,,Cristina Tzintzun Ramirez,DEM,2,0,2
Palo Pinto,1,United States Senator,,Victor Hugo Harris,DEM,1,0,1
Palo Pinto,1,United States Senator,,Chris Bell,DEM,2,0,2
Palo Pinto,1,United States Senator,,Royce West,DEM,2,0,2
Palo Pinto,1,United States Representative,No. 11,Jon Mark Hogg,DEM,31,11,20
Palo Pinto,1,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,10,4,6
Palo Pinto,1,Railroad Commissioner,,Kelly Stone,DEM,8,3,5
Palo Pinto,1,Railroad Commissioner,,Mark Watson,DEM,4,0,4
Palo Pinto,1,Railroad Commissioner,,Chrysta Castaeda,DEM,12,4,8
Palo Pinto,1,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,29,10,19
Palo Pinto,1,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,4,2,2
Palo Pinto,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Kathy Cheng,DEM,29,11,18
Palo Pinto,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Larry Praeger,DEM,3,0,3
Palo Pinto,1,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,18,6,12
Palo Pinto,1,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,15,5,10
Palo Pinto,1,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,26,9,17
Palo Pinto,1,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,6,1,5
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,2,1,1
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,1,0,1
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,30,9,21
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,31,9,22
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,2,1,1
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,29,8,21
Palo Pinto,1,"Member, State Board of Education",14,Greg Alvord,DEM,29,9,20
Palo Pinto,1,County Chair,,Carla Schoonover-Porter,DEM,35,12,23
Palo Pinto,1,President,,Donald J. Trump,REP,203,112,91
Palo Pinto,1,President,,Zoltan G. Istvan,REP,0,0,0
Palo Pinto,1,President,,Bob Ely,REP,1,0,1
Palo Pinto,1,President,,Bill Weld,REP,0,0,0
Palo Pinto,1,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0,0
Palo Pinto,1,President,,Matthew John Matern,REP,0,0,0
Palo Pinto,1,President,,Joe Walsh,REP,4,1,3
Palo Pinto,1,President,,Uncommitted,REP,14,2,12
Palo Pinto,1,United States Senator,,Dwayne Stovall,REP,29,13,16
Palo Pinto,1,United States Senator,,Mark Yancey,REP,13,4,9
Palo Pinto,1,United States Senator,,Virgil Bierschwale,REP,1,0,1
Palo Pinto,1,United States Senator,,John Cornyn,REP,156,88,68
Palo Pinto,1,United States Senator,,John Anthony Castro,REP,3,0,3
Palo Pinto,1,United States Representative,No. 11,J.D. Faircloth,REP,23,9,14
Palo Pinto,1,United States Representative,No. 11,Wesley W. Virdell,REP,4,0,4
Palo Pinto,1,United States Representative,No. 11,Robert Tucker,REP,11,5,6
Palo Pinto,1,United States Representative,No. 11,Ned Luscombe,REP,4,2,2
Palo Pinto,1,United States Representative,No. 11,Jamie Berryhill,REP,16,9,7
Palo Pinto,1,United States Representative,No. 11,Casey Gray,REP,12,5,7
Palo Pinto,1,United States Representative,No. 11,Brandon Batch,REP,40,16,24
Palo Pinto,1,United States Representative,No. 11,Gene Barber,REP,0,0,0
Palo Pinto,1,United States Representative,No. 11,J. Ross Lacy,REP,7,5,2
Palo Pinto,1,United States Representative,No. 11,August Pfluger,REP,73,48,25
Palo Pinto,1,Railroad Commissioner,,"James ""Jim"" Wright",REP,126,67,59
Palo Pinto,1,Railroad Commissioner,,Ryan Sitton,REP,62,32,30
Palo Pinto,1,"Chief Justice, Supreme Court",,Nathan Hecht,REP,181,90,91
Palo Pinto,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jane Bland,REP,178,89,89
Palo Pinto,1,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,176,89,87
Palo Pinto,1,"Justice, Supreme Court, Place 8",,Brett Busby,REP,175,88,87
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 3",,Bert Richardson,REP,100,57,43
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 3",,Gina Parker,REP,79,34,45
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 4",,Kevin Patrick Yeary,REP,178,90,88
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place 9",,David Newell,REP,174,90,84
Palo Pinto,1,"Member, State Board of Education",14,Sue Melton-Malone,REP,135,71,64
