precinct,county,office,district,party,candidate,early_voting,election_day,mail,votes
101,Hall,Ballots Cast,,DEM,,3,12,6,21
201,Hall,Ballots Cast,,DEM,,0,8,0,8
202,Hall,Ballots Cast,,DEM,,2,8,3,13
301,Hall,Ballots Cast,,DEM,,5,4,1,10
302,Hall,Ballots Cast,,DEM,,8,10,1,19
401,Hall,Ballots Cast,,DEM,,0,16,2,18
402,Hall,Ballots Cast,,DEM,,0,4,1,5
101,Hall,President,,DEM,Amy Klobuchar,0,0,0,0
101,Hall,President,,DEM,Joseph R. Biden,3,5,4,12
101,Hall,President,,DEM,Robby Wells,0,0,0,0
101,Hall,President,,DEM,Bernie Sanders,0,3,0,3
101,Hall,President,,DEM,Andrew Yang,0,0,0,0
101,Hall,President,,DEM,Michael Bennet,0,0,0,0
101,Hall,President,,DEM,Michael R. Bloomberg,0,3,1,4
101,Hall,President,,DEM,Pete Buttgieg,0,0,1,1
101,Hall,President,,DEM,Marianne Williamson,0,0,0,0
101,Hall,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
101,Hall,President,,DEM,Tom Steyer,0,0,0,0
101,Hall,President,,DEM,Cory Booker,0,0,0,0
101,Hall,President,,DEM,Deval Patrick,0,0,0,0
101,Hall,President,,DEM,Elizabeth Warren,0,0,0,0
101,Hall,President,,DEM,Tulsi Gabbard,0,0,0,0
101,Hall,President,,DEM,John K. Delaney,0,0,0,0
101,Hall,President,,DEM,Julian Castro,0,0,0,0
201,Hall,President,,DEM,Amy Klobuchar,0,0,0,0
201,Hall,President,,DEM,Joseph R. Biden,0,5,0,5
201,Hall,President,,DEM,Robby Wells,0,0,0,0
201,Hall,President,,DEM,Bernie Sanders,0,0,0,0
201,Hall,President,,DEM,Andrew Yang,0,0,0,0
201,Hall,President,,DEM,Michael Bennet,0,0,0,0
201,Hall,President,,DEM,Michael R. Bloomberg,0,1,0,1
201,Hall,President,,DEM,Pete Buttgieg,0,0,0,0
201,Hall,President,,DEM,Marianne Williamson,0,0,0,0
201,Hall,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
201,Hall,President,,DEM,Tom Steyer,0,1,0,1
201,Hall,President,,DEM,Cory Booker,0,0,0,0
201,Hall,President,,DEM,Deval Patrick,0,0,0,0
201,Hall,President,,DEM,Elizabeth Warren,0,0,0,0
201,Hall,President,,DEM,Tulsi Gabbard,0,0,0,0
201,Hall,President,,DEM,John K. Delaney,0,0,0,0
201,Hall,President,,DEM,Julian Castro,0,0,0,0
202,Hall,President,,DEM,Amy Klobuchar,0,0,0,0
202,Hall,President,,DEM,Joseph R. Biden,0,4,1,5
202,Hall,President,,DEM,Robby Wells,0,0,0,0
202,Hall,President,,DEM,Bernie Sanders,1,3,0,4
202,Hall,President,,DEM,Andrew Yang,0,0,0,0
202,Hall,President,,DEM,Michael Bennet,0,0,0,0
202,Hall,President,,DEM,Michael R. Bloomberg,0,1,2,3
202,Hall,President,,DEM,Pete Buttgieg,0,0,0,0
202,Hall,President,,DEM,Marianne Williamson,0,0,0,0
202,Hall,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
202,Hall,President,,DEM,Tom Steyer,0,0,0,0
202,Hall,President,,DEM,Cory Booker,0,0,0,0
202,Hall,President,,DEM,Deval Patrick,0,0,0,0
202,Hall,President,,DEM,Elizabeth Warren,0,0,0,0
202,Hall,President,,DEM,Tulsi Gabbard,0,0,0,0
202,Hall,President,,DEM,John K. Delaney,0,0,0,0
202,Hall,President,,DEM,Julian Castro,0,0,0,0
301,Hall,President,,DEM,Amy Klobuchar,0,0,0,0
301,Hall,President,,DEM,Joseph R. Biden,1,3,0,4
301,Hall,President,,DEM,Robby Wells,0,0,0,0
301,Hall,President,,DEM,Bernie Sanders,2,0,0,2
301,Hall,President,,DEM,Andrew Yang,0,0,0,0
301,Hall,President,,DEM,Michael Bennet,0,0,0,0
301,Hall,President,,DEM,Michael R. Bloomberg,0,0,0,0
301,Hall,President,,DEM,Pete Buttgieg,0,0,0,0
301,Hall,President,,DEM,Marianne Williamson,0,0,1,1
301,Hall,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
301,Hall,President,,DEM,Tom Steyer,0,0,0,0
301,Hall,President,,DEM,Cory Booker,0,0,0,0
301,Hall,President,,DEM,Deval Patrick,0,0,0,0
301,Hall,President,,DEM,Elizabeth Warren,0,0,0,0
301,Hall,President,,DEM,Tulsi Gabbard,1,0,0,1
301,Hall,President,,DEM,John K. Delaney,0,0,0,0
301,Hall,President,,DEM,Julian Castro,0,1,0,1
302,Hall,President,,DEM,Amy Klobuchar,0,0,0,0
302,Hall,President,,DEM,Joseph R. Biden,2,3,1,6
302,Hall,President,,DEM,Robby Wells,0,0,0,0
302,Hall,President,,DEM,Bernie Sanders,3,3,0,6
302,Hall,President,,DEM,Andrew Yang,0,0,0,0
302,Hall,President,,DEM,Michael Bennet,0,0,0,0
302,Hall,President,,DEM,Michael R. Bloomberg,2,1,0,3
302,Hall,President,,DEM,Pete Buttgieg,0,0,0,0
302,Hall,President,,DEM,Marianne Williamson,0,0,0,0
302,Hall,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
302,Hall,President,,DEM,Tom Steyer,0,0,0,0
302,Hall,President,,DEM,Cory Booker,0,0,0,0
302,Hall,President,,DEM,Deval Patrick,0,0,0,0
302,Hall,President,,DEM,Elizabeth Warren,0,0,0,0
302,Hall,President,,DEM,Tulsi Gabbard,0,0,0,0
302,Hall,President,,DEM,John K. Delaney,0,0,0,0
302,Hall,President,,DEM,Julian Castro,0,0,0,0
401,Hall,President,,DEM,Amy Klobuchar,0,0,0,0
401,Hall,President,,DEM,Joseph R. Biden,0,7,2,9
401,Hall,President,,DEM,Robby Wells,0,0,0,0
401,Hall,President,,DEM,Bernie Sanders,0,3,0,3
401,Hall,President,,DEM,Andrew Yang,0,0,0,0
401,Hall,President,,DEM,Michael Bennet,0,0,0,0
401,Hall,President,,DEM,Michael R. Bloomberg,0,5,0,5
401,Hall,President,,DEM,Pete Buttgieg,0,0,0,0
401,Hall,President,,DEM,Marianne Williamson,0,0,0,0
401,Hall,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
401,Hall,President,,DEM,Tom Steyer,0,0,0,0
401,Hall,President,,DEM,Cory Booker,0,0,0,0
401,Hall,President,,DEM,Deval Patrick,0,0,0,0
401,Hall,President,,DEM,Elizabeth Warren,0,0,0,0
401,Hall,President,,DEM,Tulsi Gabbard,0,0,0,0
401,Hall,President,,DEM,John K. Delaney,0,0,0,0
401,Hall,President,,DEM,Julian Castro,0,0,0,0
402,Hall,President,,DEM,Amy Klobuchar,0,0,0,0
402,Hall,President,,DEM,Joseph R. Biden,0,0,1,1
402,Hall,President,,DEM,Robby Wells,0,0,0,0
402,Hall,President,,DEM,Bernie Sanders,0,0,0,0
402,Hall,President,,DEM,Andrew Yang,0,0,0,0
402,Hall,President,,DEM,Michael Bennet,0,0,0,0
402,Hall,President,,DEM,Michael R. Bloomberg,0,4,0,4
402,Hall,President,,DEM,Pete Buttgieg,0,0,0,0
402,Hall,President,,DEM,Marianne Williamson,0,0,0,0
402,Hall,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
402,Hall,President,,DEM,Tom Steyer,0,0,0,0
402,Hall,President,,DEM,Cory Booker,0,0,0,0
402,Hall,President,,DEM,Deval Patrick,0,0,0,0
402,Hall,President,,DEM,Elizabeth Warren,0,0,0,0
402,Hall,President,,DEM,Tulsi Gabbard,0,0,0,0
402,Hall,President,,DEM,John K. Delaney,0,0,0,0
402,Hall,President,,DEM,Julian Castro,0,0,0,0
101,Hall,Registered Voters,,,,,,,437
201,Hall,Registered Voters,,,,,,,98
202,Hall,Registered Voters,,,,,,,409
301,Hall,Registered Voters,,,,,,,134
302,Hall,Registered Voters,,,,,,,341
