county,precinct,office,district,party,candidate,early_voting,election_day,votes
Baylor,1,Chief Justice Supreme Court,,,Amy Clark Meachum,29,10,39
Baylor,1,Chief Justice Supreme Court,,,Mark Ash,9,6,15
Baylor,1,Chief Justice Supreme Court,,,Nathan Hecht,375,81,456
Baylor,2,Chief Justice Supreme Court,,,Amy Clark Meachum,34,7,41
Baylor,2,Chief Justice Supreme Court,,,Mark Ash,2,5,7
Baylor,2,Chief Justice Supreme Court,,,Nathan Hecht,255,46,301
Baylor,3,Chief Justice Supreme Court,,,Amy Clark Meachum,44,6,50
Baylor,3,Chief Justice Supreme Court,,,Mark Ash,4,4,8
Baylor,3,Chief Justice Supreme Court,,,Nathan Hecht,239,61,300
Baylor,4,Chief Justice Supreme Court,,,Amy Clark Meachum,52,9,61
Baylor,4,Chief Justice Supreme Court,,,Mark Ash,3,4,7
Baylor,4,Chief Justice Supreme Court,,,Nathan Hecht,316,68,384
Baylor,1,County Commissioner Precinct 1,,,Rick Gillispie,396,93,489
Baylor,2,County Commissioner Precinct 2,,,"Larry ""Pero"" Elliott",270,58,328
Baylor,2,County Commissioner Precinct 2,,,Will Mason,13,0,13
Baylor,3,County Commissioner Precinct 3,,,Reed Slaggle,274,71,345
Baylor,1,County Tax Assessor Collector,,,Jeanette Holub,400,94,494
Baylor,2,County Tax Assessor Collector,,,Jeanette Holub,286,58,344
Baylor,3,County Tax Assessor Collector,,,Jeanette Holub,281,70,351
Baylor,4,County Tax Assessor Collector,,,Jeanette Holub,360,79,439
Baylor,1,District Attorney 50 Th Judicial District,,,Hunter Brooks,401,89,490
Baylor,2,District Attorney 50 Th Judicial District,,,Hunter Brooks,271,58,329
Baylor,3,District Attorney 50 Th Judicial District,,,Hunter Brooks,270,70,340
Baylor,4,District Attorney 50 Th Judicial District,,,Hunter Brooks,354,78,432
Baylor,1,District Judge 50 Th Judicial District,,,Jennifer A. Habert,379,87,466
Baylor,2,District Judge 50 Th Judicial District,,,Jennifer A. Habert,273,57,330
Baylor,3,District Judge 50 Th Judicial District,,,Jennifer A. Habert,270,68,338
Baylor,4,District Judge 50 Th Judicial District,,,Jennifer A. Habert,354,75,429
Baylor,1,Judge Court Of Criminal Appeals Place 3,,,Bert Richardson,380,83,463
Baylor,1,Judge Court Of Criminal Appeals Place 3,,,Elizabeth Davis Frizell,29,13,42
Baylor,2,Judge Court Of Criminal Appeals Place 3,,,Bert Richardson,262,48,310
Baylor,2,Judge Court Of Criminal Appeals Place 3,,,Elizabeth Davis Frizell,32,8,40
Baylor,3,Judge Court Of Criminal Appeals Place 3,,,Bert Richardson,247,65,312
Baylor,3,Judge Court Of Criminal Appeals Place 3,,,Elizabeth Davis Frizell,39,6,45
Baylor,4,Judge Court Of Criminal Appeals Place 3,,,Bert Richardson,323,72,395
Baylor,4,Judge Court Of Criminal Appeals Place 3,,,Elizabeth Davis Frizell,47,9,56
Baylor,1,Judge Court Of Criminal Appeals Place 4,,,Kevin Patrick Yeary,386,83,469
Baylor,1,Judge Court Of Criminal Appeals Place 4,,,Tina Clinton,22,11,33
Baylor,2,Judge Court Of Criminal Appeals Place 4,,,Kevin Patrick Yeary,261,48,309
Baylor,2,Judge Court Of Criminal Appeals Place 4,,,Tina Clinton,31,8,39
Baylor,3,Judge Court Of Criminal Appeals Place 4,,,Kevin Patrick Yeary,243,63,306
Baylor,3,Judge Court Of Criminal Appeals Place 4,,,Tina Clinton,42,7,49
Baylor,4,Judge Court Of Criminal Appeals Place 4,,,Kevin Patrick Yeary,322,73,395
Baylor,4,Judge Court Of Criminal Appeals Place 4,,,Tina Clinton,46,7,53
Baylor,1,Judge Court Of Criminal Appeals Place 9,,,Brandon Birmingham,23,12,35
Baylor,1,Judge Court Of Criminal Appeals Place 9,,,David Newell,385,85,470
Baylor,2,Judge Court Of Criminal Appeals Place 9,,,Brandon Birmingham,33,8,41
Baylor,2,Judge Court Of Criminal Appeals Place 9,,,David Newell,257,50,307
Baylor,3,Judge Court Of Criminal Appeals Place 9,,,Brandon Birmingham,39,,39
Baylor,3,Judge Court Of Criminal Appeals Place 9,,,David Newell,247,,247
Baylor,4,Judge Court Of Criminal Appeals Place 9,,,Brandon Birmingham,47,6,53
Baylor,4,Judge Court Of Criminal Appeals Place 9,,,David Newell,319,75,394
Baylor,1,Justice 11 Th Court Of Appeals District Place 2,,,Bruce Williams,395,91,486
Baylor,2,Justice 11 Th Court Of Appeals District Place 2,,,Bruce Williams,272,55,327
Baylor,3,Justice 11 Th Court Of Appeals District Place 2,,,Bruce Williams,271,68,339
Baylor,4,Justice 11 Th Court Of Appeals District Place 2,,,Bruce Williams,350,78,428
Baylor,1,Justice 11 Th Court Of Appeals District Place 3,,,W. Stacy Trotter,393,90,483
Baylor,2,Justice 11 Th Court Of Appeals District Place 3,,,W. Stacy Trotter,271,55,326
Baylor,3,Justice 11 Th Court Of Appeals District Place 3,,,W. Stacy Trotter,269,67,336
Baylor,4,Justice 11 Th Court Of Appeals District Place 3,,,W. Stacy Trotter,347,77,424
Baylor,1,Justice Supreme Court Place 6,,,Jane Bland,383,86,469
Baylor,1,Justice Supreme Court Place 6,,,Kathy Cheng,25,10,35
Baylor,2,Justice Supreme Court Place 6,,,Jane Bland,261,51,312
Baylor,2,Justice Supreme Court Place 6,,,Kathy Cheng,33,8,41
Baylor,3,Justice Supreme Court Place 6,,,Jane Bland,246,65,311
Baylor,3,Justice Supreme Court Place 6,,,Kathy Cheng,42,6,48
Baylor,4,Justice Supreme Court Place 6,,,Jane Bland,321,71,392
Baylor,4,Justice Supreme Court Place 6,,,Kathy Cheng,45,8,53
Baylor,1,Justice Supreme Court Place 7,,,Jeff Boyd,381,83,464
Baylor,1,Justice Supreme Court Place 7,,,Staci Williams,21,10,31
Baylor,1,Justice Supreme Court Place 7,,,William Bryan Strange Iii,5,4,9
Baylor,2,Justice Supreme Court Place 7,,,Jeff Boyd,261,47,308
Baylor,2,Justice Supreme Court Place 7,,,Staci Williams,29,6,35
Baylor,2,Justice Supreme Court Place 7,,,William Bryan Strange Iii,1,5,6
Baylor,3,Justice Supreme Court Place 7,,,Jeff Boyd,240,63,303
Baylor,3,Justice Supreme Court Place 7,,,Staci Williams,43,6,49
Baylor,3,Justice Supreme Court Place 7,,,William Bryan Strange Iii,6,2,8
Baylor,4,Justice Supreme Court Place 7,,,Jeff Boyd,315,71,386
Baylor,4,Justice Supreme Court Place 7,,,Staci Williams,47,8,55
Baylor,4,Justice Supreme Court Place 7,,,William Bryan Strange Iii,8,2,10
Baylor,1,Justice Supreme Court Place 8,,,Brett Busby,375,81,456
Baylor,1,Justice Supreme Court Place 8,,,Gisela D. Triana,26,11,37
Baylor,1,Justice Supreme Court Place 8,,,Tom Oxford,7,4,11
Baylor,2,Justice Supreme Court Place 8,,,Brett Busby,262,48,310
Baylor,2,Justice Supreme Court Place 8,,,Gisela D. Triana,26,7,33
Baylor,2,Justice Supreme Court Place 8,,,Tom Oxford,4,2,6
Baylor,3,Justice Supreme Court Place 8,,,Brett Busby,242,62,304
Baylor,3,Justice Supreme Court Place 8,,,Gisela D. Triana,41,4,45
Baylor,3,Justice Supreme Court Place 8,,,Tom Oxford,4,4,8
Baylor,4,Justice Supreme Court Place 8,,,Brett Busby,324,73,397
Baylor,4,Justice Supreme Court Place 8,,,Gisela D. Triana,43,7,50
Baylor,4,Justice Supreme Court Place 8,,,Tom Oxford,5,2,7
Baylor,1,Member State Board Of Education District 15,,,Jay Johnson,382,85,467
Baylor,1,Member State Board Of Education District 15,,,John Betancourt,25,12,37
Baylor,2,Member State Board Of Education District 15,,,Jay Johnson,261,49,310
Baylor,2,Member State Board Of Education District 15,,,John Betancourt,31,8,39
Baylor,3,Member State Board Of Education District 15,,,Jay Johnson,246,63,309
Baylor,3,Member State Board Of Education District 15,,,John Betancourt,40,7,47
Baylor,4,Member State Board Of Education District 15,,,Jay Johnson,322,71,393
Baylor,4,Member State Board Of Education District 15,,,John Betancourt,47,9,56
Baylor,1,President,,REP,Donald J. Trump/Michael R. Pence,392,88,480
Baylor,1,President,,GRE,Howie Hawkins/Angela Walker,0,0,0
Baylor,1,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",,0,0
Baylor,1,President,,DEM,Joseph R. Biden/Kamala D. Harris,24,11,35
Baylor,2,President,,REP,Donald J. Trump/Michael R. Pence,261,52,313
Baylor,2,President,,GRE,Howie Hawkins/Angela Walker,0,0,0
Baylor,2,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",2,3,5
Baylor,2,President,,DEM,Joseph R. Biden/Kamala D. Harris,35,8,43
Baylor,3,President,,REP,Donald J. Trump/Michael R. Pence,242,63,305
Baylor,3,President,,GRE,Howie Hawkins/Angela Walker,0,0,0
Baylor,3,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",6,2,8
Baylor,3,President,,DEM,Joseph R. Biden/Kamala D. Harris,38,8,46
Baylor,4,President,,,Brian Carroll/Amar Patel,2,,2
Baylor,4,President,,REP,Donald J. Trump/Michael R. Pence,326,70,396
Baylor,4,President,,GRE,Howie Hawkins/Angela Walker,1,0,1
Baylor,4,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",3,1,4
Baylor,4,President,,DEM,Joseph R. Biden/Kamala D. Harris,49,10,59
Baylor,1,Railroad Commissioner,,DEM,Chrysta Castañeda,22,10,32
Baylor,1,Railroad Commissioner,,REP,"James ""Jim"" Wright",386,83,469
Baylor,1,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,1,2
Baylor,1,Railroad Commissioner,,LBT,Matt Sterett,6,3,9
Baylor,2,Railroad Commissioner,,DEM,Chrysta Castañeda,27,8,35
Baylor,2,Railroad Commissioner,,REP,"James ""Jim"" Wright",254,47,301
Baylor,2,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,0,1
Baylor,2,Railroad Commissioner,,LBT,Matt Sterett,2,1,3
Baylor,3,Railroad Commissioner,,DEM,Chrysta Castañeda,36,4,40
Baylor,3,Railroad Commissioner,,REP,"James ""Jim"" Wright",238,62,300
