county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Dallam,Precinct 1 County,Registered Voters,,,,384,,,
Dallam,Precinct 1 County,President,,REP,Donald J. Trump / Michael R. Pence,223,14,49,160
Dallam,Precinct 1 County,President,,DEM,Joseph R. Biden / Kamala D. Harris,22,7,3,12
Dallam,Precinct 1 County,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",3,0,2,1
Dallam,Precinct 1 County,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Dallam,Precinct 1 County,U.S. Senate,,REP,John Cornyn,223,13,50,160
Dallam,Precinct 1 County,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",21,7,4,10
Dallam,Precinct 1 County,U.S. Senate,,LIB,Kerry Douglas McKennon,1,0,0,1
Dallam,Precinct 1 County,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Dallam,Precinct 1 County,U.S. House,13,REP,Ronny Jackson,220,12,48,160
Dallam,Precinct 1 County,U.S. House,13,DEM,Gus Trujillo,23,8,4,11
Dallam,Precinct 1 County,U.S. House,13,LIB,Jack B. Westbrook,3,0,3,0
Dallam,Precinct 1 County,Railroad Commissioner,,REP,"James ""Jim"" Wright",222,13,49,160
Dallam,Precinct 1 County,Railroad Commissioner,,DEM,Chrysta Castaneda,20,7,3,10
Dallam,Precinct 1 County,Railroad Commissioner,,LIB,Matt Sterett,3,0,3,0
Dallam,Precinct 1 County,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Dallam,Precinct 1 County,"Chief Justice, Supreme Court",,REP,Nathan Hecht,222,12,50,160
Dallam,Precinct 1 County,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,20,7,3,10
Dallam,Precinct 1 County,"Chief Justice, Supreme Court",,LIB,Mark Ash,2,0,1,1
Dallam,Precinct 1 County,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,224,13,52,159
Dallam,Precinct 1 County,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,21,7,2,12
Dallam,Precinct 1 County,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,222,13,50,159
Dallam,Precinct 1 County,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,20,6,4,10
Dallam,Precinct 1 County,"Justice, Supreme Court, Pl 7",,LIB,William Bryan Strange III,1,0,0,1
Dallam,Precinct 1 County,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,221,13,48,160
Dallam,Precinct 1 County,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,22,7,5,10
Dallam,Precinct 1 County,"Justice, Supreme Court, Pl 8",,LIB,Tom Oxford,2,0,1,1
Dallam,Precinct 1 County,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,223,13,50,160
