county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Tyler,Precinct 1,Ballots Cast,,,,524,40,422,62
Tyler,Precinct 2,Ballots Cast,,,,609,54,438,117
Tyler,Precinct 3,Ballots Cast,,,,1013,112,685,216
Tyler,Precinct 4,Ballots Cast,,,,971,77,602,292
Tyler,Precinct 5,Ballots Cast,,,,151,9,114,28
Tyler,Precinct 6,Ballots Cast,,,,337,52,155,130
Tyler,Precinct 7,Ballots Cast,,,,475,42,240,193
Tyler,Precinct 8,Ballots Cast,,,,162,13,91,58
Tyler,Precinct 9,Ballots Cast,,,,323,24,205,94
Tyler,Precinct 10,Ballots Cast,,,,1000,88,614,298
Tyler,Precinct 11,Ballots Cast,,,,82,4,43,35
Tyler,Precinct 13,Ballots Cast,,,,465,36,230,199
Tyler,Precinct 14,Ballots Cast,,,,1150,67,670,413
Tyler,Precinct 15,Ballots Cast,,,,728,51,244,433
Tyler,Precinct 16,Ballots Cast,,,,447,37,279,131
Tyler,Precinct 17,Ballots Cast,,,,335,38,229,68
Tyler,Precinct 18,Ballots Cast,,,,935,88,709,138
Tyler,Angelina County,Ballots Cast,,,,0,0,0,0
Tyler,Jasper County,Ballots Cast,,,,12,0,0,12
Tyler,Polk County,Ballots Cast,,,,1,0,1,0
Tyler,Precinct 1,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 2,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 3,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 4,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 5,BALLOTS CAST - BLANK,,,,1,0,0,1
Tyler,Precinct 6,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 7,BALLOTS CAST - BLANK,,,,1,0,1,0
Tyler,Precinct 8,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 9,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 10,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 11,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 13,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 14,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 15,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 16,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 17,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 18,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Angelina County,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Jasper County,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Polk County,BALLOTS CAST - BLANK,,,,0,0,0,0
Tyler,Precinct 1,President,,REP,Donald J. Trump / Michael R. Penc,450,28,369,53
Tyler,Precinct 2,President,,REP,Donald J. Trump / Michael R. Penc,377,36,265,76
Tyler,Precinct 3,President,,REP,Donald J. Trump / Michael R. Penc,783,63,564,156
Tyler,Precinct 4,President,,REP,Donald J. Trump / Michael R. Penc,865,50,544,271
Tyler,Precinct 5,President,,REP,Donald J. Trump / Michael R. Penc,94,3,79,12
Tyler,Precinct 6,President,,REP,Donald J. Trump / Michael R. Penc,287,35,142,110
Tyler,Precinct 7,President,,REP,Donald J. Trump / Michael R. Penc,432,34,214,184
Tyler,Precinct 8,President,,REP,Donald J. Trump / Michael R. Penc,139,11,78,50
Tyler,Precinct 9,President,,REP,Donald J. Trump / Michael R. Penc,298,19,191,88
Tyler,Precinct 10,President,,REP,Donald J. Trump / Michael R. Penc,872,56,550,266
Tyler,Precinct 11,President,,REP,Donald J. Trump / Michael R. Penc,78,4,43,31
Tyler,Precinct 13,President,,REP,Donald J. Trump / Michael R. Penc,399,27,200,172
Tyler,Precinct 14,President,,REP,Donald J. Trump / Michael R. Penc,1040,54,604,382
Tyler,Precinct 15,President,,REP,Donald J. Trump / Michael R. Penc,660,35,214,411
Tyler,Precinct 16,President,,REP,Donald J. Trump / Michael R. Penc,392,25,246,121
Tyler,Precinct 17,President,,REP,Donald J. Trump / Michael R. Penc,239,21,167,51
Tyler,Precinct 18,President,,REP,Donald J. Trump / Michael R. Penc,789,51,617,121
Tyler,Precinct 1,President,,DEM, Joseph R. Biden / Kamala D. Harri,67,12,48,7
Tyler,Precinct 2,President,,DEM, Joseph R. Biden / Kamala D. Harri,223,18,168,37
Tyler,Precinct 3,President,,DEM, Joseph R. Biden / Kamala D. Harri,222,48,117,57
Tyler,Precinct 4,President,,DEM, Joseph R. Biden / Kamala D. Harri,97,26,54,17
Tyler,Precinct 5,President,,DEM, Joseph R. Biden / Kamala D. Harri,54,5,35,14
Tyler,Precinct 6,President,,DEM, Joseph R. Biden / Kamala D. Harri,48,17,13,18
Tyler,Precinct 7,President,,DEM, Joseph R. Biden / Kamala D. Harri,38,8,21,9
Tyler,Precinct 8,President,,DEM, Joseph R. Biden / Kamala D. Harri,20,2,12,6
Tyler,Precinct 9,President,,DEM, Joseph R. Biden / Kamala D. Harri,23,5,13,5
Tyler,Precinct 10,President,,DEM, Joseph R. Biden / Kamala D. Harri,114,32,58,24
Tyler,Precinct 11,President,,DEM, Joseph R. Biden / Kamala D. Harri,3,0,0,3
Tyler,Precinct 13,President,,DEM, Joseph R. Biden / Kamala D. Harri,63,9,28,26
Tyler,Precinct 14,President,,DEM, Joseph R. Biden / Kamala D. Harri,93,13,57,23
Tyler,Precinct 15,President,,DEM, Joseph R. Biden / Kamala D. Harri,62,16,29,17
Tyler,Precinct 16,President,,DEM, Joseph R. Biden / Kamala D. Harri,44,9,28,7
Tyler,Precinct 17,President,,DEM, Joseph R. Biden / Kamala D. Harri,94,16,62,16
Tyler,Precinct 18,President,,DEM, Joseph R. Biden / Kamala D. Harri,138,37,85,16
Tyler,Precinct 1,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",2,0,1,1
Tyler,Precinct 2,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",6,0,4,2
Tyler,Precinct 3,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",3,0,2,1
Tyler,Precinct 4,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",4,0,2,2
Tyler,Precinct 5,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",1,0,0,1
Tyler,Precinct 6,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",1,0,0,1
Tyler,Precinct 7,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",2,0,2,0
Tyler,Precinct 8,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",2,0,0,2
Tyler,Precinct 9,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",1,0,0,1
Tyler,Precinct 10,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",6,0,1,5
Tyler,Precinct 11,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",0,0,0,0
Tyler,Precinct 13,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",1,0,1,0
Tyler,Precinct 14,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",7,0,2,5
Tyler,Precinct 15,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",3,0,1,2
Tyler,Precinct 16,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",5,1,3,1
Tyler,Precinct 17,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",1,0,0,1
Tyler,Precinct 18,President,,LIB,"Jo Jorgensen / Jeremy ""Spike"" Coh",7,0,6,1
Tyler,Precinct 1,President,,GRE,Howie Hawkins / Angela Walker,1,0,1,0
Tyler,Precinct 2,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 3,President,,GRE,Howie Hawkins / Angela Walker,1,0,0,1
Tyler,Precinct 4,President,,GRE,Howie Hawkins / Angela Walker,1,0,1,0
Tyler,Precinct 5,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 6,President,,GRE,Howie Hawkins / Angela Walker,1,0,0,1
Tyler,Precinct 7,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 8,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 9,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 10,President,,GRE,Howie Hawkins / Angela Walker,2,0,2,0
Tyler,Precinct 11,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 13,President,,GRE,Howie Hawkins / Angela Walker,1,0,0,1
Tyler,Precinct 14,President,,GRE,Howie Hawkins / Angela Walker,2,0,2,0
Tyler,Precinct 15,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 16,President,,GRE,Howie Hawkins / Angela Walker,2,0,0,2
Tyler,Precinct 17,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 18,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0
Tyler,Precinct 1,President,,,Write-in,0,0,0,0
Tyler,Precinct 2,President,,,Write-in,0,0,0,0
Tyler,Precinct 3,President,,,Write-in,1,0,0,1
Tyler,Precinct 4,President,,,Write-in,1,0,1,0
Tyler,Precinct 5,President,,,Write-in,0,0,0,0
Tyler,Precinct 6,President,,,Write-in,0,0,0,0
Tyler,Precinct 7,President,,,Write-in,0,0,0,0
Tyler,Precinct 8,President,,,Write-in,0,0,0,0
Tyler,Precinct 9,President,,,Write-in,0,0,0,0
Tyler,Precinct 10,President,,,Write-in,2,0,1,1
Tyler,Precinct 11,President,,,Write-in,1,0,0,1
Tyler,Precinct 13,President,,,Write-in,0,0,0,0
Tyler,Precinct 14,President,,,Write-in,2,0,2,0
Tyler,Precinct 15,President,,,Write-in,3,0,0,3
Tyler,Precinct 16,President,,,Write-in,2,2,0,0
Tyler,Precinct 17,President,,,Write-in,1,1,0,0
Tyler,Precinct 18,President,,,Write-in,0,0,0,0
Tyler,Precinct 1,President,,,OVER VOTES,1,0,0,1
Tyler,Precinct 2,President,,,OVER VOTES,0,0,0,0
Tyler,Precinct 3,President,,,OVER VOTES,0,0,0,0
Tyler,Precinct 4,President,,,OVER VOTES,0,0,0,0
Tyler,Precinct 5,President,,,OVER VOTES,0,0,0,0
Tyler,Precinct 6,President,,,OVER VOTES,0,0,0,0
Tyler,Precinct 7,President,,,OVER VOTES,0,0,0,0
Tyler,Precinct 8,President,,,OVER VOTES,0,0,0,0
Tyler,Precinct 9,President,,,OVER VOTES,1,0,1,0
Tyler,Precinct 10,President,,,OVER VOTES,1,0,0,1
Tyler,Precinct 11,President,,,OVER VOTES,0,0,0,0
Tyler,Precinct 13,President,,,OVER VOTES,0,0,0,0
