county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Nolan,Precinct 1,Registered Voters,,,,1067,0,0,0
Nolan,Precinct 2,Registered Voters,,,,1068,0,0,0
Nolan,Precinct 3,Registered Voters,,,,1819,0,0,0
Nolan,Precinct 4,Registered Voters,,,,1741,0,0,0
Nolan,Precinct 5,Registered Voters,,,,154,0,0,0
Nolan,Precinct 6,Registered Voters,,,,1108,0,0,0
Nolan,Precinct 7,Registered Voters,,,,294,0,0,0
Nolan,Precinct 8,Registered Voters,,,,159,0,0,0
Nolan,Precinct 9,Registered Voters,,,,1494,0,0,0
Nolan,Precinct 1,Ballots Cast,,,,590,39,395,156
Nolan,Precinct 2,Ballots Cast,,,,736,71,430,235
Nolan,Precinct 3,Ballots Cast,,,,1031,99,640,292
Nolan,Precinct 4,Ballots Cast,,,,843,91,468,284
Nolan,Precinct 5,Ballots Cast,,,,124,9,51,64
Nolan,Precinct 6,Ballots Cast,,,,672,39,355,278
Nolan,Precinct 7,Ballots Cast,,,,215,18,85,112
Nolan,Precinct 8,Ballots Cast,,,,133,5,61,67
Nolan,Precinct 9,Ballots Cast,,,,1051,71,659,321
Nolan,Precinct 1,BALLOTS CAST - BLANK,,,,0,0,0,0
Nolan,Precinct 2,BALLOTS CAST - BLANK,,,,1,0,1,0
Nolan,Precinct 3,BALLOTS CAST - BLANK,,,,0,0,0,0
Nolan,Precinct 4,BALLOTS CAST - BLANK,,,,1,0,1,0
Nolan,Precinct 5,BALLOTS CAST - BLANK,,,,0,0,0,0
Nolan,Precinct 6,BALLOTS CAST - BLANK,,,,0,0,0,0
Nolan,Precinct 7,BALLOTS CAST - BLANK,,,,0,0,0,0
Nolan,Precinct 8,BALLOTS CAST - BLANK,,,,0,0,0,0
Nolan,Precinct 9,BALLOTS CAST - BLANK,,,,0,0,0,0
Nolan,Precinct 1,President,,REP,Donald J. Trump / Michael R. Penc,442,18,301,123
Nolan,Precinct 2,President,,REP,Donald J. Trump / Michael R. Penc,602,33,372,197
Nolan,Precinct 3,President,,REP,Donald J. Trump / Michael R. Penc,743,48,477,218
Nolan,Precinct 4,President,,REP,Donald J. Trump / Michael R. Penc,520,33,311,176
Nolan,Precinct 5,President,,REP,Donald J. Trump / Michael R. Penc,101,7,43,51
Nolan,Precinct 6,President,,REP,Donald J. Trump / Michael R. Penc,538,17,276,245
Nolan,Precinct 7,President,,REP,Donald J. Trump / Michael R. Penc,198,14,77,107
Nolan,Precinct 8,President,,REP,Donald J. Trump / Michael R. Penc,120,5,55,60
Nolan,Precinct 9,President,,REP,Donald J. Trump / Michael R. Penc,867,53,550,264
Nolan,Precinct 1,President,,DEM,Joseph R. Biden / Kamala D. Harri,141,21,87,33
Nolan,Precinct 2,President,,DEM,Joseph R. Biden / Kamala D. Harri,115,34,51,30
Nolan,Precinct 3,President,,DEM,Joseph R. Biden / Kamala D. Harri,268,49,155,64
Nolan,Precinct 4,President,,DEM,Joseph R. Biden / Kamala D. Harri,310,57,150,103
Nolan,Precinct 5,President,,DEM,Joseph R. Biden / Kamala D. Harri,23,2,8,13
Nolan,Precinct 6,President,,DEM,Joseph R. Biden / Kamala D. Harri,123,21,74,28
Nolan,Precinct 7,President,,DEM,Joseph R. Biden / Kamala D. Harri,15,4,7,4
Nolan,Precinct 8,President,,DEM,Joseph R. Biden / Kamala D. Harri,11,0,5,6
Nolan,Precinct 9,President,,DEM,Joseph R. Biden / Kamala D. Harri,156,17,98,41
Nolan,Precinct 1,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",5,0,5,0
Nolan,Precinct 2,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",8,2,4,2
Nolan,Precinct 3,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",10,0,3,7
Nolan,Precinct 4,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",6,0,4,2
Nolan,Precinct 5,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",0,0,0,0
Nolan,Precinct 6,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",6,0,3,3
Nolan,Precinct 7,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",0,0,0,0
Nolan,Precinct 8,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",1,0,0,1
Nolan,Precinct 9,President,,LIB,"Jo Jorgensen / Jereny ""Spike"" Coh",17,0,7,10
Nolan,Precinct 1,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Nolan,Precinct 2,President,,GRN,Howie Hawkins / Angela Walker,2,1,0,1
Nolan,Precinct 3,President,,GRN,Howie Hawkins / Angela Walker,2,0,2,0
Nolan,Precinct 4,President,,GRN,Howie Hawkins / Angela Walker,1,0,1,0
Nolan,Precinct 5,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Nolan,Precinct 6,President,,GRN,Howie Hawkins / Angela Walker,2,0,1,1
Nolan,Precinct 7,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Nolan,Precinct 8,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Nolan,Precinct 9,President,,GRN,Howie Hawkins / Angela Walker,3,0,2,1
Nolan,Precinct 1,President,,NON,Write-in,2,0,2,0
Nolan,Precinct 2,President,,NON,Write-in,5,0,1,4
Nolan,Precinct 3,President,,NON,Write-in,0,0,0,0
Nolan,Precinct 4,President,,NON,Write-in,1,0,0,1
Nolan,Precinct 5,President,,NON,Write-in,0,0,0,0
Nolan,Precinct 6,President,,NON,Write-in,1,1,0,0
Nolan,Precinct 7,President,,NON,Write-in,0,0,0,0
Nolan,Precinct 8,President,,NON,Write-in,1,0,1,0
Nolan,Precinct 9,President,,NON,Write-in,1,0,1,0
Nolan,Precinct 1,President,,,OVER VOTES,0,0,0,0
Nolan,Precinct 2,President,,,OVER VOTES,1,0,1,0
Nolan,Precinct 3,President,,,OVER VOTES,1,0,1,0
Nolan,Precinct 4,President,,,OVER VOTES,1,1,0,0
Nolan,Precinct 5,President,,,OVER VOTES,0,0,0,0
Nolan,Precinct 6,President,,,OVER VOTES,0,0,0,0
Nolan,Precinct 7,President,,,OVER VOTES,0,0,0,0
Nolan,Precinct 8,President,,,OVER VOTES,0,0,0,0
Nolan,Precinct 9,President,,,OVER VOTES,0,0,0,0
Nolan,Precinct 1,President,,,UNDER VOTES,0,0,0,0
Nolan,Precinct 2,President,,,UNDER VOTES,3,1,1,1
Nolan,Precinct 3,President,,,UNDER VOTES,7,2,2,3
Nolan,Precinct 4,President,,,UNDER VOTES,4,0,2,2
Nolan,Precinct 5,President,,,UNDER VOTES,0,0,0,0
Nolan,Precinct 6,President,,,UNDER VOTES,2,0,1,1
Nolan,Precinct 7,President,,,UNDER VOTES,2,0,1,1
Nolan,Precinct 8,President,,,UNDER VOTES,0,0,0,0
Nolan,Precinct 9,President,,,UNDER VOTES,6,1,1,4
Nolan,Precinct 1,U.S. Senate,,REP,John Cornyn,429,21,288,120
Nolan,Precinct 2,U.S. Senate,,REP,John Cornyn,613,38,374,201
Nolan,Precinct 3,U.S. Senate,,REP,John Cornyn,724,48,465,211
Nolan,Precinct 4,U.S. Senate,,REP,John Cornyn,523,34,312,177
Nolan,Precinct 5,U.S. Senate,,REP,John Cornyn,99,7,43,49
Nolan,Precinct 6,U.S. Senate,,REP,John Cornyn,535,16,280,239
Nolan,Precinct 7,U.S. Senate,,REP,John Cornyn,197,14,77,106
Nolan,Precinct 8,U.S. Senate,,REP,John Cornyn,119,5,56,58
Nolan,Precinct 9,U.S. Senate,,REP,John Cornyn,863,50,557,256
Nolan,Precinct 1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",137,16,86,35
Nolan,Precinct 2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",106,32,47,27
Nolan,Precinct 3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",251,45,144,62
Nolan,Precinct 4,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",277,54,137,86
Nolan,Precinct 5,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",20,2,8,10
Nolan,Precinct 6,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",112,22,63,27
Nolan,Precinct 7,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",12,3,6,3
Nolan,Precinct 8,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",13,0,4,9
Nolan,Precinct 9,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",149,16,85,48
Nolan,Precinct 1,U.S. Senate,,LIB,Kerry Douglas McKennon,8,0,8,0
Nolan,Precinct 2,U.S. Senate,,LIB,Kerry Douglas McKennon,5,0,3,2
Nolan,Precinct 3,U.S. Senate,,LIB,Kerry Douglas McKennon,25,0,14,11
Nolan,Precinct 4,U.S. Senate,,LIB,Kerry Douglas McKennon,12,0,6,6
Nolan,Precinct 5,U.S. Senate,,LIB,Kerry Douglas McKennon,1,0,0,1
Nolan,Precinct 6,U.S. Senate,,LIB,Kerry Douglas McKennon,14,0,8,6
Nolan,Precinct 7,U.S. Senate,,LIB,Kerry Douglas McKennon,2,0,1,1
Nolan,Precinct 8,U.S. Senate,,LIB,Kerry Douglas McKennon,1,0,1,0
Nolan,Precinct 9,U.S. Senate,,LIB,Kerry Douglas McKennon,16,0,8,8
Nolan,Precinct 1,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Nolan,Precinct 2,U.S. Senate,,GRN,David B. Collins,1,0,0,1
Nolan,Precinct 3,U.S. Senate,,GRN,David B. Collins,6,0,2,4
Nolan,Precinct 4,U.S. Senate,,GRN,David B. Collins,6,0,1,5
Nolan,Precinct 5,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Nolan,Precinct 6,U.S. Senate,,GRN,David B. Collins,2,0,1,1
