county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Bailey,1,U.S. House,19,REP,JODEY C. ARRINGTON,262,118,144,1
Bailey,2,U.S. House,19,REP,JODEY C. ARRINGTON,353,133,220,0
Bailey,3,U.S. House,19,REP,JODEY C. ARRINGTON,119,48,71,0
Bailey,4,U.S. House,19,REP,JODEY C. ARRINGTON,65,28,37,0
Bailey,1,Governor,,REP,PAUL BELEW,1,1,0,1
Bailey,2,Governor,,REP,PAUL BELEW,2,2,0,0
Bailey,3,Governor,,REP,PAUL BELEW,0,0,0,0
Bailey,4,Governor,,REP,PAUL BELEW,0,0,0,0
Bailey,1,Governor,,REP,ALLEN B. WEST,48,20,28,1
Bailey,2,Governor,,REP,ALLEN B. WEST,47,16,31,0
Bailey,3,Governor,,REP,ALLEN B. WEST,13,5,8,0
Bailey,4,Governor,,REP,ALLEN B. WEST,5,5,0,0
Bailey,1,Governor,,REP,DON HUFFINES,26,18,8,1
Bailey,2,Governor,,REP,DON HUFFINES,33,14,19,0
Bailey,3,Governor,,REP,DON HUFFINES,9,3,6,0
Bailey,4,Governor,,REP,DON HUFFINES,7,3,4,0
Bailey,1,Governor,,REP,RICK PERRY,11,4,7,1
Bailey,2,Governor,,REP,RICK PERRY,20,7,13,0
Bailey,3,Governor,,REP,RICK PERRY,8,4,4,0
Bailey,4,Governor,,REP,RICK PERRY,4,0,4,0
Bailey,1,Governor,,REP,DANNY HARRISON,1,0,1,1
Bailey,2,Governor,,REP,DANNY HARRISON,1,1,0,0
Bailey,3,Governor,,REP,DANNY HARRISON,0,0,0,0
Bailey,4,Governor,,REP,DANNY HARRISON,0,0,0,0
Bailey,1,Governor,,REP,KANDY KAYE HORN,3,2,1,1
Bailey,2,Governor,,REP,KANDY KAYE HORN,2,2,0,0
Bailey,3,Governor,,REP,KANDY KAYE HORN,1,0,1,0
Bailey,4,Governor,,REP,KANDY KAYE HORN,1,1,0,0
Bailey,1,Governor,,REP,GREG ABBOTT,166,71,95,1
Bailey,2,Governor,,REP,GREG ABBOTT,238,89,149,0
Bailey,3,Governor,,REP,GREG ABBOTT,97,41,56,0
Bailey,4,Governor,,REP,GREG ABBOTT,47,20,27,0
Bailey,1,Governor,,REP,CHAD PRATHER,25,10,15,1
Bailey,2,Governor,,REP,CHAD PRATHER,30,10,20,0
Bailey,3,Governor,,REP,CHAD PRATHER,9,1,8,0
Bailey,4,Governor,,REP,CHAD PRATHER,9,3,6,0
Bailey,1,Lieutenant Govenor,,REP,DANIEL MILLER,21,6,15,1
Bailey,2,Lieutenant Govenor,,REP,DANIEL MILLER,35,8,27,0
Bailey,3,Lieutenant Govenor,,REP,DANIEL MILLER,14,3,11,0
Bailey,4,Lieutenant Govenor,,REP,DANIEL MILLER,7,1,6,0
Bailey,1,Lieutenant Govenor,,REP,TODD M. BULLIS,8,8,0,1
Bailey,2,Lieutenant Govenor,,REP,TODD M. BULLIS,14,2,12,0
Bailey,3,Lieutenant Govenor,,REP,TODD M. BULLIS,4,1,3,0
Bailey,4,Lieutenant Govenor,,REP,TODD M. BULLIS,3,0,3,0
Bailey,1,Lieutenant Govenor,,REP,DAN PATRICK,204,93,111,1
Bailey,2,Lieutenant Govenor,,REP,DAN PATRICK,268,108,160,0
Bailey,3,Lieutenant Govenor,,REP,DAN PATRICK,89,38,51,0
Bailey,4,Lieutenant Govenor,,REP,DAN PATRICK,42,23,19,0
Bailey,1,Lieutenant Govenor,,REP,ZACH VANCE,1,0,1,1
Bailey,2,Lieutenant Govenor,,REP,ZACH VANCE,6,4,2,0
Bailey,3,Lieutenant Govenor,,REP,ZACH VANCE,7,3,4,0
Bailey,4,Lieutenant Govenor,,REP,ZACH VANCE,3,0,3,0
Bailey,1,Lieutenant Govenor,,REP,TRAYCE BRADFORD,6,2,4,1
Bailey,2,Lieutenant Govenor,,REP,TRAYCE BRADFORD,18,6,12,0
Bailey,3,Lieutenant Govenor,,REP,TRAYCE BRADFORD,6,3,3,0
Bailey,4,Lieutenant Govenor,,REP,TRAYCE BRADFORD,4,2,2,0
Bailey,1,Lieutenant Govenor,,REP,AARON SORRELLS,11,6,5,1
Bailey,2,Lieutenant Govenor,,REP,AARON SORRELLS,8,3,5,0
Bailey,3,Lieutenant Govenor,,REP,AARON SORRELLS,4,1,3,0
Bailey,4,Lieutenant Govenor,,REP,AARON SORRELLS,0,0,0,0
Bailey,1,Attorney General,,REP,LOUIE GOHMERT,20,6,14,1
Bailey,2,Attorney General,,REP,LOUIE GOHMERT,32,16,16,0
Bailey,3,Attorney General,,REP,LOUIE GOHMERT,10,4,6,0
Bailey,4,Attorney General,,REP,LOUIE GOHMERT,4,3,1,0
Bailey,1,Attorney General,,REP,EVA GUZMAN,44,18,26,1
Bailey,2,Attorney General,,REP,EVA GUZMAN,43,27,16,0
Bailey,3,Attorney General,,REP,EVA GUZMAN,20,7,13,0
Bailey,4,Attorney General,,REP,EVA GUZMAN,15,7,8,0
Bailey,1,Attorney General,,REP,GEORGE P. BUSH,54,27,27,1
Bailey,2,Attorney General,,REP,GEORGE P. BUSH,83,24,59,0
Bailey,3,Attorney General,,REP,GEORGE P. BUSH,46,14,32,0
Bailey,4,Attorney General,,REP,GEORGE P. BUSH,13,5,8,0
Bailey,1,Attorney General,,REP,KEN PAXTON,151,71,80,1
Bailey,2,Attorney General,,REP,KEN PAXTON,204,69,135,0
Bailey,3,Attorney General,,REP,KEN PAXTON,58,27,31,0
Bailey,4,Attorney General,,REP,KEN PAXTON,38,16,22,0
Bailey,1,Comptroller of Public Accounts,,REP,MARK V. GOLOBY,43,12,31,1
Bailey,2,Comptroller of Public Accounts,,REP,MARK V. GOLOBY,59,20,39,0
Bailey,3,Comptroller of Public Accounts,,REP,MARK V. GOLOBY,18,9,9,0
Bailey,4,Comptroller of Public Accounts,,REP,MARK V. GOLOBY,13,9,4,0
Bailey,1,Comptroller of Public Accounts,,REP,GLENN HEGAR,178,89,89,1
Bailey,2,Comptroller of Public Accounts,,REP,GLENN HEGAR,218,85,133,0
Bailey,3,Comptroller of Public Accounts,,REP,GLENN HEGAR,82,33,49,0
Bailey,4,Comptroller of Public Accounts,,REP,GLENN HEGAR,36,15,21,0
Bailey,1,Comm General Land Office,,REP,BEN ARMENTA,14,4,10,1
Bailey,2,Comm General Land Office,,REP,BEN ARMENTA,20,9,11,0
Bailey,3,Comm General Land Office,,REP,BEN ARMENTA,9,3,6,0
Bailey,4,Comm General Land Office,,REP,BEN ARMENTA,2,0,2,0
Bailey,1,Comm General Land Office,,REP,DON W. MINTON,26,13,13,1
Bailey,2,Comm General Land Office,,REP,DON W. MINTON,32,8,24,0
Bailey,3,Comm General Land Office,,REP,DON W. MINTON,14,5,9,0
Bailey,4,Comm General Land Office,,REP,DON W. MINTON,10,6,4,0
Bailey,1,Comm General Land Office,,REP,TIM WESLEY,43,20,23,1
Bailey,2,Comm General Land Office,,REP,TIM WESLEY,56,13,43,0
Bailey,3,Comm General Land Office,,REP,TIM WESLEY,19,7,12,0
Bailey,4,Comm General Land Office,,REP,TIM WESLEY,7,3,4,0
Bailey,1,Comm General Land Office,,REP,RUFUS LOPEZ,3,0,3,1
Bailey,2,Comm General Land Office,,REP,RUFUS LOPEZ,7,1,6,0
Bailey,3,Comm General Land Office,,REP,RUFUS LOPEZ,2,0,2,0
Bailey,4,Comm General Land Office,,REP,RUFUS LOPEZ,5,1,4,0
Bailey,1,Comm General Land Office,,REP,DAWN BUCKINGHAM,61,32,29,1
Bailey,2,Comm General Land Office,,REP,DAWN BUCKINGHAM,73,31,42,0
Bailey,3,Comm General Land Office,,REP,DAWN BUCKINGHAM,17,8,9,0
Bailey,4,Comm General Land Office,,REP,DAWN BUCKINGHAM,14,5,9,0
Bailey,1,Comm General Land Office,,REP,WESTON MARTINEZ,3,1,2,1
Bailey,2,Comm General Land Office,,REP,WESTON MARTINEZ,7,6,1,0
Bailey,3,Comm General Land Office,,REP,WESTON MARTINEZ,4,3,1,0
Bailey,4,Comm General Land Office,,REP,WESTON MARTINEZ,2,2,0,0
Bailey,1,Comm General Land Office,,REP,VICTOR AVILA,27,10,17,1
Bailey,2,Comm General Land Office,,REP,VICTOR AVILA,25,5,20,0
Bailey,3,Comm General Land Office,,REP,VICTOR AVILA,15,7,8,0
Bailey,4,Comm General Land Office,,REP,VICTOR AVILA,8,2,6,0
Bailey,1,Comm General Land Office,,REP,JON SPIERS,35,14,21,1
Bailey,2,Comm General Land Office,,REP,JON SPIERS,60,27,33,0
Bailey,3,Comm General Land Office,,REP,JON SPIERS,20,7,13,0
Bailey,4,Comm General Land Office,,REP,JON SPIERS,5,2,3,0
Bailey,1,Commissioner of Agriculture,,REP,CAREY A. COUNSIL,17,9,8,1
Bailey,2,Commissioner of Agriculture,,REP,CAREY A. COUNSIL,33,14,19,0
Bailey,3,Commissioner of Agriculture,,REP,CAREY A. COUNSIL,17,6,11,0
Bailey,4,Commissioner of Agriculture,,REP,CAREY A. COUNSIL,6,4,2,0
Bailey,1,Commissioner of Agriculture,,REP,SID MILLER,181,85,96,1
Bailey,2,Commissioner of Agriculture,,REP,SID MILLER,247,88,159,0
Bailey,3,Commissioner of Agriculture,,REP,SID MILLER,79,33,46,0
Bailey,4,Commissioner of Agriculture,,REP,SID MILLER,43,17,26,0
Bailey,1,Commissioner of Agriculture,,REP,JAMES WHITE,55,23,32,1
Bailey,2,Commissioner of Agriculture,,REP,JAMES WHITE,55,21,34,0
Bailey,3,Commissioner of Agriculture,,REP,JAMES WHITE,20,6,14,0
Bailey,4,Commissioner of Agriculture,,REP,JAMES WHITE,11,4,7,0
Bailey,1,Railroad Commissioner,,REP,TOM SLOCUM JR.,45,13,32,1
Bailey,2,Railroad Commissioner,,REP,TOM SLOCUM JR.,40,12,28,0
Bailey,3,Railroad Commissioner,,REP,TOM SLOCUM JR.,11,2,9,0
Bailey,4,Railroad Commissioner,,REP,TOM SLOCUM JR.,4,1,3,0
Bailey,1,Railroad Commissioner,,REP,WAYNE CHRISTIAN,107,56,51,1
Bailey,2,Railroad Commissioner,,REP,WAYNE CHRISTIAN,168,73,95,0
Bailey,3,Railroad Commissioner,,REP,WAYNE CHRISTIAN,45,16,29,0
Bailey,4,Railroad Commissioner,,REP,WAYNE CHRISTIAN,33,15,18,0
Bailey,1,Railroad Commissioner,,REP,DAWAYNE TIPTON,18,11,7,1
Bailey,2,Railroad Commissioner,,REP,DAWAYNE TIPTON,41,8,33,0
Bailey,3,Railroad Commissioner,,REP,DAWAYNE TIPTON,19,9,10,0
Bailey,4,Railroad Commissioner,,REP,DAWAYNE TIPTON,6,3,3,0
Bailey,1,Railroad Commissioner,,REP,"MARVIN ""SARGE"" SUMMERS",25,7,18,1
Bailey,2,Railroad Commissioner,,REP,"MARVIN ""SARGE"" SUMMERS",18,6,12,0
Bailey,3,Railroad Commissioner,,REP,"MARVIN ""SARGE"" SUMMERS",13,7,6,0
Bailey,4,Railroad Commissioner,,REP,"MARVIN ""SARGE"" SUMMERS",2,2,0,0
Bailey,1,Railroad Commissioner,,REP,SARAH STOGNER,24,12,12,1
Bailey,2,Railroad Commissioner,,REP,SARAH STOGNER,31,11,20,0
Bailey,3,Railroad Commissioner,,REP,SARAH STOGNER,16,7,9,0
Bailey,4,Railroad Commissioner,,REP,SARAH STOGNER,8,2,6,0
Bailey,1,"Justice, Supreme Court, Pl 3",,REP,DEBRA LEHRMANN,192,83,109,1
Bailey,2,"Justice, Supreme Court, Pl 3",,REP,DEBRA LEHRMANN,270,96,174,0
Bailey,3,"Justice, Supreme Court, Pl 3",,REP,DEBRA LEHRMANN,98,41,57,0
Bailey,4,"Justice, Supreme Court, Pl 3",,REP,DEBRA LEHRMANN,51,22,29,0
Bailey,1,"Justice, Supreme Court, Pl 5",,REP,REBECA HUDDLE,193,86,107,1
Bailey,2,"Justice, Supreme Court, Pl 5",,REP,REBECA HUDDLE,262,93,169,0
Bailey,3,"Justice, Supreme Court, Pl 5",,REP,REBECA HUDDLE,99,41,58,0
Bailey,4,"Justice, Supreme Court, Pl 5",,REP,REBECA HUDDLE,51,22,29,0
Bailey,1,"Justice, Supreme Court, Pl 9",,REP,EVAN YOUNG,126,55,71,1
Bailey,2,"Justice, Supreme Court, Pl 9",,REP,EVAN YOUNG,180,69,111,0
Bailey,3,"Justice, Supreme Court, Pl 9",,REP,EVAN YOUNG,60,26,34,0
Bailey,4,"Justice, Supreme Court, Pl 9",,REP,EVAN YOUNG,25,8,17,0
Bailey,1,"Justice, Supreme Court, Pl 9",,REP,DAVID J. SCHENCK,71,29,42,1
Bailey,2,"Justice, Supreme Court, Pl 9",,REP,DAVID J. SCHENCK,90,26,64,0
Bailey,3,"Justice, Supreme Court, Pl 9",,REP,DAVID J. SCHENCK,36,12,24,0
Bailey,4,"Justice, Supreme Court, Pl 9",,REP,DAVID J. SCHENCK,20,10,10,0
Bailey,1,"Judge, Ct of Crim App, Pl 2",,REP,MARY LOU KEEL,179,80,99,1
Bailey,2,"Judge, Ct of Crim App, Pl 2",,REP,MARY LOU KEEL,251,91,160,0
Bailey,3,"Judge, Ct of Crim App, Pl 2",,REP,MARY LOU KEEL,92,40,52,0
Bailey,4,"Judge, Ct of Crim App, Pl 2",,REP,MARY LOU KEEL,48,22,26,0
Bailey,1,"Judge, Ct of Crim App, Pl 5",,REP,CLINT MORGAN,108,51,57,1
Bailey,2,"Judge, Ct of Crim App, Pl 5",,REP,CLINT MORGAN,141,43,98,0
Bailey,3,"Judge, Ct of Crim App, Pl 5",,REP,CLINT MORGAN,39,13,26,0
Bailey,4,"Judge, Ct of Crim App, Pl 5",,REP,CLINT MORGAN,22,8,14,0
Bailey,1,"Judge, Ct of Crim App, Pl 5",,REP,SCOTT WALKER,96,36,60,1
Bailey,2,"Judge, Ct of Crim App, Pl 5",,REP,SCOTT WALKER,135,56,79,0
Bailey,3,"Judge, Ct of Crim App, Pl 5",,REP,SCOTT WALKER,56,25,31,0
Bailey,4,"Judge, Ct of Crim App, Pl 5",,REP,SCOTT WALKER,24,10,14,0
Bailey,1,"Judge, Ct of Crim App, Pl 6",,REP,JESSE F. MCCLURE III,179,78,101,1
Bailey,2,"Judge, Ct of Crim App, Pl 6",,REP,JESSE F. MCCLURE III,250,91,159,0
