county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Brazos,3,Comptroller of Public Accounts,,DEM,Angel Luis Vega,13,1,6,6,0
Brazos,3,Commissioner of the General Land Office,,DEM,Sandragrace Martinez,21,1,10,10,0
Brazos,3,Commissioner of the General Land Office,,DEM,Michael Lange,16,6,6,4,0
Brazos,3,Commissioner of the General Land Office,,DEM,Jay Kleberg,6,0,3,3,0
Brazos,3,Commissioner of the General Land Office,,DEM,Jinny Suh,10,1,6,3,0
Brazos,3,Commissioner of Agriculture,,DEM,Susan Hays,48,6,26,16,0
Brazos,3,Commissioner of Agriculture,,DEM,Ed Ireson,7,2,1,4,0
Brazos,3,Railroad Commissioner,,DEM,Luke Warford,55,8,27,20,0
Brazos,3,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,53,7,27,19,0
Brazos,3,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,52,7,26,19,0
Brazos,3,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,52,8,26,18,0
Brazos,3,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,53,7,26,20,0
Brazos,3,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,55,8,27,20,0
Brazos,3,District Clerk,,DEM,Searcy L. Toliver,56,8,28,20,0
Brazos,3,"County Commissioner, Precinct 4",,DEM,Prentiss E Madison Sr,34,8,15,11,0
Brazos,3,"County Commissioner, Precinct 4",,DEM,Wanda J Watson,16,0,8,8,0
Brazos,3,"County Commissioner, Precinct 4",,DEM,Ann Boney,3,0,2,1,0
Brazos,3,"County Commissioner, Precinct 4",,DEM,Roy Flores,4,0,3,1,0
Brazos,3,"Justice of the Peace, Precinct 4",,DEM,Darrell Booker,30,3,16,11,0
Brazos,3,"Justice of the Peace, Precinct 4",,DEM,Celina Vasquez,18,5,6,7,0
Brazos,3,"Justice of the Peace, Precinct 4",,DEM,Loretta Montoya Garcia,7,0,5,2,0
Brazos,3,"Constable, Precinct 4",,DEM,Hezekiah Carter Jr,55,8,27,20,0
Brazos,4,U.S. House,10,DEM,Linda Nuno,177,13,93,71,0
Brazos,4,Governor,,DEM,Inocencio (Inno) Barrientez,3,0,2,1,0
Brazos,4,Governor,,DEM,Michael Cooper,33,0,17,16,0
Brazos,4,Governor,,DEM,Joy Diaz,4,0,3,1,0
Brazos,4,Governor,,DEM,Beto O'Rourke,149,14,74,61,0
Brazos,4,Governor,,DEM,Rich Wakeland,2,0,2,0,0
Brazos,4,Lieutenant Governor,,DEM,Michelle Beckley,54,4,33,17,0
Brazos,4,Lieutenant Governor,,DEM,Mike Collier,67,5,33,29,0
Brazos,4,Lieutenant Governor,,DEM,Carla Brailey,63,3,28,32,0
Brazos,4,Attorney General,,DEM,Mike Fields,47,3,28,16,0
Brazos,4,Attorney General,,DEM,"S. ""TBone"" Raynor",22,0,12,10,0
Brazos,4,Attorney General,,DEM,Rochelle Mercedes Garza,65,5,28,32,0
Brazos,4,Attorney General,,DEM,Joe Jaworski,17,3,5,9,0
Brazos,4,Attorney General,,DEM,Lee Merritt,36,1,23,12,0
Brazos,4,Comptroller of Public Accounts,,DEM,Tim Mahoney,65,5,37,23,0
Brazos,4,Comptroller of Public Accounts,,DEM,Janet T. Dudding,69,4,33,32,0
Brazos,4,Comptroller of Public Accounts,,DEM,Angel Luis Vega,52,3,27,22,0
Brazos,4,Commissioner of the General Land Office,,DEM,Sandragrace Martinez,65,3,31,31,0
Brazos,4,Commissioner of the General Land Office,,DEM,Michael Lange,75,3,44,28,0
Brazos,4,Commissioner of the General Land Office,,DEM,Jay Kleberg,14,2,7,5,0
Brazos,4,Commissioner of the General Land Office,,DEM,Jinny Suh,29,3,14,12,0
Brazos,4,Commissioner of Agriculture,,DEM,Susan Hays,146,10,76,60,0
Brazos,4,Commissioner of Agriculture,,DEM,Ed Ireson,42,3,20,19,0
Brazos,4,Railroad Commissioner,,DEM,Luke Warford,182,12,94,76,0
Brazos,4,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,182,12,95,75,0
Brazos,4,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,179,13,94,72,0
Brazos,4,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,178,12,96,70,0
Brazos,4,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,182,12,96,74,0
Brazos,4,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,182,13,95,74,0
Brazos,4,District Clerk,,DEM,Searcy L. Toliver,193,14,101,78,0
Brazos,4,"County Commissioner, Precinct 4",,DEM,Prentiss E Madison Sr,105,7,55,43,0
Brazos,4,"County Commissioner, Precinct 4",,DEM,Wanda J Watson,33,3,17,13,0
Brazos,4,"County Commissioner, Precinct 4",,DEM,Ann Boney,40,4,25,11,0
Brazos,4,"County Commissioner, Precinct 4",,DEM,Roy Flores,24,1,6,17,0
Brazos,4,"Justice of the Peace, Precinct 4",,DEM,Darrell Booker,127,9,71,47,0
Brazos,4,"Justice of the Peace, Precinct 4",,DEM,Celina Vasquez,54,5,24,25,0
Brazos,4,"Justice of the Peace, Precinct 4",,DEM,Loretta Montoya Garcia,20,1,8,11,0
Brazos,4,"Constable, Precinct 4",,DEM,Hezekiah Carter Jr,186,11,99,76,0
Brazos,5,U.S. House,10,DEM,Linda Nuno,42,4,21,17,0
Brazos,5,Governor,,DEM,Inocencio (Inno) Barrientez,2,0,1,1,0
Brazos,5,Governor,,DEM,Michael Cooper,1,0,0,1,0
Brazos,5,Governor,,DEM,Joy Diaz,2,0,1,1,0
Brazos,5,Governor,,DEM,Beto O'Rourke,41,6,20,15,0
Brazos,5,Governor,,DEM,Rich Wakeland,0,0,0,0,0
Brazos,5,Lieutenant Governor,,DEM,Michelle Beckley,14,2,7,5,0
Brazos,5,Lieutenant Governor,,DEM,Mike Collier,20,4,7,9,0
Brazos,5,Lieutenant Governor,,DEM,Carla Brailey,11,0,8,3,0
Brazos,5,Attorney General,,DEM,Mike Fields,4,0,1,3,0
Brazos,5,Attorney General,,DEM,"S. ""TBone"" Raynor",2,0,2,0,0
Brazos,5,Attorney General,,DEM,Rochelle Mercedes Garza,23,2,15,6,0
Brazos,5,Attorney General,,DEM,Joe Jaworski,12,4,3,5,0
Brazos,5,Attorney General,,DEM,Lee Merritt,5,0,1,4,0
Brazos,5,Comptroller of Public Accounts,,DEM,Tim Mahoney,7,0,3,4,0
Brazos,5,Comptroller of Public Accounts,,DEM,Janet T. Dudding,21,6,8,7,0
Brazos,5,Comptroller of Public Accounts,,DEM,Angel Luis Vega,17,0,11,6,0
Brazos,5,Commissioner of the General Land Office,,DEM,Sandragrace Martinez,20,1,13,6,0
Brazos,5,Commissioner of the General Land Office,,DEM,Michael Lange,10,4,1,5,0
Brazos,5,Commissioner of the General Land Office,,DEM,Jay Kleberg,6,0,1,5,0
Brazos,5,Commissioner of the General Land Office,,DEM,Jinny Suh,5,0,5,0,0
Brazos,5,Commissioner of Agriculture,,DEM,Susan Hays,42,6,21,15,0
Brazos,5,Commissioner of Agriculture,,DEM,Ed Ireson,2,0,1,1,0
Brazos,5,Railroad Commissioner,,DEM,Luke Warford,41,4,22,15,0
Brazos,5,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,41,4,21,16,0
Brazos,5,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,42,4,21,17,0
Brazos,5,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,42,4,21,17,0
Brazos,5,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,41,4,21,16,0
Brazos,5,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,40,4,20,16,0
Brazos,5,District Clerk,,DEM,Searcy L. Toliver,42,4,21,17,0
Brazos,6,U.S. House,10,DEM,Linda Nuno,22,3,9,10,0
Brazos,6,Governor,,DEM,Inocencio (Inno) Barrientez,1,0,0,1,0
Brazos,6,Governor,,DEM,Michael Cooper,1,1,0,0,0
Brazos,6,Governor,,DEM,Joy Diaz,1,0,0,1,0
Brazos,6,Governor,,DEM,Beto O'Rourke,18,1,9,8,0
Brazos,6,Governor,,DEM,Rich Wakeland,1,1,0,0,0
Brazos,6,Lieutenant Governor,,DEM,Michelle Beckley,6,2,2,2,0
Brazos,6,Lieutenant Governor,,DEM,Mike Collier,6,0,2,4,0
Brazos,6,Lieutenant Governor,,DEM,Carla Brailey,9,1,5,3,0
Brazos,6,Attorney General,,DEM,Mike Fields,4,2,1,1,0
Brazos,6,Attorney General,,DEM,"S. ""TBone"" Raynor",0,0,0,0,0
Brazos,6,Attorney General,,DEM,Rochelle Mercedes Garza,9,0,4,5,0
Brazos,6,Attorney General,,DEM,Joe Jaworski,4,0,2,2,0
Brazos,6,Attorney General,,DEM,Lee Merritt,4,1,2,1,0
Brazos,6,Comptroller of Public Accounts,,DEM,Tim Mahoney,4,2,2,0,0
Brazos,6,Comptroller of Public Accounts,,DEM,Janet T. Dudding,15,0,7,8,0
Brazos,6,Comptroller of Public Accounts,,DEM,Angel Luis Vega,3,1,0,2,0
Brazos,6,Commissioner of the General Land Office,,DEM,Sandragrace Martinez,9,0,4,5,0
Brazos,6,Commissioner of the General Land Office,,DEM,Michael Lange,4,3,1,0,0
Brazos,6,Commissioner of the General Land Office,,DEM,Jay Kleberg,3,0,0,3,0
Brazos,6,Commissioner of the General Land Office,,DEM,Jinny Suh,4,0,3,1,0
Brazos,6,Commissioner of Agriculture,,DEM,Susan Hays,17,2,9,6,0
Brazos,6,Commissioner of Agriculture,,DEM,Ed Ireson,4,1,0,3,0
Brazos,6,Railroad Commissioner,,DEM,Luke Warford,21,3,9,9,0
Brazos,6,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,21,3,9,9,0
Brazos,6,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,20,3,9,8,0
Brazos,6,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,21,3,9,9,0
Brazos,6,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,21,3,9,9,0
